,items,freq
0,"PNW,XEL,CMS,ES,DTE",149
1,"PNW,XEL,LNT,AEP,CMS",148
2,"PNW,XEL,LNT,AEP,DTE",148
3,"PNW,XEL,AEP,ES,DTE",148
4,"PNW,XEL,LNT,ES,DTE",147
5,"PNW,XEL,LNT,CMS,ES",147
6,"PNW,XEL,LNT,CMS,DTE",147
7,"PNW,XEL,LNT,AEP,DUK",147
8,"PNW,XEL,AEP,CMS,ES",147
9,"PNW,XEL,SCG,AEP,ES",147
10,"PNW,XEL,SCG,AEP,CMS",147
11,"PNW,XEL,SCG,AEP,EIX",147
12,"PNW,XEL,SCG,AEP,WEC",147
13,"PNW,XEL,LNT,AEP,WEC",146
14,"PNW,XEL,LNT,SCG,AEP",146
15,"PNW,XEL,AEP,CMS,DTE",146
16,"PNW,XEL,AEP,DUK,CMS",146
17,"PNW,XEL,EIX,ES,DTE",146
18,"PNW,XEL,SCG,ES,DTE",146
19,"PNW,XEL,SCG,AEP",163
20,"PNW,XEL,LNT,AEP",162
21,"PNW,XEL,LNT,DTE",162
22,"PNW,XEL,AEP,CMS",162
23,"PNW,CMS,ES,DTE",162
24,"PNW,XEL,LNT,CMS",161
25,"PNW,XEL,ES,DTE",161
26,"PNW,XEL,CMS,ES",161
27,"PNW,XEL,CMS,DTE",161
28,"PNW,XEL,AEP,DTE",161
29,"XEL,LNT,AEP,CMS",160
30,"PNW,XEL,AEP,ES",160
31,"PNW,XEL,SCG,CMS",160
32,"XEL,SCG,AEP,EIX",159
33,"PNW,XEL,LNT,ES",159
34,"PNW,XEL,AEP,EIX",159
35,"PNW,SCG,ES,DTE",159
36,"XEL,LNT,CMS,ES",158
37,"XEL,LNT,CMS,DTE",158
38,"XEL,LNT,AEP,EIX",158
39,"XEL,LNT,AEP,WEC",158
40,"XEL,LNT,SCG,WEC",158
41,"PNW,XEL,LNT,SCG",158
42,"PNW,XEL,AEP,DUK",158
43,"PNW,XEL,AEP,WEC",158
44,"PNW,XEL,EIX,ES",158
45,"PNW,XEL,SCG,ES",158
46,"PNW,XEL,SCG,DTE",158
47,"XEL,LNT,CMS,ED",157
48,"XEL,LNT,CMS,WEC",157
49,"XEL,LNT,AEP,DTE",157
50,"XEL,LNT,DUK,CMS",157
51,"XEL,LNT,SCG,CMS",157
52,"XEL,SCG,AEP,CMS",157
53,"PNW,LNT,ES,DTE",157
54,"PNW,XEL,LNT,DUK",157
55,"PNW,XEL,SCG,EIX",157
56,"PNW,AEP,ES,DTE",157
57,"XEL,LNT,AEP,DUK",156
58,"XEL,LNT,AEE,CMS",156
59,"XEL,LNT,SCG,AEP",156
60,"XEL,AEP,CMS,DTE",156
61,"XEL,AEP,DUK,CMS",156
62,"XEL,EIX,CMS,ES",156
63,"XEL,SCG,CMS,ES",156
64,"PNW,LNT,AEP,DUK",156
