date,close,open,high,low,volume,change,symbol,macd,macds,macdh,close_-1_s,close_-1_d,rs_14,rsi_14,close_20_sma,close_20_mstd,boll,boll_ub,boll_lb,rsv_9,kdjk_9,kdjk,kdjd_9,kdjd,kdjj_9,kdjj,high_delta,um,low_delta,dm,pdm,pdm_14_ema,pdm_14,tr,atr_14,pdi_14,pdi,mdm,mdm_14_ema,mdm_14,mdi_14,mdi,dx_14,dx,dx_6_ema,adx,adx_6_ema,adxr,close_5_ema,close_10_ema,close_20_ema,close_40_ema,vr
2010-01-04,30.95,30.62,31.1,30.59,38410000.0,0.0154,MSFT,0.0,0.0,0.0,,,,,30.95,,30.95,,,70.58823529411733,56.8627450980391,56.8627450980391,52.28758169934636,52.28758169934636,66.01307189542456,66.01307189542456,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,,,,,30.95,30.95,30.95,30.95,inf
2010-01-05,30.96,30.85,31.1,30.64,49760000.0,0.0003,MSFT,0.0002243589743571306,0.00012464387464285033,9.971509971428027e-05,30.95,0.010000000000001563,inf,100.0,30.955,0.007071067811866581,30.955,30.96914213562373,30.940857864376266,72.5490196078431,62.09150326797376,62.09150326797376,55.55555555555549,55.55555555555549,75.1633986928103,75.1633986928103,0.0,0.0,0.05000000000000071,0.0,0.0,0.0,0.0,0.46000000000000085,0.46000000000000085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,30.956,30.9555,30.955250000000003,30.955125,inf
2010-01-06,30.77,30.88,31.08,30.52,58180000.0,-0.0061,MSFT,-0.005606010765379921,-0.0022239850761861537,-0.003382025689193767,30.96,-0.19000000000000128,0.04887218045113514,4.659498207885974,30.89333333333333,0.10692676621563556,30.89333333333333,31.107186865764604,30.679479800902058,43.103448275861936,55.76215160393648,55.76215160393648,55.624420905015825,55.624420905015825,56.0376130017778,56.0376130017778,-0.020000000000003126,0.0,-0.120000000000001,0.120000000000001,0.0,0.0,0.0,0.5599999999999987,0.5118518518518516,0.0,0.0,0.120000000000001,0.04584040747028901,0.04584040747028901,8.955795960186714,8.955795960186714,100.0,100.0,100.0,100.0,100.0,100.0,30.8678947368421,30.88093023255814,30.887227310574524,30.890306186211205,151.54692334135441
2010-01-07,30.45,30.63,30.7,30.19,50560000.0,-0.0104,MSFT,-0.019673866246911587,-0.008135191434832979,-0.011538674812078608,30.77,-0.3200000000000003,0.017368961973281184,1.707243155874579,30.7825,0.2382400749943906,30.7825,31.25898014998878,30.306019850011218,28.57142857142835,46.6985772597671,46.6985772597671,52.649139689932916,52.649139689932916,34.79745239943547,34.79745239943547,-0.379999999999999,0.0,-0.3299999999999983,0.3299999999999983,0.0,0.0,0.0,0.5799999999999983,0.5362705667276043,0.0,0.0,0.3299999999999983,0.13277284263959366,0.13277284263959366,24.758554893249418,24.758554893249418,100.0,100.0,100.0,100.0,100.0,100.0,30.69430769230769,30.73895792079208,30.761006546134666,30.77183982667083,81.08331800625345
2010-01-08,30.66,30.28,30.88,30.24,51200000.0,0.0069,MSFT,-0.01854756078743236,-0.011232635911451072,-0.007314924875981288,30.45,0.21000000000000085,0.47293066645584947,32.10814176296637,30.758,0.21347130954767568,30.758,31.184942619095352,30.331057380904646,51.64835164835152,48.3485020559619,48.3485020559619,51.215593811942576,51.215593811942576,42.61431854400057,42.61431854400057,0.17999999999999972,0.17999999999999972,0.04999999999999716,0.0,0.17999999999999972,0.0469617245839796,0.0469617245839796,0.6400000000000006,0.5651527143581934,8.309563661445194,8.309563661445194,0.0,0.09813261114918995,0.09813261114918995,17.36391043624955,17.36391043624955,35.26732198513546,35.26732198513546,70.8999887823086,70.8999887823086,86.9183435810378,86.9183435810378,30.681137440758288,30.716291249191194,30.73657392217174,30.747180604152575,128.16810741217583
2010-01-11,30.27,30.71,30.76,30.12,68750000.0,-0.0127,MSFT,-0.0341984943320206,-0.0174576604204527,-0.0167408339115679,30.66,-0.39000000000000057,0.24746212842002682,19.837245779433005,30.676666666666666,0.2759468547866894,30.676666666666666,31.228560376240043,30.12477295709329,15.306122448979439,37.33437552030108,37.33437552030108,46.58852104806207,46.58852104806207,18.8260844647791,18.8260844647791,-0.11999999999999744,0.0,-0.11999999999999744,0.11999999999999744,0.0,0.03609561876810679,0.03609561876810679,0.6400000000000006,0.5824187688778664,6.197537012354776,6.197537012354776,0.11999999999999744,0.10319233506850212,0.10319233506850212,17.717893135092567,17.717893135092567,48.17122690961692,48.17122690961692,62.12074855445584,62.12074855445584,77.33999324982427,77.33999324982427,30.5309022556391,30.6003739960649,30.638148136478495,30.657386700765322,78.52273367513662
2010-01-12,30.07,30.15,30.4,29.91,65910000.0,-0.0066,MSFT,-0.052706870349108925,-0.026378295090044277,-0.026328575259064648,30.27,-0.1999999999999993,0.19588663884710406,16.38003406710429,30.59,0.34063665882187844,30.59,31.271273317643757,29.908726682356242,13.4453781512605,29.371376397287552,29.371376397287552,40.84947283113723,40.84947283113723,6.415183529588205,6.415183529588205,-0.360000000000003,0.0,-0.21000000000000085,0.21000000000000085,0.0,0.028489506576665918,0.028489506576665918,0.48999999999999844,0.5640280723876288,5.051079542205211,5.051079542205211,0.21000000000000085,0.1256989746580307,0.1256989746580307,22.28594298966807,22.28594298966807,63.04586912260861,63.04586912260861,62.44544004460855,62.44544004460855,72.11242092915143,72.11242092915143,30.367717338513845,30.472575168649072,30.53072538656532,30.560377327197774,57.259654889071484
2010-01-13,30.35,30.26,30.52,30.01,51860000.0,0.0093,MSFT,-0.05095310182821322,-0.032284083278569416,-0.018669018549643805,30.07,0.28000000000000114,0.5101164136859276,33.779939682982686,30.56,0.32658405174953403,30.56,31.21316810349907,29.90683189650093,36.974789915966454,31.90584757018052,31.90584757018052,37.86826441081833,37.86826441081833,19.981013888904897,19.981013888904897,0.120000000000001,0.120000000000001,0.10000000000000142,0.0,0.120000000000001,0.04638761158291799,0.04638761158291799,0.509999999999998,0.5544931739929974,8.365767832428505,8.365767832428505,0.0,0.10111410615338813,0.10111410615338813,18.235410442521534,18.235410442521534,37.1022761025106,37.1022761025106,54.09558988435527,54.09558988435527,66.1763886353796,66.1763886353796,30.361571768437756,30.444688727058256,30.499486095390385,30.529254508173214,78.56614626129827
2010-01-14,30.96,30.31,31.1,30.26,63240000.0,0.0201,MSFT,-0.018699056500111055,-0.029145874697080153,0.010446818196969097,30.35,0.6099999999999994,1.2473478085000869,55.503104761188936,30.604444444444443,0.3333208330989491,30.604444444444443,31.27108611064234,29.937802778246546,88.23529411764703,50.682329752669354,50.682329752669354,42.13961952476866,42.13961952476866,67.76775020847074,67.76775020847074,0.5800000000000018,0.5800000000000018,0.25,0.0,0.5800000000000018,0.14463805628932852,0.14463805628932852,0.8399999999999999,0.6000895604780138,24.102744959288092,24.102744959288092,0.0,0.08249664877926033,0.08249664877926033,13.747389425262774,13.747389425262774,27.3588342615027,27.3588342615027,45.65588877095854,45.65588877095854,59.6989054285097,59.6989054285097,30.566375254290342,30.556802427110064,30.573354777492973,30.587229509704773,104.5480690221857
2010-01-15,30.86,31.08,31.24,30.71,79920000.0,-0.0032,MSFT,-0.0006977864713526571,-0.02277185152526203,0.022074065053909374,30.96,-0.10000000000000142,1.1036968662302131,52.464634232593504,30.630000000000003,0.3244824939636785,30.630000000000003,31.27896498792736,29.981035012072645,71.42857142857146,57.597743644636715,57.597743644636715,47.29232756472467,47.29232756472467,78.20857580446079,78.20857580446079,0.13999999999999702,0.13999999999999702,0.4499999999999993,0.0,0.13999999999999702,0.14382535913047204,0.14382535913047204,0.5299999999999976,0.5898039821312976,24.385281125222168,24.385281125222168,0.0,0.06804128474404937,0.06804128474404937,11.536253875088716,11.536253875088716,35.76970541493355,35.76970541493355,42.62595558694265,42.62595558694265,54.466360632294,54.466360632294,30.665977423524346,30.620490946505836,30.616521064269214,30.621040887900907,78.70530743535816
