date,close,open,high,low,volume,change,symbol,macd,macds,macdh,close_-1_s,close_-1_d,rs_14,rsi_14,close_20_sma,close_20_mstd,boll,boll_ub,boll_lb,rsv_9,kdjk_9,kdjk,kdjd_9,kdjd,kdjj_9,kdjj,high_delta,um,low_delta,dm,pdm,pdm_14_ema,pdm_14,tr,atr_14,pdi_14,pdi,mdm,mdm_14_ema,mdm_14,mdi_14,mdi,dx_14,dx,dx_6_ema,adx,adx_6_ema,adxr,close_5_ema,close_10_ema,close_20_ema,close_40_ema,vr
2010-01-04,19.94,19.73,20.05,19.55,3110000.0,0.0215,UNM,0.0,0.0,0.0,,,,,19.94,,19.94,,,78.00000000000011,59.333333333333364,59.333333333333364,53.111111111111114,53.111111111111114,71.77777777777786,71.77777777777786,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,,,,,19.94,19.94,19.94,19.94,inf
2010-01-05,20.23,19.85,20.29,19.8,1990000.0,0.0145,UNM,0.006506410256406525,0.0036146723646702916,0.0028917378917362336,19.94,0.28999999999999915,inf,100.0,20.085,0.2050609665440982,20.085,20.495121933088196,19.674878066911806,91.89189189189206,70.18618618618626,70.18618618618626,58.80280280280282,58.80280280280282,92.95295295295314,92.95295295295314,0.23999999999999844,0.23999999999999844,0.25,0.0,0.23999999999999844,0.12857142857142773,0.12857142857142773,0.48999999999999844,0.48999999999999844,26.239067055393495,26.239067055393495,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,20.114,20.099500000000003,20.09225,20.088625000000004,inf
2010-01-06,20.41,20.25,20.51,20.19,2440000.0,0.0089,UNM,0.013872247332837873,0.007818596531952085,0.006053650800885787,20.23,0.17999999999999972,inf,100.0,20.19333333333333,0.23713568549109823,20.19333333333333,20.66760470431553,19.719061962351134,89.58333333333319,76.6519019019019,76.6519019019019,64.75250250250251,64.75250250250251,100.45070070070065,100.45070070070065,0.22000000000000242,0.22000000000000242,0.39000000000000057,0.0,0.22000000000000242,0.1634974533106965,0.1634974533106965,0.3200000000000003,0.40185185185185124,40.686002206348505,40.686002206348505,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,20.254210526315784,20.22431893687708,20.208925895087425,20.201149760466574,inf
2010-01-07,20.86,20.24,20.92,20.07,3770000.0,0.022,UNM,0.033129479473988255,0.016392743870040215,0.01673673560394804,20.41,0.4499999999999993,inf,100.0,20.36,0.3854867053479264,20.36,21.13097341069585,19.589026589304147,95.62043795620421,82.974747253336,82.974747253336,70.82658408611367,70.82658408611367,107.27107358778068,107.27107358778068,0.41000000000000014,0.41000000000000014,-0.120000000000001,0.120000000000001,0.41000000000000014,0.23890953589557684,0.23890953589557684,0.8500000000000014,0.5624314442413164,42.47798346656281,42.47798346656281,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,20.50584615384615,20.433747524752476,20.396880922693263,20.37841638038726,inf
2010-01-08,20.58,20.8,20.8,20.41,2050000.0,-0.0134,UNM,0.031754268042394784,0.020962450013648784,0.010791818028746,20.86,-0.28000000000000114,2.8758980633069378,74.19952785995629,20.404,0.34803735431703187,20.404,21.100074708634065,19.707925291365935,75.18248175182458,80.37732541949886,80.37732541949886,74.0101645305754,74.0101645305754,93.1116471973458,93.1116471973458,-0.120000000000001,0.0,0.33999999999999986,0.0,0.0,0.17657840353327417,0.17657840353327417,0.4499999999999993,0.5311263318112632,33.24602697273568,33.24602697273568,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,20.53431279620853,20.475732632693475,20.44117586918424,20.422862938290972,551.7073170731707
2010-01-11,20.96,20.58,20.99,20.58,2170000.0,0.018500000000000003,UNM,0.04657972729629378,0.027906156450309867,0.018673570845983915,20.58,0.38000000000000256,4.337436524845404,81.26441419312309,20.496666666666666,0.38526181573920115,20.496666666666666,21.267190298145067,19.726143035188265,97.91666666666683,86.22377250188818,86.22377250188818,78.08136718767965,78.08136718767965,102.50858313030525,102.50858313030525,0.18999999999999773,0.18999999999999773,0.16999999999999815,0.0,0.18999999999999773,0.1796839216699551,0.1796839216699551,0.41000000000000014,0.5031844521440453,35.70935487063051,35.70935487063051,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,20.689864661654134,20.601513595458503,20.550624062247547,20.523939203765906,657.560975609756
2010-01-12,20.91,20.79,21.24,20.79,5050000.0,-0.0024,UNM,0.05302003489873286,0.034261809108294176,0.018758225790438683,20.96,-0.05000000000000071,3.593268493621921,78.2290105316384,20.555714285714284,0.3848314411469491,20.555714285714284,21.32537716800818,19.786051403420387,80.47337278106517,84.30697259494717,84.30697259494717,80.15656899010216,80.15656899010216,92.60777980463718,92.60777980463718,0.25,0.25,0.21000000000000085,0.0,0.25,0.1945010102500525,0.1945010102500525,0.4499999999999993,0.49260111361598846,39.48448447919618,39.48448447919618,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,20.76780475959204,20.675846426756106,20.61857315687149,20.587698761060718,189.85915492957744
2010-01-13,21.05,21.01,21.15,20.77,2690000.0,0.0067,UNM,0.0631443403537304,0.041202824502692956,0.021941515851037444,20.91,0.14000000000000057,4.110613893320261,80.43287908509323,20.6175,0.39683569827898724,20.6175,21.411171396557975,19.823828603442024,88.75739644970426,85.79044721319953,85.79044721319953,82.03452839780127,82.03452839780127,93.30228484399606,93.30228484399606,-0.08999999999999986,0.0,-0.019999999999999574,0.019999999999999574,0.0,0.1564594767051154,0.1564594767051154,0.379999999999999,0.47272921869166373,33.09706075248241,33.09706075248241,0.019999999999999574,0.003911705496648035,0.003911705496648035,0.8274727564913718,0.8274727564913718,95.12168527668928,95.12168527668928,98.46011540133782,98.46011540133782,99.51392136184528,99.51392136184528,20.86568913560666,20.760968167817158,20.693147454535545,20.656090721287548,227.74647887323943
2010-01-14,21.45,20.95,21.69,20.95,5750000.0,0.019,UNM,0.0890399194441045,0.0522534307552108,0.0367864886888937,21.05,0.3999999999999986,5.702445892392064,85.08007351263964,20.709999999999997,0.4634652090502586,20.709999999999997,21.636930418100516,19.78306958189948,88.78504672897188,86.7886470517903,86.7886470517903,83.61923461579761,83.61923461579761,93.12747192377572,93.12747192377572,0.5400000000000027,0.5400000000000027,0.17999999999999972,0.0,0.5400000000000027,0.22707820257172356,0.22707820257172356,0.740000000000002,0.5154132483911442,44.05750206859161,44.05750206859161,0.0,0.0031914695858097334,0.0031914695858097334,0.6192059664302119,0.6192059664302119,97.22805912223961,97.22805912223961,98.08251283519284,98.08251283519284,99.07522100210086,99.07522100210086,21.065661154869336,20.91087738233618,20.81455030365656,20.762944751155793,308.7323943661972
2010-01-15,21.39,21.41,21.79,21.3,6100000.0,-0.0028000000000000004,UNM,0.10302355807311159,0.06362888647626674,0.039394671596844844,21.45,-0.05999999999999872,4.536039265541125,81.93654430479813,20.778,0.4870044489872071,20.778,21.752008897974413,19.803991102025584,79.89949748743724,84.4922638636726,84.4922638636726,83.91024436508927,83.91024436508927,85.65630286083928,85.65630286083928,0.09999999999999787,0.09999999999999787,0.3500000000000014,0.0,0.09999999999999787,0.20481109589167149,0.20481109589167149,0.48999999999999844,0.5116838776319471,40.02688082327885,40.02688082327885,0.0,0.0026322486313485904,0.0026322486313485904,0.5144286827113909,0.5144286827113909,97.4621999684772,97.4621999684772,97.89626620243676,97.89626620243676,98.72124420524408,98.72124420524408,21.175682033606204,21.01152004196299,20.90120804174969,20.840671642160732,166.06060606060606
