Date,Close,Open,High,Low,Volume,Change,Symbol
2018-01-22,102.66,100.28,102.73,99.66,1310000.0,0.0,ABC
2018-01-23,102.81,103.0,103.67,102.1,1370000.0,0.0015,ABC
2018-01-24,104.62,103.29,104.96,102.9,2110000.0,0.0176,ABC
2018-01-25,104.37,104.67,104.67,103.44,992750.0,-0.0024,ABC
2018-01-26,105.48,104.56,105.73,104.11,1450000.0,0.0106,ABC
2018-01-29,105.09,105.14,106.27,104.86,1420000.0,-0.0037,ABC
2018-01-30,102.46,102.0,103.65,100.03,3110000.0,-0.025,ABC
2018-01-31,99.67,102.98,103.04,99.06,2460000.0,-0.027200000000000002,ABC
2018-02-01,99.29,97.74,99.81,95.73,2790000.0,-0.0038,ABC
2018-02-02,96.02,99.09,99.09,95.91,1660000.0,-0.0329,ABC
2018-02-05,91.9,95.62,96.52,91.69,2280000.0,-0.0429,ABC
2018-02-06,91.54,92.58,93.37,86.94,4570000.0,-0.0039000000000000003,ABC
2018-02-07,94.22,91.6,95.34,91.1,2510000.0,0.029300000000000003,ABC
2018-02-08,91.55,94.56,95.56,91.46,1740000.0,-0.028300000000000002,ABC
2018-02-09,89.19,92.54,92.54,85.8,3670000.0,-0.0258,ABC
2018-02-12,89.45,89.85,91.54,88.75,2160000.0,0.0029,ABC
2018-02-13,97.77,101.67,102.0,95.94,9730000.0,0.09300000000000001,ABC
2018-02-14,96.4,97.25,98.19,95.6,3980000.0,-0.013999999999999999,ABC
2018-02-15,97.6,96.93,97.62,94.5,2880000.0,0.0124,ABC
2018-02-16,99.4,96.73,100.06,96.55,2790000.0,0.0184,ABC
2018-02-20,99.94,98.98,100.05,98.52,1680000.0,0.0054,ABC
2018-02-21,98.57,99.82,99.96,98.34,2820000.0,-0.0137,ABC
2018-02-22,97.12,98.75,99.19,96.65,3420000.0,-0.0147,ABC
2018-02-23,98.42,97.57,98.49,96.67,1130000.0,0.0134,ABC
2018-02-26,100.58,98.59,100.96,98.1,1550000.0,0.0219,ABC
2018-02-27,97.64,101.01,101.56,93.16,4740000.0,-0.0292,ABC
2018-02-28,95.16,97.94,99.75,95.15,1430000.0,-0.0254,ABC
2018-03-01,93.3,94.84,95.34,92.51,2180000.0,-0.0195,ABC
2018-03-02,93.96,92.7,94.58,92.56,1490000.0,0.0070999999999999995,ABC
2018-03-05,94.9,93.01,95.26,92.84,1320000.0,0.01,ABC
2018-03-06,94.7,95.49,95.53,94.08,1340000.0,-0.0021,ABC
2018-03-07,95.6,93.78,95.89,93.12,1030000.0,0.0095,ABC
2018-03-08,96.24,96.26,98.03,95.21,1150000.0,0.0067,ABC
2018-03-09,99.0,96.89,99.05,96.76,1040000.0,0.0287,ABC
2018-03-12,100.29,99.21,101.02,98.97,1590000.0,0.013000000000000001,ABC
2018-03-13,100.6,100.44,101.39,100.34,1510000.0,0.0031,ABC
2018-03-14,98.58,100.88,101.12,98.15,1290000.0,-0.020099999999999996,ABC
2018-03-15,97.36,99.05,99.25,97.33,1250000.0,-0.0124,ABC
2018-03-16,96.61,97.43,98.23,96.46,1600000.0,-0.0077,ABC
2018-03-19,93.0,96.34,96.34,92.82,1130000.0,-0.0374,ABC
2018-03-20,89.19,92.96,93.19,88.15,2600000.0,-0.040999999999999995,ABC
2018-03-21,89.5,89.45,91.46,89.27,1710000.0,0.0034999999999999996,ABC
2018-03-22,85.0,88.4,88.4,84.66,4620000.0,-0.050300000000000004,ABC
2018-03-23,84.03,85.34,86.46,83.81,1630000.0,-0.011399999999999999,ABC
2018-03-26,84.95,84.89,85.08,82.88,1650000.0,0.0109,ABC
2018-03-27,84.01,84.93,85.2,83.38,1450000.0,-0.0111,ABC
2018-03-28,85.11,84.45,85.75,84.13,1970000.0,0.0131,ABC
2018-03-29,86.21,85.13,86.62,85.04,1530000.0,0.0129,ABC
2018-04-02,82.67,86.1,86.59,81.82,1960000.0,-0.041100000000000005,ABC
2018-04-03,83.93,83.19,84.01,81.58,1320000.0,0.0152,ABC
2018-04-04,86.25,82.76,86.68,82.72,1490000.0,0.0276,ABC
2018-04-05,87.38,85.6,88.57,85.14,3190000.0,0.0131,ABC
2018-04-06,85.41,86.29,87.08,84.62,1590000.0,-0.0225,ABC
2018-04-09,86.79,85.81,87.69,85.34,1120000.0,0.016200000000000003,ABC
2018-04-10,88.91,87.62,89.47,87.35,1170000.0,0.024399999999999998,ABC
2018-04-11,89.09,87.95,89.9,87.82,724740.0,0.002,ABC
2018-04-12,88.19,89.55,89.84,87.89,649420.0,-0.0101,ABC
2018-04-13,86.82,88.39,88.78,86.11,1240000.0,-0.0155,ABC
2018-04-16,88.77,86.82,89.67,84.19,5100000.0,0.0225,ABC
2018-04-17,91.04,89.5,91.39,89.44,2830000.0,0.0256,ABC
2018-04-18,92.75,91.67,94.22,91.4,2130000.0,0.018799999999999997,ABC
2018-04-19,91.69,92.59,92.59,90.28,1080000.0,-0.011399999999999999,ABC
2018-04-20,89.87,92.0,92.02,89.12,886710.0,-0.019799999999999998,ABC
2018-04-23,90.74,90.15,90.82,89.84,959890.0,0.0097,ABC
2018-04-24,90.14,91.4,91.98,89.39,994340.0,-0.0066,ABC
2018-04-25,91.43,89.92,91.46,89.3,722430.0,0.0143,ABC
2018-04-26,92.08,91.85,92.82,91.12,1060000.0,0.0070999999999999995,ABC
2018-04-27,93.07,91.93,93.25,91.72,1080000.0,0.0108,ABC
2018-04-30,90.58,93.28,93.28,90.53,1110000.0,-0.0268,ABC
2018-05-01,89.2,90.45,90.69,87.69,1670000.0,-0.0152,ABC
2018-05-02,92.18,88.56,95.0,87.05,3500000.0,0.0334,ABC
2018-05-03,85.37,89.25,89.49,85.27,3480000.0,-0.0739,ABC
2018-05-04,86.37,84.51,87.3,83.49,1960000.0,0.011699999999999999,ABC
2018-05-07,84.69,86.45,87.48,84.6,1290000.0,-0.0195,ABC
2018-05-08,84.69,84.58,85.47,83.77,1590000.0,0.0,ABC
2018-05-09,84.72,84.82,85.61,84.28,2049999.9999999998,0.0004,ABC
2018-05-10,85.53,85.41,87.83,85.41,2000000.0,0.0096,ABC
2018-05-11,86.88,85.6,87.5,84.64,1850000.0,0.0158,ABC
2018-05-14,87.28,87.43,88.47,86.91,1010000.0,0.0046,ABC
2018-05-15,85.67,86.6,87.48,85.43,1030000.0,-0.0184,ABC
2018-05-16,85.99,85.93,86.73,85.31,1020000.0,0.0037,ABC
2018-05-17,87.07,85.94,87.86,85.33,1530000.0,0.0126,ABC
2018-05-18,84.77,86.84,87.03,84.7,1310000.0,-0.0264,ABC
2018-05-21,84.34,85.23,85.61,84.04,972450.0,-0.0051,ABC
2018-05-22,84.51,84.59,85.74,84.26,1060000.0,0.002,ABC
2018-05-23,83.96,83.88,84.63,83.35,923510.0,-0.006500000000000001,ABC
2018-05-24,84.09,83.56,85.23,82.34,1220000.0,0.0015,ABC
2018-05-25,85.49,84.46,86.13,83.98,786150.0,0.0166,ABC
2018-05-29,82.57,84.57,84.84,82.1,1390000.0,-0.0342,ABC
2018-05-30,84.13,82.82,84.58,82.49,910890.0,0.0189,ABC
2018-05-31,82.14,84.43,84.43,81.97,1350000.0,-0.023700000000000002,ABC
2018-06-01,83.34,82.66,83.63,82.14,1020000.0,0.0146,ABC
2018-06-04,84.32,82.87,85.23,82.74,1040000.0,0.0118,ABC
2018-06-05,84.79,84.4,85.45,84.07,976770.0,0.005600000000000001,ABC
2018-06-06,87.15,84.87,87.19,84.84,1080000.0,0.0278,ABC
2018-06-07,86.6,87.34,87.71,86.43,1260000.0,-0.0063,ABC
2018-06-08,86.09,86.6,87.09,85.13,1200000.0,-0.0059,ABC
2018-06-11,87.28,86.25,87.86,86.13,1600000.0,0.0138,ABC
2018-06-12,88.04,87.44,88.05,86.25,1010000.0,0.0087,ABC
2018-06-13,90.66,88.61,91.89,88.55,2460000.0,0.0298,ABC
2018-06-14,93.35,90.85,93.82,90.41,1900000.0,0.0297,ABC
2018-06-15,94.85,92.9,94.88,92.0,2040000.0,0.0161,ABC
2018-06-18,91.57,94.27,94.41,91.31,1270000.0,-0.0346,ABC
2018-06-19,92.17,90.93,92.18,90.39,1160000.0,0.0066,ABC
2018-06-20,93.23,92.03,93.58,91.69,640620.0,0.0115,ABC
2018-06-21,93.21,93.67,93.96,92.86,962810.0,-0.0002,ABC
2018-06-22,93.5,93.35,94.34,92.87,1030000.0,0.0031,ABC
2018-06-25,92.22,93.15,93.81,91.35,670940.0,-0.0137,ABC
2018-06-26,90.39,91.91,92.33,90.23,959740.0,-0.019799999999999998,ABC
2018-06-27,89.82,90.36,91.53,89.52,811700.0,-0.0063,ABC
2018-06-28,86.1,83.24,86.76,82.14,5020000.0,-0.0414,ABC
2018-06-29,85.27,86.16,86.56,84.38,1400000.0,-0.0096,ABC
2018-07-02,85.72,84.8,85.74,83.59,1260000.0,0.0053,ABC
2018-07-03,86.68,85.99,87.14,85.03,622630.0,0.011200000000000002,ABC
2018-07-05,87.2,86.36,87.27,85.9,871630.0,0.006,ABC
2018-07-06,87.97,87.61,88.14,86.83,1020000.0,0.0088,ABC
2018-07-09,88.25,88.3,89.55,87.97,1440000.0,0.0032,ABC
2018-07-10,88.14,88.94,89.01,87.88,843300.0,-0.0012,ABC
2018-07-11,87.14,87.11,87.38,85.62,1250000.0,-0.0113,ABC
2018-07-12,86.8,87.76,87.99,86.19,1480000.0,-0.0039000000000000003,ABC
2018-07-13,87.91,86.97,88.67,86.46,1160000.0,0.0128,ABC
2018-07-16,86.9,88.24,88.24,86.78,926840.0,-0.0115,ABC
2018-07-17,86.82,86.67,87.58,86.45,1100000.0,-0.0009,ABC
2018-07-18,86.33,86.85,87.54,86.08,813890.0,-0.005600000000000001,ABC
2018-07-19,85.56,86.26,86.38,83.51,2190000.0,-0.0089,ABC
2018-07-20,84.7,84.78,85.53,83.31,1230000.0,-0.0101,ABC
2018-07-23,84.75,84.72,85.72,84.7,670820.0,0.0006,ABC
