Date,Close,Open,High,Low,Volume,Change,Symbol
2010-01-04,25.04,25.58,25.59,24.64,7750000.0,-0.0032,AIG
2010-01-05,24.57,25.12,25.44,24.42,8920000.0,-0.018799999999999997,AIG
2010-01-06,24.41,24.59,24.63,24.09,7170000.0,-0.006500000000000001,AIG
2010-01-07,23.94,24.3,24.38,23.68,9240000.0,-0.019299999999999998,AIG
2010-01-08,24.58,23.99,25.3,23.97,12710000.0,0.026699999999999998,AIG
2010-01-11,24.82,24.99,25.36,24.33,10730000.0,0.0098,AIG
2010-01-12,23.84,24.79,25.26,23.68,9050000.0,-0.0395,AIG
2010-01-13,24.35,24.29,24.51,23.75,6140000.0,0.021400000000000002,AIG
2010-01-14,23.96,24.06,24.2,23.77,6150000.0,-0.016,AIG
2010-01-15,23.51,23.93,24.0,23.49,5550000.0,-0.018799999999999997,AIG
2010-01-19,23.67,23.5,24.77,22.86,18190000.0,0.0068000000000000005,AIG
2010-01-20,23.42,23.51,24.38,23.27,6920000.0,-0.0106,AIG
2010-01-21,23.08,23.47,24.11,22.97,8020000.0,-0.014499999999999999,AIG
2010-01-22,22.2,23.2,23.25,22.08,5910000.0,-0.0381,AIG
2010-01-25,21.86,22.4,22.62,21.36,6680000.0,-0.015300000000000001,AIG
2010-01-26,20.44,21.53,21.73,20.17,8590000.0,-0.065,AIG
2010-01-27,20.87,20.51,21.1,19.3,16440000.000000002,0.021,AIG
2010-01-28,20.24,21.66,21.8,20.15,7120000.0,-0.0302,AIG
2010-01-29,20.3,20.55,20.73,20.17,5710000.0,0.003,AIG
2010-02-01,20.07,20.43,20.53,19.64,4640000.0,-0.0113,AIG
2010-02-02,20.08,20.1,20.44,19.83,5880000.0,0.0005,AIG
2010-02-03,19.93,20.01,20.48,19.86,4820000.0,-0.0075,AIG
2010-02-04,18.93,19.71,19.89,18.9,5960000.0,-0.050199999999999995,AIG
2010-02-05,18.77,18.85,18.95,18.05,7500000.0,-0.0085,AIG
2010-02-08,18.57,18.77,19.1,18.26,4290000.0,-0.010700000000000001,AIG
2010-02-09,19.39,18.75,19.94,18.56,9710000.0,0.044199999999999996,AIG
2010-02-10,22.55,19.45,23.16,19.23,31630000.0,0.163,AIG
2010-02-11,22.03,22.2,24.0,21.8,31150000.0,-0.0231,AIG
2010-02-12,22.47,21.63,22.72,21.26,13400000.0,0.02,AIG
2010-02-16,22.98,22.98,23.37,22.66,6900000.0,0.0227,AIG
2010-02-17,22.54,23.06,23.32,22.34,5370000.0,-0.0191,AIG
2010-02-18,22.38,22.13,23.06,21.99,6490000.0,-0.0070999999999999995,AIG
2010-02-19,22.23,22.23,22.48,22.07,4670000.0,-0.0067,AIG
2010-02-22,23.82,22.53,24.55,22.26,24150000.0,0.07150000000000001,AIG
2010-02-23,22.42,23.64,24.1,22.27,13610000.0,-0.0588,AIG
2010-02-24,23.45,22.75,23.84,22.5,12130000.0,0.045899999999999996,AIG
2010-02-25,23.05,22.99,23.92,22.62,12380000.0,-0.0171,AIG
2010-02-26,20.75,21.5,21.73,20.7,27130000.0,-0.0998,AIG
2010-03-01,21.6,23.42,23.44,21.6,29660000.0,0.040999999999999995,AIG
2010-03-02,20.97,21.72,21.73,20.53,18190000.0,-0.0292,AIG
2010-03-03,20.84,21.04,21.32,20.56,10420000.0,-0.0062,AIG
2010-03-04,22.38,21.02,22.86,20.94,25800000.0,0.0739,AIG
2010-03-05,23.53,22.57,23.98,22.4,19520000.0,0.051399999999999994,AIG
2010-03-08,24.38,24.66,25.34,24.0,27310000.0,0.0361,AIG
2010-03-09,27.45,23.78,29.16,23.53,57920000.0,0.1259,AIG
2010-03-10,30.36,28.4,31.28,27.81,70650000.0,0.106,AIG
2010-03-11,29.41,31.51,32.21,29.34,46580000.0,-0.0313,AIG
2010-03-12,28.68,30.24,30.54,28.34,21010000.0,-0.0248,AIG
2010-03-15,28.75,28.91,30.47,27.9,43670000.0,0.0024,AIG
2010-03-16,28.16,29.15,30.14,27.93,35340000.0,-0.020499999999999997,AIG
2010-03-17,28.83,28.89,29.05,28.33,18020000.0,0.023799999999999998,AIG
2010-03-18,29.02,29.19,29.64,28.57,14330000.0,0.0066,AIG
2010-03-19,29.16,29.26,29.34,28.36,11330000.0,0.0048,AIG
2010-03-22,27.97,28.33,28.64,27.73,14770000.0,-0.0408,AIG
2010-03-23,27.88,28.19,28.32,27.02,13090000.0,-0.0032,AIG
2010-03-24,27.79,27.66,28.76,27.6,13760000.0,-0.0032,AIG
2010-03-25,28.91,28.24,29.88,27.93,29450000.0,0.0403,AIG
2010-03-26,28.66,29.18,29.83,28.37,13030000.0,-0.0086,AIG
2010-03-29,28.86,29.03,29.32,28.37,10840000.0,0.006999999999999999,AIG
2010-03-30,28.64,29.21,29.45,28.55,8620000.0,-0.0076,AIG
2010-03-31,28.6,28.44,29.09,28.15,8119999.999999999,-0.0014000000000000002,AIG
2010-04-01,28.58,28.69,28.9,28.33,6250000.0,-0.0007000000000000001,AIG
2010-04-05,29.37,28.85,29.7,28.4,16280000.000000002,0.0276,AIG
2010-04-06,30.09,29.73,30.48,29.49,19970000.0,0.0245,AIG
2010-04-07,33.25,30.6,33.43,30.09,34530000.0,0.105,AIG
2010-04-08,31.49,33.44,34.18,31.43,33900000.0,-0.0529,AIG
2010-04-09,31.95,31.97,32.93,31.62,22290000.0,0.0146,AIG
2010-04-12,34.53,32.78,35.19,32.4,45910000.0,0.0808,AIG
2010-04-13,33.64,34.61,34.97,33.43,22120000.0,-0.0258,AIG
2010-04-14,33.29,33.84,34.32,33.09,15230000.0,-0.0104,AIG
2010-04-15,33.49,33.49,34.51,33.09,16970000.0,0.006,AIG
2010-04-16,32.8,33.56,35.15,32.69,30410000.0,-0.0206,AIG
2010-04-19,32.75,32.46,33.4,32.11,14820000.0,-0.0015,AIG
2010-04-20,34.88,33.19,35.29,32.98,27570000.0,0.065,AIG
2010-04-21,34.27,34.99,35.94,33.93,24120000.0,-0.0175,AIG
2010-04-22,36.23,34.13,36.44,33.68,29670000.0,0.0572,AIG
2010-04-23,37.18,36.64,37.7,36.32,19750000.0,0.0262,AIG
2010-04-26,37.29,37.55,38.45,37.03,17040000.0,0.003,AIG
