Date,Close,Open,High,Low,Volume,Change,Symbol
2010-01-04,25.92,25.63,26.06,25.53,3020000.0,0.0229,AKAM
2010-01-05,26.69,25.97,26.73,25.77,5420000.0,0.0297,AKAM
2010-01-06,26.47,26.7,26.86,26.4,2870000.0,-0.008199999999999999,AKAM
2010-01-07,26.48,26.65,26.7,26.12,2920000.0,0.0004,AKAM
2010-01-08,26.48,26.44,26.73,26.26,2110000.0,0.0,AKAM
2010-01-11,26.39,26.53,26.72,25.98,2900000.0,-0.0034000000000000002,AKAM
2010-01-12,26.16,26.13,26.32,25.78,3250000.0,-0.0087,AKAM
2010-01-13,26.04,26.2,26.4,25.63,3140000.0,-0.0046,AKAM
2010-01-14,26.88,26.04,27.0,26.04,4210000.0,0.0323,AKAM
2010-01-15,26.61,26.91,26.91,26.44,3460000.0,-0.01,AKAM
2010-01-19,27.22,26.51,27.27,26.43,6510000.0,0.0229,AKAM
2010-01-20,26.95,27.02,27.28,26.7,4780000.0,-0.009899999999999999,AKAM
2010-01-21,26.72,27.15,27.28,26.5,3520000.0,-0.0085,AKAM
2010-01-22,25.82,26.58,26.68,25.74,4260000.0,-0.0337,AKAM
2010-01-25,25.67,26.02,26.15,25.17,3760000.0,-0.0058,AKAM
2010-01-26,25.67,25.56,25.81,25.45,3570000.0,0.0,AKAM
2010-01-27,25.83,25.55,26.0,25.45,2720000.0,0.0062,AKAM
2010-01-28,25.31,25.93,25.94,25.08,4000000.0,-0.020099999999999996,AKAM
2010-01-29,24.7,25.59,25.85,24.5,5120000.0,-0.0241,AKAM
2010-02-01,26.18,25.93,26.24,25.6,4990000.0,0.0599,AKAM
2010-02-02,26.37,26.41,26.5,25.96,3230000.0,0.0073,AKAM
2010-02-03,26.5,26.54,26.82,26.13,5040000.0,0.0049,AKAM
2010-02-04,25.51,25.58,26.17,25.35,7360000.0,-0.0374,AKAM
2010-02-05,25.32,25.51,25.57,24.62,5720000.0,-0.0074,AKAM
2010-02-08,25.04,25.32,25.5,24.94,2540000.0,-0.0111,AKAM
2010-02-09,25.27,25.39,25.55,24.91,3460000.0,0.0092,AKAM
2010-02-10,24.96,25.17,25.31,24.76,2720000.0,-0.0123,AKAM
2010-02-11,25.37,24.95,25.5,24.64,2670000.0,0.016399999999999998,AKAM
2010-02-12,25.33,25.11,25.43,24.83,2790000.0,-0.0016,AKAM
2010-02-16,25.65,25.49,25.74,25.34,2340000.0,0.0126,AKAM
2010-02-17,25.69,25.72,25.87,25.44,1990000.0,0.0016,AKAM
2010-02-18,25.73,25.57,25.83,25.5,1980000.0,0.0016,AKAM
2010-02-19,25.89,25.62,25.99,25.61,2510000.0,0.0062,AKAM
2010-02-22,25.88,25.94,26.1,25.75,2400000.0,-0.0004,AKAM
2010-02-23,25.63,25.76,25.96,25.48,2089999.9999999998,-0.0097,AKAM
2010-02-24,25.76,25.66,25.97,25.52,1630000.0,0.0051,AKAM
2010-02-25,25.66,25.41,25.73,25.17,2280000.0,-0.0039000000000000003,AKAM
2010-02-26,26.3,25.74,26.45,25.52,4170000.0,0.024900000000000002,AKAM
2010-03-01,27.19,26.53,27.27,26.53,2990000.0,0.0338,AKAM
2010-03-02,27.45,27.5,27.68,27.25,3100000.0,0.0096,AKAM
2010-03-03,28.12,28.04,28.75,27.75,7600000.0,0.024399999999999998,AKAM
2010-03-04,28.27,28.2,28.43,27.81,3770000.0,0.0053,AKAM
2010-03-05,29.2,28.45,29.34,28.25,4290000.0,0.0329,AKAM
2010-03-08,29.45,29.41,29.65,29.26,4950000.0,0.0086,AKAM
2010-03-09,30.41,29.56,30.45,29.43,7950000.0,0.0326,AKAM
2010-03-10,31.27,30.52,31.33,30.27,7390000.0,0.028300000000000002,AKAM
2010-03-11,31.41,31.19,31.44,30.88,4520000.0,0.0045000000000000005,AKAM
2010-03-12,31.94,31.57,32.23,31.15,8520000.0,0.0169,AKAM
2010-03-15,31.28,31.37,31.54,30.81,6040000.0,-0.0207,AKAM
2010-03-16,31.65,31.36,31.73,31.13,4410000.0,0.0118,AKAM
2010-03-17,32.08,31.7,32.46,31.6,3360000.0,0.013600000000000001,AKAM
2010-03-18,31.94,32.21,32.27,31.72,4059999.9999999995,-0.0044,AKAM
2010-03-19,31.39,32.08,32.08,31.32,4270000.0,-0.0172,AKAM
2010-03-22,31.26,30.39,31.26,30.02,6050000.0,-0.0040999999999999995,AKAM
2010-03-23,31.52,31.38,31.59,31.04,3830000.0,0.0083,AKAM
2010-03-24,31.56,31.38,31.69,31.23,4740000.0,0.0013,AKAM
2010-03-25,31.51,31.9,32.16,31.48,3890000.0,-0.0016,AKAM
2010-03-26,31.68,31.77,32.1,31.52,3100000.0,0.0054,AKAM
2010-03-29,31.68,31.81,32.18,31.63,2460000.0,0.0,AKAM
2010-03-30,31.61,31.71,31.94,31.51,2920000.0,-0.0022,AKAM
2010-03-31,31.42,31.43,31.68,31.3,2240000.0,-0.006,AKAM
2010-04-01,31.41,31.63,31.88,31.13,2029999.9999999998,-0.0003,AKAM
2010-04-05,32.45,31.44,32.59,31.44,3080000.0,0.0331,AKAM
2010-04-06,32.83,32.44,33.0,32.26,3260000.0,0.011699999999999999,AKAM
2010-04-07,32.66,32.66,32.83,32.38,3830000.0,-0.0052,AKAM
2010-04-08,32.6,32.56,32.64,32.22,2570000.0,-0.0018,AKAM
2010-04-09,33.21,32.6,33.31,32.55,2880000.0,0.0187,AKAM
2010-04-12,33.51,33.37,33.79,33.24,2610000.0,0.009000000000000001,AKAM
2010-04-13,33.46,33.53,33.59,33.14,1940000.0,-0.0015,AKAM
2010-04-14,34.16,33.7,34.25,33.64,2370000.0,0.0209,AKAM
2010-04-15,34.12,34.16,34.76,34.04,3580000.0,-0.0012,AKAM
2010-04-16,33.22,33.95,34.09,32.98,5530000.0,-0.0264,AKAM
2010-04-19,32.47,33.0,33.36,32.03,5200000.0,-0.0226,AKAM
2010-04-20,33.15,32.81,33.23,32.7,2490000.0,0.0209,AKAM
2010-04-21,33.58,33.48,33.69,33.19,2540000.0,0.013000000000000001,AKAM
2010-04-22,34.35,33.2,34.45,33.0,3800000.0,0.0229,AKAM
2010-04-23,34.22,34.35,34.79,33.97,2780000.0,-0.0038,AKAM
2010-04-26,34.67,34.29,34.86,34.13,2760000.0,0.0132,AKAM
2010-04-27,33.7,34.52,34.84,33.56,4000000.0,-0.027999999999999997,AKAM
2010-04-28,33.18,33.55,33.66,32.89,4930000.0,-0.0154,AKAM
2010-04-29,39.63,36.74,40.1,36.55,16670000.000000002,0.19440000000000002,AKAM
2010-04-30,38.83,39.63,39.79,38.61,5950000.0,-0.0202,AKAM
2010-05-03,39.76,39.33,40.18,39.3,4139999.9999999995,0.024,AKAM
2010-05-04,38.39,39.0,39.15,37.9,3960000.0,-0.0345,AKAM
2010-05-05,38.1,37.59,38.83,37.39,4380000.0,-0.0076,AKAM
2010-05-06,37.39,38.02,38.55,33.95,6480000.0,-0.018600000000000002,AKAM
2010-05-07,35.71,36.81,36.92,34.4,8250000.0,-0.0449,AKAM
2010-05-10,38.38,37.75,39.21,35.56,5500000.0,0.0748,AKAM
2010-05-11,38.52,37.87,39.63,37.5,3760000.0,0.0036,AKAM
2010-05-12,39.42,38.55,39.6,38.55,3050000.0,0.023399999999999997,AKAM
2010-05-13,39.75,39.47,40.88,39.25,5090000.0,0.0084,AKAM
2010-05-14,38.9,39.25,39.37,38.1,2710000.0,-0.021400000000000002,AKAM
2010-05-17,41.03,38.92,41.16,38.87,8029999.999999999,0.0548,AKAM
2010-05-18,40.48,41.84,42.69,40.39,6040000.0,-0.0134,AKAM
2010-05-19,39.95,39.81,40.88,39.08,4030000.0000000005,-0.0131,AKAM
2010-05-20,37.63,38.77,38.8,37.14,5490000.0,-0.0581,AKAM
2010-05-21,38.93,36.55,39.66,36.3,4620000.0,0.0345,AKAM
2010-05-24,39.03,39.09,39.74,38.77,3020000.0,0.0026,AKAM
2010-05-25,38.91,37.0,38.91,36.79,3970000.0,-0.0031,AKAM
2010-05-26,38.85,39.6,40.39,38.67,3760000.0,-0.0015,AKAM
2010-05-27,40.22,39.47,40.22,39.02,3820000.0,0.0353,AKAM
2010-05-28,39.72,40.32,40.5,39.03,3460000.0,-0.0124,AKAM
2010-06-01,39.5,39.14,40.67,39.03,3070000.0,-0.0055000000000000005,AKAM
2010-06-02,41.27,39.45,41.29,39.18,4440000.0,0.044800000000000006,AKAM
2010-06-03,43.08,41.94,43.5,41.39,6320000.0,0.043899999999999995,AKAM
2010-06-04,41.91,42.1,43.39,41.55,6240000.0,-0.027200000000000002,AKAM
2010-06-07,41.22,42.02,42.93,41.13,4410000.0,-0.0165,AKAM
2010-06-08,40.52,41.19,42.2,39.79,5820000.0,-0.017,AKAM
2010-06-09,41.82,41.14,42.99,41.11,6140000.0,0.0321,AKAM
2010-06-10,42.83,42.98,43.9,41.87,5550000.0,0.0242,AKAM
2010-06-11,44.3,42.32,44.4,42.16,4250000.0,0.034300000000000004,AKAM
2010-06-14,43.68,44.48,44.5,43.26,5930000.0,-0.013999999999999999,AKAM
2010-06-15,45.04,43.8,45.1,43.74,5020000.0,0.0311,AKAM
2010-06-16,45.13,44.76,45.85,44.56,4300000.0,0.002,AKAM
2010-06-17,45.59,45.46,45.73,44.57,3780000.0,0.0102,AKAM
2010-06-18,45.72,45.54,46.19,45.27,3940000.0,0.0029,AKAM
2010-06-21,45.27,46.31,46.72,45.01,3540000.0,-0.0098,AKAM
2010-06-22,44.35,45.85,46.25,44.28,4590000.0,-0.0203,AKAM
2010-06-23,45.3,44.44,45.55,43.37,4740000.0,0.021400000000000002,AKAM
2010-06-24,44.27,45.0,45.74,43.95,5150000.0,-0.0227,AKAM
2010-06-25,45.09,44.39,45.85,43.86,5850000.0,0.018500000000000003,AKAM
2010-06-28,44.93,45.58,45.68,44.6,3430000.0,-0.0034999999999999996,AKAM
2010-06-29,41.04,43.79,43.79,40.72,8390000.0,-0.0866,AKAM
2010-06-30,40.57,41.27,42.18,40.44,4920000.0,-0.0115,AKAM
2010-07-01,40.35,40.57,40.95,39.13,5770000.0,-0.0054,AKAM
2010-07-02,39.57,40.47,40.61,39.45,2850000.0,-0.019299999999999998,AKAM
2010-07-06,40.26,40.49,41.75,39.95,4770000.0,0.0174,AKAM
2010-07-07,42.73,40.48,42.82,40.34,4880000.0,0.061399999999999996,AKAM
2010-07-08,43.0,43.3,43.95,42.46,3370000.0,0.0063,AKAM
2010-07-09,43.47,42.93,43.84,42.58,2690000.0,0.0109,AKAM
2010-07-12,42.98,43.39,44.31,42.82,3540000.0,-0.0113,AKAM
2010-07-13,43.58,43.65,44.04,42.69,3790000.0,0.013999999999999999,AKAM
2010-07-14,43.99,43.53,44.88,43.5,4190000.0000000005,0.009399999999999999,AKAM
2010-07-15,44.23,43.9,44.39,43.59,4230000.0,0.0055000000000000005,AKAM
2010-07-16,42.69,44.0,44.1,42.59,3890000.0,-0.0348,AKAM
2010-07-19,42.63,42.76,42.97,42.0,3110000.0,-0.0014000000000000002,AKAM
2010-07-20,42.89,41.77,42.97,41.23,4300000.0,0.0060999999999999995,AKAM
2010-07-21,43.08,43.37,43.86,42.6,3680000.0,0.0044,AKAM
2010-07-22,44.28,43.55,44.5,43.5,3050000.0,0.0279,AKAM
2010-07-23,45.05,43.99,45.13,43.78,3240000.0,0.0174,AKAM
2010-07-26,45.37,45.21,45.99,45.0,3120000.0,0.0070999999999999995,AKAM
2010-07-27,44.33,45.81,45.89,44.12,3150000.0,-0.0229,AKAM
2010-07-28,44.03,44.35,44.98,43.55,4450000.0,-0.0068000000000000005,AKAM
2010-07-29,38.35,40.86,40.9,38.27,23450000.0,-0.129,AKAM
2010-07-30,38.36,37.6,38.59,37.21,6980000.0,0.0003,AKAM
2010-08-02,37.2,38.88,38.95,36.69,8680000.0,-0.0302,AKAM
2010-08-03,38.51,37.83,38.75,37.56,7240000.0,0.0352,AKAM
2010-08-04,39.03,38.75,39.24,38.25,4480000.0,0.013500000000000002,AKAM
2010-08-05,38.99,38.8,39.12,38.25,2970000.0,-0.001,AKAM
2010-08-06,39.9,38.5,39.97,38.44,4490000.0,0.0233,AKAM
2010-08-09,41.15,40.0,41.32,39.93,4970000.0,0.0313,AKAM
2010-08-10,43.15,41.43,43.3,41.3,9260000.0,0.048600000000000004,AKAM
2010-08-11,42.39,42.33,42.58,41.51,5810000.0,-0.0176,AKAM
2010-08-12,43.93,41.04,44.01,40.63,9030000.0,0.0363,AKAM
2010-08-13,44.22,43.66,44.72,43.33,6050000.0,0.0066,AKAM
2010-08-16,43.89,43.63,44.38,43.19,3740000.0,-0.0075,AKAM
2010-08-17,44.39,44.25,44.5,43.41,4340000.0,0.011399999999999999,AKAM
2010-08-18,44.05,44.49,44.6,43.7,5460000.0,-0.0077,AKAM
2010-08-19,45.01,43.8,45.39,43.75,6400000.0,0.0218,AKAM
2010-08-20,47.86,45.0,48.18,44.94,12100000.0,0.0633,AKAM
2010-08-23,46.73,48.19,48.63,46.58,6040000.0,-0.0236,AKAM
2010-08-24,45.61,45.66,46.13,44.37,6050000.0,-0.024,AKAM
2010-08-25,46.82,45.03,47.07,45.03,5110000.0,0.0265,AKAM
