Date,Close,Open,High,Low,Volume,Change,Symbol
2010-01-04,38.09,36.91,38.24,36.9,712900.0,0.0473,ALB
2010-01-05,38.02,38.7,38.7,37.6,398900.0,-0.0018,ALB
2010-01-06,38.09,37.96,38.48,37.89,717120.0,0.0018,ALB
2010-01-07,37.82,38.03,38.17,37.8,603690.0,-0.0070999999999999995,ALB
2010-01-08,38.39,37.66,38.57,37.66,758990.0,0.0151,ALB
2010-01-11,38.22,38.64,38.79,37.86,762920.0,-0.0044,ALB
2010-01-12,37.69,37.89,38.04,37.4,323380.0,-0.0139,ALB
2010-01-13,38.07,37.9,38.11,37.49,330470.0,0.0101,ALB
2010-01-14,37.92,38.01,38.29,37.71,221020.0,-0.0039000000000000003,ALB
2010-01-15,37.89,38.8,38.89,37.64,450310.0,-0.0008,ALB
2010-01-19,38.37,37.97,38.37,37.89,474020.0,0.0127,ALB
2010-01-20,37.96,37.91,38.08,37.59,360890.0,-0.010700000000000001,ALB
2010-01-21,37.12,37.89,38.29,37.12,624680.0,-0.022099999999999998,ALB
2010-01-22,36.09,37.0,37.29,35.97,607770.0,-0.0277,ALB
2010-01-25,36.5,36.63,37.1,36.4,831490.0,0.011399999999999999,ALB
2010-01-26,37.37,37.11,38.78,37.08,1160000.0,0.023799999999999998,ALB
2010-01-27,36.86,37.26,37.62,36.55,668970.0,-0.013600000000000001,ALB
2010-01-28,36.44,36.95,37.04,36.01,545240.0,-0.011399999999999999,ALB
2010-01-29,35.72,36.56,36.87,35.72,852130.0,-0.019799999999999998,ALB
2010-02-01,36.25,35.95,36.35,35.8,1010000.0,0.0148,ALB
2010-02-02,36.9,36.38,37.12,35.99,951730.0,0.0179,ALB
2010-02-03,36.63,36.78,37.3,36.55,704030.0,-0.0073,ALB
2010-02-04,35.39,36.22,36.48,35.39,485950.0,-0.0339,ALB
2010-02-05,35.16,35.48,35.68,34.49,759360.0,-0.006500000000000001,ALB
2010-02-08,34.86,35.2,35.3,34.56,682600.0,-0.0085,ALB
2010-02-09,35.32,35.58,35.65,34.93,440410.0,0.0132,ALB
2010-02-10,35.38,35.11,35.53,34.59,417490.0,0.0017000000000000001,ALB
2010-02-11,35.87,35.3,35.96,34.96,407090.0,0.0138,ALB
2010-02-12,36.6,35.41,36.65,35.32,788620.0,0.0204,ALB
2010-02-16,37.71,36.92,37.71,36.77,633530.0,0.030299999999999997,ALB
2010-02-17,37.77,37.88,38.04,37.52,946430.0,0.0016,ALB
2010-02-18,37.87,37.77,38.11,37.76,708250.0,0.0026,ALB
2010-02-19,38.13,37.84,38.29,37.7,462460.0,0.0069,ALB
2010-02-22,38.14,38.34,38.34,37.82,285350.0,0.0003,ALB
2010-02-23,36.97,37.92,38.2,36.74,710840.0,-0.030699999999999998,ALB
2010-02-24,36.88,37.04,37.36,36.66,734370.0,-0.0024,ALB
2010-02-25,36.91,36.43,37.08,36.11,648620.0,0.0008,ALB
2010-02-26,37.49,37.05,37.53,36.67,632560.0,0.015700000000000002,ALB
2010-03-01,39.44,37.56,39.46,37.56,1210000.0,0.052000000000000005,ALB
2010-03-02,40.33,39.86,40.86,39.85,1360000.0,0.0226,ALB
2010-03-03,40.35,40.29,40.63,40.09,597760.0,0.0005,ALB
2010-03-04,40.29,40.32,40.74,40.08,338150.0,-0.0015,ALB
2010-03-05,41.17,40.52,41.44,40.34,565390.0,0.0218,ALB
2010-03-08,41.25,41.08,41.77,41.08,466470.0,0.0019,ALB
2010-03-09,41.0,41.0,41.29,40.6,359930.0,-0.0060999999999999995,ALB
2010-03-10,41.33,40.91,41.49,40.7,358250.0,0.008,ALB
2010-03-11,41.4,40.91,41.4,40.46,360050.0,0.0017000000000000001,ALB
2010-03-12,41.94,41.66,42.09,41.66,863280.0,0.013000000000000001,ALB
2010-03-15,42.2,41.85,42.42,41.75,760180.0,0.0062,ALB
2010-03-16,42.6,42.41,42.72,42.3,924800.0,0.0095,ALB
2010-03-17,42.83,42.78,43.0,42.67,485590.0,0.0054,ALB
2010-03-18,42.85,42.7,43.0,42.45,331430.0,0.0005,ALB
2010-03-19,42.24,43.01,43.11,42.17,646160.0,-0.014199999999999999,ALB
2010-03-22,43.05,41.97,43.2,41.8,430950.0,0.0192,ALB
2010-03-23,43.2,43.17,43.38,42.66,420380.0,0.0034999999999999996,ALB
2010-03-24,42.51,43.04,43.12,42.4,428630.0,-0.016,ALB
2010-03-25,41.83,42.93,43.14,41.8,455080.0,-0.016,ALB
2010-03-26,41.47,41.87,42.24,41.01,868960.0,-0.0086,ALB
2010-03-29,42.15,41.71,42.6,41.71,745450.0,0.016399999999999998,ALB
2010-03-30,42.53,42.29,42.65,41.94,427820.0,0.009000000000000001,ALB
2010-03-31,42.63,42.4,43.8,42.38,993670.0,0.0024,ALB
2010-04-01,42.87,43.16,43.44,42.46,571310.0,0.005600000000000001,ALB
2010-04-05,43.16,42.93,43.24,42.78,467240.0,0.0068000000000000005,ALB
2010-04-06,43.62,43.01,43.67,42.78,637940.0,0.010700000000000001,ALB
2010-04-07,43.61,43.65,44.05,43.37,540230.0,-0.0002,ALB
2010-04-08,43.68,43.37,43.7,42.9,311520.0,0.0016,ALB
2010-04-09,44.31,43.76,44.31,43.44,333040.0,0.0144,ALB
2010-04-12,43.51,44.37,44.5,43.31,454280.0,-0.0181,ALB
2010-04-13,43.14,43.37,43.38,42.93,614190.0,-0.0085,ALB
2010-04-14,44.52,43.44,44.61,43.34,674740.0,0.032,ALB
2010-04-15,44.51,44.39,44.75,44.18,487600.0,-0.0002,ALB
2010-04-16,43.9,44.39,44.86,43.82,657680.0,-0.0137,ALB
2010-04-19,43.73,43.63,43.86,42.88,451090.0,-0.0039000000000000003,ALB
2010-04-20,44.2,44.14,44.28,43.75,368270.0,0.010700000000000001,ALB
2010-04-21,43.82,44.35,44.4,43.74,778650.0,-0.0086,ALB
2010-04-22,43.92,43.49,44.14,43.43,1310000.0,0.0023,ALB
2010-04-23,44.66,44.11,44.77,43.39,1210000.0,0.0168,ALB
2010-04-26,44.79,44.55,45.32,44.43,721140.0,0.0029,ALB
