Date,Close,Open,High,Low,Volume,Change,Symbol
2010-01-04,17.16,17.09,17.42,17.09,876670.0,0.009399999999999999,AME
2010-01-05,17.08,17.18,17.22,17.06,714010.0,-0.004699999999999999,AME
2010-01-06,17.1,17.11,17.17,17.04,725590.0,0.0012,AME
2010-01-07,17.14,16.98,17.19,16.97,799520.0,0.0023,AME
2010-01-08,17.48,17.14,17.49,16.99,991470.0,0.019799999999999998,AME
2010-01-11,17.58,17.49,17.6,17.32,446780.0,0.005699999999999999,AME
2010-01-12,17.22,17.44,17.48,17.2,675120.0,-0.020499999999999997,AME
2010-01-13,17.27,17.21,17.28,17.08,569140.0,0.0029,AME
2010-01-14,17.27,17.17,17.47,17.16,428270.0,0.0,AME
2010-01-15,17.08,17.28,17.37,17.02,320690.0,-0.011000000000000001,AME
2010-01-19,17.19,17.12,17.45,17.11,718630.0,0.0064,AME
2010-01-20,17.03,17.07,17.14,16.93,631110.0,-0.009300000000000001,AME
2010-01-21,16.98,17.0,17.24,16.88,827430.0,-0.0029,AME
2010-01-22,16.61,17.02,17.05,16.58,677600.0,-0.0218,AME
2010-01-25,16.5,16.7,16.71,16.42,1800000.0,-0.0066,AME
2010-01-26,16.29,16.53,16.53,16.04,2160000.0,-0.0127,AME
2010-01-27,16.09,16.25,16.33,15.92,1090000.0,-0.0123,AME
2010-01-28,16.2,16.09,16.25,15.96,1160000.0,0.0068000000000000005,AME
2010-01-29,16.2,16.3,16.64,16.2,1730000.0,0.0,AME
2010-02-01,16.34,16.28,16.44,16.26,869430.0,0.0086,AME
2010-02-02,16.57,16.31,16.65,16.26,980990.0,0.0141,AME
2010-02-03,16.53,16.49,16.71,16.41,715270.0,-0.0024,AME
2010-02-04,16.07,16.38,16.4,16.07,1070000.0,-0.0278,AME
2010-02-05,16.13,16.06,16.16,15.84,1220000.0,0.0037,AME
2010-02-08,16.12,16.09,16.3,16.0,1080000.0,-0.0006,AME
2010-02-09,16.34,16.26,16.4,16.19,972830.0,0.013600000000000001,AME
2010-02-10,16.31,16.26,16.51,16.25,890870.0,-0.0018,AME
2010-02-11,16.56,16.32,16.59,16.28,737350.0,0.015300000000000001,AME
2010-02-12,16.73,16.44,16.74,16.29,970060.0,0.0103,AME
2010-02-16,16.9,16.83,16.92,16.79,794840.0,0.0102,AME
2010-02-17,16.87,16.92,17.04,16.76,674510.0,-0.0018,AME
2010-02-18,17.05,16.92,17.07,16.85,411480.0,0.010700000000000001,AME
2010-02-19,17.25,17.0,17.28,17.0,743830.0,0.011699999999999999,AME
2010-02-22,17.28,17.28,17.33,17.21,626920.0,0.0017000000000000001,AME
2010-02-23,16.96,17.2,17.3,16.92,578070.0,-0.018500000000000003,AME
2010-02-24,16.98,17.04,17.05,16.91,770160.0,0.0012,AME
2010-02-25,17.24,16.69,17.28,16.65,1330000.0,0.015300000000000001,AME
2010-02-26,17.35,17.3,17.39,17.18,1030000.0,0.0064,AME
2010-03-01,17.58,17.36,17.71,17.35,618730.0,0.013300000000000001,AME
2010-03-02,17.68,17.56,17.78,17.53,652600.0,0.005699999999999999,AME
2010-03-03,17.84,17.76,17.96,17.67,699750.0,0.009000000000000001,AME
2010-03-04,17.72,17.84,17.87,17.64,783680.0,-0.0067,AME
2010-03-05,17.76,17.75,17.79,17.66,989210.0,0.0023,AME
2010-03-08,17.66,17.7,17.78,17.58,596910.0,-0.005600000000000001,AME
2010-03-09,17.68,17.65,17.76,17.63,617240.0,0.0011,AME
2010-03-10,17.76,17.62,17.82,17.58,1280000.0,0.0045000000000000005,AME
2010-03-11,17.8,17.63,17.8,17.55,1040000.0,0.0023,AME
2010-03-12,17.84,17.83,17.86,17.65,820200.0,0.0022,AME
2010-03-15,17.75,17.83,17.9,17.6,593890.0,-0.005,AME
2010-03-16,17.68,17.76,17.8,17.59,1460000.0,-0.0039000000000000003,AME
2010-03-17,17.65,17.68,17.84,17.64,1150000.0,-0.0017000000000000001,AME
2010-03-18,17.61,17.64,17.69,17.46,1150000.0,-0.0023,AME
2010-03-19,17.56,17.62,17.63,17.42,1330000.0,-0.0028000000000000004,AME
2010-03-22,17.69,17.44,17.8,17.44,1640000.0,0.0074,AME
2010-03-23,17.86,17.75,17.9,17.64,1380000.0,0.0096,AME
2010-03-24,17.79,17.82,17.92,17.78,1820000.0,-0.0039000000000000003,AME
2010-03-25,17.63,17.84,17.92,17.63,1720000.0,-0.009000000000000001,AME
2010-03-26,17.74,17.63,17.84,17.62,1450000.0,0.0062,AME
2010-03-29,18.07,17.76,18.07,17.76,865470.0,0.018600000000000002,AME
2010-03-30,18.44,18.07,18.48,18.06,1750000.0,0.020499999999999997,AME
2010-03-31,18.43,18.44,18.6,18.31,1580000.0,-0.0005,AME
2010-04-01,18.61,18.53,18.8,18.51,1020000.0,0.0098,AME
2010-04-05,18.67,18.6,18.77,18.57,602040.0,0.0032,AME
2010-04-06,18.77,18.6,18.81,18.57,586420.0,0.0054,AME
2010-04-07,18.71,18.8,18.86,18.59,753440.0,-0.0032,AME
2010-04-08,18.83,18.69,18.83,18.54,670990.0,0.0064,AME
2010-04-09,18.86,18.84,18.89,18.74,632310.0,0.0016,AME
2010-04-12,18.88,18.93,18.93,18.79,433600.0,0.0011,AME
2010-04-13,18.87,18.84,18.93,18.77,609460.0,-0.0005,AME
2010-04-14,18.92,18.94,18.96,18.82,844880.0,0.0026,AME
2010-04-15,18.73,18.91,18.91,18.72,1120000.0,-0.01,AME
2010-04-16,18.57,18.68,18.83,18.54,1140000.0,-0.0085,AME
2010-04-19,18.48,18.58,18.64,18.39,916750.0,-0.0048,AME
2010-04-20,18.52,18.58,18.71,18.5,1120000.0,0.0022,AME
2010-04-21,19.08,19.03,19.1,18.56,3830000.0,0.0302,AME
2010-04-22,19.17,18.98,19.21,18.92,1310000.0,0.004699999999999999,AME
2010-04-23,19.35,19.12,19.43,19.04,925100.0,0.009399999999999999,AME
2010-04-26,19.22,19.36,19.43,19.2,1010000.0,-0.0067,AME
2010-04-27,19.17,19.53,19.56,19.12,1770000.0,-0.0026,AME
2010-04-28,19.37,19.72,19.72,19.3,1140000.0,0.0104,AME
2010-04-29,19.59,19.43,19.64,19.43,863790.0,0.011399999999999999,AME
2010-04-30,19.22,19.55,19.6,19.22,1000000.0,-0.0189,AME
2010-05-03,19.57,19.37,19.59,19.36,781920.0,0.0182,AME
2010-05-04,19.11,19.4,19.42,18.96,1200000.0,-0.0235,AME
2010-05-05,18.66,18.98,19.06,18.62,1180000.0,-0.0235,AME
2010-05-06,18.09,18.57,18.75,16.89,2089999.9999999998,-0.0305,AME
2010-05-07,17.88,18.06,18.45,17.8,2700000.0,-0.0116,AME
2010-05-10,18.92,18.28,18.93,18.14,1600000.0,0.0582,AME
2010-05-11,18.96,18.73,19.07,18.71,1400000.0,0.0021,AME
2010-05-12,19.32,19.01,19.33,18.91,920550.0,0.019,AME
2010-05-13,19.27,19.27,19.42,19.2,710020.0,-0.0026,AME
2010-05-14,19.15,19.16,19.19,18.82,1910000.0,-0.0062,AME
2010-05-17,19.16,19.22,19.31,18.89,2120000.0,0.0005,AME
2010-05-18,18.9,19.35,19.36,18.85,949210.0,-0.013600000000000001,AME
2010-05-19,18.44,18.78,18.85,18.24,1310000.0,-0.024300000000000002,AME
2010-05-20,18.11,18.0,18.37,17.93,2260000.0,-0.0179,AME
2010-05-21,18.04,17.82,18.2,17.82,2120000.0,-0.0039000000000000003,AME
2010-05-24,18.0,18.03,18.24,17.99,1030000.0,-0.0022,AME
2010-05-25,17.97,17.66,18.0,17.31,1710000.0,-0.0017000000000000001,AME
2010-05-26,17.81,18.01,18.24,17.75,1510000.0,-0.0089,AME
2010-05-27,18.41,18.12,18.41,17.99,1040000.0,0.0337,AME
