Date,Close,Open,High,Low,Volume,Change,Symbol
2018-01-22,139.24,137.69,139.24,137.41,1830000.0,0.0,AMT
2018-01-23,141.2,139.51,141.44,139.2,2920000.0,0.0141,AMT
2018-01-24,141.76,141.1,142.68,141.01,3060000.0,0.004,AMT
2018-01-25,142.96,142.46,143.06,141.5,2410000.0,0.0085,AMT
2018-01-26,145.13,143.14,145.13,142.84,2110000.0,0.0152,AMT
2018-01-29,144.33,144.9,145.99,143.68,3900000.0,-0.0055000000000000005,AMT
2018-01-30,145.15,143.88,145.66,142.84,2440000.0,0.005699999999999999,AMT
2018-01-31,147.7,145.41,148.84,145.24,3180000.0,0.0176,AMT
2018-02-01,147.06,148.02,149.36,146.54,2350000.0,-0.0043,AMT
2018-02-02,145.22,146.44,146.74,144.23,2470000.0,-0.0125,AMT
2018-02-05,142.04,144.14,146.29,141.77,3000000.0,-0.0219,AMT
2018-02-06,140.17,140.28,142.17,137.63,3820000.0,-0.0132,AMT
2018-02-07,140.0,139.85,142.33,139.24,2250000.0,-0.0012,AMT
2018-02-08,133.57,139.88,140.93,133.46,3890000.0,-0.045899999999999996,AMT
2018-02-09,136.05,134.35,136.93,130.37,3980000.0,0.018600000000000002,AMT
2018-02-12,136.23,136.99,137.23,133.83,3820000.0,0.0013,AMT
2018-02-13,136.31,136.03,136.92,134.86,3710000.0,0.0006,AMT
2018-02-14,135.48,135.03,135.9,132.62,4830000.0,-0.0060999999999999995,AMT
2018-02-15,136.22,135.56,136.93,133.04,3220000.0,0.0055000000000000005,AMT
2018-02-16,140.02,135.86,141.05,135.8,3020000.0,0.0279,AMT
2018-02-20,139.24,139.16,140.7,138.67,2220000.0,-0.005600000000000001,AMT
2018-02-21,137.44,139.43,140.25,137.34,2810000.0,-0.0129,AMT
2018-02-22,138.98,137.96,140.48,137.23,3080000.0,0.011200000000000002,AMT
2018-02-23,141.87,139.6,141.87,138.87,1930000.0,0.0208,AMT
2018-02-26,142.74,142.14,142.95,142.08,2210000.0,0.0060999999999999995,AMT
2018-02-27,140.7,142.72,142.99,135.81,4570000.0,-0.0143,AMT
2018-02-28,139.33,141.31,141.62,139.31,4019999.9999999995,-0.0097,AMT
2018-03-01,135.37,139.0,139.62,134.91,3180000.0,-0.028399999999999998,AMT
2018-03-02,134.0,134.63,134.75,132.02,3220000.0,-0.0101,AMT
2018-03-05,136.81,133.27,137.24,133.27,2490000.0,0.021,AMT
2018-03-06,138.88,136.73,140.43,136.21,3140000.0,0.0151,AMT
2018-03-07,140.0,137.99,140.84,137.63,2750000.0,0.008100000000000001,AMT
2018-03-08,142.74,140.51,142.87,140.11,3030000.0,0.0196,AMT
2018-03-09,143.58,142.67,144.32,142.53,2170000.0,0.0059,AMT
2018-03-12,145.08,143.31,145.7,143.31,2440000.0,0.0104,AMT
2018-03-13,146.25,145.32,150.12,145.32,2160000.0,0.008100000000000001,AMT
2018-03-14,146.46,146.5,147.32,145.59,2470000.0,0.0014000000000000002,AMT
2018-03-15,146.65,146.98,147.43,145.91,2140000.0,0.0013,AMT
2018-03-16,146.55,146.37,147.2,145.37,4059999.9999999995,-0.0007000000000000001,AMT
2018-03-19,145.12,146.26,146.62,144.02,2580000.0,-0.0098,AMT
