Date,Close,Open,High,Low,Volume,Change,Symbol
2010-01-04,59.75,58.69,59.81,58.38,4640000.0,0.025,ANTM
2010-01-05,60.4,60.59,61.25,60.17,8390000.0,0.0109,ANTM
2010-01-06,61.38,60.12,61.53,60.12,6450000.0,0.016200000000000003,ANTM
2010-01-07,63.66,61.68,63.78,61.23,6040000.0,0.0371,ANTM
2010-01-08,63.94,63.59,64.07,63.01,5270000.0,0.0044,ANTM
2010-01-11,64.31,64.28,64.88,63.87,4370000.0,0.0058,ANTM
2010-01-12,63.46,63.8,64.31,62.63,5810000.0,-0.0132,ANTM
2010-01-13,64.97,63.76,65.01,63.47,5560000.0,0.023799999999999998,ANTM
2010-01-14,66.22,64.95,66.48,64.68,5140000.0,0.0192,ANTM
2010-01-15,66.65,66.34,67.23,65.62,7040000.0,0.006500000000000001,ANTM
2010-01-19,68.06,67.82,69.49,67.39,12120000.0,0.0212,ANTM
2010-01-20,67.68,69.37,70.0,67.2,14640000.0,-0.005600000000000001,ANTM
2010-01-21,65.5,67.88,68.36,65.32,8140000.000000001,-0.0322,ANTM
2010-01-22,65.1,65.87,66.78,62.25,6920000.0,-0.0060999999999999995,ANTM
2010-01-25,65.55,65.45,66.46,65.17,5770000.0,0.0069,ANTM
2010-01-26,63.88,65.0,65.1,63.88,7410000.0,-0.0255,ANTM
2010-01-27,64.62,62.71,65.33,62.11,9360000.0,0.0116,ANTM
2010-01-28,64.42,65.0,66.47,64.34,8130000.000000001,-0.0031,ANTM
2010-01-29,63.72,64.47,64.75,63.71,4600000.0,-0.0109,ANTM
2010-02-01,64.2,64.1,64.88,62.6,3990000.0,0.0075,ANTM
2010-02-02,65.05,64.46,65.18,63.98,4179999.9999999995,0.0132,ANTM
2010-02-03,64.07,64.53,65.13,63.38,3810000.0,-0.0151,ANTM
2010-02-04,62.83,63.37,64.15,62.78,4610000.0,-0.0194,ANTM
2010-02-05,61.69,62.59,63.07,60.31,8630000.0,-0.0181,ANTM
2010-02-08,61.65,61.63,62.66,61.1,5380000.0,-0.0006,ANTM
2010-02-09,61.45,62.15,62.29,60.44,7750000.0,-0.0032,ANTM
2010-02-10,60.01,61.45,61.59,58.56,10420000.0,-0.023399999999999997,ANTM
2010-02-11,60.52,60.0,60.58,59.35,5830000.0,0.0085,ANTM
2010-02-12,59.33,59.83,59.85,59.06,5730000.0,-0.0197,ANTM
2010-02-16,58.46,59.28,59.57,56.99,9030000.0,-0.0147,ANTM
2010-02-17,59.7,58.55,61.09,58.55,9180000.0,0.0212,ANTM
2010-02-18,59.11,59.11,59.88,58.25,6170000.0,-0.009899999999999999,ANTM
2010-02-19,58.47,59.12,59.27,58.39,5990000.0,-0.0108,ANTM
2010-02-22,59.44,58.35,59.78,57.91,8010000.0,0.0166,ANTM
2010-02-23,59.01,59.32,59.76,58.54,5930000.0,-0.0072,ANTM
2010-02-24,60.14,59.34,60.37,58.5,6490000.0,0.0191,ANTM
2010-02-25,61.45,59.8,61.61,59.22,15280000.0,0.0218,ANTM
2010-02-26,61.87,61.49,62.99,61.49,7670000.0,0.0068000000000000005,ANTM
2010-03-01,62.06,62.49,63.46,61.2,6990000.0,0.0031,ANTM
2010-03-02,61.9,61.27,62.89,61.19,5510000.0,-0.0026,ANTM
2010-03-03,62.36,61.34,62.7,61.12,4410000.0,0.0074,ANTM
2010-03-04,61.23,62.23,62.23,60.07,8900000.0,-0.0181,ANTM
2010-03-05,62.25,61.28,62.31,61.17,4360000.0,0.0167,ANTM
2010-03-08,61.96,62.13,62.75,61.62,4420000.0,-0.004699999999999999,ANTM
2010-03-09,61.43,61.58,62.07,61.29,3650000.0,-0.0086,ANTM
2010-03-10,62.48,61.25,62.92,61.25,6000000.0,0.0171,ANTM
2010-03-11,63.55,62.41,63.73,62.07,6310000.0,0.0171,ANTM
2010-03-12,62.58,63.95,63.95,62.19,5540000.0,-0.015300000000000001,ANTM
2010-03-15,61.52,62.46,62.56,60.61,6410000.0,-0.0169,ANTM
2010-03-16,61.97,61.43,62.02,60.67,4710000.0,0.0073,ANTM
2010-03-17,61.94,62.15,62.38,61.03,6470000.0,-0.0005,ANTM
2010-03-18,63.82,61.69,64.3,60.82,10550000.0,0.0304,ANTM
2010-03-19,65.07,64.35,65.84,64.25,12460000.0,0.0196,ANTM
2010-03-22,64.39,65.21,66.33,64.12,8650000.0,-0.0105,ANTM
2010-03-23,63.61,64.37,64.53,62.94,5990000.0,-0.0121,ANTM
2010-03-24,63.4,63.31,64.17,63.09,5140000.0,-0.0033,ANTM
2010-03-25,63.59,63.9,64.26,63.01,3410000.0,0.003,ANTM
2010-03-26,63.05,63.81,63.91,63.03,3660000.0,-0.0085,ANTM
2010-03-29,64.19,63.3,64.38,63.03,4430000.0,0.0181,ANTM
2010-03-30,64.69,64.25,65.15,63.84,3620000.0,0.0078000000000000005,ANTM
2010-03-31,64.38,65.13,65.21,64.31,5290000.0,-0.0048,ANTM
2010-04-01,64.71,64.47,64.84,64.18,3530000.0,0.0051,ANTM
