Date,Close,Open,High,Low,Volume,Change,Symbol
2010-01-04,14.87,14.59,14.96,14.52,552300.0,0.028399999999999998,AOS
2010-01-05,14.68,14.86,14.86,14.62,603600.0,-0.0128,AOS
2010-01-06,14.69,14.67,14.81,14.6,331340.0,0.0007000000000000001,AOS
2010-01-07,14.73,14.71,14.85,14.62,281760.0,0.0027,AOS
2010-01-08,14.95,14.66,14.97,14.62,252140.0,0.0149,AOS
2010-01-11,14.88,14.98,15.0,14.81,282200.0,-0.004699999999999999,AOS
2010-01-12,14.77,14.79,14.91,14.57,243270.0,-0.0074,AOS
2010-01-13,14.69,14.81,14.87,14.56,337780.0,-0.0054,AOS
2010-01-14,14.76,14.68,14.95,14.68,259950.0,0.0048,AOS
2010-01-15,14.65,14.82,14.82,14.35,347060.0,-0.0075,AOS
2010-01-19,14.9,14.7,14.99,14.7,370390.0,0.0171,AOS
2010-01-20,14.99,14.83,15.03,14.61,531770.0,0.006,AOS
2010-01-21,14.47,14.98,15.04,14.29,545460.0,-0.0347,AOS
2010-01-22,14.31,14.46,14.58,14.24,597490.0,-0.0111,AOS
2010-01-25,14.28,14.39,14.57,14.18,896970.0,-0.0021,AOS
2010-01-26,14.13,14.84,14.84,14.02,925060.0,-0.0105,AOS
2010-01-27,14.6,14.4,14.68,14.03,1280000.0,0.0333,AOS
2010-01-28,14.39,14.68,14.71,14.28,523200.00000000006,-0.0144,AOS
2010-01-29,14.19,14.42,14.58,14.17,493300.0,-0.0139,AOS
2010-02-01,14.17,14.19,14.33,14.12,645760.0,-0.0014000000000000002,AOS
2010-02-02,14.19,14.17,14.33,14.08,532930.0,0.0014000000000000002,AOS
2010-02-03,14.22,14.1,14.33,14.1,213350.0,0.0021,AOS
2010-02-04,13.82,14.12,14.16,13.77,398830.0,-0.0281,AOS
2010-02-05,13.9,13.83,14.13,13.7,754800.0,0.0058,AOS
2010-02-08,13.98,13.99,14.19,13.74,476420.0,0.0058,AOS
2010-02-09,14.33,14.17,14.45,14.1,513200.00000000006,0.025,AOS
2010-02-10,14.28,14.25,14.39,14.16,681530.0,-0.0034999999999999996,AOS
2010-02-11,14.53,14.23,14.65,14.1,473800.0,0.0175,AOS
2010-02-12,14.63,14.43,14.82,14.36,509010.0,0.0069,AOS
2010-02-16,14.66,14.72,14.82,14.6,485740.0,0.0021,AOS
2010-02-17,14.56,14.67,14.72,14.52,462740.0,-0.0068000000000000005,AOS
2010-02-18,14.83,14.58,14.84,14.58,374670.0,0.018500000000000003,AOS
2010-02-19,14.89,14.84,15.1,14.8,611740.0,0.004,AOS
2010-02-22,14.98,14.95,15.0,14.81,334040.0,0.006,AOS
2010-02-23,14.86,15.0,15.0,14.81,594420.0,-0.008,AOS
2010-02-24,15.08,14.93,15.08,14.91,551350.0,0.0148,AOS
2010-02-25,15.08,14.88,15.08,14.76,365100.0,0.0,AOS
2010-02-26,15.1,15.08,15.18,14.97,1020000.0,0.0013,AOS
2010-03-01,15.3,15.18,15.61,15.18,1210000.0,0.0132,AOS
2010-03-02,15.71,15.6,15.88,15.57,1600000.0,0.0268,AOS
2010-03-03,15.8,15.79,15.93,15.72,833920.0,0.005699999999999999,AOS
2010-03-04,15.8,15.73,15.84,15.71,678250.0,0.0,AOS
2010-03-05,15.93,15.85,15.93,15.79,689020.0,0.008199999999999999,AOS
2010-03-08,15.8,15.9,15.97,15.69,317960.0,-0.008199999999999999,AOS
2010-03-09,15.85,15.73,15.92,15.66,363800.0,0.0032,AOS
2010-03-10,15.89,15.82,15.94,15.76,298950.0,0.0025,AOS
2010-03-11,16.12,15.81,16.15,15.77,669020.0,0.014499999999999999,AOS
2010-03-12,16.19,16.13,16.19,15.91,238900.0,0.0043,AOS
2010-03-15,16.43,16.2,16.48,16.14,919810.0,0.0148,AOS
2010-03-16,16.52,16.53,16.81,16.45,751740.0,0.0055000000000000005,AOS
2010-03-17,16.6,16.59,16.8,16.52,496790.0,0.0048,AOS
2010-03-18,16.55,16.55,16.63,16.42,300800.0,-0.003,AOS
2010-03-19,16.38,16.59,16.64,16.31,558380.0,-0.0103,AOS
2010-03-22,16.63,16.3,16.64,16.21,672710.0,0.015300000000000001,AOS
2010-03-23,17.51,17.27,17.79,17.2,2340000.0,0.0529,AOS
2010-03-24,17.42,17.61,17.61,17.3,825630.0,-0.0051,AOS
2010-03-25,17.14,17.49,17.84,17.14,960560.0,-0.0161,AOS
2010-03-26,17.13,17.24,17.4,17.04,659970.0,-0.0006,AOS
2010-03-29,17.33,17.46,17.8,17.27,1040000.0,0.011699999999999999,AOS
2010-03-30,17.57,17.36,17.66,17.36,688480.0,0.0138,AOS
2010-03-31,17.52,17.58,17.74,17.5,917120.0,-0.0028000000000000004,AOS
2010-04-01,17.51,17.58,17.68,17.39,719000.0,-0.0006,AOS
2010-04-05,17.91,17.63,17.91,17.55,711500.0,0.022799999999999997,AOS
2010-04-06,17.98,17.78,18.08,17.72,632290.0,0.0039000000000000003,AOS
2010-04-07,17.85,17.9,18.05,17.78,855150.0,-0.0072,AOS
2010-04-08,18.06,17.75,18.1,17.73,563350.0,0.0118,AOS
2010-04-09,18.23,18.07,18.28,18.01,600470.0,0.009399999999999999,AOS
2010-04-12,18.09,18.29,18.29,18.06,510320.0,-0.0077,AOS
2010-04-13,18.58,18.09,18.59,18.0,835640.0,0.0271,AOS
2010-04-14,18.86,18.73,18.88,18.6,697460.0,0.0151,AOS
2010-04-15,18.68,18.6,18.75,18.5,785720.0,-0.0095,AOS
2010-04-16,18.67,18.64,18.69,18.41,1330000.0,-0.0005,AOS
2010-04-19,18.61,18.57,18.66,18.27,1310000.0,-0.0032,AOS
2010-04-20,17.32,17.8,17.91,17.07,2430000.0,-0.0693,AOS
2010-04-21,17.35,17.32,17.49,17.17,1620000.0,0.0017000000000000001,AOS
2010-04-22,17.62,17.33,17.67,17.12,746580.0,0.015600000000000001,AOS
2010-04-23,17.73,17.72,17.77,17.61,699730.0,0.0062,AOS
2010-04-26,17.67,17.77,18.06,17.65,523159.99999999994,-0.0034000000000000002,AOS
2010-04-27,17.51,17.63,17.91,17.46,919270.0,-0.0091,AOS
2010-04-28,17.32,17.58,17.69,17.23,536740.0,-0.0109,AOS
2010-04-29,17.82,17.45,17.83,17.41,507630.0,0.028900000000000002,AOS
2010-04-30,17.21,17.82,17.97,17.2,690020.0,-0.0342,AOS
2010-05-03,17.56,17.25,17.74,17.25,746580.0,0.0203,AOS
2010-05-04,17.15,17.3,17.67,17.02,872620.0,-0.0233,AOS
2010-05-05,16.63,17.02,17.16,16.59,876720.0,-0.030299999999999997,AOS
2010-05-06,16.54,16.5,16.69,15.51,1690000.0,-0.0054,AOS
2010-05-07,15.91,16.54,16.58,15.73,1930000.0,-0.0381,AOS
2010-05-10,16.77,16.55,16.81,16.33,1180000.0,0.0541,AOS
2010-05-11,16.64,16.49,16.81,16.41,634340.0,-0.0078000000000000005,AOS
2010-05-12,17.29,16.63,17.34,16.63,671690.0,0.0391,AOS
2010-05-13,17.18,17.23,17.43,17.04,564050.0,-0.0064,AOS
2010-05-14,16.72,17.08,17.08,16.5,826040.0,-0.0268,AOS
2010-05-17,16.4,16.84,17.01,16.07,855780.0,-0.0191,AOS
2010-05-18,16.11,16.57,16.66,16.06,780530.0,-0.0177,AOS
2010-05-19,15.98,16.01,16.25,15.8,1140000.0,-0.008100000000000001,AOS
2010-05-20,15.42,15.62,15.75,15.14,1380000.0,-0.035,AOS
2010-05-21,15.45,15.14,15.47,15.01,1610000.0,0.0019,AOS
2010-05-24,15.09,15.3,15.37,14.79,1620000.0,-0.0233,AOS
2010-05-25,15.24,14.78,15.27,14.62,1120000.0,0.009899999999999999,AOS
2010-05-26,15.36,15.4,15.87,15.32,1390000.0,0.0079,AOS
2010-05-27,15.93,15.62,15.93,15.49,806610.0,0.0371,AOS
2010-05-28,15.54,15.84,15.85,15.4,468960.0,-0.0245,AOS
2010-06-01,15.09,15.51,15.8,15.08,725930.0,-0.028999999999999998,AOS
2010-06-02,15.28,15.14,15.3,14.85,1150000.0,0.0126,AOS
2010-06-03,15.77,15.43,15.84,15.23,921450.0,0.0321,AOS
2010-06-04,15.29,15.45,15.56,15.21,1470000.0,-0.0304,AOS
2010-06-07,15.04,15.41,15.46,15.02,1040000.0,-0.016399999999999998,AOS
2010-06-08,15.37,15.16,15.58,15.16,1210000.0,0.0219,AOS
2010-06-09,15.41,15.52,15.83,15.33,724340.0,0.0026,AOS
2010-06-10,16.08,15.67,16.09,15.64,729130.0,0.0435,AOS
2010-06-11,16.41,16.05,16.46,15.98,619830.0,0.020499999999999997,AOS
2010-06-14,16.01,16.51,16.53,15.94,723950.0,-0.024399999999999998,AOS
2010-06-15,16.42,16.03,16.47,15.92,545160.0,0.0256,AOS
2010-06-16,16.53,16.41,16.71,16.31,692330.0,0.0067,AOS
2010-06-17,16.52,16.53,16.67,16.28,971060.0,-0.0006,AOS
2010-06-18,16.41,16.62,16.71,16.14,6460000.0,-0.0067,AOS
2010-06-21,15.92,16.59,16.67,15.79,1530000.0,-0.029900000000000003,AOS
2010-06-22,15.74,16.03,16.37,15.7,983380.0,-0.0113,AOS
2010-06-23,15.83,15.74,16.12,15.44,773600.0,0.005699999999999999,AOS
2010-06-24,15.81,15.68,16.16,15.57,1110000.0,-0.0013,AOS
2010-06-25,16.19,16.39,16.71,16.12,3460000.0,0.024,AOS
2010-06-28,16.47,16.27,16.72,16.18,1140000.0,0.0173,AOS
2010-06-29,16.26,16.27,16.29,15.91,1280000.0,-0.0128,AOS
2010-06-30,16.06,16.26,16.56,16.02,1360000.0,-0.0123,AOS
2010-07-01,16.06,16.0,16.16,15.58,776920.0,0.0,AOS
2010-07-02,16.15,16.13,16.32,16.0,450210.0,0.005600000000000001,AOS
2010-07-06,16.06,16.47,16.71,15.97,861470.0,-0.005600000000000001,AOS
2010-07-07,16.89,16.13,16.92,16.13,1120000.0,0.051699999999999996,AOS
2010-07-08,17.13,17.0,17.28,16.76,851930.0,0.014199999999999999,AOS
2010-07-09,17.42,17.05,17.44,17.01,496790.0,0.0169,AOS
2010-07-12,17.26,17.41,17.58,17.15,1000000.0,-0.0092,AOS
2010-07-13,18.02,17.53,18.11,17.47,1020000.0,0.044000000000000004,AOS
2010-07-14,17.81,17.93,17.93,17.62,748510.0,-0.011699999999999999,AOS
2010-07-15,17.74,17.84,17.84,17.46,528350.0,-0.0039000000000000003,AOS
2010-07-16,17.06,17.65,17.65,17.0,1510000.0,-0.0383,AOS
2010-07-19,17.31,17.15,17.34,16.82,724040.0,0.0147,AOS
2010-07-20,17.16,16.97,17.28,16.53,1580000.0,-0.0087,AOS
2010-07-21,17.51,17.46,17.58,17.2,1270000.0,0.0204,AOS
2010-07-22,17.94,17.82,18.21,17.79,1100000.0,0.0246,AOS
2010-07-23,18.32,17.96,18.57,17.79,932750.0,0.0212,AOS
2010-07-26,18.71,18.33,18.73,18.24,752880.0,0.0213,AOS
2010-07-27,18.27,18.76,18.77,18.16,663040.0,-0.0235,AOS
2010-07-28,18.3,18.18,18.36,18.12,802110.0,0.0016,AOS
2010-07-29,18.37,18.36,18.6,18.12,638020.0,0.0038,AOS
2010-07-30,18.23,18.17,18.44,18.0,519799.99999999994,-0.0076,AOS
2010-08-02,18.55,18.63,18.78,18.35,815690.0,0.0176,AOS
2010-08-03,18.26,18.46,18.63,18.15,764010.0,-0.015600000000000001,AOS
2010-08-04,18.31,18.28,18.48,18.02,655420.0,0.0027,AOS
2010-08-05,18.25,18.23,18.35,18.09,471670.0,-0.0033,AOS
2010-08-06,18.14,18.04,18.32,17.73,543500.0,-0.006,AOS
2010-08-09,18.45,18.25,18.47,18.11,512520.0,0.0171,AOS
2010-08-10,17.82,18.2,18.24,17.74,554000.0,-0.0341,AOS
2010-08-11,17.07,17.65,17.65,17.03,724790.0,-0.0421,AOS
2010-08-12,16.94,16.76,17.07,16.76,508220.0,-0.0076,AOS
2010-08-13,16.96,16.88,17.16,16.83,494300.0,0.0012,AOS
2010-08-16,17.13,16.83,17.14,16.67,464890.0,0.01,AOS
2010-08-17,17.65,17.25,17.79,17.2,754600.0,0.0304,AOS
2010-08-18,17.73,17.61,17.92,17.31,624150.0,0.0045000000000000005,AOS
2010-08-19,17.07,17.61,17.64,16.86,665220.0,-0.037200000000000004,AOS
2010-08-20,17.0,16.95,17.04,16.7,298790.0,-0.0040999999999999995,AOS
2010-08-23,16.79,17.06,17.23,16.67,730990.0,-0.0124,AOS
2010-08-24,16.82,16.6,17.03,16.42,522059.99999999994,0.0018,AOS
2010-08-25,17.1,16.75,17.13,16.66,565960.0,0.0166,AOS
2010-08-26,16.99,17.21,17.35,16.92,409730.0,-0.0064,AOS
2010-08-27,17.46,17.16,17.49,16.83,320420.0,0.0277,AOS
2010-08-30,17.12,17.43,17.44,17.11,448160.0,-0.0195,AOS
2010-08-31,17.12,17.08,17.34,16.97,645960.0,0.0,AOS
2010-09-01,17.95,17.42,18.04,17.36,582350.0,0.048499999999999995,AOS
2010-09-02,17.69,17.83,17.9,17.47,1130000.0,-0.014499999999999999,AOS
2010-09-03,18.05,17.96,18.08,17.62,577790.0,0.0204,AOS
2010-09-07,17.95,18.03,18.09,17.89,510830.0,-0.0055000000000000005,AOS
2010-09-08,17.99,18.03,18.38,17.92,547930.0,0.0022,AOS
2010-09-09,17.94,18.25,18.25,17.79,251680.0,-0.0028000000000000004,AOS
2010-09-10,17.99,17.95,18.17,17.86,501350.0,0.0028000000000000004,AOS
2010-09-13,18.6,18.2,18.65,18.14,528280.0,0.0339,AOS
2010-09-14,18.51,18.51,18.67,18.45,701440.0,-0.0048,AOS
2010-09-15,18.74,18.49,18.81,18.49,622350.0,0.0124,AOS
2010-09-16,18.75,18.75,18.8,18.56,645890.0,0.0005,AOS
2010-09-17,18.71,18.83,18.88,18.48,1100000.0,-0.0021,AOS
2010-09-20,19.15,18.74,19.17,18.64,747920.0,0.0235,AOS
2010-09-21,19.28,19.23,19.53,19.11,644470.0,0.0068000000000000005,AOS
2010-09-22,18.95,19.26,19.42,18.9,694780.0,-0.0171,AOS
2010-09-23,18.56,18.83,19.01,18.53,567980.0,-0.0206,AOS
2010-09-24,19.2,18.83,19.2,18.56,698000.0,0.0345,AOS
2010-09-27,19.1,19.19,19.19,18.87,275800.0,-0.0052,AOS
2010-09-28,19.47,19.11,19.5,18.65,528230.0,0.0194,AOS
2010-09-29,19.37,19.25,19.64,19.08,783620.0,-0.0051,AOS
2010-09-30,19.3,19.39,19.61,18.97,1010000.0,-0.0036,AOS
2010-10-01,19.25,19.52,19.52,18.99,443530.0,-0.0026,AOS
2010-10-04,18.97,19.15,19.33,18.82,377960.0,-0.014499999999999999,AOS
2010-10-05,19.56,19.19,19.61,19.02,461520.0,0.0311,AOS
2010-10-06,19.62,19.56,19.65,19.44,731840.0,0.0031,AOS
2010-10-07,19.68,19.67,19.79,19.62,678220.0,0.0031,AOS
2010-10-08,19.82,19.68,19.94,19.68,853350.0,0.0070999999999999995,AOS
2010-10-11,19.56,19.81,19.81,19.55,471330.0,-0.0131,AOS
2010-10-12,19.33,19.54,19.54,19.29,1030000.0,-0.0118,AOS
2010-10-13,19.68,19.41,19.82,19.37,582870.0,0.0181,AOS
