Date,Close,Open,High,Low,Volume,Change,Symbol
2010-01-04,105.87,104.94,106.46,104.53,2360000.0,0.0262,APA
2010-01-05,107.12,105.98,107.16,105.24,2460000.0,0.0118,APA
2010-01-06,108.8,106.78,108.92,106.17,2890000.0,0.015700000000000002,APA
2010-01-07,107.15,108.32,108.32,106.18,2410000.0,-0.0152,APA
2010-01-08,106.59,106.11,106.8,104.89,4110000.0000000005,-0.0052,APA
2010-01-11,106.91,107.45,108.23,105.87,2350000.0,0.003,APA
2010-01-12,105.29,105.39,106.42,104.76,3000000.0,-0.0152,APA
2010-01-13,106.82,104.52,107.1,104.16,2490000.0,0.014499999999999999,APA
2010-01-14,107.4,107.08,107.7,106.42,1900000.0,0.0054,APA
2010-01-15,107.66,107.12,108.0,105.95,2440000.0,0.0024,APA
2010-01-19,108.4,107.08,108.6,106.44,2950000.0,0.0069,APA
2010-01-20,106.46,106.74,106.74,105.68,3190000.0,-0.0179,APA
2010-01-21,105.06,107.32,107.44,104.74,4030000.0000000005,-0.0132,APA
2010-01-22,102.03,104.35,104.88,101.72,4450000.0,-0.0288,APA
2010-01-25,104.0,102.81,104.96,102.56,3820000.0,0.019299999999999998,APA
2010-01-26,102.36,101.97,103.91,101.67,3360000.0,-0.0158,APA
2010-01-27,101.4,102.23,103.06,99.88,3270000.0,-0.009399999999999999,APA
2010-01-28,101.69,103.04,104.36,100.63,3320000.0,0.0029,APA
2010-01-29,98.77,102.93,103.14,98.08,3100000.0,-0.0287,APA
2010-02-01,102.4,99.47,102.53,99.34,2500000.0,0.0368,APA
2010-02-02,104.63,102.42,104.94,101.78,2220000.0,0.0218,APA
2010-02-03,103.32,104.57,104.97,102.72,1700000.0,-0.0125,APA
2010-02-04,98.88,102.19,102.59,98.72,2740000.0,-0.043,APA
2010-02-05,98.4,99.06,99.98,95.15,4139999.9999999995,-0.0049,APA
2010-02-08,97.19,98.27,99.13,96.88,2680000.0,-0.0123,APA
2010-02-09,98.51,98.55,99.85,97.56,3840000.0,0.013600000000000001,APA
2010-02-10,98.55,98.03,99.15,96.32,4030000.0000000005,0.0004,APA
2010-02-11,99.82,98.47,99.99,97.88,3910000.0,0.0129,APA
2010-02-12,99.58,98.61,99.9,98.0,2830000.0,-0.0024,APA
2010-02-16,103.68,101.99,104.1,100.85,4320000.0,0.0412,APA
2010-02-17,103.57,103.96,104.63,102.94,3050000.0,-0.0011,APA
2010-02-18,103.59,101.87,104.03,101.29,3300000.0,0.0002,APA
2010-02-19,105.01,103.09,105.32,102.5,3280000.0,0.0137,APA
2010-02-22,104.02,105.37,105.59,103.04,3320000.0,-0.009399999999999999,APA
2010-02-23,102.46,103.3,104.16,101.82,4850000.0,-0.015,APA
2010-02-24,102.27,102.09,102.56,101.0,3820000.0,-0.0019,APA
2010-02-25,103.14,100.85,103.33,100.07,2880000.0,0.0085,APA
2010-02-26,103.64,103.63,103.97,102.27,2380000.0,0.0048,APA
2010-03-01,105.03,104.01,105.38,103.71,2630000.0,0.0134,APA
2010-03-02,106.18,105.48,107.04,105.28,3200000.0,0.0109,APA
2010-03-03,106.01,106.36,106.97,105.29,3110000.0,-0.0016,APA
2010-03-04,104.8,106.26,106.47,104.33,2680000.0,-0.011399999999999999,APA
2010-03-05,107.41,105.63,107.46,105.58,2540000.0,0.024900000000000002,APA
2010-03-08,106.02,107.34,107.41,105.46,2330000.0,-0.0129,APA
2010-03-09,106.21,105.26,106.76,105.26,1730000.0,0.0018,APA
2010-03-10,106.59,106.41,107.17,105.28,2500000.0,0.0036,APA
2010-03-11,106.94,106.25,107.31,105.81,2460000.0,0.0033,APA
2010-03-12,106.85,107.33,107.98,106.1,2690000.0,-0.0008,APA
2010-03-15,104.32,105.19,105.51,102.7,3030000.0,-0.023700000000000002,APA
2010-03-16,104.65,104.66,104.95,103.58,2950000.0,0.0032,APA
2010-03-17,106.18,105.45,106.65,105.14,2670000.0,0.0146,APA
2010-03-18,103.45,105.6,106.25,102.76,2950000.0,-0.025699999999999997,APA
2010-03-19,101.68,103.82,104.46,100.63,3770000.0,-0.0171,APA
2010-03-22,101.6,100.63,102.11,100.11,2890000.0,-0.0008,APA
2010-03-23,103.26,102.32,103.53,102.0,3930000.0,0.0163,APA
2010-03-24,102.32,102.55,103.52,102.0,3190000.0,-0.0091,APA
2010-03-25,99.07,103.51,103.67,98.97,4600000.0,-0.0318,APA
2010-03-26,98.31,99.31,99.48,97.09,5130000.0,-0.0077,APA
2010-03-29,99.8,98.98,100.2,98.59,4800000.0,0.0152,APA
2010-03-30,99.72,100.08,100.24,99.0,4019999.9999999995,-0.0008,APA
2010-03-31,101.5,100.19,102.35,99.95,3850000.0,0.0178,APA
2010-04-01,103.87,102.8,103.98,102.65,3330000.0,0.0233,APA
2010-04-05,106.21,104.23,106.55,103.55,3480000.0,0.0225,APA
