Date,Close,Open,High,Low,Volume,Change,Symbol
2010-01-04,63.55,64.69,65.35,62.92,467050.0,-0.0115,ARE
2010-01-05,62.88,63.5,63.77,62.35,526930.0,-0.0105,ARE
2010-01-06,62.55,62.99,63.38,62.14,566620.0,-0.0052,ARE
2010-01-07,63.13,62.55,63.49,62.1,850870.0,0.009300000000000001,ARE
2010-01-08,62.92,63.06,63.53,62.68,665180.0,-0.0033,ARE
2010-01-11,63.25,63.64,63.92,62.7,443040.0,0.0052,ARE
2010-01-12,63.34,62.7,63.58,62.6,1280000.0,0.0014000000000000002,ARE
2010-01-13,63.51,63.7,64.19,63.2,827470.0,0.0027,ARE
2010-01-14,63.49,63.47,63.71,62.81,438360.0,-0.0003,ARE
2010-01-15,62.71,63.3,64.17,62.71,692860.0,-0.0123,ARE
2010-01-19,63.45,62.88,63.79,62.65,1160000.0,0.0118,ARE
2010-01-20,63.99,64.07,64.4,63.03,961040.0,0.0085,ARE
2010-01-21,62.3,64.12,64.14,61.96,867890.0,-0.0264,ARE
2010-01-22,61.88,62.3,63.02,61.05,975020.0,-0.0067,ARE
2010-01-25,62.05,62.57,62.57,61.32,681260.0,0.0027,ARE
2010-01-26,60.86,61.43,61.5,60.58,671860.0,-0.0192,ARE
2010-01-27,60.87,60.74,61.15,59.45,418750.0,0.0002,ARE
2010-01-28,60.26,60.99,60.99,59.68,344310.0,-0.01,ARE
2010-01-29,59.73,60.36,60.94,59.31,613640.0,-0.0088,ARE
2010-02-01,60.72,60.18,61.01,59.89,423270.0,0.0166,ARE
2010-02-02,61.5,60.72,61.59,60.12,467180.0,0.0128,ARE
2010-02-03,61.36,61.0,61.54,60.35,576780.0,-0.0023,ARE
2010-02-04,58.67,60.77,60.95,58.64,595480.0,-0.0438,ARE
2010-02-05,59.28,58.67,59.63,57.54,381050.0,0.0104,ARE
2010-02-08,57.37,59.51,59.51,57.34,346340.0,-0.0322,ARE
2010-02-09,57.25,58.3,58.3,56.5,604530.0,-0.0021,ARE
2010-02-10,57.34,57.15,57.74,56.12,425200.0,0.0016,ARE
2010-02-11,56.89,57.04,57.39,55.54,579630.0,-0.0078000000000000005,ARE
2010-02-12,58.38,56.13,58.46,56.13,518299.99999999994,0.0262,ARE
2010-02-16,61.2,59.19,61.4,59.14,551010.0,0.0483,ARE
2010-02-17,61.07,61.27,61.67,60.58,277160.0,-0.0021,ARE
2010-02-18,61.69,60.82,62.0,60.81,496550.0,0.0102,ARE
2010-02-19,61.59,61.47,62.03,61.26,326680.0,-0.0016,ARE
2010-02-22,61.35,62.02,62.18,61.31,402530.0,-0.0039000000000000003,ARE
2010-02-23,61.76,61.21,62.17,61.09,799270.0,0.0067,ARE
2010-02-24,61.68,61.68,62.04,61.36,554260.0,-0.0013,ARE
2010-02-25,62.0,60.93,62.13,60.49,528330.0,0.0052,ARE
2010-02-26,61.62,62.04,62.58,61.38,606700.0,-0.0060999999999999995,ARE
2010-03-01,61.9,61.9,62.16,61.55,299780.0,0.0045000000000000005,ARE
2010-03-02,62.4,62.36,62.49,61.69,571080.0,0.008100000000000001,ARE
2010-03-03,62.43,62.39,62.95,61.72,581520.0,0.0005,ARE
2010-03-04,62.19,62.46,63.07,61.95,530920.0,-0.0038,ARE
2010-03-05,63.28,62.57,63.6,62.25,581900.0,0.0175,ARE
2010-03-08,64.47,63.25,64.67,63.03,259550.0,0.018799999999999997,ARE
2010-03-09,64.62,64.04,65.89,63.82,358490.0,0.0023,ARE
2010-03-10,64.82,64.46,65.0,64.05,321130.0,0.0031,ARE
2010-03-11,64.9,64.33,65.3,64.24,361000.0,0.0012,ARE
2010-03-12,65.01,65.09,65.44,64.54,233240.0,0.0017000000000000001,ARE
2010-03-15,65.26,65.03,65.53,64.14,420980.0,0.0038,ARE
2010-03-16,66.92,65.3,67.0,65.08,550610.0,0.0254,ARE
2010-03-17,67.34,66.93,67.62,66.69,325190.0,0.0063,ARE
2010-03-18,67.45,67.34,68.26,67.27,397310.0,0.0016,ARE
2010-03-19,66.59,67.49,67.58,66.51,280160.0,-0.0128,ARE
2010-03-22,67.5,66.03,67.79,65.72,226890.0,0.0137,ARE
2010-03-23,66.99,67.11,67.14,65.83,468480.0,-0.0076,ARE
2010-03-24,67.4,66.63,67.94,66.46,705890.0,0.0060999999999999995,ARE
2010-03-25,67.87,67.82,69.03,67.69,364330.0,0.006999999999999999,ARE
2010-03-26,68.23,67.8,68.68,67.48,445180.0,0.0053,ARE
2010-03-29,68.6,68.56,68.81,67.91,222310.0,0.0054,ARE
2010-03-30,68.17,68.28,68.51,67.79,416350.0,-0.0063,ARE
2010-03-31,67.6,67.99,68.42,67.31,549440.0,-0.0084,ARE
2010-04-01,68.03,67.92,68.41,67.55,641530.0,0.0064,ARE
2010-04-05,69.77,68.25,69.93,67.96,320410.0,0.0256,ARE
2010-04-06,71.84,69.57,71.93,69.08,1090000.0,0.0297,ARE
2010-04-07,71.02,71.84,72.41,70.58,481100.0,-0.011399999999999999,ARE
2010-04-08,71.2,70.82,71.6,70.55,306260.0,0.0025,ARE
2010-04-09,72.56,71.25,72.66,71.2,410170.0,0.0191,ARE
2010-04-12,71.5,72.57,72.69,71.13,298850.0,-0.0146,ARE
2010-04-13,72.76,71.53,73.31,71.39,277900.0,0.0176,ARE
2010-04-14,71.85,73.13,73.42,71.43,495090.0,-0.0125,ARE
2010-04-15,70.24,71.76,72.27,70.08,588440.0,-0.022400000000000003,ARE
2010-04-16,69.4,70.03,70.71,68.79,451800.0,-0.012,ARE
2010-04-19,69.53,68.9,70.4,68.44,269420.0,0.0019,ARE
2010-04-20,70.59,70.0,70.62,68.99,258709.99999999997,0.0152,ARE
2010-04-21,70.55,70.45,71.15,69.56,605780.0,-0.0006,ARE
2010-04-22,70.96,69.95,71.17,69.87,422580.0,0.0058,ARE
2010-04-23,74.19,71.17,74.31,70.68,558460.0,0.0455,ARE
2010-04-26,74.6,74.25,75.18,73.81,389190.0,0.0055000000000000005,ARE
2010-04-27,72.16,74.21,74.62,71.92,437460.0,-0.0327,ARE
2010-04-28,72.02,72.62,73.16,71.66,341130.0,-0.0019,ARE
2010-04-29,73.91,72.61,74.25,72.19,739210.0,0.0262,ARE
2010-04-30,70.81,74.04,74.32,70.75,548600.0,-0.04190000000000001,ARE
2010-05-03,73.02,71.08,73.22,71.06,935970.0,0.031200000000000002,ARE
2010-05-04,71.03,72.12,72.86,70.49,913680.0,-0.0273,ARE
2010-05-05,70.17,70.27,71.79,69.2,411760.0,-0.0121,ARE
2010-05-06,66.97,69.74,69.98,62.35,834240.0,-0.045599999999999995,ARE
2010-05-07,65.01,66.88,68.27,64.2,967460.0,-0.029300000000000003,ARE
2010-05-10,69.76,68.57,69.77,67.45,705250.0,0.0731,ARE
2010-05-11,69.94,69.0,70.64,68.18,478040.0,0.0026,ARE
2010-05-12,70.97,70.41,71.47,69.97,686820.0,0.0147,ARE
2010-05-13,69.81,70.82,71.2,69.58,472620.0,-0.0163,ARE
2010-05-14,66.97,69.07,69.78,65.88,1490000.0,-0.0407,ARE
2010-05-17,66.88,67.27,68.37,65.43,1680000.0,-0.0013,ARE
2010-05-18,65.25,67.77,68.16,64.93,504160.0,-0.024399999999999998,ARE
2010-05-19,65.11,64.94,66.17,62.84,633410.0,-0.0021,ARE
2010-05-20,62.03,63.42,64.2,62.0,701160.0,-0.0473,ARE
2010-05-21,63.6,61.6,64.25,60.48,720780.0,0.0253,ARE
2010-05-24,63.21,63.15,64.74,62.94,462720.0,-0.0060999999999999995,ARE
2010-05-25,63.14,61.33,63.29,60.69,389630.0,-0.0011,ARE
2010-05-26,62.92,63.74,64.98,62.62,386800.0,-0.0034999999999999996,ARE
2010-05-27,66.6,64.51,66.69,63.84,345080.0,0.058499999999999996,ARE
2010-05-28,65.58,66.25,67.01,65.45,383690.0,-0.015300000000000001,ARE
2010-06-01,64.25,65.05,66.14,64.1,323160.0,-0.0203,ARE
2010-06-02,65.82,64.48,65.88,63.14,485020.0,0.024399999999999998,ARE
2010-06-03,65.74,65.67,66.24,64.96,322610.0,-0.0012,ARE
2010-06-04,62.36,64.29,65.08,62.15,495110.0,-0.051399999999999994,ARE
2010-06-07,62.55,62.77,64.29,62.24,442190.0,0.003,ARE
2010-06-08,65.2,62.76,65.39,61.47,800880.0,0.0424,ARE
2010-06-09,65.86,65.66,67.42,65.27,531790.0,0.0101,ARE
2010-06-10,69.48,67.25,69.95,66.64,554650.0,0.055,ARE
2010-06-11,71.16,69.07,71.67,68.68,490940.0,0.0242,ARE
2010-06-14,71.91,72.25,73.36,71.11,839860.0,0.0105,ARE
2010-06-15,72.8,72.68,73.19,71.73,808000.0,0.0124,ARE
2010-06-16,72.23,72.56,73.0,71.46,751320.0,-0.0078000000000000005,ARE
2010-06-17,73.39,72.53,73.77,72.04,568360.0,0.0161,ARE
2010-06-18,73.18,73.94,74.03,72.98,623500.0,-0.0029,ARE
2010-06-21,71.87,74.0,74.42,71.6,663610.0,-0.0179,ARE
2010-06-22,68.89,71.84,72.74,68.59,862870.0,-0.0415,ARE
2010-06-23,69.28,68.82,70.35,68.0,495050.0,0.005699999999999999,ARE
2010-06-24,67.9,68.62,69.07,67.42,639150.0,-0.0199,ARE
2010-06-25,68.49,68.27,69.5,68.0,810140.0,0.0087,ARE
2010-06-28,67.63,68.63,68.72,67.51,288930.0,-0.0126,ARE
2010-06-29,63.78,66.16,66.66,63.32,572120.0,-0.056900000000000006,ARE
2010-06-30,63.37,63.82,64.68,63.07,975310.0,-0.0064,ARE
2010-07-01,63.41,63.45,64.06,61.63,635070.0,0.0006,ARE
2010-07-02,61.75,63.84,64.2,61.51,595040.0,-0.0262,ARE
2010-07-06,60.83,62.92,64.07,60.11,575330.0,-0.0149,ARE
2010-07-07,64.69,60.89,64.73,60.88,744760.0,0.0635,ARE
2010-07-08,65.0,65.63,66.16,64.02,429470.0,0.0048,ARE
2010-07-09,65.21,65.0,65.97,64.61,328410.0,0.0032,ARE
2010-07-12,65.06,64.8,65.55,64.19,184460.0,-0.0023,ARE
2010-07-13,67.23,65.93,67.5,65.57,376540.0,0.0334,ARE
2010-07-14,66.87,66.51,67.6,66.0,224090.0,-0.0054,ARE
2010-07-15,66.34,67.02,67.02,65.15,191270.0,-0.0079,ARE
2010-07-16,64.36,65.81,66.0,63.93,569460.0,-0.0298,ARE
2010-07-19,65.35,64.65,65.61,63.74,285800.0,0.0154,ARE
2010-07-20,67.9,64.3,68.03,63.95,391640.0,0.039,ARE
2010-07-21,66.23,68.3,68.55,65.84,357290.0,-0.0246,ARE
2010-07-22,69.73,67.42,70.05,66.87,439470.0,0.0528,ARE
2010-07-23,70.91,69.43,71.04,68.28,393410.0,0.0169,ARE
2010-07-26,72.59,71.1,72.71,70.61,424340.0,0.023700000000000002,ARE
2010-07-27,72.09,73.18,73.75,71.41,648740.0,-0.0069,ARE
2010-07-28,71.43,71.8,72.92,71.05,616640.0,-0.0092,ARE
2010-07-29,69.93,72.05,72.24,69.57,339600.0,-0.021,ARE
2010-07-30,70.55,69.22,70.78,69.18,330850.0,0.0089,ARE
2010-08-02,72.83,71.93,72.96,70.6,835050.0,0.0323,ARE
2010-08-03,72.0,72.22,72.51,71.58,371550.0,-0.011399999999999999,ARE
2010-08-04,72.18,72.11,72.6,71.5,239310.0,0.0025,ARE
2010-08-05,71.64,71.96,72.75,71.19,334920.0,-0.0075,ARE
2010-08-06,72.34,70.66,72.49,70.66,323420.0,0.0098,ARE
2010-08-09,73.25,72.04,73.43,72.04,297780.0,0.0126,ARE
2010-08-10,71.18,72.2,72.29,70.46,445690.0,-0.028300000000000002,ARE
2010-08-11,69.57,69.68,70.56,68.36,1470000.0,-0.0226,ARE
2010-08-12,68.25,68.6,69.26,67.88,511580.0,-0.019,ARE
2010-08-13,67.35,67.98,68.65,67.17,344640.0,-0.0132,ARE
2010-08-16,67.47,66.9,68.25,66.69,313040.0,0.0018,ARE
2010-08-17,69.2,68.32,69.88,67.47,489710.0,0.0256,ARE
2010-08-18,70.35,69.2,71.02,68.64,601470.0,0.0166,ARE
2010-08-19,68.57,69.97,70.26,68.29,477370.0,-0.0253,ARE
2010-08-20,67.86,68.12,68.41,66.68,397600.0,-0.0104,ARE
2010-08-23,67.75,68.33,68.84,67.69,326250.0,-0.0016,ARE
2010-08-24,67.87,66.67,68.36,66.62,494380.0,0.0018,ARE
2010-08-25,69.26,67.34,69.5,67.34,411450.0,0.020499999999999997,ARE
2010-08-26,68.96,69.74,69.91,68.64,347230.0,-0.0043,ARE
2010-08-27,70.05,69.6,70.41,67.88,535710.0,0.0158,ARE
2010-08-30,69.56,69.64,71.35,69.47,530540.0,-0.006999999999999999,ARE
2010-08-31,69.37,69.23,70.07,68.72,737580.0,-0.0027,ARE
2010-09-01,69.81,70.71,70.93,69.29,1070000.0,0.0063,ARE
2010-09-02,70.7,70.22,71.11,69.51,587430.0,0.0127,ARE
2010-09-03,71.86,71.78,72.19,70.97,430550.0,0.016399999999999998,ARE
2010-09-07,70.9,71.44,71.81,70.87,403120.0,-0.0134,ARE
2010-09-08,71.27,71.15,71.95,70.99,234810.0,0.0052,ARE
2010-09-09,70.31,72.14,72.38,69.87,279380.0,-0.013500000000000002,ARE
