Date,Close,Open,High,Low,Volume,Change,Symbol
2014-10-07,35.87,35.85,36.48,35.56,8700000.0,-0.0025,ARNC
2014-10-08,36.14,35.96,36.14,34.84,11440000.0,0.0075,ARNC
2014-10-09,34.61,36.77,36.95,34.12,18600000.0,-0.042300000000000004,ARNC
2014-10-10,33.08,34.25,34.52,32.88,13240000.0,-0.044199999999999996,ARNC
2014-10-13,32.59,33.49,34.32,32.5,8350000.0,-0.0148,ARNC
2014-10-14,32.14,32.95,33.13,31.62,12030000.0,-0.0138,ARNC
2014-10-15,32.61,31.49,32.77,30.83,12260000.0,0.0146,ARNC
2014-10-16,32.83,31.64,32.95,31.51,8830000.0,0.0067,ARNC
2014-10-17,35.13,33.42,35.13,33.33,11920000.0,0.0701,ARNC
2014-10-20,35.29,34.95,35.33,34.72,5080000.0,0.0046,ARNC
2014-10-21,36.77,35.65,36.95,35.6,7670000.0,0.04190000000000001,ARNC
2014-10-22,36.25,36.91,37.15,36.08,9150000.0,-0.0141,ARNC
2014-10-23,36.52,36.77,37.04,36.25,5740000.0,0.0074,ARNC
2014-10-24,37.22,36.73,37.27,36.48,4280000.0,0.0192,ARNC
2014-10-27,36.84,37.24,37.27,36.68,5150000.0,-0.0102,ARNC
2014-10-28,37.33,37.11,37.45,36.9,4110000.0000000005,0.013300000000000001,ARNC
2014-10-29,36.59,37.29,37.56,36.1,10390000.0,-0.019799999999999998,ARNC
2014-10-30,36.48,36.37,36.79,35.6,5950000.0,-0.003,ARNC
2014-10-31,37.69,36.95,37.69,36.53,6210000.0,0.0332,ARNC
2014-11-03,38.07,37.74,38.3,37.45,5320000.0,0.0101,ARNC
2014-11-04,37.24,37.89,37.94,36.95,4400000.0,-0.0218,ARNC
2014-11-05,36.57,37.51,37.54,36.37,6070000.0,-0.018000000000000002,ARNC
2014-11-06,36.82,36.82,36.93,36.33,4740000.0,0.0068000000000000005,ARNC
2014-11-07,36.73,37.04,37.1,36.52,4500000.0,-0.0024,ARNC
2014-11-10,36.7,36.59,37.02,36.34,3570000.0,-0.0008,ARNC
2014-11-11,37.0,36.64,37.06,36.43,2330000.0,0.008199999999999999,ARNC
2014-11-12,37.96,36.93,38.05,36.75,5290000.0,0.0259,ARNC
2014-11-13,37.65,38.03,38.21,37.49,4150000.0000000005,-0.008199999999999999,ARNC
2014-11-14,38.1,37.65,38.18,37.36,2950000.0,0.012,ARNC
2014-11-17,37.85,38.03,38.12,37.67,2550000.0,-0.0066,ARNC
2014-11-18,38.59,37.83,38.7,37.83,4910000.0,0.0196,ARNC
2014-11-19,37.54,38.52,38.52,37.38,5290000.0,-0.027200000000000002,ARNC
2014-11-20,38.5,37.27,38.64,37.18,4530000.0,0.0256,ARNC
2014-11-21,39.24,39.4,39.92,38.97,6890000.0,0.0192,ARNC
2014-11-24,38.73,39.36,39.59,38.59,4310000.0,-0.013000000000000001,ARNC
2014-11-25,39.06,38.91,39.72,38.84,4850000.0,0.0085,ARNC
2014-11-26,39.58,39.27,39.58,38.79,3050000.0,0.013300000000000001,ARNC
2014-11-28,38.88,39.54,39.56,38.59,2940000.0,-0.0177,ARNC
2014-12-01,38.55,39.13,39.18,38.23,4440000.0,-0.0085,ARNC
2014-12-02,38.91,38.5,39.06,38.37,4500000.0,0.009300000000000001,ARNC
2014-12-03,38.7,38.93,39.14,38.59,5420000.0,-0.0054,ARNC
2014-12-04,38.77,38.97,39.24,38.57,4580000.0,0.0018,ARNC
2014-12-05,38.12,39.04,39.11,38.03,5440000.0,-0.0168,ARNC
2014-12-08,36.64,38.01,38.14,36.5,7330000.0,-0.0388,ARNC
2014-12-09,36.07,35.8,36.39,35.42,7560000.0,-0.015600000000000001,ARNC
2014-12-10,35.15,35.94,36.37,35.04,6130000.0,-0.0255,ARNC
2014-12-11,34.09,35.15,35.38,33.98,6760000.0,-0.0302,ARNC
2014-12-12,33.44,33.78,34.39,33.4,6380000.0,-0.0191,ARNC
2014-12-15,33.58,33.87,34.38,33.51,8580000.0,0.0042,ARNC
2014-12-16,32.45,33.82,34.21,32.41,9790000.0,-0.0337,ARNC
2014-12-17,33.85,32.79,33.89,32.59,8830000.0,0.0431,ARNC
2014-12-18,35.49,34.81,35.51,34.54,9820000.0,0.0484,ARNC
2014-12-19,35.85,35.49,36.07,35.38,6720000.0,0.0101,ARNC
2014-12-22,35.4,35.92,35.96,34.81,5720000.0,-0.0126,ARNC
2014-12-23,35.38,35.53,35.94,35.24,3510000.0,-0.0006,ARNC
2014-12-24,35.47,35.47,35.62,34.99,1650000.0,0.0025,ARNC
2014-12-26,35.58,35.71,35.83,35.49,2120000.0,0.0031,ARNC
2014-12-29,35.58,35.62,35.89,35.38,2360000.0,0.0,ARNC
2014-12-30,35.65,35.38,35.83,35.15,3090000.0,0.002,ARNC
2014-12-31,35.51,35.65,36.05,35.47,2950000.0,-0.0039000000000000003,ARNC
2015-01-02,35.71,35.69,35.94,35.24,3480000.0,0.005600000000000001,ARNC
2015-01-05,33.64,35.17,35.2,33.49,7230000.0,-0.057999999999999996,ARNC
2015-01-06,33.89,33.78,34.57,33.4,6460000.0,0.0074,ARNC
2015-01-07,34.77,34.36,35.02,34.21,5320000.0,0.026000000000000002,ARNC
2015-01-08,35.76,35.22,36.1,34.97,6560000.0,0.0285,ARNC
2015-01-09,36.23,36.05,36.32,35.42,5580000.0,0.0131,ARNC
2015-01-12,36.37,36.88,36.95,35.83,10140000.0,0.0039000000000000003,ARNC
2015-01-13,35.53,37.04,37.18,35.31,12600000.0,-0.0231,ARNC
2015-01-14,33.62,34.77,34.81,32.7,18310000.0,-0.0538,ARNC
2015-01-15,33.67,34.09,34.25,33.51,8820000.0,0.0015,ARNC
2015-01-16,34.36,33.64,34.36,33.64,7250000.0,0.020499999999999997,ARNC
2015-01-20,34.97,34.54,35.04,33.87,8650000.0,0.0178,ARNC
2015-01-21,35.8,34.97,36.05,34.7,6870000.0,0.023700000000000002,ARNC
2015-01-22,36.07,36.05,36.14,35.33,5120000.0,0.0075,ARNC
2015-01-23,35.44,35.53,35.87,34.95,6220000.0,-0.0175,ARNC
2015-01-26,36.16,35.33,36.23,34.99,4130000.0,0.0203,ARNC
2015-01-27,35.8,35.35,36.1,35.35,5200000.0,-0.01,ARNC
2015-01-28,35.53,36.05,36.39,35.43,5370000.0,-0.0075,ARNC
2015-01-29,35.94,35.8,35.98,35.11,4910000.0,0.0115,ARNC
2015-01-30,35.2,35.65,36.1,35.13,5600000.0,-0.0206,ARNC
2015-02-02,36.14,35.58,36.21,35.44,4900000.0,0.026699999999999998,ARNC
2015-02-03,37.36,36.77,37.38,36.35,6480000.0,0.0338,ARNC
2015-02-04,36.93,37.06,37.45,36.79,5060000.0,-0.0115,ARNC
2015-02-05,38.39,36.97,38.46,36.91,8060000.000000001,0.0395,ARNC
2015-02-06,37.27,38.23,38.23,37.04,6980000.0,-0.0292,ARNC
2015-02-09,35.2,36.21,36.21,34.97,10370000.0,-0.0555,ARNC
2015-02-10,35.78,35.35,35.8,34.97,8380000.000000001,0.0165,ARNC
2015-02-11,34.77,35.4,35.4,34.3,9200000.0,-0.0282,ARNC
2015-02-12,35.2,35.33,35.51,34.95,6450000.0,0.0124,ARNC
2015-02-13,35.56,35.53,35.8,35.08,5360000.0,0.0102,ARNC
2015-02-17,35.42,35.62,35.67,35.17,4330000.0,-0.0039000000000000003,ARNC
2015-02-18,35.65,35.38,35.71,35.13,4160000.0,0.006500000000000001,ARNC
2015-02-19,35.98,35.49,36.03,35.22,5540000.0,0.009300000000000001,ARNC
2015-02-20,35.51,35.83,36.14,35.31,4730000.0,-0.0131,ARNC
2015-02-23,34.88,35.15,35.18,34.59,4660000.0,-0.0177,ARNC
2015-02-24,35.4,35.02,35.49,34.91,3320000.0,0.0149,ARNC
2015-02-25,33.73,35.22,35.31,33.4,11450000.0,-0.0472,ARNC
2015-02-26,33.98,33.94,34.16,33.6,6260000.0,0.0074,ARNC
2015-02-27,33.26,33.96,34.07,33.06,6930000.0,-0.0212,ARNC
2015-03-02,33.62,33.37,33.78,33.15,6460000.0,0.0108,ARNC
2015-03-03,34.14,33.46,34.45,33.46,5470000.0,0.0155,ARNC
2015-03-04,32.81,33.15,33.24,31.82,13450000.0,-0.039,ARNC
2015-03-05,32.34,32.45,32.59,31.98,5720000.0,-0.0143,ARNC
2015-03-06,32.56,32.18,32.74,32.0,6670000.0,0.0068000000000000005,ARNC
2015-03-09,30.81,31.33,31.46,30.0,26130000.0,-0.0537,ARNC
2015-03-10,30.36,30.65,30.86,30.23,11240000.0,-0.0146,ARNC
2015-03-11,30.56,30.54,30.65,30.36,7730000.0,0.0066,ARNC
2015-03-12,31.04,30.88,31.2,30.63,7200000.0,0.015700000000000002,ARNC
2015-03-13,30.52,30.88,30.99,30.18,5640000.0,-0.0168,ARNC
2015-03-16,29.89,30.68,30.74,29.64,9960000.0,-0.0206,ARNC
2015-03-17,29.37,29.57,29.78,29.26,9780000.0,-0.0174,ARNC
2015-03-18,29.87,29.26,30.2,29.15,18550000.0,0.017,ARNC
2015-03-19,29.15,29.6,29.62,28.74,11490000.0,-0.0241,ARNC
2015-03-20,29.17,29.28,29.43,29.01,12920000.0,0.0007000000000000001,ARNC
2015-03-23,29.24,29.1,29.69,29.01,8430000.0,0.0024,ARNC
2015-03-24,29.44,29.01,29.48,28.67,10760000.0,0.0068000000000000005,ARNC
2015-03-25,29.17,29.39,29.84,29.15,8710000.0,-0.0092,ARNC
2015-03-26,28.97,28.92,29.26,28.88,10150000.0,-0.0069,ARNC
2015-03-27,28.56,28.85,28.9,28.45,5660000.0,-0.014199999999999999,ARNC
2015-03-30,29.15,28.9,29.26,28.74,5380000.0,0.0207,ARNC
2015-03-31,29.06,28.83,29.21,28.79,7670000.0,-0.0031,ARNC
2015-04-01,29.24,29.03,29.46,28.92,12790000.0,0.0062,ARNC
2015-04-02,29.55,29.06,29.87,28.76,7810000.0,0.0106,ARNC
2015-04-06,30.05,29.84,30.23,29.71,7600000.0,0.0169,ARNC
2015-04-07,30.2,30.34,30.61,30.18,7630000.0,0.005,ARNC
2015-04-08,30.74,30.61,31.02,30.45,14210000.0,0.0179,ARNC
2015-04-09,29.71,30.18,30.25,29.15,19450000.0,-0.0335,ARNC
2015-04-10,29.57,29.78,29.84,29.24,12150000.0,-0.004699999999999999,ARNC
