Date,Close,Open,High,Low,Volume,Change,Symbol
2010-01-04,31.67,32.05,32.05,31.31,6230000.0,-0.0066,BAX
2010-01-05,31.45,31.68,31.68,31.35,3260000.0,-0.0069,BAX
2010-01-06,31.56,31.51,31.72,31.36,2840000.0,0.0034999999999999996,BAX
2010-01-07,32.07,31.51,32.16,31.47,3410000.0,0.016200000000000003,BAX
2010-01-08,32.14,32.11,32.27,31.97,2810000.0,0.0022,BAX
2010-01-11,31.96,32.18,32.18,31.91,2950000.0,-0.005600000000000001,BAX
2010-01-12,32.47,31.91,32.68,31.83,5120000.0,0.016,BAX
2010-01-13,32.8,32.54,32.9,32.46,4310000.0,0.0102,BAX
2010-01-14,33.52,33.02,33.62,32.87,6180000.0,0.022000000000000002,BAX
2010-01-15,33.45,33.43,33.6,32.99,4470000.0,-0.0021,BAX
2010-01-19,33.38,32.68,33.48,32.66,5790000.0,-0.0021,BAX
2010-01-20,33.03,33.32,33.6,32.64,4750000.0,-0.0105,BAX
2010-01-21,32.38,33.09,33.09,32.24,4300000.0,-0.0197,BAX
2010-01-22,31.91,32.26,32.49,31.87,4050000.0,-0.014499999999999999,BAX
2010-01-25,32.03,32.04,32.56,31.93,3480000.0,0.0038,BAX
2010-01-26,32.08,31.92,32.23,31.83,3000000.0,0.0016,BAX
2010-01-27,32.0,32.12,32.25,31.5,4470000.0,-0.0025,BAX
2010-01-28,31.62,31.34,31.9,30.7,6500000.0,-0.011899999999999999,BAX
2010-01-29,31.29,31.63,31.79,31.25,3320000.0,-0.0104,BAX
2010-02-01,31.43,31.27,31.44,30.95,3600000.0,0.0045000000000000005,BAX
2010-02-02,31.76,31.41,31.8,31.3,2940000.0,0.0105,BAX
2010-02-03,31.23,31.64,31.72,31.18,3660000.0,-0.0167,BAX
2010-02-04,30.61,31.08,31.15,30.61,5930000.0,-0.0199,BAX
2010-02-05,30.74,30.57,30.9,30.45,4560000.0,0.0042,BAX
