Date,Close,Open,High,Low,Volume,Change,Symbol
2010-01-04,39.16,38.82,39.54,38.62,6430000.0,0.018500000000000003,BBY
2010-01-05,40.16,39.5,40.44,39.47,6980000.0,0.0255,BBY
2010-01-06,39.85,40.16,40.28,39.62,4190000.0000000005,-0.0077,BBY
2010-01-07,40.48,39.76,40.53,39.66,8760000.0,0.0158,BBY
2010-01-08,38.89,39.6,39.82,38.73,14180000.0,-0.0393,BBY
2010-01-11,38.23,39.02,39.02,38.0,9570000.0,-0.017,BBY
2010-01-12,38.26,38.1,38.33,37.72,6770000.0,0.0008,BBY
2010-01-13,38.71,38.36,38.83,38.31,4400000.0,0.0118,BBY
2010-01-14,38.34,38.31,38.72,38.24,4050000.0,-0.0096,BBY
2010-01-15,37.94,38.33,38.45,37.76,5810000.0,-0.0104,BBY
2010-01-19,38.1,37.88,38.39,37.66,4970000.0,0.0042,BBY
2010-01-20,37.78,37.78,38.06,37.52,5300000.0,-0.0084,BBY
2010-01-21,37.19,37.73,38.03,37.03,6830000.0,-0.015600000000000001,BBY
2010-01-22,36.2,37.12,37.24,36.11,9600000.0,-0.026600000000000002,BBY
2010-01-25,36.57,36.37,36.87,36.37,5600000.0,0.0102,BBY
2010-01-26,36.11,36.18,36.62,36.06,6950000.0,-0.0126,BBY
2010-01-27,35.98,36.3,36.48,35.89,8380000.000000001,-0.0036,BBY
2010-01-28,35.42,36.01,36.14,35.13,8300000.000000001,-0.015600000000000001,BBY
2010-01-29,35.71,35.7,36.18,35.58,9080000.0,0.008199999999999999,BBY
2010-02-01,35.82,35.88,35.99,35.67,5630000.0,0.0031,BBY
2010-02-02,36.33,35.86,36.49,35.81,5380000.0,0.014199999999999999,BBY
2010-02-03,36.08,36.18,36.51,35.97,4440000.0,-0.0069,BBY
2010-02-04,34.68,35.84,35.86,34.64,6390000.0,-0.0388,BBY
2010-02-05,34.9,34.74,34.93,34.26,7300000.0,0.0063,BBY
2010-02-08,34.56,34.9,35.32,34.56,4600000.0,-0.0097,BBY
2010-02-09,35.06,34.81,35.4,34.79,5550000.0,0.014499999999999999,BBY
2010-02-10,34.5,34.98,35.1,34.45,6440000.0,-0.016,BBY
2010-02-11,34.74,34.62,34.84,34.26,5390000.0,0.006999999999999999,BBY
2010-02-12,34.85,34.53,35.04,34.12,5200000.0,0.0032,BBY
2010-02-16,35.5,34.98,35.52,34.87,4620000.0,0.0187,BBY
2010-02-17,35.35,35.53,35.9,35.1,5790000.0,-0.0042,BBY
2010-02-18,35.23,35.1,35.32,35.02,4710000.0,-0.0034000000000000002,BBY
2010-02-19,35.41,35.08,35.56,35.08,4470000.0,0.0051,BBY
2010-02-22,35.64,35.55,35.82,35.35,5590000.0,0.006500000000000001,BBY
