Date,Close,Open,High,Low,Volume,Change,Symbol
2010-01-04,53.64,53.97,53.97,53.6,2470000.0,0.0026,BIIB
2010-01-05,53.38,54.72,55.0,53.0,4900000.0,-0.0048,BIIB
2010-01-06,53.43,53.1,53.7,52.8,5560000.0,0.0009,BIIB
2010-01-07,52.99,53.23,53.5,52.46,3660000.0,-0.008199999999999999,BIIB
2010-01-08,54.08,53.0,54.33,52.81,3000000.0,0.0206,BIIB
2010-01-11,53.9,54.1,54.35,53.53,1810000.0,-0.0033,BIIB
2010-01-12,53.25,53.66,54.03,52.94,3240000.0,-0.0121,BIIB
2010-01-13,54.08,53.33,54.33,52.96,2130000.0,0.015600000000000001,BIIB
2010-01-14,54.36,53.81,54.36,53.59,1770000.0,0.0052,BIIB
2010-01-15,54.18,54.06,54.85,53.78,3000000.0,-0.0033,BIIB
2010-01-19,55.23,54.29,55.31,54.29,2940000.0,0.0194,BIIB
2010-01-20,54.72,55.03,55.37,54.01,2630000.0,-0.0092,BIIB
2010-01-21,53.21,54.53,54.53,52.67,4730000.0,-0.0276,BIIB
2010-01-22,53.06,53.19,53.71,52.6,3170000.0,-0.0028000000000000004,BIIB
2010-01-25,52.67,53.22,53.5,52.17,2270000.0,-0.0074,BIIB
2010-01-26,53.0,52.52,53.11,52.16,2350000.0,0.0063,BIIB
2010-01-27,53.58,52.47,53.62,52.37,2960000.0,0.0109,BIIB
2010-01-28,53.27,54.28,54.51,52.6,3310000.0,-0.0058,BIIB
2010-01-29,53.74,53.31,53.91,53.01,3130000.0,0.0088,BIIB
2010-02-01,53.91,53.41,53.93,52.98,2480000.0,0.0032,BIIB
2010-02-02,54.94,53.76,54.95,53.24,2180000.0,0.0191,BIIB
2010-02-03,54.6,54.52,54.81,54.03,2160000.0,-0.0062,BIIB
2010-02-04,53.1,54.17,54.46,52.99,2800000.0,-0.0275,BIIB
2010-02-05,53.53,53.14,53.7,52.23,3640000.0,0.008100000000000001,BIIB
2010-02-08,52.84,53.54,53.56,52.47,2850000.0,-0.0129,BIIB
2010-02-09,54.09,53.88,54.88,53.33,2960000.0,0.023700000000000002,BIIB
2010-02-10,54.39,54.2,54.91,54.07,2560000.0,0.0055000000000000005,BIIB
2010-02-11,55.69,54.12,55.92,53.92,2820000.0,0.0239,BIIB
2010-02-12,55.21,55.08,55.8,54.72,2950000.0,-0.0086,BIIB
2010-02-16,55.12,55.55,55.77,54.92,3280000.0,-0.0016,BIIB
2010-02-17,56.23,55.31,56.26,55.31,2500000.0,0.020099999999999996,BIIB
2010-02-18,55.98,56.03,56.37,55.8,2590000.0,-0.0044,BIIB
