Date,Close,Open,High,Low,Volume,Change,Symbol
2018-01-23,57.72,57.48,57.96,57.18,3830000.0,0.0,BK
2018-01-24,57.77,57.86,58.33,57.37,3970000.0,0.0009,BK
2018-01-25,56.85,57.75,57.89,56.71,4550000.0,-0.0159,BK
2018-01-26,57.78,56.86,57.78,56.67,5050000.0,0.016399999999999998,BK
2018-01-29,57.52,57.39,57.94,57.26,4059999.9999999995,-0.0045000000000000005,BK
2018-01-30,56.7,57.16,57.61,56.7,4400000.0,-0.0143,BK
2018-01-31,56.7,56.69,57.16,56.38,3480000.0,0.0,BK
2018-02-01,57.5,56.68,57.55,56.38,3230000.0,0.0141,BK
2018-02-02,56.33,57.12,57.77,56.22,4360000.0,-0.0203,BK
2018-02-05,54.38,55.76,56.72,54.27,7300000.0,-0.0346,BK
2018-02-06,55.49,53.32,55.65,52.68,10570000.0,0.0204,BK
2018-02-07,55.34,55.22,56.2,55.21,6120000.0,-0.0027,BK
2018-02-08,53.29,55.3,55.64,53.24,7130000.0,-0.037000000000000005,BK
2018-02-09,54.08,53.98,54.46,52.11,6200000.0,0.0148,BK
2018-02-12,54.61,54.51,55.17,53.9,4860000.0,0.0098,BK
2018-02-13,54.81,54.36,55.0,54.12,3100000.0,0.0037,BK
2018-02-14,55.98,54.53,56.05,54.53,4070000.0000000005,0.0213,BK
2018-02-15,56.16,56.5,56.68,55.67,3220000.0,0.0032,BK
2018-02-16,56.25,55.98,56.6,55.9,3380000.0,0.0016,BK
2018-02-20,56.42,56.2,56.83,56.05,2980000.0,0.003,BK
2018-02-21,56.45,56.47,57.36,56.29,3890000.0,0.0005,BK
2018-02-22,55.9,56.74,57.41,55.8,4280000.0,-0.0097,BK
2018-02-23,56.9,56.19,56.93,56.14,3210000.0,0.0179,BK
2018-02-26,58.18,57.22,58.22,56.88,3920000.0,0.0225,BK
2018-02-27,57.99,58.2,58.67,57.97,4570000.0,-0.0033,BK
2018-02-28,57.03,58.06,58.3,56.99,5080000.0,-0.0166,BK
2018-03-01,55.51,57.04,57.19,55.12,6690000.0,-0.026699999999999998,BK
2018-03-02,55.37,55.19,55.47,54.11,5400000.0,-0.0025,BK
2018-03-05,56.41,54.98,56.68,54.8,4400000.0,0.018799999999999997,BK
2018-03-06,56.87,56.83,57.16,56.3,7010000.0,0.008199999999999999,BK
2018-03-07,56.9,56.39,57.1,56.07,5050000.0,0.0005,BK
2018-03-08,55.69,57.4,57.56,55.14,8020000.0,-0.0213,BK
2018-03-09,57.23,55.94,57.45,55.73,6570000.0,0.0277,BK
2018-03-12,56.44,57.26,57.41,56.31,4790000.0,-0.0138,BK
2018-03-13,55.96,56.69,56.83,55.81,5150000.0,-0.0085,BK
2018-03-14,54.87,56.25,56.26,54.54,5620000.0,-0.0195,BK
2018-03-15,54.85,55.01,55.09,54.51,4450000.0,-0.0004,BK
