Date,Close,Open,High,Low,Volume,Change,Symbol
2010-01-04,223.96,222.32,225.3,221.58,863160.0,0.0254,BKNG
2010-01-05,226.56,224.1,228.0,222.16,801580.0,0.0116,BKNG
2010-01-06,219.08,225.12,226.42,218.15,1010000.0,-0.033,BKNG
2010-01-07,216.13,219.62,220.5,214.12,768750.0,-0.013500000000000002,BKNG
2010-01-08,216.21,213.1,218.43,212.13,756590.0,0.0004,BKNG
2010-01-11,218.91,217.8,219.5,212.25,784530.0,0.0125,BKNG
2010-01-12,213.98,216.06,216.99,210.25,1220000.0,-0.0225,BKNG
2010-01-13,214.3,214.45,215.92,207.76,841140.0,0.0015,BKNG
2010-01-14,208.77,212.97,214.73,206.01,1400000.0,-0.0258,BKNG
2010-01-15,208.77,208.21,210.5,205.55,1210000.0,0.0,BKNG
2010-01-19,208.7,208.55,212.45,207.79,625690.0,-0.0003,BKNG
2010-01-20,206.31,206.53,211.5,203.09,673570.0,-0.0115,BKNG
2010-01-21,208.04,205.88,211.11,205.54,842910.0,0.0084,BKNG
2010-01-22,204.2,207.86,209.56,202.81,838220.0,-0.018500000000000003,BKNG
2010-01-25,202.84,205.41,206.01,199.89,653110.0,-0.0067,BKNG
2010-01-26,204.44,202.41,207.21,200.84,767310.0,0.0079,BKNG
2010-01-27,207.52,203.66,208.49,203.18,676760.0,0.0151,BKNG
2010-01-28,201.68,208.12,209.7,201.39,672410.0,-0.0281,BKNG
2010-01-29,195.35,203.96,205.0,193.46,1090000.0,-0.031400000000000004,BKNG
2010-02-01,204.2,196.52,204.53,192.72,1310000.0,0.0453,BKNG
2010-02-02,204.42,205.25,205.82,201.73,608280.0,0.0011,BKNG
2010-02-03,208.53,201.98,211.52,201.98,1050000.0,0.020099999999999996,BKNG
2010-02-04,200.01,207.3,208.51,199.71,1140000.0,-0.0409,BKNG
2010-02-05,196.96,201.0,201.91,193.37,1290000.0,-0.0152,BKNG
2010-02-08,200.62,199.45,204.16,198.53,966200.0,0.018600000000000002,BKNG
2010-02-09,205.38,203.5,206.33,203.23,991830.0,0.023700000000000002,BKNG
2010-02-10,206.4,205.8,208.44,203.63,737540.0,0.005,BKNG
2010-02-11,208.9,204.05,209.64,203.11,858210.0,0.0121,BKNG
2010-02-12,207.78,206.5,208.03,203.75,830480.0,-0.0054,BKNG
2010-02-16,211.21,208.75,212.25,208.75,847790.0,0.0165,BKNG
2010-02-17,212.87,213.29,215.73,209.37,2009999.9999999998,0.0079,BKNG
2010-02-18,232.95,227.85,235.8,226.02,3970000.0,0.0943,BKNG
2010-02-19,230.57,232.5,233.66,229.67,1410000.0,-0.0102,BKNG
2010-02-22,229.07,231.75,232.23,226.24,880590.0,-0.006500000000000001,BKNG
2010-02-23,225.09,229.45,229.5,223.6,1150000.0,-0.0174,BKNG
2010-02-24,225.02,226.0,226.87,221.06,898480.0,-0.0003,BKNG
2010-02-25,223.87,222.38,224.7,218.5,1070000.0,-0.0051,BKNG
2010-02-26,226.71,224.0,226.99,221.06,987540.0,0.0127,BKNG
2010-03-01,238.54,228.77,238.99,227.64,1660000.0,0.052199999999999996,BKNG
2010-03-02,241.34,241.04,245.0,238.9,1840000.0,0.011699999999999999,BKNG
2010-03-03,235.82,241.5,241.5,235.0,964170.0,-0.0229,BKNG
2010-03-04,233.12,233.0,237.83,229.51,1590000.0,-0.011399999999999999,BKNG
