Date,Close,Open,High,Low,Volume,Change,Symbol
2010-01-04,22.69,22.72,22.89,22.59,617890.0,0.0058,BR
2010-01-05,22.6,22.73,22.77,22.45,498240.0,-0.004,BR
2010-01-06,22.45,22.49,22.64,22.33,370010.0,-0.0066,BR
2010-01-07,22.54,22.5,22.61,22.25,417310.0,0.004,BR
2010-01-08,22.71,22.4,22.8,22.4,356710.0,0.0075,BR
2010-01-11,22.78,22.8,22.95,22.53,561120.0,0.0031,BR
2010-01-12,22.56,22.73,22.73,22.4,480020.0,-0.0097,BR
2010-01-13,22.78,22.56,22.83,22.5,306450.0,0.0098,BR
2010-01-14,22.97,22.66,23.08,22.59,531210.0,0.0083,BR
2010-01-15,22.4,23.0,23.0,22.37,575900.0,-0.0248,BR
2010-01-19,22.7,22.48,22.76,22.35,702320.0,0.0134,BR
2010-01-20,22.57,22.53,22.66,22.15,629740.0,-0.005699999999999999,BR
2010-01-21,22.23,22.53,22.66,22.15,528980.0,-0.0151,BR
2010-01-22,22.14,22.23,22.54,22.14,489780.0,-0.004,BR
2010-01-25,22.07,22.19,22.19,21.98,336420.0,-0.0032,BR
2010-01-26,21.93,21.99,22.12,21.89,394970.0,-0.0063,BR
2010-01-27,22.08,21.93,22.08,21.72,539920.0,0.0068000000000000005,BR
2010-01-28,22.0,22.04,22.1,21.61,502700.0,-0.0036,BR
2010-01-29,21.72,22.02,22.14,21.69,672070.0,-0.0127,BR
2010-02-01,21.86,21.78,21.97,21.61,524670.0,0.0064,BR
2010-02-02,21.99,21.84,22.07,21.73,568030.0,0.0059,BR
2010-02-03,21.97,21.97,22.26,21.81,839970.0,-0.0009,BR
2010-02-04,22.04,22.54,23.27,21.99,2520000.0,0.0032,BR
2010-02-05,21.5,21.96,21.98,21.23,1740000.0,-0.0245,BR
2010-02-08,21.39,21.48,21.64,21.3,1620000.0,-0.0051,BR
2010-02-09,21.05,21.55,21.65,20.98,1510000.0,-0.0159,BR
2010-02-10,21.04,21.05,21.19,20.99,954550.0,-0.0005,BR
2010-02-11,20.93,21.06,21.17,20.88,732750.0,-0.0052,BR
2010-02-12,21.42,20.82,21.42,20.73,1050000.0,0.023399999999999997,BR
2010-02-16,21.64,21.41,21.66,21.3,512159.99999999994,0.0103,BR
2010-02-17,21.83,21.61,21.84,21.5,677740.0,0.0088,BR
2010-02-18,21.78,21.77,21.81,21.62,932660.0,-0.0023,BR
2010-02-19,21.65,21.7,21.77,21.55,890250.0,-0.006,BR
2010-02-22,21.6,21.75,21.75,21.53,992590.0,-0.0023,BR
2010-02-23,21.41,21.51,21.62,21.3,712800.0,-0.0088,BR
2010-02-24,21.08,21.42,21.42,21.03,975060.0,-0.0154,BR
2010-02-25,21.01,20.93,21.07,20.77,1430000.0,-0.0033,BR
2010-02-26,21.04,20.94,21.08,20.77,899150.0,0.0014000000000000002,BR
2010-03-01,21.41,21.11,21.45,21.07,865050.0,0.0176,BR
2010-03-02,21.42,21.41,21.52,21.32,729510.0,0.0005,BR
2010-03-03,21.28,21.38,21.44,21.11,1060000.0,-0.006500000000000001,BR
2010-03-04,21.36,21.27,21.39,21.22,945680.0,0.0038,BR
2010-03-05,21.7,21.4,21.75,21.28,2089999.9999999998,0.0159,BR
2010-03-08,21.44,21.68,21.7,21.39,1260000.0,-0.012,BR
2010-03-09,22.03,21.36,22.18,21.36,1150000.0,0.0275,BR
2010-03-10,22.28,21.97,22.37,21.95,1040000.0,0.0113,BR
2010-03-11,22.15,22.04,22.18,21.86,656500.0,-0.0058,BR
2010-03-12,22.2,22.22,22.23,21.98,872610.0,0.0023,BR
2010-03-15,22.07,22.11,22.17,21.87,781090.0,-0.0059,BR
2010-03-16,22.08,22.07,22.19,22.0,587130.0,0.0005,BR
2010-03-17,22.29,22.11,22.33,22.05,671340.0,0.0095,BR
2010-03-18,22.19,22.27,22.4,22.14,827850.0,-0.0045000000000000005,BR
2010-03-19,21.95,22.4,22.56,21.95,1180000.0,-0.0108,BR
2010-03-22,22.13,21.91,22.16,21.87,592990.0,0.008199999999999999,BR
2010-03-23,21.74,22.16,22.25,21.67,1630000.0,-0.0176,BR
2010-03-24,21.61,21.65,21.77,21.52,595260.0,-0.006,BR
2010-03-25,21.54,21.7,21.89,21.53,637930.0,-0.0032,BR
2010-03-26,21.37,21.55,21.68,21.32,546510.0,-0.0079,BR
2010-03-29,21.72,21.47,22.07,21.45,928100.0,0.016399999999999998,BR
2010-03-30,21.62,21.62,21.82,21.51,696910.0,-0.0046,BR
2010-03-31,21.38,21.55,21.61,21.34,1010000.0,-0.0111,BR
2010-04-01,21.32,21.4,21.48,21.26,804900.0,-0.0028000000000000004,BR
2010-04-05,21.28,21.33,21.41,21.17,947490.0,-0.0019,BR
2010-04-06,21.27,21.16,21.37,21.07,1240000.0,-0.0005,BR
2010-04-07,21.31,21.3,21.4,21.18,1140000.0,0.0019,BR
2010-04-08,21.32,21.2,21.35,21.1,939360.0,0.0005,BR
2010-04-09,21.85,21.33,21.86,21.26,960460.0,0.024900000000000002,BR
2010-04-12,21.95,21.85,22.0,21.62,1010000.0,0.0046,BR
2010-04-13,21.87,21.88,21.98,21.7,675530.0,-0.0036,BR
2010-04-14,22.64,21.92,22.66,21.92,1640000.0,0.0352,BR
2010-04-15,22.66,22.57,22.71,22.44,1110000.0,0.0009,BR
2010-04-16,22.57,22.56,22.95,22.56,1080000.0,-0.004,BR
2010-04-19,22.54,22.53,22.69,22.32,1100000.0,-0.0013,BR
2010-04-20,22.78,22.6,22.84,22.55,498820.0,0.0106,BR
2010-04-21,22.79,22.74,22.98,22.72,774000.0,0.0004,BR
2010-04-22,23.37,22.62,23.4,22.54,1130000.0,0.0254,BR
2010-04-23,23.31,23.33,23.5,23.1,630190.0,-0.0026,BR
2010-04-26,23.49,23.24,23.62,23.18,955290.0,0.0077,BR
2010-04-27,23.18,23.36,23.69,22.99,1590000.0,-0.0132,BR
2010-04-28,23.54,23.4,23.56,23.25,1330000.0,0.0155,BR
2010-04-29,23.86,23.71,23.95,23.66,1130000.0,0.013600000000000001,BR
2010-04-30,23.81,23.92,24.0,23.76,1530000.0,-0.0021,BR
2010-05-03,24.0,23.83,24.02,23.77,979650.0,0.008,BR
2010-05-04,23.7,23.78,23.88,23.52,979130.0,-0.0125,BR
2010-05-05,23.4,23.57,23.8,23.31,1410000.0,-0.0127,BR
2010-05-06,23.23,23.38,23.82,22.56,2250000.0,-0.0073,BR
2010-05-07,22.67,23.26,23.29,22.6,1950000.0,-0.0241,BR
2010-05-10,22.25,23.73,23.81,22.01,2980000.0,-0.018500000000000003,BR
2010-05-11,22.01,22.03,22.21,21.9,1340000.0,-0.0108,BR
2010-05-12,21.94,22.1,22.26,21.86,1490000.0,-0.0032,BR
2010-05-13,21.99,21.96,22.49,21.95,1190000.0,0.0023,BR
2010-05-14,21.6,21.87,21.96,21.54,1560000.0,-0.0177,BR
2010-05-17,21.32,21.61,21.83,21.2,1690000.0,-0.013000000000000001,BR
2010-05-18,21.06,21.5,21.62,20.89,2580000.0,-0.012199999999999999,BR
2010-05-19,20.72,20.93,20.93,20.44,2600000.0,-0.0161,BR
2010-05-20,19.92,20.43,20.53,19.91,1900000.0,-0.038599999999999995,BR
2010-05-21,20.5,19.76,20.52,19.66,2550000.0,0.0291,BR
2010-05-24,19.5,20.41,20.61,19.5,2730000.0,-0.048799999999999996,BR
2010-05-25,18.91,19.2,19.25,18.51,3930000.0,-0.030299999999999997,BR
2010-05-26,18.82,19.01,19.32,18.75,1970000.0,-0.0048,BR
2010-05-27,19.28,19.1,19.28,18.88,1500000.0,0.024399999999999998,BR
2010-05-28,19.12,19.15,19.42,18.8,1630000.0,-0.0083,BR
2010-06-01,18.8,19.08,19.32,18.79,1330000.0,-0.0167,BR
2010-06-02,18.81,18.91,18.97,18.51,1290000.0,0.0005,BR
2010-06-03,18.96,18.9,19.09,18.75,1060000.0,0.008,BR
2010-06-04,18.66,18.7,18.97,18.6,2290000.0,-0.0158,BR
2010-06-07,18.63,18.65,19.12,18.56,2750000.0,-0.0016,BR
2010-06-08,19.43,18.76,19.46,18.67,2900000.0,0.0429,BR
2010-06-09,18.99,19.46,19.6,18.98,2000000.0,-0.0226,BR
2010-06-10,19.65,19.24,19.73,19.18,1320000.0,0.0348,BR
2010-06-11,19.55,19.32,19.72,19.06,1370000.0,-0.0051,BR
2010-06-14,19.31,19.6,19.64,19.29,1390000.0,-0.0123,BR
2010-06-15,19.49,19.33,19.51,19.33,1790000.0,0.009300000000000001,BR
2010-06-16,19.51,19.36,19.7,19.36,1610000.0,0.001,BR
2010-06-17,19.73,19.56,19.85,19.51,1220000.0,0.0113,BR
2010-06-18,19.84,19.81,19.99,19.7,1230000.0,0.005600000000000001,BR
2010-06-21,19.78,20.01,20.13,19.73,1140000.0,-0.003,BR
2010-06-22,19.58,19.72,20.03,19.57,976020.0,-0.0101,BR
2010-06-23,19.48,19.52,19.62,19.35,1080000.0,-0.0051,BR
2010-06-24,19.3,19.35,19.56,19.28,1170000.0,-0.0092,BR
2010-06-25,19.17,19.39,19.39,19.03,2230000.0,-0.0067,BR
2010-06-28,19.44,19.52,19.61,19.23,1660000.0,0.0141,BR
2010-06-29,19.02,19.3,19.33,18.89,1570000.0,-0.0216,BR
2010-06-30,19.05,18.97,19.4,18.97,1430000.0,0.0016,BR
2010-07-01,19.09,19.23,19.25,18.75,1170000.0,0.0021,BR
2010-07-02,19.23,19.21,19.45,19.16,1080000.0,0.0073,BR
2010-07-06,18.96,19.46,19.46,18.85,1370000.0,-0.013999999999999999,BR
2010-07-07,19.88,19.03,19.88,19.03,1250000.0,0.048499999999999995,BR
2010-07-08,20.31,19.98,20.35,19.94,1420000.0,0.0216,BR
2010-07-09,20.34,20.34,20.38,20.16,928280.0,0.0015,BR
2010-07-12,20.32,20.32,20.58,20.22,717390.0,-0.001,BR
2010-07-13,20.52,20.47,20.66,20.21,2390000.0,0.0098,BR
2010-07-14,20.57,20.53,20.66,20.4,801510.0,0.0024,BR
2010-07-15,20.55,20.57,20.67,20.31,827540.0,-0.001,BR
2010-07-16,20.13,20.42,20.54,20.09,891630.0,-0.0204,BR
2010-07-19,20.15,20.22,20.34,20.09,1020000.0,0.001,BR
2010-07-20,20.45,20.09,20.48,19.98,711990.0,0.0149,BR
