Date,Close,Open,High,Low,Volume,Change,Symbol
2010-01-04,34.0,33.6,34.1,33.4,40680000.0,0.027200000000000002,C
2010-01-05,35.3,34.2,35.5,34.1,66860000.0,0.0382,C
2010-01-06,36.4,35.6,36.8,35.1,67430000.0,0.031200000000000002,C
2010-01-07,36.5,36.9,37.0,36.1,67250000.0,0.0027,C
2010-01-08,35.9,36.5,36.7,35.1,62410000.0,-0.016399999999999998,C
2010-01-11,36.3,36.6,36.7,36.0,47560000.0,0.0111,C
2010-01-12,35.2,35.9,36.1,34.8,47010000.0,-0.030299999999999997,C
2010-01-13,35.0,35.4,35.9,35.0,41040000.0,-0.005699999999999999,C
2010-01-14,35.1,35.6,35.6,35.0,27480000.0,0.0029,C
2010-01-15,34.2,34.9,35.0,34.0,54050000.0,-0.0256,C
2010-01-19,35.4,33.4,35.6,33.0,80790000.0,0.0351,C
2010-01-20,34.6,35.1,36.0,34.5,47940000.0,-0.0226,C
2010-01-21,32.7,34.5,34.6,32.0,95970000.0,-0.054900000000000004,C
2010-01-22,32.5,32.75,33.9,32.2,65470000.0,-0.0060999999999999995,C
2010-01-25,32.3,33.1,33.3,32.1,49750000.0,-0.0062,C
2010-01-26,31.5,32.2,32.7,31.5,45890000.0,-0.0248,C
2010-01-27,32.0,31.7,32.3,31.4,55890000.0,0.0159,C
2010-01-28,32.4,32.5,32.9,32.0,51350000.0,0.0125,C
2010-01-29,33.2,32.7,33.4,32.7,67960000.0,0.024700000000000003,C
2010-02-01,33.4,33.6,33.7,33.1,23580000.0,0.006,C
2010-02-02,34.1,33.5,34.1,33.2,33420000.0,0.021,C
2010-02-03,33.7,33.9,34.6,33.7,27200000.0,-0.011699999999999999,C
2010-02-04,31.8,33.4,33.5,31.7,45030000.0,-0.0564,C
2010-02-05,32.2,32.1,32.4,31.5,46750000.0,0.0126,C
2010-02-08,31.5,32.3,32.4,31.5,25620000.0,-0.0217,C
2010-02-09,31.8,31.9,32.3,31.1,49880000.0,0.0095,C
2010-02-10,32.0,31.8,32.0,31.4,25500000.0,0.0063,C
2010-02-11,32.1,31.9,32.2,31.7,23690000.0,0.0031,C
2010-02-12,31.8,31.7,32.1,31.5,18930000.0,-0.009300000000000001,C
2010-02-16,33.1,32.2,33.3,32.1,33229999.999999996,0.0409,C
2010-02-17,34.1,33.8,34.5,33.6,57570000.0,0.0302,C
2010-02-18,34.3,34.0,34.7,33.9,28870000.0,0.0059,C
2010-02-19,34.2,34.0,34.4,33.9,27820000.0,-0.0029,C
2010-02-22,34.6,34.4,34.8,34.1,23360000.0,0.011699999999999999,C
2010-02-23,33.5,34.4,34.8,33.5,28290000.0,-0.0318,C
2010-02-24,34.5,33.7,34.5,33.7,29260000.0,0.029900000000000003,C
2010-02-25,33.9,33.9,34.0,33.6,26000000.0,-0.0174,C
2010-02-26,34.0,33.9,34.5,33.8,17860000.0,0.0029,C
2010-03-01,33.9,34.2,34.4,33.44,15570000.0,-0.0029,C
2010-03-02,34.0,34.1,34.4,33.9,16430000.0,0.0029,C
2010-03-03,34.0,34.1,34.3,33.9,16360000.0,0.0,C
2010-03-04,34.3,34.1,34.8,33.9,31940000.0,0.0088,C
2010-03-05,35.0,34.7,35.0,34.5,31910000.0,0.0204,C
2010-03-08,35.6,35.4,36.0,35.4,45990000.0,0.0171,C
2010-03-09,38.2,35.5,38.6,35.4,110630000.0,0.073,C
2010-03-10,39.6,39.6,40.7,39.2,121210000.0,0.0366,C
2010-03-11,41.8,39.8,41.8,39.5,120040000.0,0.0556,C
2010-03-12,39.7,42.05,42.2,39.4,127980000.0,-0.050199999999999995,C
2010-03-15,38.9,38.8,39.4,38.3,63600000.0,-0.0202,C
2010-03-16,40.5,39.5,40.68,39.2,54320000.0,0.041100000000000005,C
2010-03-17,40.5,41.0,41.7,39.9,68060000.0,0.0,C
2010-03-18,40.2,40.9,40.9,40.0,35020000.0,-0.0074,C
2010-03-19,39.0,40.3,40.5,39.0,55800000.0,-0.029900000000000003,C
2010-03-22,40.4,38.9,41.03,38.8,50010000.0,0.0359,C
2010-03-23,41.3,40.9,41.5,40.74,44340000.0,0.0223,C
2010-03-24,41.5,41.0,41.9,41.0,46670000.0,0.0048,C
2010-03-25,42.7,42.4,43.8,42.3,97150000.0,0.028900000000000002,C
2010-03-26,43.1,43.4,43.7,42.6,58730000.0,0.009399999999999999,C
2010-03-29,41.8,43.8,44.1,41.1,88630000.0,-0.0302,C
2010-03-30,40.9,41.3,41.8,40.5,62440000.0,-0.0215,C
2010-03-31,40.5,40.8,41.1,40.1,55040000.0,-0.0098,C
2010-04-01,41.8,41.1,41.8,40.2,30210000.0,0.0321,C
2010-04-05,42.6,42.7,42.8,42.3,34450000.0,0.0191,C
2010-04-06,42.9,42.7,43.0,42.5,31810000.0,0.006999999999999999,C
2010-04-07,43.6,43.1,44.0,43.0,62150000.0,0.0163,C
2010-04-08,44.7,43.5,44.9,43.1,55940000.0,0.0252,C
2010-04-09,45.5,45.4,45.7,45.2,66450000.0,0.0179,C
2010-04-12,46.4,46.25,46.4,45.8,43480000.0,0.019799999999999998,C
2010-04-13,46.2,46.2,46.83,45.9,59680000.0,-0.0043,C
2010-04-14,49.3,47.2,49.4,47.0,103950000.0,0.06709999999999999,C
2010-04-15,48.1,49.9,50.7,47.4,153650000.0,-0.024300000000000002,C
