Date,Close,Open,High,Low,Volume,Change,Symbol
2010-01-04,32.53,32.24,32.66,31.9,3820000.0,0.009000000000000001,CAH
2010-01-05,32.24,32.42,32.6,32.15,3020000.0,-0.0089,CAH
2010-01-06,31.71,32.38,32.38,31.58,3860000.0,-0.016399999999999998,CAH
2010-01-07,31.7,31.7,32.05,31.42,4740000.0,-0.0003,CAH
2010-01-08,31.6,31.71,31.86,31.48,3850000.0,-0.0032,CAH
2010-01-11,32.02,31.6,32.32,31.6,7570000.0,0.013300000000000001,CAH
2010-01-12,31.83,32.06,32.06,31.67,3760000.0,-0.0059,CAH
2010-01-13,32.01,31.95,32.14,31.91,4810000.0,0.005699999999999999,CAH
2010-01-14,32.62,32.11,32.67,31.89,5300000.0,0.0191,CAH
2010-01-15,32.34,32.62,32.62,32.21,2660000.0,-0.0086,CAH
2010-01-19,33.08,32.45,33.16,32.44,2340000.0,0.0229,CAH
2010-01-20,32.82,33.0,33.28,32.52,3380000.0,-0.0079,CAH
2010-01-21,32.03,32.74,32.8,31.61,4780000.0,-0.0241,CAH
2010-01-22,31.97,31.72,32.31,31.72,6570000.0,-0.0019,CAH
2010-01-25,32.21,32.28,32.58,32.13,4390000.0,0.0075,CAH
2010-01-26,32.39,32.2,32.59,31.92,3510000.0,0.005600000000000001,CAH
2010-01-27,31.31,32.41,32.41,31.3,7320000.0,-0.0333,CAH
2010-01-28,32.91,33.0,33.52,32.5,10180000.0,0.051100000000000007,CAH
2010-01-29,33.07,33.71,33.8,33.03,5750000.0,0.0049,CAH
2010-02-01,33.66,33.18,33.66,32.79,4380000.0,0.0178,CAH
2010-02-02,34.25,33.77,34.42,33.67,5150000.0,0.0175,CAH
2010-02-03,33.71,34.17,34.19,33.5,3030000.0,-0.0158,CAH
2010-02-04,32.6,33.69,33.69,32.55,5340000.0,-0.0329,CAH
2010-02-05,32.47,32.28,32.49,31.89,4210000.0,-0.004,CAH
2010-02-08,32.26,32.37,32.64,32.2,2810000.0,-0.006500000000000001,CAH
2010-02-09,32.64,32.49,32.93,32.36,2390000.0,0.0118,CAH
2010-02-10,32.16,32.54,32.59,32.02,2790000.0,-0.0147,CAH
2010-02-11,33.25,33.08,33.36,32.55,4560000.0,0.0339,CAH
2010-02-12,33.38,33.06,33.45,32.7,3680000.0,0.0039000000000000003,CAH
2010-02-16,33.54,33.61,33.67,33.19,3830000.0,0.0048,CAH
2010-02-17,33.75,33.69,33.8,33.21,3150000.0,0.0063,CAH
2010-02-18,33.77,33.74,33.97,33.65,2590000.0,0.0006,CAH
2010-02-19,33.83,33.65,33.87,33.4,3120000.0,0.0018,CAH
2010-02-22,33.67,33.95,33.95,33.42,2610000.0,-0.004699999999999999,CAH
2010-02-23,32.99,33.53,33.62,32.92,3070000.0,-0.0202,CAH
2010-02-24,33.26,33.21,33.43,33.0,3650000.0,0.008199999999999999,CAH
