Date,Close,Open,High,Low,Volume,Change,Symbol
2010-01-04,32.06,32.29,32.76,31.95,5370000.0,0.011699999999999999,CCL
2010-01-05,32.37,32.28,32.54,32.2,3200000.0,0.0097,CCL
2010-01-06,31.79,32.29,32.57,31.75,6170000.0,-0.0179,CCL
2010-01-07,32.14,32.12,32.36,31.9,3470000.0,0.011000000000000001,CCL
2010-01-08,33.22,32.82,33.29,32.64,4950000.0,0.0336,CCL
2010-01-11,33.42,33.59,33.66,33.3,3970000.0,0.006,CCL
2010-01-12,32.88,32.97,33.11,32.5,3570000.0,-0.016200000000000003,CCL
2010-01-13,34.05,33.09,34.11,32.96,5120000.0,0.0356,CCL
2010-01-14,35.07,33.98,35.27,33.97,5420000.0,0.03,CCL
2010-01-15,34.23,34.88,35.07,33.95,3800000.0,-0.024,CCL
2010-01-19,35.01,34.63,35.22,34.41,3160000.0,0.022799999999999997,CCL
2010-01-20,34.31,34.91,35.0,33.99,4019999.9999999995,-0.02,CCL
2010-01-21,34.21,35.13,35.4,34.14,5660000.0,-0.0029,CCL
2010-01-22,33.3,33.96,34.09,33.28,3940000.0,-0.026600000000000002,CCL
2010-01-25,33.56,34.17,34.17,33.44,2750000.0,0.0078000000000000005,CCL
2010-01-26,33.74,34.01,34.14,33.67,2860000.0,0.0054,CCL
2010-01-27,33.88,33.73,33.94,33.36,3140000.0,0.0040999999999999995,CCL
2010-01-28,34.41,34.55,34.84,34.01,4460000.0,0.015600000000000001,CCL
2010-01-29,33.33,34.54,34.54,33.27,4950000.0,-0.031400000000000004,CCL
2010-02-01,34.14,33.76,34.16,33.76,3670000.0,0.024300000000000002,CCL
2010-02-02,34.59,34.71,34.71,34.33,3620000.0,0.0132,CCL
2010-02-03,34.59,34.43,34.75,34.34,3550000.0,0.0,CCL
2010-02-04,32.9,33.83,34.16,32.87,4930000.0,-0.0489,CCL
2010-02-05,32.53,32.72,32.82,31.84,4680000.0,-0.011200000000000002,CCL
2010-02-08,33.16,32.44,33.58,32.2,5490000.0,0.0194,CCL
2010-02-09,32.8,33.4,33.53,32.73,5080000.0,-0.0109,CCL
2010-02-10,32.61,33.02,33.12,32.5,4210000.0,-0.0058,CCL
2010-02-11,33.18,32.58,33.22,32.32,4139999.9999999995,0.0175,CCL
2010-02-12,32.82,32.74,32.91,32.49,3910000.0,-0.0108,CCL
2010-02-16,33.48,33.21,33.61,33.08,3230000.0,0.020099999999999996,CCL
2010-02-17,34.01,33.85,34.12,33.75,4150000.0000000005,0.0158,CCL
2010-02-18,33.78,33.95,34.07,33.71,5540000.0,-0.0068000000000000005,CCL
2010-02-19,33.89,34.04,34.21,33.79,5420000.0,0.0033,CCL
2010-02-22,34.11,34.18,34.34,33.9,2870000.0,0.006500000000000001,CCL
2010-02-23,33.67,33.82,34.02,33.44,2550000.0,-0.0129,CCL
2010-02-24,35.8,34.32,35.91,34.25,13060000.0,0.0633,CCL
2010-02-25,35.66,34.92,35.71,34.88,5850000.0,-0.0039000000000000003,CCL
2010-02-26,35.96,34.96,36.16,34.96,5240000.0,0.0084,CCL
2010-03-01,36.1,35.71,36.1,35.62,2460000.0,0.0039000000000000003,CCL
2010-03-02,35.75,36.6,36.78,35.71,5760000.0,-0.0097,CCL
2010-03-03,35.71,36.14,36.17,35.55,3510000.0,-0.0011,CCL
2010-03-04,36.15,35.99,36.23,35.83,3630000.0,0.0123,CCL
2010-03-05,37.04,36.39,37.11,36.26,4860000.0,0.0246,CCL
2010-03-08,36.94,36.89,37.24,36.76,2860000.0,-0.0027,CCL
2010-03-09,36.94,36.49,37.19,36.32,2760000.0,0.0,CCL
2010-03-10,37.17,36.62,37.36,36.57,2670000.0,0.0062,CCL
2010-03-11,37.25,36.95,37.27,36.7,2640000.0,0.0022,CCL
2010-03-12,37.49,37.45,37.6,37.04,2660000.0,0.0064,CCL
2010-03-15,37.15,37.1,37.2,36.82,3140000.0,-0.0091,CCL
2010-03-16,37.12,37.15,37.23,36.78,3700000.0,-0.0008,CCL
2010-03-17,37.6,37.44,37.78,37.19,3480000.0,0.0129,CCL
2010-03-18,37.66,37.58,37.78,37.35,1940000.0,0.0016,CCL
