Date,Close,Open,High,Low,Volume,Change,Symbol
2010-01-04,37.75,38.26,38.48,37.61,481200.0,-0.0097,COO
2010-01-05,38.19,37.52,38.21,37.48,310850.0,0.011699999999999999,COO
2010-01-06,38.17,37.94,38.48,37.86,390700.0,-0.0005,COO
2010-01-07,38.57,37.9,38.7,37.78,350520.0,0.0105,COO
2010-01-08,37.95,38.25,38.43,37.79,235770.0,-0.0161,COO
2010-01-11,38.0,38.0,38.15,37.7,206280.0,0.0013,COO
2010-01-12,37.63,37.62,38.22,37.54,203680.0,-0.0097,COO
2010-01-13,38.66,37.76,38.66,37.74,329980.0,0.0274,COO
2010-01-14,38.52,38.36,38.9,38.11,554230.0,-0.0036,COO
2010-01-15,37.69,38.26,38.31,37.58,354510.0,-0.0215,COO
2010-01-19,38.25,37.81,38.59,37.71,243620.0,0.0149,COO
2010-01-20,38.07,38.06,38.34,37.97,230850.0,-0.004699999999999999,COO
2010-01-21,37.04,38.26,38.26,36.51,498890.0,-0.0271,COO
2010-01-22,36.67,37.02,37.29,36.53,435340.0,-0.01,COO
2010-01-25,36.44,36.82,37.06,36.12,640110.0,-0.0063,COO
2010-01-26,36.16,36.35,36.76,35.91,264260.0,-0.0077,COO
2010-01-27,35.83,36.01,36.26,35.43,312300.0,-0.0091,COO
2010-01-28,35.43,36.05,36.06,35.36,228810.0,-0.011200000000000002,COO
2010-01-29,35.32,35.67,35.85,35.32,327550.0,-0.0031,COO
2010-02-01,35.15,35.66,35.68,34.9,558970.0,-0.0048,COO
2010-02-02,35.8,35.15,35.95,35.15,645420.0,0.018500000000000003,COO
2010-02-03,35.26,35.77,35.8,35.26,200380.0,-0.0151,COO
2010-02-04,36.45,35.1,36.59,34.85,676970.0,0.0337,COO
2010-02-05,36.17,36.42,36.49,35.8,465920.0,-0.0077,COO
2010-02-08,36.2,36.26,36.73,36.06,229770.0,0.0008,COO
2010-02-09,36.65,36.3,36.75,35.87,359700.0,0.0124,COO
2010-02-10,36.97,36.69,37.05,36.35,399990.0,0.0087,COO
2010-02-11,37.66,36.85,37.67,36.75,318850.0,0.0187,COO
2010-02-12,38.33,37.55,38.4,37.26,773900.0,0.0178,COO
2010-02-16,38.14,38.39,38.47,37.61,288460.0,-0.005,COO
2010-02-17,38.73,38.11,38.8,38.11,254160.0,0.0155,COO
2010-02-18,38.42,38.51,38.61,38.09,205570.0,-0.008,COO
2010-02-19,38.44,38.23,38.6,38.08,179980.0,0.0005,COO
2010-02-22,39.18,38.57,39.23,38.03,433410.0,0.019299999999999998,COO
2010-02-23,39.18,39.17,39.46,38.76,655880.0,0.0,COO
2010-02-24,40.08,39.14,40.19,39.08,391890.0,0.023,COO
2010-02-25,40.2,39.75,40.24,39.65,445670.0,0.003,COO
2010-02-26,40.06,40.11,40.41,39.84,419900.0,-0.0034999999999999996,COO
2010-03-01,40.71,40.28,40.98,40.02,311120.0,0.016200000000000003,COO
2010-03-02,40.96,40.7,41.0,40.49,399130.0,0.0060999999999999995,COO
2010-03-03,39.77,41.18,41.24,39.71,624690.0,-0.0291,COO
2010-03-04,40.2,40.0,40.29,39.8,492810.0,0.0108,COO
2010-03-05,38.51,39.41,40.14,38.15,1300000.0,-0.042,COO
