Date,Close,Open,High,Low,Volume,Change,Symbol
2010-01-04,18.2,18.36,18.47,18.18,585810.0,-0.006,CPRT
2010-01-05,18.2,18.2,18.27,18.11,328870.0,0.0,CPRT
2010-01-06,18.12,18.15,18.23,18.09,308610.0,-0.0044,CPRT
2010-01-07,18.02,18.05,18.12,17.89,456630.0,-0.0055000000000000005,CPRT
2010-01-08,18.07,17.95,18.07,17.85,635430.0,0.0028000000000000004,CPRT
2010-01-11,18.0,18.07,18.19,17.88,303590.0,-0.0039000000000000003,CPRT
2010-01-12,17.88,17.88,17.93,17.8,369050.0,-0.0067,CPRT
2010-01-13,17.73,17.86,17.89,17.68,841270.0,-0.0084,CPRT
2010-01-14,17.87,17.65,17.88,17.52,620590.0,0.0079,CPRT
2010-01-15,17.59,17.91,17.91,17.48,262390.0,-0.015700000000000002,CPRT
2010-01-19,17.77,17.55,17.77,17.45,385970.0,0.0102,CPRT
2010-01-20,17.64,17.62,17.7,17.39,363850.0,-0.0073,CPRT
2010-01-21,17.41,17.61,17.99,17.39,451370.0,-0.013000000000000001,CPRT
2010-01-22,17.14,17.45,17.49,17.11,348980.0,-0.0155,CPRT
2010-01-25,17.35,17.29,17.41,17.25,452870.0,0.0123,CPRT
2010-01-26,17.32,17.3,17.38,17.19,402010.0,-0.0017000000000000001,CPRT
2010-01-27,17.33,17.23,17.41,17.18,408540.0,0.0006,CPRT
2010-01-28,17.07,17.31,17.31,17.0,433220.0,-0.015,CPRT
2010-01-29,16.88,17.11,17.16,16.86,556940.0,-0.0111,CPRT
2010-02-01,17.01,16.91,17.01,16.66,837080.0,0.0077,CPRT
2010-02-02,17.2,16.98,17.26,16.93,593390.0,0.011200000000000002,CPRT
2010-02-03,17.09,17.12,17.33,16.99,455010.0,-0.0064,CPRT
2010-02-04,16.58,17.02,17.03,16.52,815030.0,-0.0298,CPRT
2010-02-05,16.61,16.52,16.61,16.39,833470.0,0.0018,CPRT
2010-02-08,16.55,16.66,16.72,16.52,256940.0,-0.0036,CPRT
2010-02-09,16.61,16.72,16.95,16.54,331370.0,0.0036,CPRT
2010-02-10,16.53,16.53,16.64,16.44,408930.0,-0.0048,CPRT
2010-02-11,16.7,16.5,16.7,16.45,568030.0,0.0103,CPRT
2010-02-12,16.85,16.62,16.92,16.55,641330.0,0.009000000000000001,CPRT
2010-02-16,17.63,17.41,17.79,17.34,1630000.0,0.0463,CPRT
2010-02-17,17.72,17.71,18.0,17.57,879500.0,0.0051,CPRT
2010-02-18,17.96,17.78,18.0,17.7,554120.0,0.013500000000000002,CPRT
