Date,Close,Open,High,Low,Volume,Change,Symbol
2010-01-04,18.7,18.65,18.88,18.55,7910000.0,0.0141,CRM
2010-01-05,18.62,18.61,18.75,18.2,7940000.0,-0.0043,CRM
2010-01-06,18.59,18.69,18.75,18.5,5120000.0,-0.0016,CRM
2010-01-07,18.51,18.63,18.74,18.39,4840000.0,-0.0043,CRM
2010-01-08,18.54,18.52,18.59,18.32,5510000.0,0.0016,CRM
2010-01-11,18.41,18.65,18.67,18.2,6400000.0,-0.006999999999999999,CRM
2010-01-12,17.07,17.61,17.62,17.07,21050000.0,-0.0728,CRM
2010-01-13,17.12,17.07,17.2,16.74,20650000.0,0.0029,CRM
2010-01-14,17.3,17.12,17.43,17.12,10400000.0,0.0105,CRM
2010-01-15,17.16,17.26,17.39,17.02,8560000.0,-0.008100000000000001,CRM
2010-01-19,17.38,17.15,17.47,17.04,6250000.0,0.0128,CRM
2010-01-20,17.14,17.2,17.29,16.88,7260000.0,-0.0138,CRM
2010-01-21,16.72,17.16,17.38,16.65,8950000.0,-0.0245,CRM
2010-01-22,16.14,16.68,16.73,16.09,8790000.0,-0.0347,CRM
2010-01-25,16.03,16.37,16.4,15.87,9870000.0,-0.0068000000000000005,CRM
2010-01-26,16.35,16.04,16.55,15.84,10370000.0,0.02,CRM
2010-01-27,16.35,16.35,16.41,16.1,5950000.0,0.0,CRM
2010-01-28,16.04,16.31,16.32,15.86,5680000.0,-0.019,CRM
2010-01-29,15.89,16.2,16.29,15.8,6280000.0,-0.009399999999999999,CRM
2010-02-01,16.3,16.0,16.32,15.91,5640000.0,0.0258,CRM
2010-02-02,16.27,16.31,16.39,16.02,4660000.0,-0.0018,CRM
2010-02-03,16.41,16.2,16.56,16.1,4730000.0,0.0086,CRM
2010-02-04,15.61,16.21,16.27,15.46,11800000.0,-0.048799999999999996,CRM
2010-02-05,15.52,15.62,15.62,15.07,12440000.0,-0.0058,CRM
2010-02-08,15.53,15.52,15.76,15.31,5060000.0,0.0006,CRM
2010-02-09,16.16,15.67,16.23,15.67,9100000.0,0.0406,CRM
2010-02-10,16.18,16.2,16.23,16.01,6860000.0,0.0012,CRM
2010-02-11,16.49,16.19,16.53,15.96,6450000.0,0.0192,CRM
2010-02-12,16.27,16.36,16.41,16.05,8150000.0,-0.013300000000000001,CRM
2010-02-16,16.55,16.37,16.61,16.33,5510000.0,0.0172,CRM
2010-02-17,16.7,16.56,16.83,16.56,6670000.0,0.0091,CRM
2010-02-18,17.11,16.91,17.23,16.86,8359999.999999999,0.0246,CRM
2010-02-19,17.23,17.03,17.37,17.0,7200000.0,0.006999999999999999,CRM
2010-02-22,17.26,17.33,17.38,17.18,5120000.0,0.0017000000000000001,CRM
2010-02-23,17.06,17.18,17.35,16.98,5600000.0,-0.0116,CRM
2010-02-24,17.36,17.08,17.5,17.02,10460000.0,0.0176,CRM
2010-02-25,17.0,17.21,17.21,16.19,19950000.0,-0.0207,CRM
2010-02-26,16.99,16.82,17.02,16.62,10080000.0,-0.0006,CRM
2010-03-01,17.73,16.93,17.85,16.88,10420000.0,0.0436,CRM
2010-03-02,17.96,17.7,18.09,17.66,8080000.0,0.013000000000000001,CRM
2010-03-03,17.64,17.99,18.07,17.62,5990000.0,-0.0178,CRM
2010-03-04,17.72,17.68,17.73,17.5,5520000.0,0.0045000000000000005,CRM
2010-03-05,18.07,17.8,18.25,17.8,7000000.0,0.019799999999999998,CRM
2010-03-08,18.24,18.08,18.4,18.03,5850000.0,0.009399999999999999,CRM
2010-03-09,18.42,18.02,18.55,17.97,9360000.0,0.009899999999999999,CRM
2010-03-10,18.8,18.41,18.85,18.41,8220000.000000001,0.0206,CRM
2010-03-11,18.86,18.7,18.88,18.64,6590000.0,0.0032,CRM
2010-03-12,18.93,18.93,19.09,18.78,4139999.9999999995,0.0037,CRM
2010-03-15,18.9,18.85,18.94,18.64,5660000.0,-0.0016,CRM
2010-03-16,19.17,18.87,19.27,18.86,7890000.0,0.0143,CRM
2010-03-17,19.18,19.22,19.37,19.08,5500000.0,0.0005,CRM
2010-03-18,19.23,19.17,19.36,19.11,5500000.0,0.0026,CRM
2010-03-19,19.0,19.23,19.38,18.91,6190000.0,-0.012,CRM
2010-03-22,19.38,18.68,19.5,18.65,6490000.0,0.02,CRM
2010-03-23,19.27,19.41,19.45,19.11,4930000.0,-0.005699999999999999,CRM
2010-03-24,19.04,19.15,19.3,18.99,4730000.0,-0.011899999999999999,CRM
2010-03-25,18.99,19.17,19.39,18.99,5840000.0,-0.0026,CRM
2010-03-26,18.74,19.05,19.07,18.66,4210000.0,-0.0132,CRM
2010-03-29,18.69,18.8,18.86,18.61,4230000.0,-0.0027,CRM
2010-03-30,18.85,18.8,19.12,18.69,7780000.0,0.0086,CRM
2010-03-31,18.61,18.82,18.88,18.57,4550000.0,-0.0127,CRM
2010-04-01,18.89,18.78,19.02,18.67,4210000.0,0.015,CRM
2010-04-05,19.21,18.98,19.24,18.97,3450000.0,0.0169,CRM
2010-04-06,19.71,19.1,19.86,19.03,9930000.0,0.026000000000000002,CRM
2010-04-07,19.3,19.7,19.7,19.17,7020000.0,-0.0208,CRM
2010-04-08,19.49,19.18,19.52,19.04,6350000.0,0.0098,CRM
2010-04-09,19.94,19.64,19.97,19.35,7680000.0,0.0231,CRM
2010-04-12,20.13,20.0,20.31,19.87,9840000.0,0.0095,CRM
2010-04-13,20.11,20.09,20.17,19.92,5230000.0,-0.001,CRM
2010-04-14,20.97,20.48,20.99,20.41,8840000.0,0.042800000000000005,CRM
2010-04-15,20.93,21.0,21.1,20.78,5530000.0,-0.0019,CRM
2010-04-16,20.87,20.91,21.23,20.75,9940000.0,-0.0029,CRM
2010-04-19,20.66,20.76,20.96,20.25,7140000.0,-0.0101,CRM
2010-04-20,21.12,20.89,21.15,20.76,4300000.0,0.0223,CRM
2010-04-21,21.27,21.21,21.3,20.99,6290000.0,0.0070999999999999995,CRM
2010-04-22,22.18,21.21,22.36,21.0,10040000.0,0.042800000000000005,CRM
2010-04-23,22.04,22.12,22.3,21.62,6090000.0,-0.0063,CRM
