Date,Close,Open,High,Low,Volume,Change,Symbol
2010-01-04,42.84,42.04,42.87,41.91,1680000.0,0.0296,CTXS
2010-01-05,42.87,42.67,42.92,42.46,2150000.0,0.0007000000000000001,CTXS
2010-01-06,42.7,42.73,43.33,42.56,3050000.0,-0.004,CTXS
2010-01-07,42.66,42.67,43.04,42.29,2510000.0,-0.0009,CTXS
2010-01-08,43.82,42.88,43.94,42.55,3190000.0,0.027200000000000002,CTXS
2010-01-11,42.49,43.85,43.92,42.47,3060000.0,-0.0304,CTXS
2010-01-12,42.0,42.27,42.36,41.43,2790000.0,-0.0115,CTXS
2010-01-13,42.49,42.65,42.94,42.12,3240000.0,0.011699999999999999,CTXS
2010-01-14,43.07,42.39,43.18,42.23,1810000.0,0.0137,CTXS
2010-01-15,43.22,43.46,43.51,42.45,2980000.0,0.0034999999999999996,CTXS
2010-01-19,43.92,43.06,44.0,42.93,2009999.9999999998,0.016200000000000003,CTXS
2010-01-20,42.91,43.22,43.27,41.84,2330000.0,-0.023,CTXS
2010-01-21,42.81,42.91,44.01,42.39,2620000.0,-0.0023,CTXS
2010-01-22,41.4,42.64,42.78,41.4,3500000.0,-0.0329,CTXS
2010-01-25,41.15,41.7,41.7,40.95,2630000.0,-0.006,CTXS
2010-01-26,42.08,42.54,42.99,41.68,6370000.0,0.0226,CTXS
2010-01-27,41.98,41.99,42.25,41.29,4260000.0,-0.0024,CTXS
2010-01-28,42.71,40.48,43.98,40.48,7060000.0,0.0174,CTXS
2010-01-29,41.55,42.33,42.38,41.02,6270000.0,-0.027200000000000002,CTXS
2010-02-01,42.31,41.73,42.35,41.64,4500000.0,0.0183,CTXS
2010-02-02,42.35,42.01,42.5,41.65,2620000.0,0.0009,CTXS
2010-02-03,42.46,41.85,42.67,41.73,3800000.0,0.0026,CTXS
2010-02-04,41.38,42.02,42.13,41.37,3490000.0,-0.0254,CTXS
2010-02-05,41.79,41.34,41.79,40.67,4120000.0,0.009899999999999999,CTXS
2010-02-08,42.11,41.85,42.6,41.34,3290000.0,0.0077,CTXS
2010-02-09,43.19,42.43,43.41,42.18,4430000.0,0.0256,CTXS
2010-02-10,42.9,43.12,43.44,42.71,4540000.0,-0.0067,CTXS
2010-02-11,43.07,42.81,43.16,42.46,3520000.0,0.004,CTXS
2010-02-12,43.16,42.41,43.35,42.34,2850000.0,0.0021,CTXS
2010-02-16,43.62,43.36,43.62,43.05,1890000.0,0.010700000000000001,CTXS
2010-02-17,43.89,43.23,43.97,43.17,3550000.0,0.0062,CTXS
2010-02-18,45.16,43.87,45.3,43.81,5350000.0,0.028900000000000002,CTXS
2010-02-19,44.74,45.17,45.59,44.62,6650000.0,-0.009300000000000001,CTXS
2010-02-22,44.11,44.7,44.88,43.99,3600000.0,-0.0141,CTXS
2010-02-23,43.91,44.14,44.36,43.65,4110000.0000000005,-0.0045000000000000005,CTXS
2010-02-24,43.75,44.14,44.46,43.55,4870000.0,-0.0036,CTXS
2010-02-25,42.82,43.2,43.2,41.0,6670000.0,-0.0213,CTXS
2010-02-26,43.01,42.82,43.12,42.6,4840000.0,0.0044,CTXS
2010-03-01,43.75,43.11,43.89,43.02,3250000.0,0.0172,CTXS
2010-03-02,43.32,43.75,43.97,43.2,3280000.0,-0.0098,CTXS
2010-03-03,43.86,43.5,44.2,43.36,3650000.0,0.0125,CTXS
2010-03-04,43.99,43.86,44.06,43.58,2690000.0,0.003,CTXS
2010-03-05,44.61,44.04,45.0,44.04,4070000.0000000005,0.0141,CTXS
2010-03-08,44.99,44.79,45.61,44.72,4400000.0,0.0085,CTXS
2010-03-09,45.98,45.04,46.06,45.0,4570000.0,0.022000000000000002,CTXS
2010-03-10,46.62,46.08,47.2,46.01,4240000.0,0.0139,CTXS
2010-03-11,47.26,46.29,47.26,46.12,3620000.0,0.0137,CTXS
2010-03-12,48.08,46.82,48.27,46.68,6340000.0,0.0174,CTXS
2010-03-15,49.0,48.09,49.14,48.01,6800000.0,0.0191,CTXS
2010-03-16,48.95,49.06,49.13,48.45,4770000.0,-0.001,CTXS
2010-03-17,47.43,47.88,48.28,46.97,14580000.0,-0.0311,CTXS
2010-03-18,48.06,47.33,48.48,47.33,6640000.0,0.013300000000000001,CTXS
2010-03-19,48.34,48.36,48.85,47.86,7550000.0,0.0058,CTXS
2010-03-22,48.19,48.08,48.74,48.08,2820000.0,-0.0031,CTXS
2010-03-23,48.0,48.18,48.46,47.44,3570000.0,-0.0039000000000000003,CTXS
2010-03-24,48.53,47.96,48.64,47.79,2820000.0,0.011000000000000001,CTXS
2010-03-25,48.04,48.72,48.95,47.98,3720000.0,-0.0101,CTXS
2010-03-26,48.09,48.09,48.43,47.81,2850000.0,0.001,CTXS
2010-03-29,47.98,48.12,48.28,47.74,2150000.0,-0.0023,CTXS
2010-03-30,47.99,47.93,48.11,47.47,2330000.0,0.0002,CTXS
2010-03-31,47.47,47.73,48.25,47.34,4280000.0,-0.0108,CTXS
2010-04-01,46.9,47.7,47.92,46.33,4059999.9999999995,-0.012,CTXS
2010-04-05,47.32,46.9,47.59,46.8,2630000.0,0.009000000000000001,CTXS
2010-04-06,47.25,47.26,47.49,46.81,2080000.0,-0.0015,CTXS
2010-04-07,47.21,47.26,47.52,46.95,2370000.0,-0.0008,CTXS
2010-04-08,47.02,47.25,47.25,46.35,2470000.0,-0.004,CTXS
2010-04-09,48.25,47.16,48.29,47.13,2100000.0,0.0262,CTXS
2010-04-12,48.77,48.25,48.86,48.04,2580000.0,0.0108,CTXS
2010-04-13,48.06,48.7,48.82,47.93,2670000.0,-0.0146,CTXS
2010-04-14,48.05,47.97,48.28,47.61,2710000.0,-0.0002,CTXS
2010-04-15,48.63,48.04,48.71,47.72,3200000.0,0.0121,CTXS
2010-04-16,48.47,48.59,48.91,48.21,3250000.0,-0.0033,CTXS
2010-04-19,47.72,48.15,48.49,47.54,3450000.0,-0.0155,CTXS
2010-04-20,49.44,47.76,49.58,47.58,4050000.0,0.036000000000000004,CTXS
2010-04-21,49.83,49.2,49.98,49.09,4270000.0,0.0079,CTXS
2010-04-22,48.3,47.87,48.47,46.48,9290000.0,-0.030699999999999998,CTXS
2010-04-23,48.45,48.25,48.96,47.9,4760000.0,0.0031,CTXS
2010-04-26,48.88,48.2,49.08,48.01,2280000.0,0.0089,CTXS
2010-04-27,47.51,48.61,48.98,47.41,3730000.0,-0.027999999999999997,CTXS
2010-04-28,47.73,47.73,47.78,47.15,5210000.0,0.0046,CTXS
2010-04-29,47.78,47.82,47.82,47.05,3790000.0,0.001,CTXS
2010-04-30,47.03,47.78,47.78,46.75,2980000.0,-0.015700000000000002,CTXS
2010-05-03,47.9,46.99,48.03,46.92,2990000.0,0.018500000000000003,CTXS
2010-05-04,46.77,47.5,47.5,46.22,2730000.0,-0.0236,CTXS
2010-05-05,45.99,46.63,47.14,45.82,4200000.0,-0.0167,CTXS
2010-05-06,44.45,45.88,46.32,42.26,5110000.0,-0.0335,CTXS
2010-05-07,43.62,44.17,44.84,42.61,4590000.0,-0.0187,CTXS
2010-05-10,46.96,45.94,46.99,45.53,4900000.0,0.0766,CTXS
2010-05-11,46.65,46.7,47.0,46.25,3570000.0,-0.0066,CTXS
2010-05-12,47.64,46.57,47.66,46.42,3410000.0,0.0212,CTXS
2010-05-13,48.03,47.77,48.66,47.51,6130000.0,0.008199999999999999,CTXS
2010-05-14,46.51,47.7,47.73,46.0,3720000.0,-0.0316,CTXS
2010-05-17,46.3,46.66,46.99,45.41,3250000.0,-0.0045000000000000005,CTXS
2010-05-18,45.27,46.48,46.76,44.91,3630000.0,-0.0222,CTXS
2010-05-19,44.75,45.02,45.59,44.38,4220000.0,-0.0115,CTXS
2010-05-20,44.0,44.36,44.93,43.75,4030000.0000000005,-0.0168,CTXS
2010-05-21,44.67,43.1,45.03,43.04,3090000.0,0.0152,CTXS
2010-05-24,44.13,44.33,44.86,44.06,2020000.0,-0.0121,CTXS
2010-05-25,43.16,43.14,43.43,42.41,4310000.0,-0.022000000000000002,CTXS
2010-05-26,42.84,43.35,44.19,42.65,4380000.0,-0.0074,CTXS
2010-05-27,44.05,43.73,44.15,43.45,4700000.0,0.0282,CTXS
2010-05-28,43.61,43.88,44.21,43.46,3850000.0,-0.01,CTXS
2010-06-01,43.16,43.34,44.0,43.09,2220000.0,-0.0103,CTXS
2010-06-02,44.41,43.04,44.41,42.64,3600000.0,0.028999999999999998,CTXS
2010-06-03,44.86,44.27,45.05,44.24,3260000.0,0.0101,CTXS
2010-06-04,43.3,44.12,44.79,43.17,3610000.0,-0.0348,CTXS
2010-06-07,42.61,43.12,43.92,42.54,2840000.0,-0.0159,CTXS
2010-06-08,41.92,42.37,42.37,40.33,8150000.0,-0.016200000000000003,CTXS
2010-06-09,42.68,42.15,43.4,41.93,4860000.0,0.0181,CTXS
2010-06-10,43.78,43.36,43.81,42.98,2790000.0,0.0258,CTXS
2010-06-11,43.97,43.17,43.97,43.0,2290000.0,0.0043,CTXS
2010-06-14,43.87,44.27,44.76,43.81,2600000.0,-0.0023,CTXS
2010-06-15,45.02,44.19,45.11,44.12,2600000.0,0.0262,CTXS
2010-06-16,45.08,44.88,45.29,44.54,1740000.0,0.0013,CTXS
2010-06-17,45.74,45.1,45.96,45.03,4410000.0,0.0146,CTXS
2010-06-18,46.09,45.65,46.33,45.58,3610000.0,0.0077,CTXS
2010-06-21,46.21,46.63,47.0,45.97,2910000.0,0.0026,CTXS
2010-06-22,45.52,46.4,46.85,45.42,2770000.0,-0.0149,CTXS
