Date,Close,Open,High,Low,Volume,Change,Symbol
2018-01-22,103.36,103.58,104.17,103.14,1100000.0,0.0,DTE
2018-01-23,104.67,103.42,105.0,103.37,1180000.0,0.0127,DTE
2018-01-24,104.43,104.58,105.02,104.0,1550000.0,-0.0023,DTE
2018-01-25,105.96,104.31,106.0,104.22,1060000.0,0.0147,DTE
2018-01-26,105.5,106.03,106.24,104.51,1130000.0,-0.0043,DTE
2018-01-29,104.39,104.99,105.06,104.04,2650000.0,-0.0105,DTE
2018-01-30,104.24,104.07,104.86,103.81,1210000.0,-0.0014000000000000002,DTE
2018-01-31,105.64,104.33,105.75,103.85,1340000.0,0.0134,DTE
2018-02-01,104.22,105.76,106.35,103.65,2830000.0,-0.0134,DTE
2018-02-02,103.28,103.71,104.11,102.93,2009999.9999999998,-0.009000000000000001,DTE
2018-02-05,102.0,103.02,104.1,101.72,1870000.0,-0.0124,DTE
2018-02-06,99.36,100.84,100.87,97.66,3110000.0,-0.0259,DTE
2018-02-07,99.27,99.29,100.55,99.04,1160000.0,-0.0009,DTE
2018-02-08,98.49,99.04,100.44,98.48,1970000.0,-0.0079,DTE
2018-02-09,101.06,98.77,101.86,98.65,1460000.0,0.026099999999999998,DTE
2018-02-12,101.25,101.23,101.56,100.06,1570000.0,0.0019,DTE
2018-02-13,102.21,101.06,102.39,100.4,957700.0,0.0095,DTE
2018-02-14,101.23,101.58,101.99,100.62,950150.0,-0.0096,DTE
2018-02-15,103.15,101.53,103.23,101.4,987440.0,0.019,DTE
2018-02-16,105.22,102.73,105.56,102.53,1720000.0,0.020099999999999996,DTE
2018-02-20,103.2,105.05,105.7,102.89,1400000.0,-0.0192,DTE
2018-02-21,101.9,103.2,104.12,101.88,978280.0,-0.0126,DTE
2018-02-22,101.86,102.32,102.93,101.49,1030000.0,-0.0004,DTE
2018-02-23,104.7,101.94,104.7,101.87,1050000.0,0.0279,DTE
2018-02-26,103.76,104.95,105.06,103.58,924570.0,-0.009000000000000001,DTE
2018-02-27,102.03,104.02,104.69,102.01,2120000.0,-0.0167,DTE
2018-02-28,100.78,102.2,102.36,100.72,2180000.0,-0.0123,DTE
2018-03-01,100.73,100.85,102.06,100.06,1040000.0,-0.0005,DTE
2018-03-02,100.79,100.71,101.91,99.82,876090.0,0.0006,DTE
2018-03-05,102.57,100.67,102.72,100.22,1060000.0,0.0177,DTE
2018-03-06,101.2,102.43,102.5,100.68,824640.0,-0.0134,DTE
2018-03-07,99.92,100.88,101.45,99.52,1130000.0,-0.0126,DTE
2018-03-08,100.4,100.16,100.81,99.86,860300.0,0.0048,DTE
2018-03-09,100.53,100.37,100.59,99.59,1470000.0,0.0013,DTE
2018-03-12,100.91,100.36,101.76,100.28,1540000.0,0.0038,DTE
2018-03-13,100.93,101.31,101.51,100.33,1260000.0,0.0002,DTE
2018-03-14,101.77,101.06,101.93,100.88,940550.0,0.0083,DTE
2018-03-15,101.72,102.0,102.47,101.17,1690000.0,-0.0005,DTE
2018-03-16,102.27,101.15,102.53,100.95,3390000.0,0.0054,DTE
2018-03-19,102.19,102.11,102.91,101.55,1610000.0,-0.0008,DTE
2018-03-20,102.15,102.29,102.81,101.24,1820000.0,-0.0004,DTE
2018-03-21,102.53,102.5,103.73,102.07,1150000.0,0.0037,DTE
2018-03-22,102.55,102.43,104.73,102.43,1990000.0,0.0002,DTE
2018-03-23,101.09,102.71,103.57,100.98,779150.0,-0.014199999999999999,DTE
2018-03-26,102.12,101.41,102.44,101.34,595210.0,0.0102,DTE
2018-03-27,103.81,102.19,104.92,101.95,707260.0,0.0165,DTE
2018-03-28,104.0,104.09,104.7,103.42,861030.0,0.0018,DTE
2018-03-29,104.4,104.02,105.19,104.02,592440.0,0.0038,DTE
2018-04-02,103.67,104.68,105.49,103.16,981430.0,-0.006999999999999999,DTE
2018-04-03,104.42,103.65,104.61,103.25,1050000.0,0.0072,DTE
2018-04-04,103.89,104.23,104.33,102.87,954320.0,-0.0051,DTE
2018-04-05,104.63,103.98,105.01,102.56,1000000.0,0.0070999999999999995,DTE
2018-04-06,104.06,104.67,105.0,103.72,879270.0,-0.0054,DTE
2018-04-09,104.34,104.06,105.02,103.63,1110000.0,0.0027,DTE
2018-04-10,103.56,104.51,104.63,103.37,716730.0,-0.0075,DTE
2018-04-11,103.34,103.46,104.04,102.91,425070.0,-0.0021,DTE
2018-04-12,102.1,103.51,103.66,101.82,609550.0,-0.012,DTE
2018-04-13,102.44,102.22,102.84,102.17,636360.0,0.0033,DTE
2018-04-16,103.61,102.66,103.71,102.26,965640.0,0.011399999999999999,DTE
2018-04-17,104.49,103.65,104.74,103.29,543190.0,0.0085,DTE
2018-04-18,104.01,104.56,105.2,103.94,904160.0,-0.0046,DTE
2018-04-19,103.74,103.81,104.17,103.05,809420.0,-0.0026,DTE
2018-04-20,102.73,103.69,103.74,102.28,1200000.0,-0.0097,DTE
2018-04-23,103.33,102.88,103.74,102.79,1160000.0,0.0058,DTE
2018-04-24,104.2,103.67,104.94,102.61,1830000.0,0.0084,DTE
2018-04-25,104.01,103.26,105.0,102.01,1280000.0,-0.0018,DTE
2018-04-26,104.83,103.9,104.99,103.22,806850.0,0.0079,DTE
2018-04-27,105.65,104.55,106.24,104.55,1410000.0,0.0078000000000000005,DTE
2018-04-30,105.4,105.68,106.04,104.99,1850000.0,-0.0024,DTE
2018-05-01,105.0,105.25,105.4,104.72,1800000.0,-0.0038,DTE
2018-05-02,104.75,105.0,105.45,103.97,1310000.0,-0.0024,DTE
2018-05-03,104.6,104.83,105.05,103.36,1050000.0,-0.0014000000000000002,DTE
2018-05-04,104.68,104.61,105.09,104.29,899170.0,0.0008,DTE
2018-05-07,104.15,104.52,104.53,103.75,1130000.0,-0.0051,DTE
2018-05-08,101.1,103.9,103.9,100.77,1350000.0,-0.029300000000000003,DTE
2018-05-09,100.24,101.14,101.33,99.72,851410.0,-0.0085,DTE
2018-05-10,101.33,100.93,101.37,100.36,757380.0,0.0109,DTE
2018-05-11,102.45,101.64,102.72,101.36,1350000.0,0.0111,DTE
2018-05-14,102.29,102.53,102.88,101.5,1510000.0,-0.0016,DTE
2018-05-15,101.47,101.74,102.11,100.81,1750000.0,-0.008,DTE
