Date,Close,Open,High,Low,Volume,Change,Symbol
2010-01-04,18.15,17.99,18.23,17.89,3850000.0,0.0225,EA
2010-01-05,18.66,18.31,18.87,18.23,6630000.0,0.0281,EA
2010-01-06,18.18,18.61,18.65,18.06,5050000.0,-0.025699999999999997,EA
2010-01-07,18.04,17.91,18.07,17.78,5440000.0,-0.0077,EA
2010-01-08,18.4,18.18,18.45,18.03,4059999.9999999995,0.02,EA
2010-01-11,18.27,18.47,18.7,18.13,6140000.0,-0.0070999999999999995,EA
2010-01-12,16.85,16.74,17.14,16.56,31920000.0,-0.07769999999999999,EA
2010-01-13,17.17,16.85,17.22,16.73,14350000.0,0.019,EA
2010-01-14,17.18,17.1,17.34,16.98,9110000.0,0.0006,EA
2010-01-15,17.03,17.21,17.29,16.95,9530000.0,-0.0087,EA
2010-01-19,17.17,16.9,17.22,16.88,7650000.0,0.008199999999999999,EA
2010-01-20,17.21,16.99,17.24,16.62,8090000.0,0.0023,EA
2010-01-21,17.38,17.29,17.57,17.13,12840000.0,0.009899999999999999,EA
2010-01-22,16.77,17.25,17.3,16.7,8720000.0,-0.0351,EA
2010-01-25,16.83,16.9,17.17,16.66,7700000.0,0.0036,EA
2010-01-26,16.74,16.75,16.96,16.66,6190000.0,-0.0053,EA
2010-01-27,17.13,16.65,17.22,16.65,10950000.0,0.0233,EA
2010-01-28,16.77,17.11,17.3,16.42,12770000.0,-0.021,EA
2010-01-29,16.28,16.91,17.09,16.26,7560000.0,-0.0292,EA
2010-02-01,16.74,16.52,16.74,16.32,6580000.0,0.028300000000000002,EA
2010-02-02,17.07,16.73,17.13,16.57,8119999.999999999,0.0197,EA
2010-02-03,17.27,16.92,17.32,16.79,6420000.0,0.011699999999999999,EA
2010-02-04,16.98,17.18,17.18,16.82,7190000.0,-0.0168,EA
2010-02-05,17.26,16.85,17.33,16.83,10280000.0,0.0165,EA
2010-02-08,17.49,17.38,17.86,17.01,16170000.000000002,0.013300000000000001,EA
2010-02-09,15.96,16.04,16.28,15.7,47400000.0,-0.0875,EA
2010-02-10,15.94,16.04,16.12,15.75,13680000.0,-0.0013,EA
2010-02-11,16.12,15.87,16.2,15.85,8690000.0,0.0113,EA
2010-02-12,16.06,16.0,16.27,15.92,8430000.0,-0.0037,EA
2010-02-16,16.31,16.14,16.5,16.03,7440000.0,0.015600000000000001,EA
2010-02-17,16.63,16.45,16.66,16.38,9100000.0,0.0196,EA
2010-02-18,16.59,16.51,16.81,16.5,5230000.0,-0.0024,EA
2010-02-19,16.75,16.54,16.87,16.49,8940000.0,0.0096,EA
2010-02-22,16.59,16.79,16.95,16.33,7470000.0,-0.0096,EA
2010-02-23,16.31,16.59,16.68,16.22,5670000.0,-0.0169,EA
2010-02-24,16.52,16.41,16.58,16.33,3760000.0,0.0129,EA
2010-02-25,16.56,16.26,16.58,16.22,6470000.0,0.0024,EA
