Date,Close,Open,High,Low,Volume,Change,Symbol
2010-01-04,45.38,45.73,45.95,45.23,2140000.0,-0.0011,ED
2010-01-05,44.79,45.49,45.63,44.51,2860000.0,-0.013000000000000001,ED
2010-01-06,45.27,44.75,45.49,44.75,2040000.0,0.010700000000000001,ED
2010-01-07,45.11,45.34,45.35,44.91,1990000.0,-0.0034999999999999996,ED
2010-01-08,45.25,44.99,45.3,44.71,1310000.0,0.0031,ED
2010-01-11,45.82,45.47,45.96,45.36,1750000.0,0.0126,ED
2010-01-12,45.73,45.76,46.0,45.53,1450000.0,-0.002,ED
2010-01-13,46.08,45.73,46.19,45.7,1250000.0,0.0077,ED
2010-01-14,46.23,46.16,46.3,45.97,1130000.0,0.0033,ED
2010-01-15,45.72,45.92,46.02,45.27,2440000.0,-0.011000000000000001,ED
2010-01-19,46.41,45.78,46.41,45.66,1570000.0,0.0151,ED
2010-01-20,46.21,46.24,46.26,45.56,1870000.0,-0.0043,ED
2010-01-21,45.61,46.31,46.45,45.32,2110000.0,-0.013000000000000001,ED
2010-01-22,43.51,44.82,45.27,43.39,6470000.0,-0.046,ED
2010-01-25,43.62,43.76,44.0,43.07,3040000.0,0.0025,ED
2010-01-26,44.08,43.58,44.24,43.35,2520000.0,0.0105,ED
2010-01-27,44.05,43.67,44.07,43.35,2840000.0,-0.0007000000000000001,ED
2010-01-28,43.72,44.05,44.05,43.45,1890000.0,-0.0075,ED
2010-01-29,43.74,43.88,44.0,43.5,2049999.9999999998,0.0005,ED
2010-02-01,43.93,43.84,43.93,43.36,1280000.0,0.0043,ED
2010-02-02,44.14,43.95,44.16,43.4,1630000.0,0.0048,ED
2010-02-03,43.76,44.02,44.03,43.6,1210000.0,-0.0086,ED
2010-02-04,43.02,43.63,43.73,43.0,3210000.0,-0.0169,ED
2010-02-05,43.18,43.04,43.25,42.51,3740000.0,0.0037,ED
2010-02-08,42.81,43.23,43.3,42.76,1380000.0,-0.0086,ED
2010-02-09,43.44,43.04,43.8,42.87,2120000.0,0.0147,ED
2010-02-10,42.98,43.4,43.4,42.66,2490000.0,-0.0106,ED
2010-02-11,43.17,42.98,43.28,42.71,2020000.0,0.0044,ED
2010-02-12,42.22,42.26,42.48,42.09,2690000.0,-0.022000000000000002,ED
2010-02-16,42.95,42.4,42.95,42.39,1310000.0,0.0173,ED
2010-02-17,42.86,43.11,43.11,42.7,1030000.0,-0.0021,ED
2010-02-18,42.71,42.78,42.87,42.44,1940000.0,-0.0034999999999999996,ED
2010-02-19,43.13,42.61,43.34,42.49,1990000.0,0.0098,ED
2010-02-22,42.92,43.14,43.33,42.79,1600000.0,-0.0049,ED
2010-02-23,42.75,42.91,43.0,42.65,1240000.0,-0.004,ED
2010-02-24,42.88,42.94,42.94,42.52,1750000.0,0.003,ED
2010-02-25,42.87,42.5,42.91,42.16,1820000.0,-0.0002,ED
2010-02-26,42.75,42.95,42.99,42.6,1350000.0,-0.0028000000000000004,ED
2010-03-01,43.19,42.81,43.44,42.81,1550000.0,0.0103,ED
2010-03-02,43.79,43.4,43.95,43.36,1900000.0,0.0139,ED
2010-03-03,43.68,43.82,44.2,43.55,1800000.0,-0.0025,ED
2010-03-04,43.54,43.67,43.78,43.25,1740000.0,-0.0032,ED
2010-03-05,43.62,43.25,43.72,43.21,1680000.0,0.0018,ED
2010-03-08,43.79,43.65,43.8,43.5,1040000.0,0.0039000000000000003,ED
2010-03-09,43.66,43.77,43.9,43.59,1390000.0,-0.003,ED
2010-03-10,43.74,43.78,43.9,43.58,1220000.0,0.0018,ED
2010-03-11,43.89,43.74,43.92,43.46,1060000.0,0.0034000000000000002,ED
2010-03-12,43.7,43.95,44.0,43.67,1460000.0,-0.0043,ED
2010-03-15,44.15,43.89,44.15,43.74,1270000.0,0.0103,ED
2010-03-16,44.48,44.28,44.61,43.98,1730000.0,0.0075,ED
2010-03-17,44.51,44.63,44.63,44.35,1480000.0,0.0007000000000000001,ED
2010-03-18,44.33,44.58,44.61,44.22,1450000.0,-0.004,ED
2010-03-19,44.3,44.29,44.51,44.03,2089999.9999999998,-0.0007000000000000001,ED
2010-03-22,44.26,44.15,44.35,44.02,1210000.0,-0.0009,ED
2010-03-23,44.17,44.42,44.45,43.93,1930000.0,-0.002,ED
2010-03-24,43.84,44.15,44.15,43.68,1550000.0,-0.0075,ED
2010-03-25,43.84,44.01,44.12,43.76,1650000.0,0.0,ED
2010-03-26,44.18,44.02,44.36,43.86,1510000.0,0.0078000000000000005,ED
2010-03-29,44.58,44.34,44.6,44.26,1480000.0,0.0091,ED
2010-03-30,44.68,44.56,44.91,44.53,1730000.0,0.0022,ED
2010-03-31,44.54,44.59,44.85,44.37,1250000.0,-0.0031,ED
2010-04-01,44.9,44.74,45.14,44.67,1040000.0,0.008100000000000001,ED
2010-04-05,45.04,45.04,45.12,44.85,909820.0,0.0031,ED
2010-04-06,45.36,45.01,45.37,44.9,1050000.0,0.0070999999999999995,ED
2010-04-07,44.91,45.32,45.32,44.75,1210000.0,-0.009899999999999999,ED
2010-04-08,44.51,44.84,44.89,44.43,1450000.0,-0.0089,ED
2010-04-09,44.85,44.61,44.87,44.2,1160000.0,0.0076,ED
2010-04-12,45.03,45.01,45.11,44.75,1120000.0,0.004,ED
2010-04-13,44.76,45.02,45.05,44.59,1220000.0,-0.006,ED
2010-04-14,44.82,44.61,44.88,44.41,1630000.0,0.0013,ED
2010-04-15,44.79,44.84,44.94,44.53,1170000.0,-0.0007000000000000001,ED
2010-04-16,44.54,44.75,44.98,44.46,1860000.0,-0.005600000000000001,ED
2010-04-19,44.63,44.36,44.7,44.36,1160000.0,0.002,ED
2010-04-20,44.91,44.83,45.0,44.68,1590000.0,0.0063,ED
2010-04-21,45.16,44.99,45.29,44.86,1930000.0,0.005600000000000001,ED
2010-04-22,45.2,45.02,45.26,44.73,1190000.0,0.0009,ED
