Date,Close,Open,High,Low,Volume,Change,Symbol
2010-01-04,24.27,24.34,24.45,24.11,3510000.0,0.0037,EL
2010-01-05,24.18,24.2,24.25,23.82,3250000.0,-0.0037,EL
2010-01-06,24.25,24.31,24.45,24.08,4450000.0,0.0029,EL
2010-01-07,24.55,24.21,24.6,23.94,3860000.0,0.0124,EL
2010-01-08,24.66,24.43,24.68,24.27,2220000.0,0.0045000000000000005,EL
2010-01-11,24.89,24.74,24.91,24.27,3270000.0,0.009300000000000001,EL
2010-01-12,24.78,24.8,25.21,24.68,3760000.0,-0.0044,EL
2010-01-13,24.98,24.84,25.05,24.68,3210000.0,0.008100000000000001,EL
2010-01-14,24.95,24.98,25.08,24.71,3000000.0,-0.0012,EL
2010-01-15,24.88,25.02,25.2,24.75,4560000.0,-0.0028000000000000004,EL
2010-01-19,25.0,24.89,25.23,24.71,3200000.0,0.0048,EL
2010-01-20,24.52,24.77,24.87,24.4,3160000.0,-0.0192,EL
2010-01-21,26.77,26.27,26.89,26.14,17290000.0,0.09179999999999999,EL
2010-01-22,26.59,26.75,26.99,26.44,5700000.0,-0.0067,EL
2010-01-25,26.59,26.8,26.91,26.48,4300000.0,0.0,EL
2010-01-26,26.77,26.57,26.98,26.43,4620000.0,0.0068000000000000005,EL
2010-01-27,26.82,26.72,26.88,26.38,3800000.0,0.0019,EL
2010-01-28,26.52,26.59,26.87,26.39,5300000.0,-0.011200000000000002,EL
2010-01-29,26.26,26.64,26.66,26.05,5370000.0,-0.0098,EL
2010-02-01,26.9,26.42,26.97,26.23,5920000.0,0.024399999999999998,EL
2010-02-02,28.0,26.77,28.14,26.76,7340000.0,0.0409,EL
2010-02-03,28.29,27.79,28.46,27.66,5420000.0,0.0104,EL
2010-02-04,27.92,28.04,28.19,27.71,5240000.0,-0.0131,EL
2010-02-05,27.7,27.82,27.85,27.11,4530000.0,-0.0079,EL
2010-02-08,27.84,27.7,28.49,27.68,4760000.0,0.0051,EL
2010-02-09,28.12,28.06,28.31,27.78,5140000.0,0.0101,EL
2010-02-10,28.03,27.95,28.27,27.75,3850000.0,-0.0032,EL
2010-02-11,28.43,28.04,28.48,27.82,3270000.0,0.0143,EL
2010-02-12,28.33,28.09,28.42,27.92,3840000.0,-0.0034999999999999996,EL
2010-02-16,29.18,28.47,29.23,28.47,3090000.0,0.03,EL
2010-02-17,29.43,29.25,29.5,29.14,2650000.0,0.0086,EL
2010-02-18,29.75,29.38,29.82,29.32,3070000.0,0.0109,EL
2010-02-19,29.41,29.7,29.7,29.34,2960000.0,-0.011399999999999999,EL
2010-02-22,29.55,29.42,29.65,29.41,2260000.0,0.0048,EL
2010-02-23,29.33,29.48,29.74,29.3,2490000.0,-0.0074,EL
2010-02-24,30.0,29.45,30.04,29.45,4780000.0,0.022799999999999997,EL
2010-02-25,30.29,29.81,30.34,29.5,4280000.0,0.0097,EL
2010-02-26,30.07,30.37,30.37,30.0,2510000.0,-0.0073,EL
2010-03-01,31.08,30.23,31.11,30.14,6080000.0,0.0336,EL
2010-03-02,30.86,31.06,31.1,30.72,5710000.0,-0.0070999999999999995,EL
2010-03-03,30.59,30.81,30.94,30.54,2960000.0,-0.0087,EL
2010-03-04,30.54,30.68,30.8,30.5,3210000.0,-0.0016,EL
2010-03-05,30.83,30.71,30.97,30.18,2570000.0,0.0095,EL
2010-03-08,31.17,31.0,31.18,30.64,2750000.0,0.011000000000000001,EL
2010-03-09,30.82,31.0,31.09,30.73,2560000.0,-0.011200000000000002,EL
2010-03-10,30.93,30.74,31.03,30.66,2230000.0,0.0036,EL
2010-03-11,31.59,30.87,31.64,30.85,3200000.0,0.0213,EL
2010-03-12,31.75,31.68,31.8,31.47,2060000.0,0.0051,EL
2010-03-15,31.55,31.76,31.77,31.25,3340000.0,-0.0063,EL
2010-03-16,31.72,31.54,31.75,31.43,2049999.9999999998,0.0054,EL
2010-03-17,31.96,31.73,32.09,31.69,1850000.0,0.0076,EL
2010-03-18,31.9,32.0,32.14,31.7,1730000.0,-0.0019,EL
2010-03-19,31.57,31.95,32.5,31.37,2720000.0,-0.0103,EL
2010-03-22,32.48,31.43,32.53,31.0,2950000.0,0.0288,EL
2010-03-23,32.65,32.41,32.69,32.23,1870000.0,0.0052,EL
2010-03-24,31.84,32.56,32.62,31.84,3280000.0,-0.0248,EL
2010-03-25,31.7,31.98,32.3,31.68,2480000.0,-0.0044,EL
2010-03-26,31.96,31.73,32.02,31.59,3380000.0,0.008199999999999999,EL
2010-03-29,32.54,32.08,32.59,32.03,2500000.0,0.0181,EL
