Date,Close,Open,High,Low,Volume,Change,Symbol
2010-01-04,21.02,21.01,21.18,20.84,3430000.0,0.0096,FAST
2010-01-05,21.45,20.96,21.48,20.88,2900000.0,0.020499999999999997,FAST
2010-01-06,22.86,22.09,23.24,22.0,10330000.0,0.06570000000000001,FAST
2010-01-07,23.25,22.66,23.44,22.34,6250000.0,0.0171,FAST
2010-01-08,23.49,23.45,23.58,23.03,3320000.0,0.0103,FAST
2010-01-11,23.03,23.48,23.49,22.88,3980000.0,-0.0196,FAST
2010-01-12,23.02,22.88,23.14,22.77,2530000.0,-0.0004,FAST
2010-01-13,23.34,23.1,23.46,22.94,2660000.0,0.0139,FAST
2010-01-14,23.15,23.22,23.64,23.02,2670000.0,-0.008100000000000001,FAST
2010-01-15,22.93,22.75,23.4,22.71,3300000.0,-0.0095,FAST
2010-01-19,22.41,21.77,23.24,21.68,9380000.0,-0.0227,FAST
2010-01-20,22.13,22.27,22.32,21.55,3910000.0,-0.0125,FAST
2010-01-21,21.75,22.14,22.33,21.73,3150000.0,-0.0172,FAST
2010-01-22,21.27,21.8,21.98,21.18,2390000.0,-0.022099999999999998,FAST
2010-01-25,21.32,21.4,21.42,21.02,2120000.0,0.0024,FAST
2010-01-26,21.07,21.27,21.32,21.03,2280000.0,-0.011699999999999999,FAST
2010-01-27,21.12,20.95,21.18,20.88,2180000.0,0.0024,FAST
2010-01-28,20.75,21.23,21.23,20.5,2980000.0,-0.0175,FAST
2010-01-29,20.74,20.81,21.25,20.73,2860000.0,-0.0005,FAST
2010-02-01,20.77,20.8,21.01,20.7,2840000.0,0.0014000000000000002,FAST
2010-02-02,21.48,20.86,21.52,20.82,3970000.0,0.0342,FAST
2010-02-03,21.51,21.38,21.6,21.34,2390000.0,0.0014000000000000002,FAST
2010-02-04,21.07,21.39,21.45,21.02,3120000.0,-0.020499999999999997,FAST
2010-02-05,21.0,21.16,21.34,20.67,3870000.0,-0.0033,FAST
2010-02-08,20.61,20.98,21.0,20.57,3150000.0,-0.018600000000000002,FAST
2010-02-09,21.17,20.89,21.3,20.78,2730000.0,0.027200000000000002,FAST
2010-02-10,20.77,21.03,21.3,20.68,2250000.0,-0.0189,FAST
2010-02-11,21.07,20.65,21.09,20.48,1760000.0,0.0144,FAST
2010-02-12,20.91,20.88,21.03,20.72,2130000.0,-0.0076,FAST
2010-02-16,21.49,21.1,21.5,21.0,2160000.0,0.0277,FAST
2010-02-17,21.56,21.53,21.67,21.3,1620000.0,0.0033,FAST
