Date,Close,Open,High,Low,Volume,Change,Symbol
2010-01-04,11.16,11.29,11.43,11.13,1870000.0,0.0018,FL
2010-01-05,11.47,11.1,11.53,11.1,2910000.0,0.0278,FL
2010-01-06,11.91,11.53,11.97,11.41,4890000.0,0.0384,FL
2010-01-07,11.82,11.94,12.1,11.76,2089999.9999999998,-0.0076,FL
2010-01-08,12.25,11.82,12.29,11.65,4130000.0,0.0364,FL
2010-01-11,12.35,12.42,12.54,12.1,3800000.0,0.008199999999999999,FL
2010-01-12,12.39,12.26,12.55,12.23,2880000.0,0.0032,FL
2010-01-13,12.41,12.42,12.44,12.16,2500000.0,0.0016,FL
2010-01-14,12.43,12.37,12.55,12.31,2200000.0,0.0016,FL
2010-01-15,12.18,12.46,12.54,12.17,2430000.0,-0.020099999999999996,FL
2010-01-19,11.94,12.21,12.24,11.9,2790000.0,-0.0197,FL
2010-01-20,11.8,11.85,12.0,11.75,1730000.0,-0.011699999999999999,FL
2010-01-21,11.9,11.79,12.01,11.71,4220000.0,0.0085,FL
2010-01-22,11.75,11.84,12.05,11.7,3200000.0,-0.0126,FL
2010-01-25,11.82,11.91,12.05,11.78,2550000.0,0.006,FL
2010-01-26,11.73,11.69,11.97,11.69,1360000.0,-0.0076,FL
2010-01-27,11.74,11.75,11.88,11.51,2700000.0,0.0009,FL
2010-01-28,11.49,11.74,11.8,11.41,2470000.0,-0.0213,FL
2010-01-29,11.29,11.51,11.73,11.28,1810000.0,-0.0174,FL
2010-02-01,11.69,11.36,11.71,11.3,2410000.0,0.0354,FL
2010-02-02,11.94,11.74,11.97,11.7,1860000.0,0.021400000000000002,FL
2010-02-03,11.96,11.91,12.02,11.7,3140000.0,0.0017000000000000001,FL
2010-02-04,11.65,11.78,12.01,11.64,3120000.0,-0.0259,FL
2010-02-05,11.61,11.68,11.73,11.34,3170000.0,-0.0034000000000000002,FL
2010-02-08,11.64,11.64,11.78,11.51,1750000.0,0.0026,FL
2010-02-09,11.67,11.83,11.86,11.61,2770000.0,0.0026,FL
2010-02-10,11.61,11.62,11.72,11.5,1150000.0,-0.0051,FL
2010-02-11,11.82,11.61,11.82,11.51,1020000.0,0.0181,FL
2010-02-12,11.74,11.67,11.76,11.59,1500000.0,-0.0068000000000000005,FL
2010-02-16,12.06,11.8,12.06,11.77,1020000.0,0.0273,FL
2010-02-17,12.52,12.01,12.7,12.01,3030000.0,0.0381,FL
2010-02-18,12.73,12.54,12.82,12.52,2310000.0,0.0168,FL
2010-02-19,12.82,12.75,12.97,12.67,1920000.0,0.0070999999999999995,FL
2010-02-22,13.04,12.85,13.13,12.84,2170000.0,0.0172,FL
2010-02-23,13.05,13.04,13.17,12.72,2420000.0,0.0008,FL
2010-02-24,12.88,13.05,13.05,12.5,4130000.0,-0.013000000000000001,FL
2010-02-25,12.77,12.72,12.81,12.59,3470000.0,-0.0085,FL
2010-02-26,12.97,12.8,13.05,12.75,2910000.0,0.015700000000000002,FL
2010-03-01,13.45,13.03,13.46,12.83,2820000.0,0.037000000000000005,FL
2010-03-02,13.21,13.49,13.51,13.15,3810000.0,-0.0178,FL
2010-03-03,13.01,13.25,13.3,12.85,3400000.0,-0.0151,FL
2010-03-04,13.68,13.47,14.56,13.3,11220000.0,0.051500000000000004,FL
2010-03-05,14.24,13.76,14.34,13.65,4300000.0,0.0409,FL
2010-03-08,13.95,14.24,14.37,13.89,4260000.0,-0.0204,FL
2010-03-09,13.54,13.83,14.06,13.54,4030000.0000000005,-0.0294,FL
2010-03-10,13.49,13.56,13.7,13.47,4500000.0,-0.0037,FL
2010-03-11,13.95,13.45,13.98,13.21,3960000.0,0.0341,FL
2010-03-12,14.55,14.02,14.58,13.95,4620000.0,0.043,FL
2010-03-15,14.45,14.53,14.79,14.26,4350000.0,-0.0069,FL
2010-03-16,14.7,14.43,14.77,14.38,2340000.0,0.0173,FL
2010-03-17,14.67,14.79,14.94,14.63,2120000.0,-0.002,FL
2010-03-18,14.59,14.69,14.81,14.51,1690000.0,-0.0055000000000000005,FL
2010-03-19,14.59,14.65,14.79,14.34,3910000.0,0.0,FL
2010-03-22,14.99,14.46,15.11,14.4,2420000.0,0.0274,FL
2010-03-23,15.1,15.02,15.13,14.74,2040000.0,0.0073,FL
2010-03-24,14.87,15.07,15.07,14.71,1890000.0,-0.0152,FL
2010-03-25,14.71,14.94,14.98,14.67,2180000.0,-0.0108,FL
2010-03-26,15.06,15.07,15.45,14.95,4480000.0,0.023799999999999998,FL
2010-03-29,15.14,15.14,15.39,15.11,2530000.0,0.0053,FL
2010-03-30,15.04,15.24,15.39,15.03,3120000.0,-0.0066,FL
2010-03-31,15.04,15.0,15.16,14.97,2380000.0,0.0,FL
2010-04-01,15.41,15.5,15.72,15.33,4520000.0,0.0246,FL
2010-04-05,15.5,15.49,15.6,15.34,2830000.0,0.0058,FL
2010-04-06,15.56,15.34,15.61,15.26,2720000.0,0.0039000000000000003,FL
2010-04-07,15.3,15.46,15.63,15.21,2430000.0,-0.0167,FL
2010-04-08,15.26,15.25,15.31,15.0,2560000.0,-0.0026,FL
2010-04-09,15.3,15.33,15.38,14.98,2540000.0,0.0026,FL
2010-04-12,15.25,15.3,15.3,15.04,2029999.9999999998,-0.0033,FL
2010-04-13,15.43,15.22,15.47,15.1,1880000.0,0.0118,FL
2010-04-14,15.67,15.45,15.72,15.22,3240000.0,0.015600000000000001,FL
2010-04-15,15.97,15.95,16.07,15.76,3020000.0,0.0191,FL
2010-04-16,15.78,15.88,16.0,15.63,3400000.0,-0.011899999999999999,FL
2010-04-19,15.54,15.66,15.83,15.31,3010000.0,-0.0152,FL
2010-04-20,15.73,15.64,15.82,15.55,1530000.0,0.012199999999999999,FL
2010-04-21,15.93,15.71,16.03,15.53,1810000.0,0.0127,FL
2010-04-22,16.5,15.82,16.54,15.75,2650000.0,0.0358,FL
2010-04-23,16.48,16.49,16.59,16.27,1720000.0,-0.0012,FL
2010-04-26,16.75,16.35,16.76,16.35,2110000.0,0.016399999999999998,FL
2010-04-27,15.92,16.68,16.73,15.89,2790000.0,-0.0496,FL
2010-04-28,15.93,16.08,16.24,15.69,2140000.0,0.0006,FL
2010-04-29,16.32,16.1,16.4,15.99,1570000.0,0.0245,FL
2010-04-30,15.35,16.39,16.45,15.32,2770000.0,-0.0594,FL
2010-05-03,15.63,15.45,15.79,15.39,2440000.0,0.0182,FL
2010-05-04,14.86,15.39,15.39,14.78,4270000.0,-0.0493,FL
2010-05-05,14.87,14.69,15.14,14.36,4550000.0,0.0007000000000000001,FL
2010-05-06,14.17,14.76,14.76,13.06,5550000.0,-0.0471,FL
2010-05-07,13.94,14.11,14.46,13.57,4500000.0,-0.016200000000000003,FL
2010-05-10,14.8,14.5,14.87,14.46,3610000.0,0.0617,FL
2010-05-11,14.9,14.6,15.12,14.59,2240000.0,0.0068000000000000005,FL
2010-05-12,15.23,14.9,15.33,14.81,1600000.0,0.022099999999999998,FL
2010-05-13,14.36,15.13,15.21,14.29,2760000.0,-0.0571,FL
2010-05-14,14.15,14.31,14.41,14.01,2900000.0,-0.0146,FL
2010-05-17,14.39,14.18,14.43,13.88,2880000.0,0.017,FL
2010-05-18,13.98,14.6,14.72,13.96,2380000.0,-0.0285,FL
2010-05-19,13.66,13.88,14.12,13.43,3870000.0,-0.0229,FL
2010-05-20,13.44,13.4,14.01,13.08,5120000.0,-0.0161,FL
2010-05-21,13.98,13.55,14.09,13.18,6340000.0,0.04019999999999999,FL
2010-05-24,13.84,13.91,14.14,13.79,1860000.0,-0.01,FL
2010-05-25,14.04,13.46,14.09,13.23,3080000.0,0.014499999999999999,FL
2010-05-26,14.13,14.06,14.55,14.05,3550000.0,0.0064,FL
2010-05-27,15.02,14.51,15.04,14.31,3030000.0,0.063,FL
2010-05-28,14.91,15.03,15.47,14.77,2640000.0,-0.0073,FL
2010-06-01,14.45,14.81,15.14,14.43,1950000.0,-0.030899999999999997,FL
2010-06-02,14.71,14.47,14.71,14.26,1420000.0,0.018000000000000002,FL
2010-06-03,14.72,14.65,15.08,14.44,1700000.0,0.0007000000000000001,FL
2010-06-04,13.88,14.42,14.47,13.71,2960000.0,-0.0571,FL
2010-06-07,13.24,13.78,13.92,13.22,2810000.0,-0.0461,FL
2010-06-08,13.42,13.24,13.45,13.0,2200000.0,0.013600000000000001,FL
2010-06-09,13.32,13.58,13.78,13.25,2110000.0,-0.0075,FL
2010-06-10,14.02,13.62,14.08,13.6,2510000.0,0.0526,FL
2010-06-11,14.31,13.84,14.35,13.76,2850000.0,0.0207,FL
2010-06-14,14.58,14.55,14.82,14.4,2560000.0,0.0189,FL
2010-06-15,14.94,14.74,14.94,14.52,2200000.0,0.024700000000000003,FL
2010-06-16,14.67,14.79,14.84,14.52,2430000.0,-0.0181,FL
2010-06-17,14.45,14.68,14.76,14.19,2320000.0,-0.015,FL
2010-06-18,14.36,14.47,14.65,14.27,1900000.0,-0.0062,FL
2010-06-21,13.9,14.65,14.65,13.78,2069999.9999999998,-0.032,FL
2010-06-22,13.67,13.96,14.26,13.61,1990000.0,-0.0165,FL
2010-06-23,13.88,13.7,14.13,13.54,3780000.0,0.0154,FL
2010-06-24,13.48,13.75,13.76,13.27,3520000.0,-0.0288,FL
2010-06-25,13.32,13.43,13.54,12.87,5190000.0,-0.011899999999999999,FL
2010-06-28,13.26,13.47,13.52,13.18,2210000.0,-0.0045000000000000005,FL
2010-06-29,12.85,12.99,13.06,12.53,3220000.0,-0.030899999999999997,FL
2010-06-30,12.62,12.87,13.22,12.6,3180000.0,-0.0179,FL
2010-07-01,12.88,12.69,13.01,12.28,4260000.0,0.0206,FL
2010-07-02,12.62,12.94,13.07,12.6,2340000.0,-0.0202,FL
2010-07-06,12.43,12.8,13.07,12.27,3130000.0,-0.0151,FL
2010-07-07,12.95,12.45,12.99,12.45,2430000.0,0.0418,FL
