Date,Close,Open,High,Low,Volume,Change,Symbol
2010-01-04,28.41,28.27,28.45,27.93,1790000.0,0.019,FMC
2010-01-05,28.32,28.45,28.5,28.05,1060000.0,-0.0032,FMC
2010-01-06,28.59,28.34,28.82,28.16,1490000.0,0.0095,FMC
2010-01-07,28.23,28.54,28.73,28.13,1720000.0,-0.0126,FMC
2010-01-08,27.98,28.12,28.27,27.6,2470000.0,-0.0089,FMC
2010-01-11,27.22,28.14,28.32,27.12,2150000.0,-0.027200000000000002,FMC
2010-01-12,27.12,26.93,27.2,26.66,1380000.0,-0.0037,FMC
2010-01-13,27.23,27.17,27.38,26.9,824100.0,0.0040999999999999995,FMC
2010-01-14,26.82,27.08,27.27,26.75,1310000.0,-0.0151,FMC
2010-01-15,26.61,26.71,26.74,26.31,3050000.0,-0.0078000000000000005,FMC
2010-01-19,27.02,26.6,27.08,26.52,1350000.0,0.0154,FMC
2010-01-20,26.92,26.69,27.02,26.33,1850000.0,-0.0037,FMC
2010-01-21,26.93,27.0,27.71,26.71,2100000.0,0.0004,FMC
2010-01-22,26.36,26.83,27.04,26.25,1930000.0,-0.0212,FMC
2010-01-25,26.65,26.7,26.9,26.46,1080000.0,0.011000000000000001,FMC
2010-01-26,26.26,26.46,26.66,26.16,826730.0,-0.0146,FMC
2010-01-27,26.18,26.16,26.29,25.74,1190000.0,-0.003,FMC
2010-01-28,25.57,26.21,26.28,25.5,1460000.0,-0.0233,FMC
2010-01-29,25.47,25.88,26.28,25.43,1350000.0,-0.0039000000000000003,FMC
2010-02-01,26.31,25.74,26.31,25.62,1360000.0,0.033,FMC
2010-02-02,26.61,26.34,26.89,26.04,1340000.0,0.011399999999999999,FMC
2010-02-03,26.41,26.46,26.74,26.18,828820.0,-0.0075,FMC
2010-02-04,25.4,26.13,26.23,25.38,1520000.0,-0.0382,FMC
2010-02-05,26.55,25.54,27.16,25.54,3560000.0,0.0453,FMC
2010-02-08,26.68,26.69,27.02,26.22,2860000.0,0.0049,FMC
2010-02-09,27.45,27.1,27.63,26.84,1980000.0,0.028900000000000002,FMC
2010-02-10,27.34,27.46,27.62,26.93,1580000.0,-0.004,FMC
2010-02-11,28.05,27.34,28.08,27.2,1740000.0,0.026000000000000002,FMC
2010-02-12,27.84,27.68,28.21,27.34,2200000.0,-0.0075,FMC
2010-02-16,28.24,28.13,28.27,27.81,3020000.0,0.0144,FMC
2010-02-17,28.49,28.44,28.62,28.14,1530000.0,0.0089,FMC
2010-02-18,28.64,28.37,28.73,28.32,1320000.0,0.0053,FMC
2010-02-19,28.7,28.5,28.78,28.48,1590000.0,0.0021,FMC
2010-02-22,28.39,28.84,28.84,28.11,1510000.0,-0.0108,FMC
2010-02-23,27.97,28.19,28.45,27.88,1460000.0,-0.0148,FMC
2010-02-24,28.16,28.16,28.45,27.84,1450000.0,0.0068000000000000005,FMC
2010-02-25,28.02,27.66,28.04,27.5,1520000.0,-0.005,FMC
2010-02-26,28.59,28.12,28.74,28.12,1620000.0,0.0203,FMC
2010-03-01,28.86,28.52,28.86,28.25,1760000.0,0.009399999999999999,FMC
2010-03-02,29.2,29.05,29.41,29.0,1670000.0,0.0118,FMC
2010-03-03,29.33,29.37,29.8,29.29,2300000.0,0.0045000000000000005,FMC
2010-03-04,29.39,29.44,29.5,29.15,1600000.0,0.002,FMC
2010-03-05,29.91,29.64,29.96,29.55,1090000.0,0.0177,FMC
2010-03-08,29.77,29.93,30.11,29.64,863280.0,-0.004699999999999999,FMC
2010-03-09,29.73,29.61,30.02,29.55,913520.0,-0.0013,FMC
2010-03-10,29.73,29.75,29.9,29.44,881350.0,0.0,FMC
2010-03-11,29.83,29.61,29.83,29.33,845310.0,0.0034000000000000002,FMC
2010-03-12,30.15,30.04,30.41,29.95,1090000.0,0.010700000000000001,FMC
2010-03-15,30.0,30.15,30.3,29.81,574690.0,-0.005,FMC
2010-03-16,30.13,29.93,30.14,29.88,954110.0,0.0043,FMC
2010-03-17,30.27,30.27,30.34,30.06,593310.0,0.0046,FMC
2010-03-18,30.21,30.3,30.41,29.99,580160.0,-0.002,FMC
2010-03-19,30.0,30.25,30.43,29.75,1500000.0,-0.006999999999999999,FMC
2010-03-22,30.3,29.75,30.34,29.62,1130000.0,0.01,FMC
2010-03-23,30.71,30.38,30.71,30.23,701790.0,0.013500000000000002,FMC
2010-03-24,30.82,30.59,31.12,30.41,1270000.0,0.0036,FMC
2010-03-25,30.22,30.98,31.09,30.19,946270.0,-0.0195,FMC
2010-03-26,30.15,30.28,30.55,29.95,1020000.0,-0.0023,FMC
2010-03-29,30.23,30.2,30.37,30.09,792420.0,0.0027,FMC
2010-03-30,30.7,30.3,30.86,30.3,1540000.0,0.0155,FMC
2010-03-31,30.27,30.56,30.73,30.16,1200000.0,-0.013999999999999999,FMC
2010-04-01,30.58,30.48,30.73,30.2,984540.0,0.0102,FMC
2010-04-05,31.12,30.66,31.14,30.45,1300000.0,0.0177,FMC
2010-04-06,31.62,31.13,31.66,31.03,1350000.0,0.0161,FMC
2010-04-07,31.75,31.57,32.01,31.5,1650000.0,0.0040999999999999995,FMC
2010-04-08,31.71,31.68,31.83,31.46,1950000.0,-0.0013,FMC
2010-04-09,32.13,31.84,32.15,31.84,831500.0,0.0132,FMC
2010-04-12,32.02,32.16,32.21,31.93,1020000.0,-0.0034000000000000002,FMC
2010-04-13,32.11,31.93,32.16,31.86,1380000.0,0.0028000000000000004,FMC
2010-04-14,32.1,32.15,32.23,31.98,731110.0,-0.0003,FMC
2010-04-15,32.01,31.98,32.3,31.93,2210000.0,-0.0028000000000000004,FMC
2010-04-16,32.0,31.86,32.08,31.57,2960000.0,-0.0003,FMC
2010-04-19,32.05,31.74,32.06,31.64,2400000.0,0.0016,FMC
2010-04-20,32.32,32.35,32.48,32.17,665720.0,0.0084,FMC
2010-04-21,32.09,32.24,32.28,31.91,1250000.0,-0.0070999999999999995,FMC
2010-04-22,32.27,31.77,32.34,31.72,1160000.0,0.005600000000000001,FMC
2010-04-23,32.58,32.34,32.59,32.13,1140000.0,0.0096,FMC
2010-04-26,32.21,32.61,32.72,32.15,989640.0,-0.011399999999999999,FMC
2010-04-27,31.86,32.17,32.31,31.62,4580000.0,-0.0109,FMC
