Date,Close,Open,High,Low,Volume,Change,Symbol
2010-01-04,12.3,12.41,12.56,12.26,14590000.0,0.0174,FOXA
2010-01-05,12.34,12.21,12.35,12.15,19610000.0,0.0033,FOXA
2010-01-06,12.54,12.28,12.71,12.27,27030000.0,0.016200000000000003,FOXA
2010-01-07,12.36,12.56,12.63,12.25,37460000.0,-0.0144,FOXA
2010-01-08,12.47,12.33,12.53,12.24,19660000.0,0.0089,FOXA
2010-01-11,12.43,12.56,12.6,12.32,10540000.0,-0.0032,FOXA
2010-01-12,11.88,12.51,12.51,11.81,18420000.0,-0.044199999999999996,FOXA
2010-01-13,11.78,12.03,12.04,11.71,25240000.0,-0.0084,FOXA
2010-01-14,11.87,11.75,11.9,11.73,17970000.0,0.0076,FOXA
2010-01-15,11.65,11.84,11.97,11.51,19610000.0,-0.018500000000000003,FOXA
2010-01-19,11.83,11.66,11.92,11.66,10580000.0,0.0155,FOXA
2010-01-20,11.53,11.7,11.78,11.4,21370000.0,-0.0254,FOXA
2010-01-21,11.34,11.57,11.86,11.26,21580000.0,-0.0165,FOXA
2010-01-22,10.96,11.46,11.46,10.93,22670000.0,-0.0335,FOXA
2010-01-25,11.18,11.1,11.23,10.91,20360000.0,0.020099999999999996,FOXA
2010-01-26,11.28,11.16,11.42,11.1,22850000.0,0.0089,FOXA
2010-01-27,11.17,11.26,11.36,10.93,21400000.0,-0.0098,FOXA
2010-01-28,11.05,11.17,11.28,10.94,35180000.0,-0.010700000000000001,FOXA
2010-01-29,11.13,11.18,11.46,11.1,34240000.0,0.0072,FOXA
2010-02-01,11.06,11.21,11.27,10.94,29310000.0,-0.0063,FOXA
2010-02-02,11.27,11.06,11.35,10.98,36700000.0,0.019,FOXA
2010-02-03,12.07,11.82,12.14,11.66,46680000.0,0.071,FOXA
2010-02-04,11.55,11.97,12.0,11.55,34090000.0,-0.0431,FOXA
2010-02-05,11.44,11.62,11.73,11.13,28990000.0,-0.0095,FOXA
2010-02-08,11.16,11.43,11.43,11.11,16710000.0,-0.0245,FOXA
2010-02-09,11.4,11.42,11.54,11.18,24210000.0,0.0215,FOXA
2010-02-10,11.13,11.31,11.36,11.02,18970000.0,-0.023700000000000002,FOXA
2010-02-11,11.42,11.22,11.43,10.98,29420000.0,0.026099999999999998,FOXA
2010-02-12,11.58,11.34,11.6,11.27,21700000.0,0.013999999999999999,FOXA
2010-02-16,11.85,11.71,11.85,11.53,13480000.0,0.0233,FOXA
2010-02-17,11.88,11.84,11.96,11.75,12600000.0,0.0025,FOXA
2010-02-18,11.91,11.91,12.0,11.76,9880000.0,0.0025,FOXA
2010-02-19,11.97,11.85,12.04,11.72,14290000.0,0.005,FOXA
2010-02-22,11.91,12.04,12.07,11.88,12220000.0,-0.005,FOXA
2010-02-23,11.64,11.94,12.04,11.61,15560000.0,-0.0227,FOXA
2010-02-24,11.91,11.66,11.94,11.65,14540000.0,0.0232,FOXA
2010-02-25,11.85,11.6,11.87,11.5,14170000.0,-0.005,FOXA
2010-02-26,11.81,11.86,11.93,11.7,14970000.0,-0.0034000000000000002,FOXA
2010-03-01,12.15,11.84,12.22,11.84,20730000.0,0.0288,FOXA
2010-03-02,12.22,12.19,12.3,12.04,18600000.0,0.0058,FOXA
2010-03-03,12.1,12.27,12.3,12.05,11840000.0,-0.0098,FOXA
2010-03-04,12.27,12.07,12.28,11.96,31900000.0,0.013999999999999999,FOXA
2010-03-05,12.74,12.28,12.74,12.27,19740000.0,0.0383,FOXA
2010-03-08,12.61,12.65,12.71,12.57,10080000.0,-0.0102,FOXA
2010-03-09,12.6,12.55,12.66,12.49,11520000.0,-0.0008,FOXA
2010-03-10,12.61,12.55,12.64,12.5,15410000.0,0.0008,FOXA
2010-03-11,12.59,12.54,12.63,12.44,17330000.0,-0.0016,FOXA
2010-03-12,12.39,12.7,12.8,12.33,22380000.0,-0.0159,FOXA
2010-03-15,12.34,12.47,12.53,12.2,19900000.0,-0.004,FOXA
2010-03-16,12.39,12.41,12.49,12.27,24750000.0,0.0040999999999999995,FOXA
2010-03-17,12.37,12.49,12.53,12.32,16320000.0,-0.0016,FOXA
2010-03-18,12.38,12.56,12.56,12.28,17710000.0,0.0008,FOXA
2010-03-19,12.34,12.51,12.56,12.09,24470000.0,-0.0032,FOXA
2010-03-22,12.37,12.31,12.39,12.12,14000000.0,0.0024,FOXA
2010-03-23,12.39,12.34,12.41,12.25,16219999.999999998,0.0016,FOXA
2010-03-24,12.6,12.37,12.69,12.34,22460000.0,0.0169,FOXA
2010-03-25,12.74,12.79,13.08,12.71,24020000.0,0.0111,FOXA
2010-03-26,12.77,12.78,12.93,12.61,9520000.0,0.0024,FOXA
2010-03-29,12.85,12.71,12.88,12.71,9240000.0,0.0063,FOXA
2010-03-30,12.76,12.91,12.91,12.71,10250000.0,-0.006999999999999999,FOXA
2010-03-31,12.72,12.79,12.92,12.65,15110000.0,-0.0031,FOXA
2010-04-01,12.88,12.84,12.94,12.67,9400000.0,0.0126,FOXA
2010-04-05,13.06,12.88,13.24,12.8,12780000.0,0.013999999999999999,FOXA
2010-04-06,12.98,13.12,13.15,12.93,15100000.0,-0.0060999999999999995,FOXA
2010-04-07,12.79,12.93,12.95,12.64,13390000.0,-0.0146,FOXA
2010-04-08,12.98,12.76,13.03,12.69,20290000.0,0.0149,FOXA
2010-04-09,13.43,13.06,13.54,12.96,23300000.0,0.0347,FOXA
2010-04-12,13.27,13.49,13.51,13.24,10110000.0,-0.011899999999999999,FOXA
2010-04-13,13.66,13.25,13.73,13.2,24400000.0,0.0294,FOXA
2010-04-14,13.98,13.62,13.98,13.59,21270000.0,0.023399999999999997,FOXA
2010-04-15,13.93,13.95,14.08,13.8,19350000.0,-0.0036,FOXA
2010-04-16,13.91,13.96,14.13,13.74,31920000.0,-0.0014000000000000002,FOXA
2010-04-19,13.93,13.92,14.07,13.67,22770000.0,0.0014000000000000002,FOXA
2010-04-20,14.0,13.99,14.12,13.93,14590000.0,0.005,FOXA
2010-04-21,14.11,14.04,14.17,13.97,14270000.0,0.0079,FOXA
2010-04-22,14.18,14.06,14.22,13.8,18790000.0,0.005,FOXA
2010-04-23,14.23,14.12,14.23,13.94,16649999.999999998,0.0034999999999999996,FOXA
2010-04-26,14.34,14.2,14.51,14.15,17360000.0,0.0077,FOXA
2010-04-27,13.86,14.14,14.21,13.76,26180000.0,-0.0335,FOXA
2010-04-28,13.74,13.84,14.0,13.53,25610000.0,-0.0087,FOXA
2010-04-29,13.92,13.83,14.09,13.83,22870000.0,0.0131,FOXA
2010-04-30,13.62,13.99,14.22,13.61,21450000.0,-0.0216,FOXA
2010-05-03,14.16,13.78,14.29,13.62,19170000.0,0.039599999999999996,FOXA
2010-05-04,13.6,14.01,14.01,13.46,32470000.0,-0.0395,FOXA
2010-05-05,12.89,12.74,13.14,12.06,58080000.0,-0.052199999999999996,FOXA
2010-05-06,12.34,12.8,12.93,11.39,40170000.0,-0.042699999999999995,FOXA
2010-05-07,12.07,12.45,12.51,11.75,44030000.0,-0.0219,FOXA
2010-05-10,12.94,12.59,15.01,12.58,31790000.0,0.0721,FOXA
2010-05-11,12.79,12.85,12.96,12.66,27480000.0,-0.0116,FOXA
2010-05-12,12.81,12.85,12.89,12.67,27080000.0,0.0016,FOXA
2010-05-13,12.63,12.97,12.97,12.58,22690000.0,-0.0141,FOXA
2010-05-14,12.32,12.66,12.66,12.17,29530000.0,-0.0245,FOXA
