Date,Close,Open,High,Low,Volume,Change,Symbol
2010-01-04,67.03,68.06,68.35,66.47,662340.0,-0.0102,FRT
2010-01-05,66.95,66.57,67.03,65.48,778780.0,-0.0012,FRT
2010-01-06,66.77,67.0,67.56,66.12,578260.0,-0.0027,FRT
2010-01-07,66.75,66.55,67.49,65.88,689610.0,-0.0003,FRT
2010-01-08,66.33,66.59,66.75,65.49,770810.0,-0.0063,FRT
2010-01-11,67.16,66.9,67.22,66.65,373900.0,0.0125,FRT
2010-01-12,66.01,66.68,67.0,65.31,763380.0,-0.0171,FRT
2010-01-13,67.32,66.31,67.53,66.14,737000.0,0.019799999999999998,FRT
2010-01-14,67.05,67.29,67.47,66.59,522770.0,-0.004,FRT
2010-01-15,67.59,66.94,67.7,66.38,916500.0,0.008100000000000001,FRT
2010-01-19,69.26,67.55,69.6,67.27,943600.0,0.024700000000000003,FRT
2010-01-20,68.36,68.56,68.81,68.09,665810.0,-0.013000000000000001,FRT
2010-01-21,66.98,68.45,68.92,66.83,810300.0,-0.0202,FRT
2010-01-22,65.5,66.86,67.8,65.33,730080.0,-0.022099999999999998,FRT
2010-01-25,65.63,66.09,66.22,64.47,597010.0,0.002,FRT
2010-01-26,65.37,65.36,66.49,65.06,452530.0,-0.004,FRT
2010-01-27,65.07,65.07,65.62,64.2,660540.0,-0.0046,FRT
2010-01-28,64.54,65.21,65.26,63.68,537750.0,-0.008100000000000001,FRT
2010-01-29,64.38,64.92,65.4,64.24,653830.0,-0.0025,FRT
2010-02-01,65.88,64.83,65.96,64.63,680930.0,0.0233,FRT
2010-02-02,67.81,66.21,67.94,65.59,1020000.0,0.029300000000000003,FRT
2010-02-03,66.75,67.49,67.81,66.29,451410.0,-0.015600000000000001,FRT
2010-02-04,63.73,66.19,66.42,63.62,1120000.0,-0.0452,FRT
2010-02-05,65.02,63.88,65.21,63.36,612540.0,0.0202,FRT
2010-02-08,63.58,65.05,65.44,63.42,658960.0,-0.022099999999999998,FRT
2010-02-09,63.1,64.49,64.49,62.43,1330000.0,-0.0075,FRT
2010-02-10,63.07,63.0,64.04,61.93,604620.0,-0.0005,FRT
2010-02-11,63.74,62.79,64.01,62.43,740840.0,0.0106,FRT
2010-02-12,64.46,62.89,64.58,62.68,601490.0,0.0113,FRT
2010-02-16,66.22,65.03,66.4,64.94,547300.0,0.0273,FRT
2010-02-17,67.13,66.43,67.14,66.21,599910.0,0.0137,FRT
2010-02-18,68.08,67.26,68.11,66.66,659320.0,0.014199999999999999,FRT
2010-02-19,68.49,67.96,68.96,67.57,567410.0,0.006,FRT
2010-02-22,68.58,68.73,68.98,68.22,543100.0,0.0013,FRT
2010-02-23,68.27,68.41,68.73,68.07,1040000.0,-0.0045000000000000005,FRT
2010-02-24,68.62,68.27,68.78,68.19,554460.0,0.0051,FRT
2010-02-25,69.05,67.58,69.15,67.34,410880.0,0.0063,FRT
2010-02-26,68.96,69.09,69.63,68.52,595970.0,-0.0013,FRT
2010-03-01,69.57,69.15,69.58,68.65,378490.0,0.0088,FRT
2010-03-02,69.96,69.64,70.03,69.39,390500.0,0.005600000000000001,FRT
2010-03-03,69.78,70.08,70.08,69.48,544340.0,-0.0026,FRT
2010-03-04,69.91,69.84,70.05,69.57,319480.0,0.0019,FRT
2010-03-05,71.45,70.28,71.57,69.65,1110000.0,0.022000000000000002,FRT
2010-03-08,72.21,71.37,72.37,71.05,433940.0,0.0106,FRT
