Date,Close,Open,High,Low,Volume,Change,Symbol
2010-01-04,35.45,35.59,35.64,35.31,5160000.0,0.0011,GIS
2010-01-05,35.12,35.58,35.59,34.8,7440000.0,-0.009300000000000001,GIS
2010-01-06,35.33,35.16,35.46,34.97,4690000.0,0.006,GIS
2010-01-07,35.65,35.1,35.72,34.98,6710000.0,0.0091,GIS
2010-01-08,35.36,35.7,35.7,35.13,4450000.0,-0.008100000000000001,GIS
2010-01-11,35.4,35.33,35.46,35.15,2450000.0,0.0011,GIS
2010-01-12,35.66,35.35,35.72,35.27,3690000.0,0.0073,GIS
2010-01-13,35.82,35.62,35.95,35.43,4030000.0000000005,0.0045000000000000005,GIS
2010-01-14,35.82,35.83,35.9,35.59,2270000.0,0.0,GIS
2010-01-15,35.66,35.83,35.98,35.55,3870000.0,-0.0045000000000000005,GIS
2010-01-19,35.95,35.85,36.12,35.73,5110000.0,0.008100000000000001,GIS
2010-01-20,35.72,35.77,35.77,35.53,4090000.0,-0.0064,GIS
2010-01-21,35.56,35.75,35.97,35.43,5220000.0,-0.0045000000000000005,GIS
2010-01-22,35.48,35.58,35.92,35.43,7610000.0,-0.0022,GIS
2010-01-25,35.38,35.63,35.87,35.32,3930000.0,-0.0028000000000000004,GIS
2010-01-26,35.48,35.25,35.52,34.98,5020000.0,0.0028000000000000004,GIS
2010-01-27,35.76,35.49,35.9,35.3,5460000.0,0.0079,GIS
2010-01-28,35.98,35.94,36.23,35.84,6170000.0,0.0062,GIS
2010-01-29,35.66,36.15,36.16,35.63,5150000.0,-0.0089,GIS
2010-02-01,35.52,35.91,35.91,35.37,5570000.0,-0.0039000000000000003,GIS
2010-02-02,35.52,35.6,35.81,35.34,7690000.0,0.0,GIS
2010-02-03,35.27,35.58,35.58,35.1,6020000.0,-0.006999999999999999,GIS
2010-02-04,34.5,35.08,35.12,34.49,8260000.0,-0.0218,GIS
2010-02-05,34.31,34.37,34.54,34.03,5900000.0,-0.0055000000000000005,GIS
2010-02-08,34.29,34.35,34.63,34.26,3940000.0,-0.0006,GIS
2010-02-09,34.73,34.44,34.91,34.44,3760000.0,0.0128,GIS
2010-02-10,34.73,34.76,34.87,34.47,3510000.0,0.0,GIS
2010-02-11,34.72,34.63,34.73,34.35,4130000.0,-0.0003,GIS
2010-02-12,34.74,34.53,34.83,34.25,5270000.0,0.0006,GIS
2010-02-16,35.31,34.77,35.33,34.58,4650000.0,0.016399999999999998,GIS
2010-02-17,35.48,35.32,35.58,35.29,3420000.0,0.0048,GIS
2010-02-18,36.02,35.48,36.02,35.48,4300000.0,0.0152,GIS
2010-02-19,36.18,35.99,36.23,35.85,3000000.0,0.0044,GIS
2010-02-22,36.15,36.2,36.24,35.98,2650000.0,-0.0008,GIS
2010-02-23,35.94,36.05,36.2,35.84,2300000.0,-0.0058,GIS
2010-02-24,35.96,36.05,36.17,35.84,2580000.0,0.0006,GIS
2010-02-25,35.84,35.78,35.89,35.44,4090000.0,-0.0033,GIS
2010-02-26,36.01,35.89,36.2,35.56,3670000.0,0.004699999999999999,GIS
2010-03-01,36.23,35.99,36.39,35.99,4220000.0,0.0060999999999999995,GIS
2010-03-02,36.35,36.3,36.49,36.26,4590000.0,0.0033,GIS
2010-03-03,36.48,36.37,36.63,36.31,3210000.0,0.0036,GIS
2010-03-04,36.19,36.59,36.62,35.85,6750000.0,-0.0079,GIS
2010-03-05,36.34,36.18,36.45,36.15,3620000.0,0.0040999999999999995,GIS
2010-03-08,36.08,36.41,36.41,35.91,3750000.0,-0.0072,GIS
2010-03-09,36.03,36.01,36.3,36.0,3370000.0,-0.0014000000000000002,GIS
2010-03-10,36.12,36.05,36.21,35.95,4019999.9999999995,0.0025,GIS
2010-03-11,36.31,35.99,36.31,35.9,2790000.0,0.0053,GIS
2010-03-12,36.19,36.39,36.5,36.02,3540000.0,-0.0033,GIS
2010-03-15,36.28,36.17,36.34,36.13,3760000.0,0.0025,GIS
2010-03-16,36.63,36.31,36.7,36.27,4050000.0,0.0096,GIS
2010-03-17,36.59,36.63,36.66,36.38,3370000.0,-0.0011,GIS
