Date,Close,Open,High,Low,Volume,Change,Symbol
2010-01-04,26.34,27.11,27.25,26.23,2530000.0,-0.0219,GPN
2010-01-05,26.28,26.25,26.39,26.09,1290000.0,-0.0023,GPN
2010-01-06,26.18,26.31,26.38,26.02,1630000.0,-0.0038,GPN
2010-01-07,26.02,26.18,26.2,25.89,2470000.0,-0.0060999999999999995,GPN
2010-01-08,24.48,24.6,24.87,24.12,6440000.0,-0.0592,GPN
2010-01-11,23.91,24.46,24.48,23.7,4420000.0,-0.0233,GPN
2010-01-12,23.89,23.85,23.93,23.6,2310000.0,-0.0008,GPN
2010-01-13,23.91,23.87,24.0,23.64,2180000.0,0.0008,GPN
2010-01-14,23.49,23.78,23.96,23.48,2980000.0,-0.0176,GPN
2010-01-15,23.24,23.5,23.6,23.2,2340000.0,-0.0106,GPN
2010-01-19,23.38,23.29,23.41,23.15,2060000.0,0.006,GPN
2010-01-20,23.34,23.2,23.38,22.98,2190000.0,-0.0017000000000000001,GPN
2010-01-21,22.93,23.39,23.51,22.88,3050000.0,-0.0176,GPN
2010-01-22,22.7,22.94,23.05,22.69,2420000.0,-0.01,GPN
2010-01-25,22.65,22.91,22.91,22.45,2000000.0,-0.0022,GPN
2010-01-26,22.62,22.56,22.8,22.45,1950000.0,-0.0013,GPN
2010-01-27,22.75,22.5,22.77,22.48,2510000.0,0.005699999999999999,GPN
2010-01-28,22.64,23.43,23.44,22.62,2520000.0,-0.0048,GPN
2010-01-29,22.25,22.66,22.66,22.25,2060000.0,-0.0172,GPN
2010-02-01,22.5,22.35,22.5,22.02,1520000.0,0.011200000000000002,GPN
2010-02-02,22.66,22.46,22.75,22.38,1490000.0,0.0070999999999999995,GPN
2010-02-03,22.63,22.51,22.77,22.51,1600000.0,-0.0013,GPN
2010-02-04,22.61,23.2,23.2,22.55,2590000.0,-0.0009,GPN
2010-02-05,22.57,22.58,22.77,22.38,2550000.0,-0.0018,GPN
2010-02-08,22.49,22.52,22.68,22.33,1420000.0,-0.0034999999999999996,GPN
2010-02-09,22.74,22.73,22.85,22.52,1080000.0,0.0111,GPN
2010-02-10,22.6,22.65,22.75,22.5,740290.0,-0.0062,GPN
2010-02-11,22.8,22.62,22.86,22.39,696990.0,0.0088,GPN
2010-02-12,22.25,22.66,22.66,22.12,2650000.0,-0.0241,GPN
2010-02-16,22.3,22.36,22.41,22.16,2840000.0,0.0022,GPN
2010-02-17,21.85,22.3,22.39,21.77,3590000.0,-0.0202,GPN
2010-02-18,21.92,21.77,22.05,21.75,2530000.0,0.0032,GPN
