Date,Close,Open,High,Low,Volume,Change,Symbol
2010-01-04,30.07,31.03,31.11,30.02,3900000.0,-0.0154,HCP
2010-01-05,29.99,30.17,30.31,29.52,3810000.0,-0.0027,HCP
2010-01-06,29.81,29.85,30.24,29.7,2700000.0,-0.006,HCP
2010-01-07,30.22,29.83,30.33,29.52,3580000.0,0.0138,HCP
2010-01-08,30.42,30.14,30.47,30.1,2790000.0,0.0066,HCP
2010-01-11,30.76,30.56,30.85,30.44,2340000.0,0.011200000000000002,HCP
2010-01-12,30.24,30.52,30.75,30.02,2860000.0,-0.0169,HCP
2010-01-13,30.47,30.3,30.58,30.09,4220000.0,0.0076,HCP
2010-01-14,30.38,30.33,30.47,30.03,2710000.0,-0.003,HCP
2010-01-15,30.35,30.32,30.47,30.15,3510000.0,-0.001,HCP
2010-01-19,31.29,30.3,31.34,30.29,4080000.0,0.031,HCP
2010-01-20,30.72,31.11,31.11,30.43,3130000.0,-0.0182,HCP
2010-01-21,29.81,30.77,30.9,29.75,4240000.0,-0.0296,HCP
2010-01-22,29.35,29.76,30.19,29.24,4550000.0,-0.0154,HCP
2010-01-25,29.36,29.71,29.71,28.93,2830000.0,0.0003,HCP
2010-01-26,28.48,29.13,29.15,28.41,4210000.0,-0.03,HCP
2010-01-27,28.72,28.49,28.74,27.99,4610000.0,0.0084,HCP
2010-01-28,28.57,29.01,29.01,28.27,3910000.0,-0.0052,HCP
2010-01-29,28.35,28.7,28.88,28.16,5070000.0,-0.0077,HCP
2010-02-01,28.93,28.5,29.11,28.48,2870000.0,0.020499999999999997,HCP
2010-02-02,29.6,28.97,29.69,28.68,3860000.0,0.0232,HCP
2010-02-03,29.23,29.5,29.54,28.99,2690000.0,-0.0125,HCP
2010-02-04,27.77,29.04,29.05,27.75,7470000.0,-0.0499,HCP
2010-02-05,28.03,27.92,28.24,27.26,7010000.0,0.009399999999999999,HCP
2010-02-08,27.28,28.1,28.18,27.18,4120000.0,-0.0268,HCP
2010-02-09,27.06,27.06,27.29,26.7,4490000.0,-0.008100000000000001,HCP
2010-02-10,27.58,27.0,27.85,26.83,4250000.0,0.0192,HCP
2010-02-11,28.04,27.5,28.11,27.32,3620000.0,0.0167,HCP
2010-02-12,27.54,27.52,27.75,27.21,4750000.0,-0.0178,HCP
2010-02-16,28.94,27.99,29.01,27.82,4290000.0,0.0508,HCP
2010-02-17,29.3,29.1,29.49,29.07,3200000.0,0.0124,HCP
2010-02-18,29.76,29.17,29.94,29.04,3280000.0,0.015700000000000002,HCP
2010-02-19,29.88,29.58,30.06,29.37,3180000.0,0.004,HCP
2010-02-22,29.57,29.94,29.97,29.45,3470000.0,-0.0104,HCP
2010-02-23,29.0,29.53,29.75,28.97,4230000.0,-0.019299999999999998,HCP
2010-02-24,29.38,29.06,29.38,29.0,3270000.0,0.0131,HCP
2010-02-25,29.01,29.07,29.12,28.74,4350000.0,-0.0126,HCP
2010-02-26,28.78,28.97,29.14,28.78,5120000.0,-0.0079,HCP
2010-03-01,29.04,28.95,29.17,28.78,3200000.0,0.009000000000000001,HCP
2010-03-02,29.25,29.16,29.38,29.04,4890000.0,0.0072,HCP
2010-03-03,29.24,29.27,29.38,29.0,2530000.0,-0.0003,HCP
2010-03-04,29.59,29.36,29.66,29.21,2510000.0,0.012,HCP
2010-03-05,30.4,29.8,30.44,29.53,3420000.0,0.0274,HCP
2010-03-08,30.54,30.37,30.81,30.25,2540000.0,0.0046,HCP
2010-03-09,30.57,30.34,30.8,30.3,2670000.0,0.001,HCP
2010-03-10,31.1,30.66,31.18,30.42,2990000.0,0.0173,HCP
2010-03-11,31.67,30.94,31.71,30.8,3630000.0,0.0183,HCP
2010-03-12,32.13,31.72,32.17,31.65,3330000.0,0.014499999999999999,HCP
2010-03-15,32.13,31.33,32.25,31.02,4139999.9999999995,0.0,HCP
2010-03-16,33.01,32.18,33.12,32.09,4010000.0,0.0274,HCP
2010-03-17,33.8,33.21,33.89,33.04,5020000.0,0.0239,HCP
2010-03-18,33.5,33.38,33.77,33.23,3660000.0,-0.0089,HCP
2010-03-19,33.11,33.56,33.76,33.07,5160000.0,-0.0116,HCP
2010-03-22,33.98,32.93,34.1,32.85,4200000.0,0.0263,HCP
2010-03-23,33.83,33.6,34.1,33.39,5120000.0,-0.0044,HCP
2010-03-24,33.88,33.77,34.23,33.66,5240000.0,0.0015,HCP
2010-03-25,33.57,34.13,34.37,33.57,4380000.0,-0.0091,HCP
2010-03-26,33.37,33.72,34.01,33.22,3780000.0,-0.006,HCP
2010-03-29,33.13,33.53,33.65,32.95,3100000.0,-0.0072,HCP
2010-03-30,33.14,33.16,33.4,33.03,3440000.0,0.0003,HCP
2010-03-31,33.0,33.0,33.31,32.86,3410000.0,-0.0042,HCP
2010-04-01,32.96,33.32,33.65,32.83,3460000.0,-0.0012,HCP
2010-04-05,33.28,33.05,33.33,32.96,3200000.0,0.0097,HCP
2010-04-06,33.61,33.16,33.85,33.0,3250000.0,0.009899999999999999,HCP
2010-04-07,32.61,33.6,33.6,32.49,3470000.0,-0.0298,HCP
2010-04-08,32.76,32.48,32.86,32.37,3730000.0,0.0046,HCP
2010-04-09,33.26,32.89,33.26,32.8,2920000.0,0.015300000000000001,HCP
2010-04-12,32.9,33.38,33.44,32.81,2410000.0,-0.0108,HCP
2010-04-13,33.08,32.97,33.3,32.72,3410000.0,0.0055000000000000005,HCP
2010-04-14,32.6,33.16,33.26,32.53,3610000.0,-0.014499999999999999,HCP
2010-04-15,31.67,32.53,32.59,31.62,3500000.0,-0.0285,HCP
2010-04-16,31.17,31.59,32.03,31.17,7030000.0,-0.0158,HCP
2010-04-19,31.45,30.99,31.63,30.75,4179999.9999999995,0.009000000000000001,HCP
2010-04-20,31.89,31.69,31.9,31.14,3470000.0,0.013999999999999999,HCP
2010-04-21,32.22,31.94,32.45,31.72,3840000.0,0.0103,HCP
2010-04-22,32.78,31.93,32.93,31.74,3130000.0,0.0174,HCP
2010-04-23,33.09,32.86,33.15,32.49,2250000.0,0.0095,HCP
2010-04-26,33.66,32.92,34.0,32.92,3850000.0,0.0172,HCP
2010-04-27,32.17,32.85,33.51,32.05,4450000.0,-0.0443,HCP
2010-04-28,32.27,32.49,32.65,32.11,3160000.0,0.0031,HCP
2010-04-29,32.89,32.06,32.98,31.96,2920000.0,0.0192,HCP
2010-04-30,32.12,32.77,33.24,32.07,3620000.0,-0.023399999999999997,HCP
2010-05-03,33.2,32.38,33.38,32.25,3040000.0,0.0336,HCP
2010-05-04,32.21,32.75,32.89,31.82,4290000.0,-0.0298,HCP
2010-05-05,31.8,31.81,32.39,31.4,2920000.0,-0.0127,HCP
2010-05-06,30.91,31.62,31.89,28.53,7520000.0,-0.027999999999999997,HCP
2010-05-07,31.02,30.73,31.59,29.96,6840000.0,0.0036,HCP
2010-05-10,33.72,32.62,33.78,32.39,6060000.0,0.087,HCP
2010-05-11,33.76,33.27,34.21,33.14,3920000.0,0.0012,HCP
2010-05-12,33.98,33.75,34.12,33.53,3470000.0,0.006500000000000001,HCP
2010-05-13,33.47,33.81,34.06,33.44,2940000.0,-0.015,HCP
2010-05-14,32.59,33.1,33.32,32.2,4099999.9999999995,-0.0263,HCP
2010-05-17,32.63,32.79,33.22,31.7,3090000.0,0.0012,HCP
2010-05-18,31.85,33.02,33.16,31.74,4820000.0,-0.0239,HCP
2010-05-19,31.64,31.68,32.29,30.94,3710000.0,-0.0066,HCP
2010-05-20,30.01,30.77,31.17,29.97,6010000.0,-0.051500000000000004,HCP
2010-05-21,31.04,29.03,31.12,29.03,5590000.0,0.034300000000000004,HCP
2010-05-24,30.54,31.2,31.42,30.47,3290000.0,-0.0161,HCP
2010-05-25,30.83,29.79,30.93,29.44,4840000.0,0.0095,HCP
2010-05-26,30.73,31.26,31.65,30.59,4110000.0000000005,-0.0032,HCP
2010-05-27,32.47,31.34,32.52,31.09,4440000.0,0.056600000000000004,HCP
2010-05-28,31.86,32.33,32.66,31.78,2610000.0,-0.018799999999999997,HCP
2010-06-01,31.35,31.54,32.11,31.29,3210000.0,-0.016,HCP
2010-06-02,32.31,31.63,32.32,31.04,3720000.0,0.030600000000000002,HCP
2010-06-03,31.8,32.25,32.37,31.66,2910000.0,-0.0158,HCP
2010-06-04,30.18,30.88,31.47,30.06,5290000.0,-0.0509,HCP
2010-06-07,30.15,30.34,30.86,30.13,3160000.0,-0.001,HCP
2010-06-08,31.06,30.23,31.11,29.7,4620000.0,0.0302,HCP
2010-06-09,30.93,31.2,31.93,30.79,2850000.0,-0.0042,HCP
2010-06-10,32.46,31.36,32.51,31.36,3150000.0,0.0495,HCP
2010-06-11,32.85,32.02,32.91,31.95,1950000.0,0.012,HCP
2010-06-14,33.44,33.13,33.58,32.87,3660000.0,0.018000000000000002,HCP
2010-06-15,34.35,33.62,34.39,33.44,3540000.0,0.027200000000000002,HCP
2010-06-16,34.19,33.99,34.4,33.92,2770000.0,-0.004699999999999999,HCP
2010-06-17,34.35,34.2,34.5,33.84,2260000.0,0.004699999999999999,HCP
2010-06-18,32.72,32.97,33.05,32.7,10250000.0,-0.0475,HCP
2010-06-21,32.5,33.36,33.36,32.36,4350000.0,-0.0067,HCP
2010-06-22,32.05,32.54,32.77,31.82,6000000.0,-0.0138,HCP
2010-06-23,32.41,32.03,32.59,31.61,4760000.0,0.011200000000000002,HCP
2010-06-24,32.04,32.16,32.56,31.88,5970000.0,-0.011399999999999999,HCP
2010-06-25,32.75,32.3,33.01,32.03,6390000.0,0.0222,HCP
2010-06-28,32.49,32.91,32.93,32.39,3220000.0,-0.0079,HCP
2010-06-29,32.25,32.06,32.82,31.78,10090000.0,-0.0074,HCP
2010-06-30,32.25,32.39,33.05,32.16,6600000.0,0.0,HCP
2010-07-01,32.13,32.11,32.43,31.35,5150000.0,-0.0037,HCP
2010-07-02,31.75,32.36,32.36,31.64,4270000.0,-0.0118,HCP
2010-07-06,31.42,32.36,32.67,31.08,5000000.0,-0.0104,HCP
2010-07-07,32.84,31.55,32.86,31.52,5360000.0,0.0452,HCP
2010-07-08,32.83,33.16,33.35,32.35,3820000.0,-0.0003,HCP
2010-07-09,33.51,32.83,33.52,32.56,2970000.0,0.0207,HCP
2010-07-12,33.55,33.43,33.78,33.12,2740000.0,0.0012,HCP
