Date,Close,Open,High,Low,Volume,Change,Symbol
2010-01-04,12.84,12.31,12.85,12.2,1830000.0,0.0682,HFC
2010-01-05,13.67,12.87,14.02,12.8,3340000.0,0.0646,HFC
2010-01-06,13.63,13.65,13.81,13.31,2170000.0,-0.0029,HFC
2010-01-07,13.64,13.62,13.71,13.35,1170000.0,0.0007000000000000001,HFC
2010-01-08,13.53,13.47,13.67,13.41,868840.0,-0.008100000000000001,HFC
2010-01-11,13.2,13.63,13.87,13.01,1900000.0,-0.024399999999999998,HFC
2010-01-12,12.7,12.98,12.98,12.57,1920000.0,-0.0379,HFC
2010-01-13,12.51,12.63,12.63,11.95,1880000.0,-0.015,HFC
2010-01-14,12.51,12.5,12.62,12.31,896870.0,0.0,HFC
2010-01-15,12.62,12.55,12.65,12.36,887710.0,0.0088,HFC
2010-01-19,12.66,12.57,12.73,12.55,1420000.0,0.0032,HFC
2010-01-20,12.68,12.44,12.72,12.39,1270000.0,0.0016,HFC
2010-01-21,12.5,12.61,12.83,12.44,1960000.0,-0.014199999999999999,HFC
2010-01-22,12.24,12.43,12.6,12.22,1550000.0,-0.0208,HFC
2010-01-25,12.24,12.26,12.39,12.18,890900.0,0.0,HFC
2010-01-26,12.34,12.17,12.43,12.03,1410000.0,0.008199999999999999,HFC
2010-01-27,12.35,12.36,12.37,12.06,1240000.0,0.0008,HFC
2010-01-28,12.24,12.48,12.48,12.04,1540000.0,-0.0089,HFC
2010-01-29,12.24,12.35,12.66,12.17,1850000.0,0.0,HFC
2010-02-01,12.77,12.34,12.82,12.3,1570000.0,0.0433,HFC
2010-02-02,13.37,12.85,13.41,12.68,2089999.9999999998,0.047,HFC
2010-02-03,13.04,13.34,13.37,12.95,1850000.0,-0.024700000000000003,HFC
2010-02-04,12.52,12.92,12.92,12.51,1150000.0,-0.039900000000000005,HFC
2010-02-05,12.42,12.49,12.49,11.95,1610000.0,-0.008,HFC
2010-02-08,12.3,12.45,12.51,12.18,1040000.0,-0.0097,HFC
2010-02-09,12.56,12.41,12.63,12.22,1150000.0,0.021099999999999997,HFC
2010-02-10,12.72,12.48,12.74,12.26,987850.0,0.0127,HFC
2010-02-11,12.62,12.66,12.77,12.47,707210.0,-0.0079,HFC
2010-02-12,12.79,12.34,12.79,12.31,1080000.0,0.013500000000000002,HFC
2010-02-16,13.29,13.03,13.32,12.86,753670.0,0.0391,HFC
2010-02-17,13.19,13.29,13.42,13.04,905640.0,-0.0075,HFC
2010-02-18,13.33,13.22,13.37,13.11,1510000.0,0.0106,HFC
2010-02-19,13.39,13.23,13.45,13.2,567400.0,0.0045000000000000005,HFC
2010-02-22,13.29,13.51,13.54,13.14,1190000.0,-0.0075,HFC
2010-02-23,13.0,13.22,13.28,12.85,795890.0,-0.0218,HFC
2010-02-24,13.19,13.15,13.29,12.97,1030000.0,0.0146,HFC
2010-02-25,12.17,12.95,12.95,11.85,5130000.0,-0.07730000000000001,HFC
