Date,Close,Open,High,Low,Volume,Change,Symbol
2010-01-04,25.46,25.49,25.7,25.28,2900000.0,0.0103,HOG
2010-01-05,25.65,25.37,25.91,25.24,2810000.0,0.0075,HOG
2010-01-06,25.59,25.74,25.99,25.45,3280000.0,-0.0023,HOG
2010-01-07,25.8,25.46,25.89,25.32,2520000.0,0.008199999999999999,HOG
2010-01-08,25.53,25.78,25.85,25.32,3520000.0,-0.0105,HOG
2010-01-11,25.17,25.73,25.76,25.1,2660000.0,-0.0141,HOG
2010-01-12,24.81,25.09,25.09,24.5,3490000.0,-0.0143,HOG
2010-01-13,25.88,24.81,25.99,24.63,4290000.0,0.0431,HOG
2010-01-14,25.73,25.92,25.92,25.58,2540000.0,-0.0058,HOG
2010-01-15,25.08,25.65,26.0,24.83,4750000.0,-0.0253,HOG
2010-01-19,25.71,25.08,25.73,24.41,4370000.0,0.025099999999999997,HOG
2010-01-20,25.84,25.45,26.18,25.34,5480000.0,0.0051,HOG
2010-01-21,25.58,25.94,26.09,25.1,5330000.0,-0.0101,HOG
2010-01-22,23.59,24.96,24.99,23.16,14180000.0,-0.07780000000000001,HOG
2010-01-25,23.42,23.83,24.22,23.22,5010000.0,-0.0072,HOG
2010-01-26,23.18,23.27,23.69,23.08,3960000.0,-0.0102,HOG
2010-01-27,23.52,23.15,23.6,22.84,3880000.0,0.0147,HOG
2010-01-28,23.35,23.74,23.82,22.78,4250000.0,-0.0072,HOG
2010-01-29,22.74,23.48,23.73,22.59,4510000.0,-0.026099999999999998,HOG
2010-02-01,23.27,22.95,23.31,22.71,2660000.0,0.0233,HOG
2010-02-02,23.5,23.41,23.7,23.06,3440000.0,0.009899999999999999,HOG
2010-02-03,23.26,23.35,23.55,23.12,2029999.9999999998,-0.0102,HOG
2010-02-04,22.69,22.89,23.26,22.55,4720000.0,-0.0245,HOG
2010-02-05,22.57,22.51,22.82,21.81,6450000.0,-0.0053,HOG
2010-02-08,22.23,22.51,22.82,22.21,2530000.0,-0.0151,HOG
2010-02-09,22.73,22.61,23.02,22.33,2630000.0,0.0225,HOG
2010-02-10,22.63,22.73,22.84,22.07,2850000.0,-0.0044,HOG
