Date,Close,Open,High,Low,Volume,Change,Symbol
2010-01-04,27.04,26.85,27.18,26.71,325160.0,0.0116,IDXX
2010-01-05,27.09,26.88,27.09,26.77,223430.0,0.0018,IDXX
2010-01-06,27.15,27.02,27.37,27.02,262220.0,0.0022,IDXX
2010-01-07,28.18,27.04,28.32,26.97,748160.0,0.0379,IDXX
2010-01-08,27.95,28.21,28.45,27.91,642600.0,-0.008199999999999999,IDXX
2010-01-11,28.89,28.02,28.95,28.02,697110.0,0.0336,IDXX
2010-01-12,28.84,28.85,28.89,28.59,492640.0,-0.0017000000000000001,IDXX
2010-01-13,29.57,28.82,29.66,28.82,1040000.0,0.0253,IDXX
2010-01-14,29.82,29.6,29.98,29.6,505940.0,0.0085,IDXX
2010-01-15,29.55,29.75,29.82,29.27,422540.0,-0.0091,IDXX
2010-01-19,29.68,29.5,29.88,29.3,582680.0,0.0044,IDXX
2010-01-20,29.54,29.56,29.75,29.23,353320.0,-0.004699999999999999,IDXX
2010-01-21,29.18,29.48,29.55,29.12,349720.0,-0.012199999999999999,IDXX
2010-01-22,28.59,29.23,29.27,28.53,500830.0,-0.0202,IDXX
2010-01-25,28.38,28.84,28.84,28.23,584110.0,-0.0073,IDXX
2010-01-26,28.46,28.38,28.55,28.3,248050.0,0.0028000000000000004,IDXX
2010-01-27,28.35,28.32,28.53,28.09,469350.0,-0.0039000000000000003,IDXX
2010-01-28,28.98,28.3,29.01,28.02,691220.0,0.0222,IDXX
2010-01-29,26.25,28.41,29.05,26.25,3660000.0,-0.0942,IDXX
2010-02-01,24.96,26.38,26.65,24.52,3700000.0,-0.049100000000000005,IDXX
2010-02-02,25.46,25.05,25.59,24.76,2080000.0,0.02,IDXX
2010-02-03,25.44,25.38,25.48,25.17,720670.0,-0.0008,IDXX
2010-02-04,25.25,25.23,25.55,25.05,1430000.0,-0.0075,IDXX
2010-02-05,25.02,25.18,25.41,24.63,1170000.0,-0.0091,IDXX
2010-02-08,25.0,24.8,25.13,24.62,730790.0,-0.0008,IDXX
2010-02-09,25.28,24.95,25.32,24.88,574530.0,0.011200000000000002,IDXX
2010-02-10,25.2,25.35,25.5,24.96,600960.0,-0.0032,IDXX
2010-02-11,26.0,25.27,26.07,25.13,844680.0,0.0317,IDXX
2010-02-12,26.66,25.66,26.71,25.66,855830.0,0.0254,IDXX
2010-02-16,26.79,26.52,26.79,26.28,766060.0,0.0049,IDXX
2010-02-17,26.82,26.77,27.18,26.58,488330.0,0.0011,IDXX
2010-02-18,26.95,26.89,27.09,26.64,405990.0,0.0048,IDXX
2010-02-19,26.48,26.85,27.07,26.45,746510.0,-0.0174,IDXX
2010-02-22,26.34,26.45,26.59,26.25,752750.0,-0.0053,IDXX
2010-02-23,26.25,26.32,26.81,26.2,607670.0,-0.0034000000000000002,IDXX
2010-02-24,26.52,26.38,26.6,26.34,307080.0,0.0103,IDXX
2010-02-25,26.25,26.35,26.73,26.04,613560.0,-0.0102,IDXX
2010-02-26,26.4,26.18,26.73,26.17,555950.0,0.005699999999999999,IDXX
2010-03-01,27.11,26.41,27.16,26.07,815810.0,0.0269,IDXX
2010-03-02,27.71,27.04,27.8,26.99,664110.0,0.022099999999999998,IDXX
2010-03-03,27.95,27.77,28.1,27.73,564300.0,0.0087,IDXX
2010-03-04,27.72,28.02,28.27,27.66,385480.0,-0.008199999999999999,IDXX
2010-03-05,28.23,27.73,28.25,27.6,386610.0,0.0184,IDXX
2010-03-08,28.29,28.28,28.35,28.04,445030.0,0.0021,IDXX
2010-03-09,28.07,28.2,28.35,28.0,427920.0,-0.0078000000000000005,IDXX
2010-03-10,27.98,28.0,28.27,27.88,454870.0,-0.0032,IDXX
2010-03-11,27.93,27.79,28.01,27.65,401030.0,-0.0018,IDXX
2010-03-12,28.13,27.93,28.13,27.5,405620.0,0.0072,IDXX
2010-03-15,28.31,27.89,28.32,27.89,459120.0,0.0064,IDXX
2010-03-16,28.25,28.35,28.63,28.17,970280.0,-0.0021,IDXX
2010-03-17,28.38,28.36,28.45,28.27,292440.0,0.0046,IDXX
2010-03-18,28.79,28.27,28.79,28.27,277100.0,0.0144,IDXX
2010-03-19,28.93,28.95,29.04,28.6,721480.0,0.0049,IDXX
2010-03-22,29.38,28.73,29.51,28.71,468690.0,0.015600000000000001,IDXX
2010-03-23,29.58,29.32,29.61,29.2,311030.0,0.0068000000000000005,IDXX
2010-03-24,28.66,29.57,29.64,28.66,843200.0,-0.0311,IDXX
2010-03-25,28.61,28.87,29.13,28.61,379040.0,-0.0017000000000000001,IDXX
2010-03-26,27.94,28.61,28.7,27.87,684410.0,-0.023399999999999997,IDXX
2010-03-29,28.77,28.0,28.86,27.63,458460.0,0.0297,IDXX
2010-03-30,28.82,28.75,29.03,28.64,383620.0,0.0017000000000000001,IDXX
2010-03-31,28.77,28.76,28.96,28.68,307520.0,-0.0017000000000000001,IDXX
2010-04-01,29.04,28.93,29.18,28.8,396360.0,0.009399999999999999,IDXX
2010-04-05,28.98,29.0,29.11,28.81,450850.0,-0.0021,IDXX
2010-04-06,28.84,28.8,28.96,28.79,351240.0,-0.0048,IDXX
2010-04-07,29.09,29.05,29.3,28.96,467910.0,0.0087,IDXX
2010-04-08,29.17,29.09,29.26,28.66,369080.0,0.0028000000000000004,IDXX
2010-04-09,29.5,29.12,29.5,29.07,215980.0,0.0113,IDXX
2010-04-12,29.73,29.43,29.75,29.43,385500.0,0.0078000000000000005,IDXX
2010-04-13,29.75,29.75,29.75,29.52,191070.0,0.0007000000000000001,IDXX
2010-04-14,29.97,29.75,30.0,29.57,269020.0,0.0074,IDXX
2010-04-15,30.43,29.91,30.43,29.82,496800.0,0.015300000000000001,IDXX
2010-04-16,30.16,30.27,30.66,30.11,658890.0,-0.0089,IDXX
2010-04-19,29.96,30.11,30.4,29.88,997940.0,-0.0066,IDXX
2010-04-20,30.05,30.12,30.12,29.85,1100000.0,0.003,IDXX
2010-04-21,29.87,30.09,30.11,29.8,576150.0,-0.006,IDXX
2010-04-22,30.2,29.73,30.29,29.25,777700.0,0.011000000000000001,IDXX
