Date,Close,Open,High,Low,Volume,Change,Symbol
2010-01-04,9.5,9.22,9.51,9.17,1870000.0,0.042800000000000005,INCY
2010-01-05,10.27,9.51,10.29,9.45,7610000.0,0.08109999999999999,INCY
2010-01-06,11.0,10.38,11.09,10.35,8050000.000000001,0.0711,INCY
2010-01-07,10.82,11.0,11.06,10.62,3680000.0,-0.016399999999999998,INCY
2010-01-08,10.94,10.82,11.0,10.75,1530000.0,0.0111,INCY
2010-01-11,11.09,10.96,11.24,10.88,2280000.0,0.0137,INCY
2010-01-12,10.36,10.99,11.0,10.34,4200000.0,-0.0658,INCY
2010-01-13,10.33,10.36,10.46,10.04,2130000.0,-0.0029,INCY
2010-01-14,10.16,10.31,10.39,10.08,2890000.0,-0.0165,INCY
2010-01-15,9.86,9.98,10.0,9.64,2950000.0,-0.029500000000000002,INCY
2010-01-19,10.02,9.9,10.08,9.83,2620000.0,0.016200000000000003,INCY
2010-01-20,9.81,9.96,10.1,9.68,1760000.0,-0.021,INCY
2010-01-21,9.41,9.86,9.89,9.29,1970000.0,-0.0408,INCY
2010-01-22,9.47,9.37,9.76,9.16,3400000.0,0.0064,INCY
2010-01-25,9.79,9.62,9.83,9.37,3230000.0,0.0338,INCY
2010-01-26,10.29,9.75,10.37,9.62,4570000.0,0.051100000000000007,INCY
2010-01-27,10.06,10.25,10.33,9.94,2430000.0,-0.022400000000000003,INCY
2010-01-28,10.37,10.12,10.5,10.0,2740000.0,0.0308,INCY
2010-01-29,10.68,10.5,10.85,10.38,4700000.0,0.029900000000000003,INCY
2010-02-01,10.63,10.76,10.78,10.47,1440000.0,-0.004699999999999999,INCY
2010-02-02,10.93,10.67,10.97,10.51,2049999.9999999998,0.0282,INCY
2010-02-03,10.62,10.73,10.87,10.56,1980000.0,-0.028399999999999998,INCY
2010-02-04,10.01,10.49,10.63,9.96,3110000.0,-0.0574,INCY
2010-02-05,10.19,10.06,10.31,9.85,2740000.0,0.018000000000000002,INCY
2010-02-08,9.96,10.21,10.24,9.88,1310000.0,-0.0226,INCY
2010-02-09,10.28,10.15,10.45,10.07,2100000.0,0.0321,INCY
2010-02-10,10.45,10.34,10.45,10.09,1220000.0,0.0165,INCY
2010-02-11,10.66,10.46,10.74,10.29,1050000.0,0.020099999999999996,INCY
2010-02-12,11.09,10.52,11.09,10.33,3540000.0,0.0403,INCY
2010-02-16,11.2,11.15,11.24,10.89,3070000.0,0.009899999999999999,INCY
2010-02-17,11.06,11.19,11.29,10.99,2190000.0,-0.0125,INCY
2010-02-18,10.72,10.91,11.16,10.71,2770000.0,-0.030699999999999998,INCY
2010-02-19,10.86,10.74,11.17,10.43,2690000.0,0.0131,INCY
2010-02-22,10.71,10.87,10.97,10.6,1700000.0,-0.0138,INCY
2010-02-23,10.54,10.71,10.76,10.31,1770000.0,-0.0159,INCY
2010-02-24,10.51,10.55,10.75,10.48,949030.0,-0.0028000000000000004,INCY
2010-02-25,10.58,10.32,10.6,10.2,1240000.0,0.0067,INCY
2010-02-26,10.66,10.73,10.8,10.5,1190000.0,0.0076,INCY
2010-03-01,11.5,10.71,11.5,10.67,3250000.0,0.0788,INCY
