Date,Close,Open,High,Low,Volume,Change,Symbol
2010-01-04,23.34,23.57,23.58,23.15,4250000.0,-0.0064,IVZ
2010-01-05,23.47,23.31,23.55,23.23,2710000.0,0.005600000000000001,IVZ
2010-01-06,22.98,23.41,23.44,22.97,3560000.0,-0.0209,IVZ
2010-01-07,23.05,22.93,23.1,22.77,2740000.0,0.003,IVZ
2010-01-08,22.92,22.85,23.03,22.65,2380000.0,-0.005600000000000001,IVZ
2010-01-11,23.63,22.98,23.7,22.98,2400000.0,0.031,IVZ
2010-01-12,23.29,23.46,23.7,23.01,2049999.9999999998,-0.0144,IVZ
2010-01-13,23.38,23.45,23.68,23.15,3120000.0,0.0039000000000000003,IVZ
2010-01-14,23.0,23.31,23.35,22.78,3550000.0,-0.0163,IVZ
2010-01-15,22.71,22.8,22.99,22.49,2530000.0,-0.0126,IVZ
2010-01-19,23.03,22.67,23.2,22.53,1990000.0,0.0141,IVZ
2010-01-20,22.41,22.9,22.9,22.26,2730000.0,-0.0269,IVZ
2010-01-21,21.45,22.4,22.6,21.45,4310000.0,-0.042800000000000005,IVZ
2010-01-22,20.83,21.47,21.66,20.75,4650000.0,-0.028900000000000002,IVZ
2010-01-25,21.17,21.25,21.46,20.93,3710000.0,0.0163,IVZ
2010-01-26,20.33,20.84,21.04,20.32,4310000.0,-0.0397,IVZ
2010-01-27,21.69,20.46,21.69,20.27,8289999.999999999,0.0669,IVZ
2010-01-28,20.21,21.84,21.84,20.04,10000000.0,-0.0682,IVZ
2010-01-29,19.3,20.66,20.66,19.11,9760000.0,-0.045,IVZ
2010-02-01,20.05,19.29,20.12,19.26,6030000.0,0.038900000000000004,IVZ
2010-02-02,20.24,20.08,20.36,19.83,4190000.0000000005,0.0095,IVZ
2010-02-03,19.57,19.98,20.29,19.45,3760000.0,-0.0331,IVZ
2010-02-04,18.59,19.35,19.54,18.55,6450000.0,-0.0501,IVZ
2010-02-05,18.58,18.78,19.1,17.74,8640000.0,-0.0005,IVZ
2010-02-08,18.32,18.55,19.11,18.31,4830000.0,-0.013999999999999999,IVZ
2010-02-09,18.61,18.66,19.17,18.51,7250000.0,0.0158,IVZ
2010-02-10,18.75,18.53,18.99,18.53,5660000.0,0.0075,IVZ
2010-02-11,18.51,18.78,18.78,18.32,5130000.0,-0.0128,IVZ
2010-02-12,18.44,18.3,18.5,18.05,3610000.0,-0.0038,IVZ
2010-02-16,19.14,18.71,19.16,18.52,3920000.0,0.038,IVZ
2010-02-17,19.16,19.29,19.38,19.06,3680000.0,0.001,IVZ
2010-02-18,19.49,19.22,19.54,19.05,3740000.0,0.0172,IVZ
2010-02-19,19.54,19.32,19.68,19.16,3370000.0,0.0026,IVZ
2010-02-22,19.62,19.62,19.77,19.45,3580000.0,0.0040999999999999995,IVZ
2010-02-23,19.05,19.59,19.68,18.98,4220000.0,-0.0291,IVZ
2010-02-24,19.55,19.17,19.63,19.13,4160000.0,0.0262,IVZ
2010-02-25,19.75,19.16,19.76,18.95,5180000.0,0.0102,IVZ
2010-02-26,19.6,19.86,19.91,19.47,4580000.0,-0.0076,IVZ
2010-03-01,20.08,19.61,20.11,19.61,3450000.0,0.0245,IVZ
2010-03-02,20.33,20.02,20.37,19.9,3850000.0,0.0125,IVZ
2010-03-03,20.5,20.32,20.62,20.15,4240000.0,0.0084,IVZ
2010-03-04,20.91,20.37,20.96,20.37,3840000.0,0.02,IVZ
2010-03-05,21.36,20.64,21.48,20.55,4800000.0,0.0215,IVZ
2010-03-08,21.08,21.02,21.2,20.76,3560000.0,-0.0131,IVZ
2010-03-09,19.99,20.81,21.01,19.74,11500000.0,-0.051699999999999996,IVZ
2010-03-10,19.97,20.07,20.32,19.85,6310000.0,-0.001,IVZ
2010-03-11,19.91,19.93,20.05,19.52,4900000.0,-0.003,IVZ
2010-03-12,20.37,20.12,20.42,20.06,6410000.0,0.0231,IVZ
2010-03-15,20.31,20.37,20.47,20.15,3770000.0,-0.0029,IVZ
2010-03-16,20.69,20.32,20.71,20.25,3910000.0,0.0187,IVZ
2010-03-17,21.41,20.75,21.58,20.75,5800000.0,0.0348,IVZ
2010-03-18,21.17,21.44,21.46,21.02,4050000.0,-0.011200000000000002,IVZ
2010-03-19,20.45,21.22,21.32,20.45,7990000.0,-0.034,IVZ
2010-03-22,20.66,20.33,20.71,20.22,4099999.9999999995,0.0103,IVZ
2010-03-23,20.78,20.66,20.84,20.48,3140000.0,0.0058,IVZ
2010-03-24,20.57,20.66,20.74,20.23,3790000.0,-0.0101,IVZ
2010-03-25,20.6,20.67,21.06,20.53,4960000.0,0.0015,IVZ
2010-03-26,21.07,20.85,21.29,20.65,5220000.0,0.022799999999999997,IVZ
2010-03-29,21.47,21.22,21.56,21.01,3630000.0,0.019,IVZ
2010-03-30,21.71,21.46,21.8,21.46,4960000.0,0.011200000000000002,IVZ
2010-03-31,21.91,21.6,21.99,21.25,6420000.0,0.0092,IVZ
2010-04-01,22.09,22.11,22.35,21.9,5940000.0,0.008199999999999999,IVZ
2010-04-05,22.15,22.23,22.23,21.97,2920000.0,0.0027,IVZ
2010-04-06,22.66,22.02,22.71,21.96,6400000.0,0.023,IVZ
2010-04-07,22.23,22.51,22.58,22.08,4280000.0,-0.019,IVZ
2010-04-08,22.07,22.14,22.17,21.95,3240000.0,-0.0072,IVZ
2010-04-09,22.5,22.1,22.55,22.04,3190000.0,0.0195,IVZ
