Date,Close,Open,High,Low,Volume,Change,Symbol
2010-01-04,27.8,27.61,27.83,27.21,3950000.0,0.0206,JCI
2010-01-05,28.58,27.8,28.64,27.68,3640000.0,0.0281,JCI
2010-01-06,28.84,28.68,29.61,28.61,4970000.0,0.0091,JCI
2010-01-07,28.85,28.81,28.91,28.53,3170000.0,0.0003,JCI
2010-01-08,28.63,28.74,28.9,28.5,3580000.0,-0.0076,JCI
2010-01-11,28.98,28.82,29.21,28.63,3790000.0,0.012199999999999999,JCI
2010-01-12,29.97,29.71,29.99,29.2,7390000.0,0.0342,JCI
2010-01-13,29.84,29.96,30.0,29.32,3340000.0,-0.0043,JCI
2010-01-14,29.84,29.87,29.91,29.6,2650000.0,0.0,JCI
2010-01-15,29.31,29.86,29.98,29.0,4080000.0,-0.0178,JCI
2010-01-19,29.61,29.33,29.64,29.06,3580000.0,0.0102,JCI
2010-01-20,29.13,29.49,29.58,29.0,3060000.0,-0.016200000000000003,JCI
2010-01-21,28.85,29.19,29.74,28.78,5710000.0,-0.0096,JCI
2010-01-22,29.48,31.01,31.09,29.4,12130000.0,0.0218,JCI
2010-01-25,30.42,30.24,30.87,30.02,9110000.0,0.0319,JCI
2010-01-26,29.7,29.75,29.95,28.77,9360000.0,-0.023700000000000002,JCI
2010-01-27,28.99,29.57,29.57,28.6,6260000.0,-0.0239,JCI
2010-01-28,28.24,29.17,29.2,27.82,7220000.0,-0.0259,JCI
2010-01-29,27.83,28.35,29.01,27.78,7130000.0,-0.014499999999999999,JCI
2010-02-01,28.73,28.02,28.75,28.02,5320000.0,0.0323,JCI
2010-02-02,29.02,28.87,29.16,28.45,4010000.0,0.0101,JCI
2010-02-03,29.65,29.3,29.97,29.08,7330000.0,0.0217,JCI
2010-02-04,28.47,29.26,29.5,28.46,5680000.0,-0.0398,JCI
2010-02-05,28.06,28.42,28.62,27.35,7030000.0,-0.0144,JCI
2010-02-08,27.72,28.02,28.61,27.63,3060000.0,-0.0121,JCI
2010-02-09,28.13,28.2,28.6,27.9,5210000.0,0.0148,JCI
2010-02-10,27.89,28.11,28.18,27.59,3700000.0,-0.0085,JCI
2010-02-11,28.17,28.03,28.32,27.4,5100000.0,0.01,JCI
2010-02-12,28.54,27.8,28.64,27.5,6380000.0,0.0131,JCI
2010-02-16,29.08,28.81,29.1,28.68,4670000.0,0.0189,JCI
2010-02-17,29.08,29.15,29.29,28.71,5150000.0,0.0,JCI
2010-02-18,29.65,28.96,29.69,28.94,5880000.0,0.0196,JCI
2010-02-19,29.89,29.74,30.06,29.46,6610000.0,0.008100000000000001,JCI
2010-02-22,30.6,30.02,30.76,29.96,7050000.0,0.023799999999999998,JCI
2010-02-23,30.57,30.53,30.89,30.35,8700000.0,-0.001,JCI
2010-02-24,30.8,30.68,30.95,30.48,5410000.0,0.0075,JCI
2010-02-25,30.98,30.37,30.98,29.91,7960000.0,0.0058,JCI
2010-02-26,31.1,30.95,31.49,30.82,5260000.0,0.0039000000000000003,JCI
2010-03-01,31.88,31.2,31.99,31.2,3610000.0,0.025099999999999997,JCI
2010-03-02,31.62,32.0,32.11,31.51,4070000.0000000005,-0.008199999999999999,JCI
2010-03-03,31.86,31.78,32.33,31.7,3440000.0,0.0076,JCI
2010-03-04,32.07,31.95,32.22,31.55,3110000.0,0.0066,JCI
2010-03-05,32.38,32.26,32.44,32.08,2760000.0,0.0097,JCI
2010-03-08,32.0,32.34,32.71,31.94,3460000.0,-0.011699999999999999,JCI
2010-03-09,31.8,31.94,32.2,31.47,4030000.0000000005,-0.0063,JCI
2010-03-10,31.19,31.87,31.92,31.08,5430000.0,-0.0192,JCI
2010-03-11,31.55,31.24,31.6,31.02,3530000.0,0.0115,JCI
2010-03-12,31.62,31.78,31.93,31.5,2550000.0,0.0022,JCI
2010-03-15,31.52,31.51,31.63,31.1,2800000.0,-0.0032,JCI
2010-03-16,31.71,31.53,31.76,31.43,2920000.0,0.006,JCI
2010-03-17,32.2,31.76,32.25,31.75,3070000.0,0.0155,JCI
2010-03-18,32.01,32.12,32.29,31.9,2570000.0,-0.0059,JCI
2010-03-19,31.82,32.24,32.4,31.04,4470000.0,-0.0059,JCI
2010-03-22,32.39,31.64,32.6,31.5,3760000.0,0.0179,JCI
2010-03-23,33.37,32.55,33.47,32.39,4610000.0,0.030299999999999997,JCI
2010-03-24,33.11,33.27,33.29,32.88,5160000.0,-0.0078000000000000005,JCI
2010-03-25,33.13,33.34,33.6,33.03,4870000.0,0.0006,JCI
2010-03-26,32.89,33.25,33.31,32.62,4230000.0,-0.0072,JCI
2010-03-29,32.75,32.97,33.33,32.66,3780000.0,-0.0043,JCI
2010-03-30,32.88,32.76,33.18,32.64,6940000.0,0.004,JCI
2010-03-31,32.99,32.79,33.19,32.58,3700000.0,0.0033,JCI
2010-04-01,33.38,33.25,33.5,33.09,3660000.0,0.0118,JCI
2010-04-05,33.1,33.55,33.55,32.68,4690000.0,-0.0084,JCI
2010-04-06,32.9,32.94,33.15,32.63,3600000.0,-0.006,JCI
2010-04-07,31.77,32.76,32.86,31.36,8080000.0,-0.034300000000000004,JCI
2010-04-08,32.08,31.81,32.17,31.53,5890000.0,0.0098,JCI
2010-04-09,32.11,32.24,32.47,32.0,6670000.0,0.0009,JCI
2010-04-12,32.35,32.2,32.47,32.11,3350000.0,0.0075,JCI
2010-04-13,32.09,32.35,32.39,31.9,4890000.0,-0.008,JCI
2010-04-14,33.11,32.3,33.21,32.07,5070000.0,0.0318,JCI
2010-04-15,33.48,33.14,33.7,32.95,5240000.0,0.011200000000000002,JCI
2010-04-16,32.69,33.4,33.58,32.34,6950000.0,-0.0236,JCI
2010-04-19,32.71,32.73,32.93,32.2,6480000.0,0.0006,JCI
2010-04-20,34.25,33.02,34.37,33.0,8650000.0,0.0471,JCI
2010-04-21,34.4,34.35,34.76,34.01,7000000.0,0.0044,JCI
2010-04-22,35.01,34.24,35.03,33.65,8189999.999999999,0.0177,JCI
2010-04-23,34.5,35.2,35.59,34.23,10990000.0,-0.0146,JCI
2010-04-26,34.67,35.77,35.77,34.59,6130000.0,0.0049,JCI
2010-04-27,33.31,34.45,34.45,33.23,7110000.0,-0.0392,JCI
2010-04-28,33.12,33.48,33.85,33.02,5760000.0,-0.005699999999999999,JCI
2010-04-29,34.52,33.48,34.69,33.48,5390000.0,0.042300000000000004,JCI
2010-04-30,33.59,34.59,34.87,33.54,5960000.0,-0.0269,JCI
2010-05-03,33.9,33.8,34.16,33.59,5620000.0,0.0092,JCI
2010-05-04,32.16,33.28,33.32,32.02,7320000.0,-0.0513,JCI
2010-05-05,31.2,31.84,32.17,31.02,5430000.0,-0.029900000000000003,JCI
2010-05-06,30.22,31.54,32.33,27.83,9560000.0,-0.031400000000000004,JCI
2010-05-07,29.68,30.25,30.72,29.35,10870000.0,-0.0179,JCI
2010-05-10,31.88,31.45,32.47,30.99,6170000.0,0.0741,JCI
2010-05-11,31.58,31.29,32.15,31.04,3760000.0,-0.009399999999999999,JCI
2010-05-12,32.13,31.72,32.2,31.51,3660000.0,0.0174,JCI
2010-05-13,31.54,32.07,32.34,31.42,3470000.0,-0.0184,JCI
2010-05-14,30.62,31.28,31.5,30.3,5370000.0,-0.0292,JCI
2010-05-17,30.44,30.66,30.97,29.61,5050000.0,-0.0059,JCI
2010-05-18,29.53,30.5,30.75,29.37,6390000.0,-0.029900000000000003,JCI
2010-05-19,28.71,29.26,29.31,28.44,12620000.0,-0.0278,JCI
2010-05-20,27.68,28.01,28.33,27.24,13550000.0,-0.0359,JCI
2010-05-21,28.19,27.07,28.82,26.9,11620000.0,0.0184,JCI
2010-05-24,27.68,28.18,28.35,27.65,5150000.0,-0.0181,JCI
2010-05-25,27.54,26.68,27.57,26.26,8570000.0,-0.0051,JCI
2010-05-26,27.98,27.85,28.6,27.69,10590000.0,0.016,JCI
2010-05-27,29.29,28.65,29.29,28.55,5910000.0,0.046799999999999994,JCI
2010-05-28,28.53,29.15,29.36,28.25,4220000.0,-0.0259,JCI
2010-06-01,27.96,28.01,28.67,27.96,5630000.0,-0.02,JCI
2010-06-02,28.91,28.11,28.91,27.91,4330000.0,0.034,JCI
2010-06-03,29.16,29.25,29.49,28.7,4340000.0,0.0086,JCI
2010-06-04,27.53,28.14,28.49,27.34,5620000.0,-0.0559,JCI
2010-06-07,26.6,27.55,27.71,26.54,5810000.0,-0.0338,JCI
2010-06-08,26.13,26.71,26.89,25.56,10390000.0,-0.0177,JCI
2010-06-09,25.9,26.31,26.35,25.71,13970000.0,-0.0088,JCI
2010-06-10,27.01,26.43,27.02,26.15,12270000.0,0.0429,JCI
2010-06-11,27.56,26.89,27.58,26.7,5450000.0,0.0204,JCI
2010-06-14,27.98,27.95,28.51,27.71,7610000.0,0.0152,JCI
2010-06-15,29.53,28.99,29.55,28.71,7520000.0,0.0554,JCI
2010-06-16,29.01,29.53,29.59,28.88,6350000.0,-0.0176,JCI
2010-06-17,28.9,29.25,29.26,28.34,6390000.0,-0.0038,JCI
2010-06-18,28.87,28.95,29.04,28.71,3800000.0,-0.001,JCI
2010-06-21,28.89,29.57,29.73,28.72,3960000.0,0.0007000000000000001,JCI
2010-06-22,28.15,28.8,29.18,28.12,4400000.0,-0.0256,JCI
2010-06-23,28.33,28.14,28.54,27.8,5550000.0,0.0064,JCI
2010-06-24,27.71,28.11,28.26,27.58,8300000.000000001,-0.0219,JCI
2010-06-25,27.76,27.67,27.76,27.23,11600000.0,0.0018,JCI
