Date,Close,Open,High,Low,Volume,Change,Symbol
2010-01-04,37.18,36.8,37.29,36.59,2210000.0,0.022799999999999997,L
2010-01-05,37.38,37.22,37.42,36.77,1980000.0,0.0054,L
2010-01-06,37.64,37.39,37.7,37.11,1320000.0,0.006999999999999999,L
2010-01-07,37.92,37.53,38.01,37.28,1980000.0,0.0074,L
2010-01-08,37.89,37.73,37.95,37.62,1160000.0,-0.0008,L
2010-01-11,37.92,38.18,38.18,37.7,1390000.0,0.0008,L
2010-01-12,37.62,37.66,37.94,37.5,1570000.0,-0.0079,L
2010-01-13,37.92,37.73,38.01,37.51,1570000.0,0.008,L
2010-01-14,37.91,37.75,38.02,37.57,1280000.0,-0.0003,L
2010-01-15,37.21,37.73,37.87,37.03,1680000.0,-0.018500000000000003,L
2010-01-19,38.16,37.08,38.18,37.07,2080000.0,0.0255,L
2010-01-20,37.6,37.96,38.04,37.31,2020000.0,-0.0147,L
2010-01-21,37.19,38.41,38.41,36.81,2500000.0,-0.0109,L
2010-01-22,35.73,36.92,37.28,35.68,2880000.0,-0.0393,L
2010-01-25,36.09,36.16,36.44,35.91,1750000.0,0.0101,L
2010-01-26,36.04,35.96,36.68,35.95,1810000.0,-0.0014000000000000002,L
2010-01-27,36.38,35.93,36.44,35.82,2370000.0,0.009399999999999999,L
2010-01-28,35.93,36.54,36.66,35.46,1760000.0,-0.0124,L
2010-01-29,35.77,36.1,36.52,35.66,2590000.0,-0.0045000000000000005,L
2010-02-01,36.41,35.89,36.47,35.86,1740000.0,0.0179,L
2010-02-02,37.06,36.4,37.08,36.24,1630000.0,0.0179,L
2010-02-03,36.63,36.83,36.95,36.54,982470.0,-0.0116,L
2010-02-04,35.33,36.42,36.5,35.32,2980000.0,-0.0355,L
2010-02-05,35.37,35.32,35.47,34.59,3100000.0,0.0011,L
2010-02-08,34.76,35.01,35.52,34.24,2510000.0,-0.0172,L
2010-02-09,35.22,35.13,35.44,34.85,2060000.0,0.0132,L
2010-02-10,35.03,35.14,35.34,34.81,2190000.0,-0.0054,L
2010-02-11,35.21,35.04,35.23,34.6,2100000.0,0.0051,L
2010-02-12,35.17,34.9,35.25,34.24,3250000.0,-0.0011,L
2010-02-16,36.12,35.54,36.13,35.39,2150000.0,0.027000000000000003,L
2010-02-17,36.17,36.23,36.49,35.89,1520000.0,0.0014000000000000002,L
2010-02-18,36.44,35.98,36.54,35.98,1290000.0,0.0075,L
2010-02-19,36.55,36.32,36.71,36.11,1420000.0,0.003,L
2010-02-22,36.7,36.7,36.77,36.55,1160000.0,0.0040999999999999995,L
2010-02-23,36.06,36.58,36.64,35.99,2000000.0,-0.0174,L
2010-02-24,36.62,36.1,36.65,36.09,1760000.0,0.0155,L
2010-02-25,36.66,36.06,36.69,35.75,1870000.0,0.0011,L
2010-02-26,36.46,36.62,36.71,36.26,1960000.0,-0.0055000000000000005,L
2010-03-01,37.02,36.61,37.1,36.55,1600000.0,0.0154,L
2010-03-02,37.19,37.14,37.33,36.94,1260000.0,0.0046,L
2010-03-03,37.05,37.24,37.4,37.0,1560000.0,-0.0038,L
2010-03-04,37.14,37.09,37.26,36.84,2350000.0,0.0024,L
2010-03-05,37.5,37.36,37.66,37.16,2280000.0,0.0097,L
2010-03-08,37.54,37.57,37.7,37.41,1510000.0,0.0011,L
