Date,Close,Open,High,Low,Volume,Change,Symbol
2018-01-23,328.7,329.99,331.15,328.51,1070000.0,-0.0009,LMT
2018-01-24,330.49,328.87,332.48,327.42,1360000.0,0.0054,LMT
2018-01-25,334.72,331.04,335.19,330.21,1780000.0,0.0128,LMT
2018-01-26,344.9,336.87,345.11,334.74,2060000.0,0.0304,LMT
2018-01-29,351.42,350.0,354.32,342.15,2880000.0,0.0189,LMT
2018-01-30,350.39,346.52,352.72,345.05,2029999.9999999998,-0.0029,LMT
2018-01-31,354.85,353.28,358.52,352.45,1890000.0,0.0127,LMT
2018-02-01,357.38,354.26,361.79,354.01,1580000.0,0.0070999999999999995,LMT
2018-02-02,352.66,355.0,358.0,351.52,1960000.0,-0.0132,LMT
2018-02-05,336.46,348.63,353.99,326.11,2950000.0,-0.045899999999999996,LMT
2018-02-06,337.59,328.71,340.01,327.23,2600000.0,0.0034000000000000002,LMT
2018-02-07,345.43,338.29,350.34,337.82,2049999.9999999998,0.0232,LMT
2018-02-08,334.3,350.21,350.99,334.01,2630000.0,-0.0322,LMT
2018-02-09,341.42,338.1,344.88,332.25,2370000.0,0.0213,LMT
2018-02-12,345.81,344.54,348.47,340.1,1830000.0,0.0129,LMT
2018-02-13,350.23,345.2,351.06,344.51,1280000.0,0.0128,LMT
2018-02-14,354.66,348.81,355.39,348.2,1650000.0,0.0126,LMT
2018-02-15,361.0,357.4,361.02,354.74,1170000.0,0.0179,LMT
2018-02-16,360.53,361.0,363.0,357.84,1080000.0,-0.0013,LMT
2018-02-20,358.69,359.15,362.67,357.23,1100000.0,-0.0051,LMT
2018-02-21,357.06,359.0,362.98,357.0,1390000.0,-0.0045000000000000005,LMT
2018-02-22,355.41,358.44,358.97,354.51,1430000.0,-0.0046,LMT
2018-02-23,358.69,356.25,358.69,353.84,902540.0,0.0092,LMT
2018-02-26,358.7,360.0,361.32,357.08,1160000.0,0.0,LMT
2018-02-27,358.17,359.35,362.32,358.09,1380000.0,-0.0015,LMT
2018-02-28,352.44,357.36,359.19,352.42,988370.0,-0.016,LMT
2018-03-01,339.69,352.46,353.58,337.58,2310000.0,-0.0362,LMT
2018-03-02,341.72,337.5,342.85,335.05,1680000.0,0.006,LMT
2018-03-05,342.36,339.83,342.78,337.62,1810000.0,0.0019,LMT
2018-03-06,339.5,342.9,343.99,337.95,1310000.0,-0.0084,LMT
2018-03-07,342.2,336.23,343.19,334.1,1350000.0,0.008,LMT
2018-03-08,341.78,343.12,343.7,339.34,1060000.0,-0.0012,LMT
2018-03-09,340.49,341.78,342.56,338.08,1570000.0,-0.0038,LMT
2018-03-12,333.1,341.0,341.35,333.04,2280000.0,-0.0217,LMT
2018-03-13,333.46,334.78,335.91,332.08,1620000.0,0.0011,LMT
2018-03-14,331.68,335.71,336.38,327.58,1710000.0,-0.0053,LMT
2018-03-15,333.23,331.94,334.43,328.78,1880000.0,0.004699999999999999,LMT
2018-03-16,331.4,333.38,334.35,329.23,4720000.0,-0.0055000000000000005,LMT
2018-03-19,335.25,330.3,336.23,330.25,1500000.0,0.0116,LMT
2018-03-20,335.6,335.73,339.5,335.22,1150000.0,0.001,LMT
2018-03-21,335.47,336.26,338.73,332.49,1270000.0,-0.0004,LMT
2018-03-22,327.15,333.18,335.47,325.79,1540000.0,-0.0248,LMT
2018-03-23,336.31,327.0,344.14,326.77,2900000.0,0.027999999999999997,LMT
2018-03-26,343.93,342.4,344.6,339.27,1610000.0,0.0227,LMT
2018-03-27,338.85,345.3,345.94,336.6,1300000.0,-0.0148,LMT
2018-03-28,335.33,340.0,340.66,333.22,1420000.0,-0.0104,LMT
2018-03-29,337.93,336.04,341.0,335.39,1040000.0,0.0078000000000000005,LMT
2018-04-02,333.0,337.06,337.9,328.75,1300000.0,-0.0146,LMT
2018-04-03,334.71,334.97,337.03,330.68,1300000.0,0.0051,LMT
2018-04-04,341.79,328.88,341.97,327.5,1450000.0,0.0212,LMT
2018-04-05,346.65,344.23,346.93,340.01,1590000.0,0.014199999999999999,LMT
2018-04-06,334.66,343.59,344.68,332.83,1420000.0,-0.0346,LMT
2018-04-09,335.91,337.48,340.83,335.46,981590.0,0.0037,LMT
2018-04-10,339.36,340.63,341.05,337.1,1000000.0,0.0103,LMT
2018-04-11,339.44,338.51,346.25,337.98,1480000.0,0.0002,LMT
2018-04-12,342.88,340.62,344.5,340.52,1090000.0,0.0101,LMT
2018-04-13,342.6,344.08,345.06,340.69,763120.0,-0.0008,LMT
2018-04-16,345.7,344.87,347.74,344.55,1140000.0,0.009000000000000001,LMT
2018-04-17,349.14,347.79,350.12,346.13,1060000.0,0.01,LMT
2018-04-18,351.15,351.3,352.25,349.34,843640.0,0.0058,LMT
2018-04-19,353.38,351.6,354.21,350.18,781660.0,0.0064,LMT
2018-04-20,351.99,354.53,355.0,351.13,1190000.0,-0.0039000000000000003,LMT
2018-04-23,358.6,352.79,358.62,352.45,1990000.0,0.018799999999999997,LMT
2018-04-24,336.49,360.02,361.99,330.64,3780000.0,-0.0617,LMT
2018-04-25,329.5,336.68,337.15,320.56,3030000.0,-0.0208,LMT
2018-04-26,330.4,330.0,334.86,324.13,1850000.0,0.0027,LMT
2018-04-27,322.03,329.95,330.23,321.7,1580000.0,-0.0253,LMT
2018-04-30,320.84,322.35,325.46,320.2,1450000.0,-0.0037,LMT
2018-05-01,308.46,320.49,321.24,302.09,3880000.0,-0.038599999999999995,LMT
2018-05-02,305.7,307.28,313.4,305.2,2640000.0,-0.0089,LMT
2018-05-03,309.93,303.95,310.5,300.5,2890000.0,0.0138,LMT
2018-05-04,311.44,308.11,312.7,307.25,1680000.0,0.0049,LMT
2018-05-07,317.71,312.23,317.92,312.09,1820000.0,0.020099999999999996,LMT
2018-05-08,324.19,317.71,325.39,317.3,2950000.0,0.0204,LMT
2018-05-09,326.12,325.62,328.55,324.7,1700000.0,0.006,LMT
2018-05-10,324.49,328.48,329.02,322.95,1260000.0,-0.005,LMT
2018-05-11,324.04,324.69,325.86,322.76,844940.0,-0.0014000000000000002,LMT
2018-05-14,319.08,323.25,323.98,317.44,1420000.0,-0.015300000000000001,LMT
2018-05-15,319.77,317.75,320.35,317.0,1130000.0,0.0022,LMT
2018-05-16,319.33,320.1,321.71,318.84,915820.0,-0.0014000000000000002,LMT
2018-05-17,320.42,319.0,321.5,317.4,961630.0,0.0034000000000000002,LMT
2018-05-18,320.45,320.76,322.0,319.8,1010000.0,0.0001,LMT
2018-05-21,324.28,322.5,324.53,321.16,1000000.0,0.012,LMT
2018-05-22,317.13,323.26,323.6,317.04,1500000.0,-0.022000000000000002,LMT
2018-05-23,325.32,315.83,325.53,314.13,1600000.0,0.0258,LMT
2018-05-24,326.35,324.66,329.13,323.34,1210000.0,0.0032,LMT
2018-05-25,320.8,326.0,327.22,319.86,1020000.0,-0.017,LMT
2018-05-29,317.2,319.67,320.69,315.36,1160000.0,-0.011200000000000002,LMT
2018-05-30,321.04,319.03,321.81,317.16,901410.0,0.0121,LMT
2018-05-31,314.54,319.24,320.28,314.47,1450000.0,-0.0202,LMT
2018-06-01,316.63,316.92,317.8,315.47,886890.0,0.0066,LMT
2018-06-04,318.17,317.11,319.25,316.22,857000.0,0.0049,LMT
2018-06-05,320.02,318.11,321.24,317.49,873100.0,0.0058,LMT
2018-06-06,319.91,320.77,321.88,318.51,1080000.0,-0.0003,LMT
2018-06-07,321.95,320.5,322.15,318.94,1090000.0,0.0064,LMT
2018-06-08,322.31,321.73,322.6,318.1,1260000.0,0.0011,LMT
2018-06-11,319.3,322.12,322.62,319.16,911070.0,-0.009300000000000001,LMT
2018-06-12,315.16,319.63,320.03,311.25,1740000.0,-0.013000000000000001,LMT
2018-06-13,314.35,314.67,317.8,312.67,2009999.9999999998,-0.0026,LMT
2018-06-14,310.59,314.54,315.8,310.01,1400000.0,-0.012,LMT
2018-06-15,310.14,309.62,310.97,306.34,1790000.0,-0.0014000000000000002,LMT
2018-06-18,309.52,307.38,310.0,306.0,1260000.0,-0.002,LMT
2018-06-19,302.52,306.72,307.63,301.65,1820000.0,-0.0226,LMT
2018-06-20,302.86,302.37,304.97,301.23,1620000.0,0.0011,LMT
2018-06-21,300.38,302.65,302.86,298.1,1520000.0,-0.008199999999999999,LMT
2018-06-22,299.38,301.38,301.81,298.69,1410000.0,-0.0033,LMT
2018-06-25,298.77,297.35,303.33,296.07,1940000.0,-0.002,LMT
2018-06-26,299.08,298.81,300.43,297.08,1670000.0,0.001,LMT
2018-06-27,294.78,299.39,302.12,294.54,1520000.0,-0.0144,LMT
2018-06-28,295.24,295.0,296.71,291.52,1420000.0,0.0016,LMT
2018-06-29,295.43,297.48,299.98,295.26,1270000.0,0.0006,LMT
2018-07-02,299.12,294.17,299.3,292.31,977890.0,0.0125,LMT
2018-07-03,299.46,300.0,302.59,298.62,650970.0,0.0011,LMT
2018-07-05,299.19,300.28,303.16,297.19,986290.0,-0.0009,LMT
2018-07-06,299.19,298.41,301.51,296.21,1120000.0,0.0,LMT
2018-07-09,306.48,301.0,307.47,300.36,1240000.0,0.024399999999999998,LMT
2018-07-10,308.83,308.11,310.91,307.21,1530000.0,0.0077,LMT
2018-07-11,306.58,307.83,309.38,305.93,896240.0,-0.0073,LMT
2018-07-12,313.31,309.4,314.47,308.8,1280000.0,0.022000000000000002,LMT
2018-07-13,318.37,313.68,319.5,313.52,1660000.0,0.016200000000000003,LMT
2018-07-16,319.05,319.38,323.38,317.58,1300000.0,0.0021,LMT
2018-07-17,317.5,319.89,320.98,316.12,868180.0,-0.0049,LMT
2018-07-18,319.77,317.71,320.58,316.5,860580.0,0.0070999999999999995,LMT
2018-07-19,319.6,319.3,320.86,318.18,760030.0,-0.0005,LMT
2018-07-20,322.55,318.35,322.85,317.44,1570000.0,0.0092,LMT
2018-07-23,318.33,322.55,323.5,316.79,1590000.0,-0.0131,LMT
2018-07-24,322.57,325.0,329.65,313.0,3250000.0,0.013300000000000001,LMT
2018-07-25,324.36,323.05,324.97,316.67,2100000.0,0.0055000000000000005,LMT
2018-07-26,322.94,324.83,325.87,321.17,2009999.9999999998,-0.0044,LMT
2018-07-27,324.09,324.4,325.14,321.79,1010000.0,0.0036,LMT
2018-07-30,320.11,324.1,325.99,319.62,1270000.0,-0.0123,LMT
2018-07-31,326.1,321.38,326.43,321.38,986640.0,0.0187,LMT
2018-08-01,324.93,325.59,326.07,322.57,1390000.0,-0.0036,LMT
2018-08-02,322.02,322.53,323.15,320.24,820360.0,-0.009000000000000001,LMT
2018-08-03,320.55,322.62,322.62,319.11,945470.0,-0.0046,LMT
2018-08-06,316.92,318.61,318.61,313.68,1740000.0,-0.0113,LMT
2018-08-07,317.41,317.24,318.24,313.58,1090000.0,0.0015,LMT
2018-08-08,315.31,317.5,317.78,314.21,922740.0,-0.0066,LMT
2018-08-09,315.71,314.79,316.5,312.67,1050000.0,0.0013,LMT
2018-08-10,313.12,314.9,314.9,311.39,1080000.0,-0.008199999999999999,LMT
2018-08-13,313.64,312.51,315.26,312.0,790410.0,0.0017000000000000001,LMT
2018-08-14,318.59,314.89,320.21,314.63,974660.0,0.0158,LMT
2018-08-15,317.7,318.37,318.91,314.44,1320000.0,-0.0028000000000000004,LMT
2018-08-16,325.86,320.0,326.62,319.81,1200000.0,0.025699999999999997,LMT
2018-08-17,325.23,325.86,327.42,324.72,1400000.0,-0.0019,LMT
2018-08-20,324.22,325.26,325.97,323.81,877400.0,-0.0031,LMT
2018-08-21,324.39,324.4,325.41,323.13,1170000.0,0.0005,LMT
2018-08-22,321.92,324.05,324.52,321.8,690550.0,-0.0076,LMT
2018-08-23,320.01,322.08,322.15,318.87,717920.0,-0.0059,LMT
2018-08-24,321.29,320.0,321.39,318.72,773520.0,0.004,LMT
2018-08-27,324.34,322.07,325.0,322.0,737620.0,0.0095,LMT
2018-08-28,324.34,324.66,325.0,322.3,819980.0,0.0,LMT
2018-08-29,324.32,324.46,324.92,322.2,965960.0,-0.0001,LMT
2018-08-30,321.85,324.0,326.49,320.93,1410000.0,-0.0076,LMT
2018-08-31,320.41,318.56,320.89,317.0,1060000.0,-0.0045000000000000005,LMT
2018-09-04,321.91,320.0,322.25,317.6,947350.0,0.004699999999999999,LMT
2018-09-05,321.33,320.89,321.67,319.51,892730.0,-0.0018,LMT
2018-09-06,328.91,321.56,329.54,321.3,1330000.0,0.0236,LMT
2018-09-07,328.53,328.03,330.88,326.89,1290000.0,-0.0012,LMT
2018-09-10,322.95,328.72,329.18,322.66,1420000.0,-0.017,LMT
2018-09-11,322.23,322.04,323.85,320.3,798200.0,-0.0022,LMT
2018-09-12,325.28,321.38,325.84,321.38,1330000.0,0.0095,LMT
2018-09-13,331.28,326.72,331.86,326.59,1290000.0,0.0184,LMT
2018-09-14,335.8,331.31,336.5,329.5,1310000.0,0.013600000000000001,LMT
2018-09-17,339.34,336.5,339.68,336.0,1120000.0,0.0105,LMT
2018-09-18,343.22,340.0,344.85,339.48,1150000.0,0.011399999999999999,LMT
2018-09-19,339.3,343.22,345.77,336.51,1770000.0,-0.011399999999999999,LMT
2018-09-20,333.13,339.86,340.3,329.01,2000000.0,-0.0182,LMT
2018-09-21,337.66,334.07,337.91,334.07,1880000.0,0.013600000000000001,LMT
2018-09-24,337.58,336.81,339.32,334.3,1180000.0,-0.0002,LMT
2018-09-25,343.54,338.48,345.33,337.45,1360000.0,0.0177,LMT
2018-09-26,342.88,343.0,344.86,342.39,1160000.0,-0.0019,LMT
2018-09-27,346.05,344.16,346.79,342.41,1170000.0,0.0092,LMT
2018-09-28,345.96,345.72,348.0,344.71,1830000.0,-0.0003,LMT
2018-10-01,347.93,347.09,348.33,344.87,809540.0,0.005699999999999999,LMT
2018-10-02,349.07,348.62,349.88,346.37,960540.0,0.0033,LMT
2018-10-03,347.44,350.0,351.35,347.22,1240000.0,-0.004699999999999999,LMT
2018-10-04,349.46,346.82,349.66,345.59,1200000.0,0.0058,LMT
2018-10-05,347.21,348.3,350.9,345.65,889040.0,-0.0064,LMT
2018-10-08,349.93,346.89,350.49,346.27,825500.0,0.0078000000000000005,LMT
2018-10-09,347.31,348.62,349.46,346.16,986360.0,-0.0075,LMT
2018-10-10,336.75,346.85,347.25,336.75,1790000.0,-0.0304,LMT
2018-10-11,326.26,334.73,338.0,325.01,1940000.0,-0.031200000000000002,LMT
2018-10-12,327.62,330.59,331.47,322.6,1290000.0,0.0042,LMT
2018-10-15,331.24,327.93,333.98,327.93,1000000.0,0.011000000000000001,LMT
2018-10-16,337.13,332.47,337.4,331.14,860280.0,0.0178,LMT
2018-10-17,333.4,335.72,337.19,333.32,1180000.0,-0.0111,LMT
2018-10-18,328.0,331.35,333.32,325.04,1320000.0,-0.016200000000000003,LMT
2018-10-19,328.14,327.2,330.04,326.06,1100000.0,0.0004,LMT
2018-10-22,326.78,331.62,331.62,324.47,1410000.0,-0.0040999999999999995,LMT
2018-10-23,321.35,325.23,334.77,315.59,3000000.0,-0.0166,LMT
2018-10-24,311.13,328.11,328.11,310.42,2400000.0,-0.0318,LMT
2018-10-25,306.41,313.21,316.55,305.45,2350000.0,-0.0152,LMT
2018-10-26,305.05,303.4,308.97,301.66,1910000.0,-0.0044,LMT
2018-10-29,286.67,309.5,309.5,283.21,3260000.0,-0.0603,LMT
2018-10-30,291.07,285.61,292.5,283.72,2870000.0,0.015300000000000001,LMT
2018-10-31,293.85,294.36,299.1,293.53,1980000.0,0.0096,LMT
2018-11-01,299.42,295.73,301.44,295.01,1530000.0,0.019,LMT
2018-11-02,299.28,301.04,302.75,297.75,1600000.0,-0.0005,LMT
2018-11-05,303.21,302.0,304.3,300.59,1650000.0,0.0131,LMT
2018-11-06,306.56,304.05,308.76,304.05,1120000.0,0.011000000000000001,LMT
2018-11-07,309.82,308.06,309.96,304.16,983020.0,0.0106,LMT
2018-11-08,308.56,310.0,311.02,306.36,878970.0,-0.0040999999999999995,LMT
2018-11-09,313.12,307.19,314.16,307.14,1290000.0,0.0148,LMT
2018-11-12,305.12,313.2,314.23,304.6,1120000.0,-0.0255,LMT
2018-11-13,305.74,304.81,308.86,302.23,1120000.0,0.002,LMT
2018-11-14,303.39,308.27,309.68,303.01,1190000.0,-0.0077,LMT
2018-11-15,305.48,302.17,308.0,299.74,1230000.0,0.0069,LMT
2018-11-16,301.24,303.84,305.25,299.87,1320000.0,-0.0139,LMT
2018-11-19,294.59,301.09,301.09,293.22,1560000.0,-0.022099999999999998,LMT
2018-11-20,293.86,291.36,295.25,288.56,1280000.0,-0.0025,LMT
2018-11-21,294.29,295.0,297.85,294.23,1360000.0,0.0015,LMT
2018-11-23,295.38,293.06,297.94,291.93,434300.0,0.0037,LMT
2018-11-26,295.28,297.04,298.85,292.92,1380000.0,-0.0003,LMT
2018-11-27,295.29,293.9,295.66,289.6,1480000.0,0.0,LMT
2018-11-28,299.94,297.85,300.53,293.94,1280000.0,0.015700000000000002,LMT
2018-11-29,302.42,301.0,304.98,300.28,2790000.0,0.0083,LMT
2018-11-30,300.43,300.75,303.53,297.88,3670000.0,-0.0066,LMT
2018-12-03,296.79,304.94,305.32,295.9,1760000.0,-0.0121,LMT
2018-12-04,286.73,295.72,295.72,286.03,2210000.0,-0.0339,LMT
2018-12-06,286.35,282.9,286.89,277.2,2790000.0,-0.0013,LMT
2018-12-07,285.4,285.4,290.35,285.21,1410000.0,-0.0033,LMT
2018-12-10,298.4,289.93,298.93,289.19,2420000.0,0.045599999999999995,LMT
2018-12-11,292.15,302.68,303.25,290.33,1760000.0,-0.0209,LMT
2018-12-12,292.5,295.99,296.8,292.01,1120000.0,0.0012,LMT
2018-12-13,292.23,293.27,295.27,291.0,1130000.0,-0.0009,LMT
2018-12-14,287.7,290.0,291.24,286.62,1880000.0,-0.0155,LMT
2018-12-17,279.23,286.2,286.79,277.84,1650000.0,-0.0294,LMT
2018-12-18,279.47,281.55,283.84,278.05,1710000.0,0.0009,LMT
2018-12-19,273.96,279.75,283.81,271.52,1720000.0,-0.0197,LMT
2018-12-20,265.29,271.99,273.82,261.41,2330000.0,-0.0316,LMT
2018-12-21,256.55,260.78,262.64,255.3,3740000.0,-0.0329,LMT
2018-12-24,245.22,253.03,254.63,245.01,1520000.0,-0.044199999999999996,LMT
2018-12-26,251.62,246.31,251.89,241.18,1800000.0,0.026099999999999998,LMT
2018-12-27,259.79,249.25,259.79,248.2,2200000.0,0.0325,LMT
2018-12-28,261.26,263.01,264.83,260.14,1980000.0,0.005699999999999999,LMT
2018-12-31,261.84,262.15,265.11,259.85,1190000.0,0.0022,LMT
