Date,Close,Open,High,Low,Volume,Change,Symbol
2010-01-04,17.95,17.86,17.98,17.78,7950000.0,0.0096,MDLZ
2010-01-05,18.82,18.53,18.85,18.33,37150000.0,0.048499999999999995,MDLZ
2010-01-06,18.95,18.52,19.08,18.39,40850000.0,0.0069,MDLZ
2010-01-07,18.91,19.01,19.03,18.69,18360000.0,-0.0021,MDLZ
2010-01-08,18.93,18.82,18.93,18.67,11000000.0,0.0011,MDLZ
2010-01-11,18.84,18.96,19.04,18.73,11820000.0,-0.0048,MDLZ
2010-01-12,19.16,18.81,19.2,18.74,19560000.0,0.017,MDLZ
2010-01-13,19.12,19.44,19.69,19.08,18000000.0,-0.0021,MDLZ
2010-01-14,19.05,19.27,19.36,18.8,10020000.0,-0.0037,MDLZ
2010-01-15,19.35,18.59,19.63,18.39,25980000.0,0.015700000000000002,MDLZ
2010-01-19,19.24,18.97,19.26,18.73,53010000.0,-0.005699999999999999,MDLZ
2010-01-20,18.83,18.67,18.88,18.58,29480000.0,-0.0213,MDLZ
2010-01-21,18.48,18.71,18.78,18.35,29090000.0,-0.018600000000000002,MDLZ
2010-01-22,18.23,18.25,18.44,18.21,28030000.0,-0.013500000000000002,MDLZ
2010-01-25,18.12,18.06,18.23,18.01,23990000.0,-0.006,MDLZ
2010-01-26,18.16,17.82,18.21,17.72,33280000.0,0.0022,MDLZ
2010-01-27,18.55,18.16,18.63,18.16,24110000.0,0.0215,MDLZ
2010-01-28,18.35,18.5,18.61,18.31,21420000.0,-0.0108,MDLZ
2010-01-29,18.1,18.27,18.39,18.09,15400000.0,-0.013600000000000001,MDLZ
2010-02-01,18.36,18.21,18.4,18.08,16350000.000000002,0.0144,MDLZ
2010-02-02,18.65,18.42,18.75,18.37,22110000.0,0.0158,MDLZ
2010-02-03,18.63,18.57,18.92,18.5,27550000.0,-0.0011,MDLZ
2010-02-04,18.58,18.37,18.59,18.23,58780000.0,-0.0027,MDLZ
2010-02-05,18.61,18.52,18.73,18.21,53310000.0,0.0016,MDLZ
2010-02-08,18.56,18.62,18.75,18.55,20270000.0,-0.0027,MDLZ
2010-02-09,18.91,18.63,18.98,18.59,24560000.0,0.0189,MDLZ
2010-02-10,18.93,18.95,19.01,18.81,19990000.0,0.0011,MDLZ
2010-02-11,18.97,18.99,19.07,18.81,21740000.0,0.0021,MDLZ
2010-02-12,19.03,18.97,19.03,18.69,74200000.0,0.0032,MDLZ
2010-02-16,18.95,18.76,18.95,18.53,54160000.0,-0.0042,MDLZ
2010-02-17,18.73,18.88,18.94,18.61,24840000.0,-0.0116,MDLZ
2010-02-18,18.85,18.75,18.85,18.63,20610000.0,0.0064,MDLZ
2010-02-19,18.92,18.82,19.01,18.75,15500000.0,0.0037,MDLZ
2010-02-22,18.94,18.9,19.03,18.75,27350000.0,0.0011,MDLZ
2010-02-23,19.06,19.02,19.22,18.92,27850000.0,0.0063,MDLZ
2010-02-24,19.01,19.1,19.17,18.97,22310000.0,-0.0026,MDLZ
2010-02-25,18.85,18.84,18.96,18.67,22800000.0,-0.0084,MDLZ
2010-02-26,18.6,18.81,18.82,18.52,26550000.0,-0.013300000000000001,MDLZ
2010-03-01,18.79,18.6,18.82,18.57,13290000.0,0.0102,MDLZ
2010-03-02,18.92,18.86,19.06,18.81,13810000.0,0.0069,MDLZ
2010-03-03,18.95,18.97,19.02,18.9,13530000.0,0.0016,MDLZ
2010-03-04,19.03,18.97,19.12,18.97,11130000.0,0.0042,MDLZ
2010-03-05,19.2,19.1,19.22,18.99,12130000.0,0.0089,MDLZ
