Date,Close,Open,High,Low,Volume,Change,Symbol
2010-01-04,32.64,32.27,32.85,32.23,4340000.0,0.0271,MSI
2010-01-05,32.19,32.56,33.83,31.62,10890000.0,-0.0138,MSI
2010-01-06,32.64,32.76,32.93,32.27,7010000.0,0.013999999999999999,MSI
2010-01-07,33.3,32.8,33.54,32.64,7810000.0,0.0202,MSI
2010-01-08,31.78,33.13,33.26,31.66,10740000.0,-0.045599999999999995,MSI
2010-01-11,31.45,32.27,32.27,31.41,5990000.0,-0.0104,MSI
2010-01-12,30.31,31.29,31.33,30.06,6190000.0,-0.0362,MSI
2010-01-13,31.13,30.35,31.33,30.35,4690000.0,0.0271,MSI
2010-01-14,31.58,30.96,32.01,30.92,6550000.0,0.014499999999999999,MSI
2010-01-15,31.04,31.54,31.66,30.84,5630000.0,-0.0171,MSI
2010-01-19,31.29,31.04,31.49,30.51,3900000.0,0.008100000000000001,MSI
2010-01-20,30.63,30.96,30.96,30.27,4070000.0000000005,-0.021099999999999997,MSI
2010-01-21,30.18,30.84,31.04,29.98,5750000.0,-0.0147,MSI
2010-01-22,29.53,29.9,30.47,29.32,6070000.0,-0.0215,MSI
2010-01-25,29.41,30.1,30.47,29.36,5140000.0,-0.0040999999999999995,MSI
2010-01-26,29.45,29.53,29.94,29.24,4290000.0,0.0014000000000000002,MSI
2010-01-27,30.31,29.49,30.45,29.34,6680000.0,0.0292,MSI
2010-01-28,26.54,27.24,27.93,25.92,19000000.0,-0.1244,MSI
2010-01-29,25.19,26.33,26.38,24.74,14910000.0,-0.0509,MSI
2010-02-01,25.92,25.51,26.01,25.23,9810000.0,0.028999999999999998,MSI
2010-02-02,26.83,26.09,27.03,25.64,9100000.0,0.0351,MSI
2010-02-03,27.4,26.78,27.93,26.62,10790000.0,0.0212,MSI
2010-02-04,25.88,26.99,27.03,25.76,10240000.0,-0.0555,MSI
2010-02-05,26.21,26.58,26.62,25.92,9000000.0,0.0128,MSI
2010-02-08,26.91,27.11,27.44,26.66,6370000.0,0.026699999999999998,MSI
2010-02-09,26.78,27.24,27.52,26.58,5010000.0,-0.0048,MSI
2010-02-10,27.15,26.83,27.4,26.74,4720000.0,0.0138,MSI
2010-02-11,27.24,27.03,27.32,26.91,4290000.0,0.0033,MSI
2010-02-12,29.28,27.89,29.86,27.64,12820000.0,0.07490000000000001,MSI
2010-02-16,29.73,29.86,30.06,29.28,5680000.0,0.0154,MSI
2010-02-17,29.12,29.82,29.9,28.63,5400000.0,-0.020499999999999997,MSI
2010-02-18,28.71,29.04,29.12,28.59,3720000.0,-0.0141,MSI
2010-02-19,28.71,28.63,28.96,28.46,2520000.0,0.0,MSI
2010-02-22,28.14,28.79,28.87,28.01,4110000.0000000005,-0.0199,MSI
2010-02-23,27.77,28.1,28.14,27.64,3240000.0,-0.0131,MSI
2010-02-24,27.81,27.89,28.01,27.6,2910000.0,0.0014000000000000002,MSI
2010-02-25,28.05,27.4,28.14,27.07,3810000.0,0.0086,MSI
2010-02-26,27.69,27.64,28.05,27.44,3660000.0,-0.0128,MSI
2010-03-01,27.6,27.77,27.89,27.07,2770000.0,-0.0033,MSI
2010-03-02,27.89,27.73,27.93,27.28,3660000.0,0.0105,MSI
2010-03-03,28.14,27.93,28.67,27.93,3050000.0,0.009000000000000001,MSI
2010-03-04,27.85,28.26,28.26,27.56,2610000.0,-0.0103,MSI
2010-03-05,28.46,28.05,28.67,27.89,3120000.0,0.0219,MSI
2010-03-08,28.3,28.59,28.59,28.1,2330000.0,-0.005600000000000001,MSI
2010-03-09,28.55,27.97,28.79,27.89,3890000.0,0.0088,MSI
2010-03-10,29.12,28.42,29.45,28.42,3040000.0,0.02,MSI
2010-03-11,28.79,29.0,29.32,28.71,2770000.0,-0.0113,MSI
2010-03-12,28.71,28.75,29.08,28.46,2130000.0,-0.0028000000000000004,MSI
2010-03-15,28.79,28.59,28.87,28.1,3140000.0,0.0028000000000000004,MSI
2010-03-16,30.22,28.75,30.35,28.75,5700000.0,0.049699999999999994,MSI
2010-03-17,29.77,30.35,30.39,29.53,3220000.0,-0.0149,MSI
2010-03-18,30.1,29.69,30.31,29.57,2280000.0,0.0111,MSI
2010-03-19,29.41,30.22,30.39,29.08,3350000.0,-0.0229,MSI
2010-03-22,29.73,29.16,30.02,29.12,2130000.0,0.0109,MSI
2010-03-23,30.1,29.94,30.35,29.77,2460000.0,0.0124,MSI
2010-03-24,29.69,30.02,30.14,29.65,1870000.0,-0.013600000000000001,MSI
2010-03-25,29.65,30.1,30.76,29.61,4340000.0,-0.0013,MSI
2010-03-26,29.36,29.53,30.1,29.28,3740000.0,-0.0098,MSI
2010-03-29,29.61,29.57,29.86,29.41,1800000.0,0.0085,MSI
2010-03-30,29.49,29.61,29.9,29.2,1890000.0,-0.0040999999999999995,MSI
2010-03-31,28.75,29.24,29.53,28.71,2640000.0,-0.025099999999999997,MSI
2010-04-01,28.91,29.08,29.45,28.67,3550000.0,0.005600000000000001,MSI
2010-04-05,29.32,28.96,29.41,28.59,3210000.0,0.014199999999999999,MSI
2010-04-06,29.82,29.04,30.18,29.0,3810000.0,0.0171,MSI
2010-04-07,29.61,29.65,29.9,29.49,2210000.0,-0.006999999999999999,MSI
2010-04-08,30.43,29.49,30.51,29.28,3990000.0,0.0277,MSI
2010-04-09,30.27,30.39,30.43,30.06,2130000.0,-0.0053,MSI
2010-04-12,30.39,30.18,30.76,30.06,4070000.0000000005,0.004,MSI
2010-04-13,30.35,30.31,30.7,30.02,3350000.0,-0.0013,MSI
2010-04-14,31.41,30.63,31.74,30.55,4470000.0,0.0349,MSI
2010-04-15,31.08,31.17,31.74,31.0,3920000.0,-0.0105,MSI
2010-04-16,29.94,30.84,30.88,29.41,6090000.0,-0.036699999999999997,MSI
2010-04-19,30.27,29.77,30.47,29.69,2540000.0,0.011000000000000001,MSI
2010-04-20,30.39,30.35,30.55,29.9,2860000.0,0.004,MSI
2010-04-21,30.06,30.27,30.31,29.77,2470000.0,-0.0109,MSI
2010-04-22,29.0,29.45,29.49,28.59,7090000.0,-0.0353,MSI
2010-04-23,29.04,29.08,29.86,28.91,4820000.0,0.0014000000000000002,MSI
2010-04-26,29.32,29.24,29.49,28.79,3010000.0,0.0096,MSI
2010-04-27,28.3,29.04,29.24,28.18,4350000.0,-0.0348,MSI
2010-04-28,28.34,27.97,28.5,27.6,7360000.0,0.0014000000000000002,MSI
2010-04-29,29.32,30.43,30.76,29.04,8260000.0,0.0346,MSI
2010-04-30,28.96,29.32,29.57,28.59,5190000.0,-0.0123,MSI
2010-05-03,29.08,29.36,29.45,28.5,3780000.0,0.0040999999999999995,MSI
2010-05-04,28.5,28.87,29.12,28.3,4440000.0,-0.0199,MSI
2010-05-05,28.14,28.42,28.71,27.85,4580000.0,-0.0126,MSI
2010-05-06,27.36,28.05,28.63,25.6,6600000.0,-0.0277,MSI
2010-05-07,27.03,27.19,27.69,26.54,6770000.0,-0.0121,MSI
2010-05-10,28.42,28.14,28.55,27.89,3990000.0,0.051399999999999994,MSI
2010-05-11,28.63,28.22,29.16,28.14,5240000.0,0.0074,MSI
2010-05-12,28.59,28.63,29.08,28.5,3960000.0,-0.0014000000000000002,MSI
2010-05-13,28.01,28.38,28.5,27.89,4520000.0,-0.0203,MSI
2010-05-14,27.81,27.93,27.97,27.4,4980000.0,-0.0070999999999999995,MSI
2010-05-17,28.05,27.64,28.14,27.56,3310000.0,0.0086,MSI
2010-05-18,27.77,28.38,28.55,27.64,3980000.0,-0.01,MSI
2010-05-19,27.89,27.73,28.26,27.48,4440000.0,0.0043,MSI
2010-05-20,27.44,27.32,28.14,27.07,6050000.0,-0.0161,MSI
2010-05-21,28.01,27.07,28.26,26.91,4650000.0,0.0208,MSI
2010-05-24,27.56,27.6,28.05,27.48,2410000.0,-0.0161,MSI
2010-05-25,27.64,27.07,27.69,26.66,3690000.0,0.0029,MSI
2010-05-26,27.69,27.52,28.5,27.44,4130000.0,0.0018,MSI
2010-05-27,28.34,28.22,28.38,28.01,2710000.0,0.0235,MSI
2010-05-28,28.05,28.3,28.42,27.81,2460000.0,-0.0102,MSI
2010-06-01,27.44,27.73,28.3,27.4,2190000.0,-0.0217,MSI
2010-06-02,28.05,27.69,28.14,27.56,2300000.0,0.0222,MSI
2010-06-03,28.14,27.97,28.18,27.64,2440000.0,0.0032,MSI
2010-06-04,27.45,27.77,27.93,27.19,4139999.9999999995,-0.0245,MSI
2010-06-07,26.91,27.44,27.6,26.78,3740000.0,-0.0197,MSI
2010-06-08,27.28,26.74,27.36,26.7,3340000.0,0.0137,MSI
2010-06-09,27.36,27.32,27.89,27.19,3430000.0,0.0029,MSI
2010-06-10,28.01,27.77,28.79,27.52,3040000.0,0.023799999999999998,MSI
2010-06-11,29.12,28.01,29.45,27.69,4400000.0,0.039599999999999996,MSI
2010-06-14,28.5,29.36,29.45,28.46,2680000.0,-0.0213,MSI
2010-06-15,28.91,28.71,29.36,28.63,4390000.0,0.0144,MSI
2010-06-16,29.12,28.42,29.36,28.42,3280000.0,0.0073,MSI
2010-06-17,29.45,29.08,29.45,28.63,3310000.0,0.0113,MSI
2010-06-18,29.73,29.36,29.73,29.16,3840000.0,0.0095,MSI
2010-06-21,29.36,29.94,30.22,29.2,2170000.0,-0.0124,MSI
2010-06-22,29.49,29.28,29.98,29.2,3050000.0,0.0044,MSI
2010-06-23,29.9,29.41,30.14,28.91,3840000.0,0.0139,MSI
2010-06-24,28.63,29.61,29.65,28.5,3000000.0,-0.0425,MSI
2010-06-25,28.96,28.75,29.36,28.46,3600000.0,0.0115,MSI
2010-06-28,28.96,29.2,29.45,28.87,2620000.0,0.0,MSI
2010-06-29,27.85,28.71,28.71,27.56,4220000.0,-0.0383,MSI
2010-06-30,26.7,27.81,28.14,26.62,6410000.0,-0.041299999999999996,MSI
2010-07-01,26.7,26.78,26.95,26.05,5080000.0,0.0,MSI
2010-07-02,26.54,26.74,26.83,26.21,4520000.0,-0.006,MSI
2010-07-06,26.78,26.99,27.36,26.58,3550000.0,0.009000000000000001,MSI
2010-07-07,27.81,26.83,27.93,26.83,2630000.0,0.0385,MSI
2010-07-08,28.05,28.01,28.22,27.64,2049999.9999999998,0.0086,MSI
2010-07-09,27.69,28.01,28.05,27.44,2960000.0,-0.0128,MSI
2010-07-12,28.63,27.56,28.87,27.56,4090000.0,0.0339,MSI
2010-07-13,29.53,29.0,29.82,28.71,4790000.0,0.031400000000000004,MSI
2010-07-14,30.55,29.77,30.96,29.73,6810000.0,0.0345,MSI
2010-07-15,31.62,31.13,31.74,30.55,7360000.0,0.035,MSI
2010-07-16,30.72,31.45,31.94,30.43,4980000.0,-0.0285,MSI
2010-07-19,32.44,31.29,32.89,30.76,7330000.0,0.055999999999999994,MSI
2010-07-20,32.76,32.07,33.17,31.29,8810000.0,0.009899999999999999,MSI
2010-07-21,32.4,32.68,32.8,31.86,5810000.0,-0.011000000000000001,MSI
2010-07-22,31.9,32.64,32.74,31.54,5500000.0,-0.0154,MSI
2010-07-23,31.74,31.74,32.27,31.08,5880000.0,-0.005,MSI
2010-07-26,32.19,31.74,32.4,31.45,5280000.0,0.014199999999999999,MSI
2010-07-27,31.7,32.44,32.68,31.62,4430000.0,-0.0152,MSI
2010-07-28,31.45,31.62,31.78,31.21,4990000.0,-0.0079,MSI
2010-07-29,31.17,31.49,32.89,31.17,11140000.0,-0.0089,MSI
2010-07-30,30.68,31.13,31.29,30.51,7580000.0,-0.015700000000000002,MSI
2010-08-02,31.21,31.13,31.49,30.8,4400000.0,0.0173,MSI
2010-08-03,31.21,30.92,31.45,30.63,4890000.0,0.0,MSI
2010-08-04,33.01,32.15,33.5,31.82,10570000.0,0.057699999999999994,MSI
2010-08-05,32.85,32.89,33.5,32.15,4980000.0,-0.0048,MSI
2010-08-06,32.76,32.56,32.85,32.07,3040000.0,-0.0027,MSI
2010-08-09,32.68,32.97,33.26,32.6,2410000.0,-0.0024,MSI
2010-08-10,32.93,32.4,33.09,32.11,4200000.0,0.0076,MSI
2010-08-11,31.54,32.31,32.31,31.37,3500000.0,-0.042199999999999994,MSI
2010-08-12,32.85,31.17,33.17,31.04,7670000.0,0.0415,MSI
2010-08-13,31.29,32.68,32.85,31.21,6170000.0,-0.0475,MSI
2010-08-16,31.99,31.17,32.19,31.04,3710000.0,0.022400000000000003,MSI
2010-08-17,31.94,32.19,32.35,31.74,2380000.0,-0.0016,MSI
2010-08-18,31.9,31.9,32.27,31.78,2310000.0,-0.0013,MSI
2010-08-19,30.88,31.99,31.99,30.59,4770000.0,-0.032,MSI
2010-08-20,30.63,30.76,31.25,30.43,5040000.0,-0.008100000000000001,MSI
2010-08-23,30.47,30.8,31.13,30.35,4059999.9999999995,-0.0052,MSI
2010-08-24,30.55,30.02,30.94,29.86,3060000.0,0.0026,MSI
2010-08-25,30.72,30.22,30.88,30.22,2710000.0,0.005600000000000001,MSI
2010-08-26,30.72,30.8,30.96,30.51,3440000.0,0.0,MSI
2010-08-27,31.45,31.21,31.74,30.63,4010000.0,0.023799999999999998,MSI
