Date,Close,Open,High,Low,Volume,Change,Symbol
2010-01-04,67.01,67.63,67.65,66.32,720910.0,0.0018,MTB
2010-01-05,68.21,66.8,68.39,66.7,779190.0,0.0179,MTB
2010-01-06,70.49,68.43,70.9,68.15,1360000.0,0.0334,MTB
2010-01-07,73.12,70.58,73.67,70.13,1830000.0,0.0373,MTB
2010-01-08,73.84,72.56,74.35,72.43,1380000.0,0.0098,MTB
2010-01-11,73.14,73.94,74.18,72.97,550390.0,-0.0095,MTB
2010-01-12,71.69,72.72,73.0,71.3,779490.0,-0.019799999999999998,MTB
2010-01-13,73.62,71.75,74.15,70.89,1480000.0,0.0269,MTB
2010-01-14,75.34,73.61,75.68,73.47,942820.0,0.023399999999999997,MTB
2010-01-15,73.16,74.9,75.28,72.94,1400000.0,-0.028900000000000002,MTB
2010-01-19,74.7,73.21,75.15,72.46,1290000.0,0.021,MTB
2010-01-20,77.69,73.65,78.32,73.65,3380000.0,0.04,MTB
2010-01-21,78.59,77.8,80.31,77.8,2720000.0,0.0116,MTB
2010-01-22,75.59,78.37,78.6,75.27,1650000.0,-0.0382,MTB
2010-01-25,75.0,76.37,76.84,73.78,1180000.0,-0.0078000000000000005,MTB
2010-01-26,73.73,74.46,75.52,73.27,1470000.0,-0.0169,MTB
2010-01-27,76.3,73.83,76.65,73.52,1360000.0,0.0349,MTB
2010-01-28,75.72,76.34,77.1,75.25,1040000.0,-0.0076,MTB
2010-01-29,73.75,75.9,76.04,73.5,1840000.0,-0.026000000000000002,MTB
2010-02-01,74.9,74.23,75.26,74.23,857750.0,0.015600000000000001,MTB
2010-02-02,75.0,75.13,75.8,74.45,667370.0,0.0013,MTB
2010-02-03,72.17,74.46,74.49,72.08,1250000.0,-0.0377,MTB
2010-02-04,70.64,71.78,71.91,69.91,2140000.0,-0.0212,MTB
2010-02-05,72.67,70.65,72.75,70.09,1780000.0,0.0287,MTB
2010-02-08,71.29,72.31,72.64,71.08,852970.0,-0.019,MTB
2010-02-09,71.99,71.99,72.99,71.37,595880.0,0.0098,MTB
2010-02-10,72.67,72.0,73.37,71.71,574050.0,0.009399999999999999,MTB
2010-02-11,72.4,72.79,72.87,71.89,429850.0,-0.0037,MTB
2010-02-12,72.07,71.75,72.19,70.89,830600.0,-0.0046,MTB
2010-02-16,75.12,73.04,75.34,72.77,1120000.0,0.042300000000000004,MTB
2010-02-17,74.49,75.37,75.64,73.8,1020000.0,-0.0084,MTB
2010-02-18,75.43,74.65,75.5,74.41,1450000.0,0.0126,MTB
2010-02-19,76.6,75.37,76.65,75.23,1710000.0,0.0155,MTB
2010-02-22,78.09,77.08,78.32,76.99,1180000.0,0.0195,MTB
2010-02-23,77.22,78.09,78.09,75.91,1810000.0,-0.0111,MTB
2010-02-24,78.2,76.99,78.97,76.81,1590000.0,0.0127,MTB
2010-02-25,76.58,77.33,77.33,75.55,1080000.0,-0.0207,MTB
2010-02-26,77.43,76.54,77.64,75.76,1040000.0,0.0111,MTB
2010-03-01,77.8,77.35,78.12,77.0,829140.0,0.0048,MTB
2010-03-02,78.46,77.97,79.09,77.86,694470.0,0.0085,MTB
2010-03-03,76.6,78.54,78.68,76.14,832590.0,-0.023700000000000002,MTB
2010-03-04,76.16,75.87,76.58,75.27,1000000.0,-0.005699999999999999,MTB
2010-03-05,78.55,76.68,78.63,76.68,708030.0,0.031400000000000004,MTB
2010-03-08,78.73,78.45,78.91,78.0,906140.0,0.0023,MTB
2010-03-09,78.79,78.35,79.17,77.59,1180000.0,0.0008,MTB
2010-03-10,79.56,78.79,80.0,78.44,1070000.0,0.0098,MTB
2010-03-11,80.3,79.36,80.5,79.13,490740.0,0.009300000000000001,MTB
2010-03-12,80.0,80.93,81.33,79.78,849800.0,-0.0037,MTB
2010-03-15,80.31,79.9,80.48,79.72,709850.0,0.0039000000000000003,MTB
2010-03-16,81.45,82.0,82.0,80.15,851940.0,0.014199999999999999,MTB
2010-03-17,82.79,81.64,82.92,81.52,621100.0,0.0165,MTB
2010-03-18,84.0,82.6,84.1,82.49,1270000.0,0.0146,MTB
2010-03-19,83.28,84.3,85.0,83.02,1060000.0,-0.0086,MTB
2010-03-22,83.25,82.83,83.47,81.76,543300.0,-0.0004,MTB
2010-03-23,83.21,83.33,83.33,81.85,461970.0,-0.0005,MTB
2010-03-24,83.04,82.9,84.0,82.77,288070.0,-0.002,MTB
2010-03-25,82.45,83.64,84.6,82.35,606670.0,-0.0070999999999999995,MTB
2010-03-26,80.81,82.79,83.69,80.34,963110.0,-0.0199,MTB
2010-03-29,80.95,81.03,81.46,79.72,658870.0,0.0017000000000000001,MTB
2010-03-30,79.76,80.82,81.17,78.7,2020000.0,-0.0147,MTB
2010-03-31,79.38,79.52,80.13,78.75,1220000.0,-0.0048,MTB
2010-04-01,79.57,79.86,80.0,78.74,561830.0,0.0024,MTB
2010-04-05,81.61,79.91,81.83,79.41,741790.0,0.0256,MTB
2010-04-06,84.46,81.76,84.64,81.62,1410000.0,0.0349,MTB
2010-04-07,83.35,84.32,84.99,82.71,1170000.0,-0.0131,MTB
2010-04-08,84.13,83.29,84.43,82.89,811940.0,0.009399999999999999,MTB
2010-04-09,85.34,84.22,85.45,83.95,740300.0,0.0144,MTB
2010-04-12,85.31,85.35,85.67,84.41,475740.0,-0.0004,MTB
2010-04-13,84.92,85.31,85.37,83.91,471790.0,-0.0046,MTB
2010-04-14,86.79,85.41,87.0,85.35,571350.0,0.022000000000000002,MTB
2010-04-15,86.14,87.62,87.62,86.05,694350.0,-0.0075,MTB
2010-04-16,84.25,86.31,86.53,82.3,2130000.0,-0.0219,MTB
