Date,Close,Open,High,Low,Volume,Change,Symbol
2010-01-04,20.49,20.71,20.71,20.33,2540000.0,0.0084,MXIM
2010-01-05,20.21,20.5,20.55,20.1,3910000.0,-0.0137,MXIM
2010-01-06,19.99,20.12,20.4,19.91,3570000.0,-0.0109,MXIM
2010-01-07,19.88,19.9,19.97,19.43,3250000.0,-0.0055000000000000005,MXIM
2010-01-08,20.0,19.88,20.03,19.75,2570000.0,0.006,MXIM
2010-01-11,19.83,19.86,20.05,19.62,2620000.0,-0.0085,MXIM
2010-01-12,19.02,19.75,19.75,19.0,4270000.0,-0.0408,MXIM
2010-01-13,19.34,19.27,19.51,18.65,5570000.0,0.0168,MXIM
2010-01-14,19.27,19.23,19.32,19.02,2800000.0,-0.0036,MXIM
2010-01-15,18.65,19.41,19.41,18.55,4630000.0,-0.0322,MXIM
2010-01-19,18.86,18.69,18.97,18.53,3250000.0,0.0113,MXIM
2010-01-20,18.89,18.75,18.96,18.34,4840000.0,0.0016,MXIM
2010-01-21,18.74,18.91,19.34,18.49,3930000.0,-0.0079,MXIM
2010-01-22,17.95,18.74,18.81,17.88,4930000.0,-0.042199999999999994,MXIM
2010-01-25,18.12,17.9,18.27,17.83,2920000.0,0.0095,MXIM
2010-01-26,17.95,17.96,18.3,17.78,2750000.0,-0.009399999999999999,MXIM
2010-01-27,18.4,17.79,18.42,17.61,4810000.0,0.025099999999999997,MXIM
2010-01-28,18.12,18.39,18.42,17.48,8100000.0,-0.0152,MXIM
2010-01-29,17.48,18.97,19.04,17.28,9720000.0,-0.0353,MXIM
2010-02-01,17.9,17.6,17.91,17.52,6740000.0,0.024,MXIM
2010-02-02,18.34,18.0,18.39,17.89,5280000.0,0.0246,MXIM
2010-02-03,18.17,18.21,18.41,17.91,3930000.0,-0.009300000000000001,MXIM
2010-02-04,17.41,17.93,17.93,17.26,4700000.0,-0.0418,MXIM
2010-02-05,17.66,17.42,17.77,17.28,5000000.0,0.0144,MXIM
2010-02-08,17.63,17.91,17.93,17.45,2810000.0,-0.0017000000000000001,MXIM
2010-02-09,17.79,17.84,17.96,17.52,3160000.0,0.0091,MXIM
2010-02-10,17.97,17.72,18.1,17.65,3180000.0,0.0101,MXIM
2010-02-11,18.13,17.92,18.32,17.66,4250000.0,0.0089,MXIM
2010-02-12,18.26,17.78,18.37,17.7,2930000.0,0.0072,MXIM
2010-02-16,18.67,18.3,18.68,18.2,2960000.0,0.0225,MXIM
