Date,Close,Open,High,Low,Volume,Change,Symbol
2018-01-23,24.17,24.02,24.28,23.98,2310000.0,0.0092,NI
2018-01-24,24.18,24.03,24.2,23.87,3680000.0,0.0004,NI
2018-01-25,24.42,24.1,24.45,24.05,2760000.0,0.009899999999999999,NI
2018-01-26,24.5,24.49,24.59,24.28,4490000.0,0.0033,NI
2018-01-29,24.22,24.42,24.49,24.15,3030000.0,-0.011399999999999999,NI
2018-01-30,24.45,24.23,24.55,24.16,2760000.0,0.0095,NI
2018-01-31,24.68,24.5,24.69,24.31,4420000.0,0.009399999999999999,NI
2018-02-01,24.24,24.7,24.77,24.11,3910000.0,-0.0178,NI
2018-02-02,23.97,24.15,24.22,23.94,2920000.0,-0.0111,NI
2018-02-05,23.52,23.95,24.2,23.52,3940000.0,-0.018799999999999997,NI
2018-02-06,23.28,23.21,23.42,22.7,4930000.0,-0.0102,NI
2018-02-07,23.09,23.27,23.65,23.08,4050000.0,-0.008199999999999999,NI
2018-02-08,22.51,22.89,23.2,22.44,6440000.0,-0.025099999999999997,NI
2018-02-09,23.09,22.58,23.27,22.49,5280000.0,0.0258,NI
2018-02-12,23.11,23.14,23.23,22.81,3700000.0,0.0009,NI
2018-02-13,23.13,23.04,23.21,22.79,2650000.0,0.0009,NI
2018-02-14,22.74,22.98,23.04,22.74,3190000.0,-0.0169,NI
2018-02-15,23.37,22.83,23.37,22.77,6190000.0,0.0277,NI
2018-02-16,23.48,23.32,23.63,23.26,3910000.0,0.004699999999999999,NI
2018-02-20,23.02,23.56,23.77,22.8,4070000.0000000005,-0.0196,NI
2018-02-21,22.8,22.95,23.28,22.8,2850000.0,-0.0096,NI
2018-02-22,23.08,22.89,23.29,22.84,4440000.0,0.0123,NI
2018-02-23,23.6,23.11,23.63,23.11,3770000.0,0.0225,NI
2018-02-26,23.59,23.67,23.75,23.43,4490000.0,-0.0004,NI
2018-02-27,23.32,23.66,23.7,23.21,3910000.0,-0.011399999999999999,NI
2018-02-28,23.13,23.34,23.46,23.11,5830000.0,-0.008100000000000001,NI
2018-03-01,23.17,23.16,23.53,23.08,5430000.0,0.0017000000000000001,NI
2018-03-02,23.17,23.19,23.4,22.99,4700000.0,0.0,NI
2018-03-05,23.53,23.18,23.61,23.06,3930000.0,0.0155,NI
2018-03-06,23.21,23.48,23.54,23.2,5320000.0,-0.013600000000000001,NI
2018-03-07,22.95,23.25,23.29,22.81,4220000.0,-0.011200000000000002,NI
2018-03-08,23.08,22.95,23.18,22.87,2450000.0,0.005699999999999999,NI
2018-03-09,22.96,23.09,23.12,22.74,4870000.0,-0.0052,NI
2018-03-12,23.14,22.99,23.19,22.96,5730000.0,0.0078000000000000005,NI
