Date,Close,Open,High,Low,Volume,Change,Symbol
2018-01-22,76.78,72.41,79.75,72.18,3240000.0,0.0725,NKTR
2018-01-23,77.79,76.43,77.92,74.46,2270000.0,0.0132,NKTR
2018-01-24,76.53,78.0,78.77,75.88,2330000.0,-0.016200000000000003,NKTR
2018-01-25,78.93,76.2,79.37,75.06,1780000.0,0.031400000000000004,NKTR
2018-01-26,79.03,79.23,81.41,77.38,2500000.0,0.0013,NKTR
2018-01-29,82.39,79.25,82.74,79.25,2080000.0,0.0425,NKTR
2018-01-30,82.45,80.74,84.69,79.01,1650000.0,0.0007000000000000001,NKTR
2018-01-31,83.61,83.5,84.45,82.54,1330000.0,0.0141,NKTR
2018-02-01,88.74,82.98,90.09,82.54,3390000.0,0.061399999999999996,NKTR
2018-02-02,88.0,87.5,99.02,83.6,6840000.0,-0.0083,NKTR
2018-02-05,82.44,87.65,89.98,81.25,3160000.0,-0.0632,NKTR
2018-02-06,78.73,80.46,83.28,73.01,3850000.0,-0.045,NKTR
2018-02-07,76.57,80.0,80.87,70.01,3480000.0,-0.0274,NKTR
2018-02-08,74.65,78.01,78.31,73.69,2340000.0,-0.025099999999999997,NKTR
2018-02-09,74.64,75.3,76.26,69.5,2300000.0,-0.0001,NKTR
2018-02-12,78.7,74.97,79.39,73.52,2270000.0,0.054400000000000004,NKTR
2018-02-13,75.66,78.01,78.49,75.26,1620000.0,-0.038599999999999995,NKTR
2018-02-14,84.0,72.99,86.87,70.45,8580000.0,0.11019999999999999,NKTR
2018-02-15,82.14,86.19,86.34,81.1,2640000.0,-0.022099999999999998,NKTR
2018-02-16,83.43,81.77,84.03,81.33,2340000.0,0.015700000000000002,NKTR
2018-02-20,83.45,83.55,87.45,82.9,2380000.0,0.0002,NKTR
2018-02-21,86.45,83.26,89.49,83.26,2029999.9999999998,0.0359,NKTR
2018-02-22,88.21,86.59,90.96,86.59,2380000.0,0.0204,NKTR
2018-02-23,89.6,88.7,89.97,87.13,1290000.0,0.0158,NKTR
2018-02-26,90.56,89.59,90.91,89.55,1940000.0,0.010700000000000001,NKTR
2018-02-27,90.05,90.82,91.95,89.85,1060000.0,-0.005600000000000001,NKTR
2018-02-28,86.56,89.86,90.47,86.43,1330000.0,-0.0388,NKTR
2018-03-01,84.55,86.98,86.99,82.1,2420000.0,-0.0232,NKTR
2018-03-02,102.87,88.5,104.93,87.0,6590000.0,0.2167,NKTR
2018-03-05,102.08,102.5,105.74,100.52,2069999.9999999998,-0.0077,NKTR
2018-03-06,98.09,99.41,101.14,97.35,3160000.0,-0.0391,NKTR
2018-03-07,101.3,96.11,101.34,96.02,2520000.0,0.0327,NKTR
2018-03-08,108.44,102.4,108.5,100.61,2100000.0,0.0705,NKTR
2018-03-09,108.34,107.17,109.32,105.75,1860000.0,-0.0009,NKTR
2018-03-12,103.07,109.42,111.36,101.81,3090000.0,-0.048600000000000004,NKTR
2018-03-13,103.16,103.83,103.96,99.16,2410000.0,0.0009,NKTR
2018-03-14,104.51,103.99,109.22,102.01,3500000.0,0.0131,NKTR
2018-03-15,102.01,104.27,105.09,99.81,2950000.0,-0.0239,NKTR
2018-03-16,103.0,102.37,105.03,101.65,34820000.0,0.0097,NKTR
2018-03-19,105.01,103.08,107.33,102.86,3180000.0,0.0195,NKTR
2018-03-20,107.2,105.25,109.02,104.78,3420000.0,0.0209,NKTR
2018-03-21,106.91,107.42,109.09,106.44,1750000.0,-0.0027,NKTR
2018-03-22,104.01,105.71,108.07,103.37,1840000.0,-0.0271,NKTR
2018-03-23,103.0,103.89,105.6,102.79,1700000.0,-0.0097,NKTR
2018-03-26,107.03,104.96,107.34,103.6,2420000.0,0.0391,NKTR
2018-03-27,104.51,106.57,107.25,103.57,1580000.0,-0.0235,NKTR
2018-03-28,105.01,104.88,106.66,103.24,1420000.0,0.0048,NKTR
