Date,Close,Open,High,Low,Volume,Change,Symbol
2010-01-04,52.53,52.09,52.75,52.09,1970000.0,0.0025,NTRS
2010-01-05,52.46,52.0,52.74,52.0,2130000.0,-0.0013,NTRS
2010-01-06,51.7,52.33,52.6,51.63,2240000.0,-0.014499999999999999,NTRS
2010-01-07,52.19,51.54,52.34,51.4,2000000.0,0.0095,NTRS
2010-01-08,52.42,51.95,52.56,51.7,1370000.0,0.0044,NTRS
2010-01-11,51.04,51.62,52.08,50.41,2930000.0,-0.0263,NTRS
2010-01-12,50.95,50.84,51.7,50.58,2020000.0,-0.0018,NTRS
2010-01-13,51.55,51.13,51.76,50.73,1520000.0,0.0118,NTRS
2010-01-14,51.3,51.38,51.66,51.0,2009999.9999999998,-0.0048,NTRS
2010-01-15,51.55,51.28,51.76,50.81,2049999.9999999998,0.0049,NTRS
2010-01-19,52.43,51.55,52.65,51.53,1900000.0,0.0171,NTRS
2010-01-20,55.44,54.17,56.11,53.59,4860000.0,0.0574,NTRS
2010-01-21,53.51,54.51,55.08,53.44,3040000.0,-0.0348,NTRS
2010-01-22,52.07,53.52,54.07,51.73,3160000.0,-0.0269,NTRS
2010-01-25,51.99,52.72,52.76,51.59,1210000.0,-0.0015,NTRS
2010-01-26,50.93,51.66,52.16,50.93,1300000.0,-0.0204,NTRS
2010-01-27,52.49,50.99,52.63,50.79,1890000.0,0.030600000000000002,NTRS
2010-01-28,51.59,52.92,52.92,51.17,1620000.0,-0.0171,NTRS
2010-01-29,50.52,51.76,51.86,50.51,1930000.0,-0.0207,NTRS
2010-02-01,52.17,51.62,52.69,51.55,1760000.0,0.0327,NTRS
2010-02-02,52.12,52.32,52.48,51.83,1210000.0,-0.001,NTRS
2010-02-03,51.61,51.9,52.07,51.42,1110000.0,-0.0098,NTRS
2010-02-04,49.89,51.17,51.45,49.88,2130000.0,-0.0333,NTRS
2010-02-05,50.54,49.88,50.56,48.89,2550000.0,0.013000000000000001,NTRS
2010-02-08,49.99,50.73,51.46,49.92,1780000.0,-0.0109,NTRS
2010-02-09,50.08,50.4,50.92,49.6,1870000.0,0.0018,NTRS
2010-02-10,50.56,49.99,50.87,49.96,1780000.0,0.0096,NTRS
2010-02-11,50.34,50.47,50.59,49.91,1230000.0,-0.0044,NTRS
2010-02-12,50.01,50.0,50.28,49.55,1790000.0,-0.0066,NTRS
2010-02-16,50.99,50.22,50.99,50.05,1330000.0,0.0196,NTRS
2010-02-17,51.84,51.32,51.99,50.75,2049999.9999999998,0.0167,NTRS
2010-02-18,52.47,51.78,52.6,51.63,1500000.0,0.012199999999999999,NTRS
2010-02-19,54.6,52.5,54.88,52.4,4350000.0,0.0406,NTRS
2010-02-22,54.65,54.53,55.01,53.91,2460000.0,0.0009,NTRS
2010-02-23,53.46,54.64,54.76,53.21,1480000.0,-0.0218,NTRS
2010-02-24,53.56,53.81,54.1,53.3,1580000.0,0.0019,NTRS
2010-02-25,53.11,52.85,53.14,52.32,1830000.0,-0.0084,NTRS
2010-02-26,53.29,53.36,53.51,52.7,1240000.0,0.0034000000000000002,NTRS
2010-03-01,53.44,53.32,53.54,52.94,1100000.0,0.0028000000000000004,NTRS
2010-03-02,53.41,53.49,53.72,53.18,1270000.0,-0.0006,NTRS
2010-03-03,53.46,53.28,53.8,53.28,923200.0,0.0009,NTRS
2010-03-04,53.76,53.55,53.84,53.36,928660.0,0.005600000000000001,NTRS
2010-03-05,54.89,54.11,54.9,53.77,1410000.0,0.021,NTRS
2010-03-08,54.9,54.47,55.0,54.37,1490000.0,0.0002,NTRS
2010-03-09,54.8,54.62,55.15,54.21,1230000.0,-0.0018,NTRS
2010-03-10,54.03,54.74,54.99,53.7,2510000.0,-0.0141,NTRS
2010-03-11,54.05,53.85,54.22,53.42,1780000.0,0.0004,NTRS
2010-03-12,53.97,54.3,54.55,53.89,1790000.0,-0.0015,NTRS
2010-03-15,54.26,54.08,54.39,53.79,1940000.0,0.0054,NTRS
2010-03-16,54.81,54.25,54.86,54.17,1510000.0,0.0101,NTRS
2010-03-17,55.8,55.1,56.0,54.93,1580000.0,0.0181,NTRS
2010-03-18,55.62,55.89,55.97,55.26,1250000.0,-0.0032,NTRS
2010-03-19,55.45,55.87,56.01,54.48,1920000.0,-0.0031,NTRS
2010-03-22,55.63,55.3,55.87,55.1,1150000.0,0.0032,NTRS
2010-03-23,55.79,55.93,55.93,55.28,944070.0,0.0029,NTRS
2010-03-24,55.16,55.43,55.68,55.05,954240.0,-0.0113,NTRS
2010-03-25,55.98,55.4,56.5,55.22,1800000.0,0.0149,NTRS
2010-03-26,55.35,55.82,55.99,55.16,1610000.0,-0.0113,NTRS
2010-03-29,55.19,55.66,55.68,54.87,1640000.0,-0.0029,NTRS
2010-03-30,54.65,55.11,55.19,54.45,1400000.0,-0.0098,NTRS
