Date,Close,Open,High,Low,Volume,Change,Symbol
2010-01-04,39.62,39.5,39.74,39.35,1670000.0,0.012,OMC
2010-01-05,39.48,39.54,39.61,39.16,1810000.0,-0.0034999999999999996,OMC
2010-01-06,39.17,39.32,39.5,39.02,2500000.0,-0.0079,OMC
2010-01-07,38.94,39.11,39.21,38.72,2520000.0,-0.0059,OMC
2010-01-08,39.39,38.72,39.55,38.59,1940000.0,0.0116,OMC
2010-01-11,39.39,39.38,39.65,39.32,1380000.0,0.0,OMC
2010-01-12,38.73,39.05,39.19,38.5,2260000.0,-0.0168,OMC
2010-01-13,39.16,38.73,39.25,38.73,1820000.0,0.0111,OMC
2010-01-14,38.11,38.74,39.0,38.04,3450000.0,-0.0268,OMC
2010-01-15,37.66,38.1,38.26,37.51,2220000.0,-0.0118,OMC
2010-01-19,37.8,37.56,38.01,37.53,2280000.0,0.0037,OMC
2010-01-20,37.49,37.51,37.88,37.32,3080000.0,-0.008199999999999999,OMC
2010-01-21,37.03,37.43,38.0,36.97,2570000.0,-0.0123,OMC
2010-01-22,36.29,36.97,37.12,36.27,2620000.0,-0.02,OMC
2010-01-25,36.62,36.69,36.73,36.45,1830000.0,0.0091,OMC
2010-01-26,36.55,36.53,36.95,36.23,2490000.0,-0.0019,OMC
2010-01-27,36.0,36.55,36.61,35.7,2880000.0,-0.015,OMC
2010-01-28,35.85,36.12,36.39,35.74,1890000.0,-0.0042,OMC
2010-01-29,35.3,36.07,36.2,35.13,2990000.0,-0.015300000000000001,OMC
2010-02-01,36.03,35.62,36.18,35.45,2740000.0,0.0207,OMC
2010-02-02,36.94,35.94,36.96,35.9,2650000.0,0.0253,OMC
2010-02-03,37.02,36.86,37.14,36.56,3200000.0,0.0022,OMC
2010-02-04,35.76,36.66,36.82,35.75,2220000.0,-0.034,OMC
2010-02-05,35.28,35.7,35.72,34.78,3580000.0,-0.0134,OMC
2010-02-08,34.54,35.34,35.37,34.54,3290000.0,-0.021,OMC
2010-02-09,35.25,35.05,35.54,34.96,3800000.0,0.0206,OMC
2010-02-10,35.75,35.96,35.96,35.08,4070000.0000000005,0.014199999999999999,OMC
2010-02-11,35.56,35.74,35.85,34.95,3680000.0,-0.0053,OMC
2010-02-12,35.2,35.06,35.27,34.83,3630000.0,-0.0101,OMC
2010-02-16,35.95,35.55,36.0,35.2,2830000.0,0.0213,OMC
2010-02-17,36.35,36.14,36.48,35.87,3450000.0,0.0111,OMC
2010-02-18,36.78,36.34,37.29,36.25,3750000.0,0.0118,OMC
2010-02-19,37.07,36.75,37.27,36.5,3270000.0,0.0079,OMC
2010-02-22,36.98,37.1,37.22,36.86,1510000.0,-0.0024,OMC
2010-02-23,36.67,36.98,37.12,36.63,2040000.0,-0.0084,OMC
2010-02-24,36.88,36.9,37.18,36.72,1600000.0,0.005699999999999999,OMC
2010-02-25,36.62,36.21,36.65,36.16,2220000.0,-0.006999999999999999,OMC
2010-02-26,36.62,36.7,37.01,36.52,3200000.0,0.0,OMC
2010-03-01,37.68,36.63,37.75,36.58,2580000.0,0.028900000000000002,OMC
2010-03-02,37.66,37.89,38.03,37.57,2460000.0,-0.0005,OMC
2010-03-03,37.63,37.49,37.77,37.46,1920000.0,-0.0008,OMC
2010-03-04,37.51,37.63,37.79,37.32,1960000.0,-0.0032,OMC
2010-03-05,38.06,37.76,38.14,37.63,2530000.0,0.0147,OMC
2010-03-08,37.99,37.87,38.08,37.82,1190000.0,-0.0018,OMC
2010-03-09,38.23,37.91,38.4,37.75,1700000.0,0.0063,OMC
2010-03-10,38.84,38.19,38.89,38.1,2360000.0,0.016,OMC
2010-03-11,39.26,38.76,39.29,38.53,1960000.0,0.0108,OMC
2010-03-12,39.31,39.41,39.46,38.97,1530000.0,0.0013,OMC
