Date,Close,Open,High,Low,Volume,Change,Symbol
2010-01-04,79.71,79.29,80.1,78.85,3480000.0,0.0215,OXY
2010-01-05,79.14,79.79,79.84,78.68,3370000.0,-0.0072,OXY
2010-01-06,80.09,79.04,80.45,78.49,5350000.0,0.012,OXY
2010-01-07,79.49,79.57,80.22,79.01,4120000.0,-0.0075,OXY
2010-01-08,80.31,79.15,80.36,78.21,4150000.0000000005,0.0103,OXY
2010-01-11,79.58,80.72,81.37,78.94,3910000.0,-0.0091,OXY
2010-01-12,76.89,78.46,78.82,76.65,6780000.0,-0.0338,OXY
2010-01-13,76.38,77.06,77.41,75.39,7360000.0,-0.0066,OXY
2010-01-14,76.98,75.92,77.15,75.89,4520000.0,0.0079,OXY
2010-01-15,75.7,76.78,77.0,75.15,7910000.0,-0.0166,OXY
2010-01-19,76.12,75.44,76.19,75.06,5460000.0,0.0055000000000000005,OXY
2010-01-20,75.02,75.39,75.39,73.68,6030000.0,-0.014499999999999999,OXY
2010-01-21,72.91,74.96,75.31,72.8,7290000.0,-0.0281,OXY
2010-01-22,73.0,73.47,74.97,72.63,9720000.0,0.0012,OXY
2010-01-25,74.48,73.89,75.33,73.67,6440000.0,0.0203,OXY
2010-01-26,73.53,73.1,74.79,73.1,8730000.0,-0.0128,OXY
2010-01-27,73.31,73.57,74.05,72.32,5060000.0,-0.003,OXY
2010-01-28,74.34,74.3,75.61,71.35,11360000.0,0.013999999999999999,OXY
2010-01-29,75.15,74.95,76.56,74.58,10750000.0,0.0109,OXY
2010-02-01,76.57,75.86,76.66,75.73,6090000.0,0.0189,OXY
2010-02-02,77.49,76.84,77.63,75.98,5160000.0,0.012,OXY
2010-02-03,76.86,77.37,77.82,76.39,3530000.0,-0.008100000000000001,OXY
2010-02-04,73.32,76.19,76.19,73.19,7650000.0,-0.0461,OXY
2010-02-05,73.58,73.27,74.01,71.24,10240000.0,0.0034999999999999996,OXY
2010-02-08,73.19,73.64,75.38,72.92,6630000.0,-0.0053,OXY
2010-02-09,74.73,74.24,75.68,73.36,8070000.0,0.021,OXY
2010-02-10,75.19,75.21,75.7,73.96,5900000.0,0.0062,OXY
2010-02-11,77.18,75.26,77.24,74.58,6210000.0,0.0265,OXY
2010-02-12,76.55,75.98,76.64,75.1,6190000.0,-0.008199999999999999,OXY
2010-02-16,77.87,77.7,78.14,76.62,5820000.0,0.0172,OXY
2010-02-17,77.64,77.87,78.12,76.6,4750000.0,-0.003,OXY
