Date,Close,Open,High,Low,Volume,Change,Symbol
2010-01-04,18.93,18.27,18.94,18.23,52090000.0,0.0407,PFE
2010-01-05,18.66,18.92,18.93,18.55,43380000.0,-0.0143,PFE
2010-01-06,18.6,18.66,18.81,18.51,41410000.0,-0.0032,PFE
2010-01-07,18.53,18.64,18.67,18.46,39430000.0,-0.0038,PFE
2010-01-08,18.68,18.62,18.71,18.52,30410000.0,0.008100000000000001,PFE
2010-01-11,18.83,18.83,18.95,18.67,32450000.000000004,0.008,PFE
2010-01-12,18.77,18.8,18.99,18.64,41270000.0,-0.0032,PFE
2010-01-13,19.21,18.87,19.3,18.87,59520000.0,0.023399999999999997,PFE
2010-01-14,19.38,19.2,19.5,19.13,47270000.0,0.0088,PFE
2010-01-15,19.49,19.43,19.68,19.26,76630000.0,0.005699999999999999,PFE
2010-01-19,20.0,19.53,20.07,19.5,78340000.0,0.0262,PFE
2010-01-20,19.94,20.05,20.36,19.87,79250000.0,-0.003,PFE
2010-01-21,19.24,20.04,20.15,19.17,77180000.0,-0.0351,PFE
2010-01-22,18.96,19.26,19.92,18.9,61710000.0,-0.0146,PFE
2010-01-25,18.85,19.24,19.25,18.84,49280000.0,-0.0058,PFE
2010-01-26,18.78,18.72,18.9,18.63,43600000.0,-0.0037,PFE
2010-01-27,19.0,18.78,19.09,18.66,54620000.0,0.011699999999999999,PFE
2010-01-28,18.63,19.07,19.1,18.61,50940000.0,-0.0195,PFE
2010-01-29,18.66,18.7,18.97,18.52,56040000.0,0.0016,PFE
2010-02-01,18.79,18.79,18.99,18.7,39460000.0,0.006999999999999999,PFE
2010-02-02,19.24,18.87,19.33,18.77,67640000.0,0.0239,PFE
2010-02-03,18.62,18.69,18.85,18.42,114000000.0,-0.0322,PFE
2010-02-04,18.03,18.35,18.44,18.01,94260000.0,-0.0317,PFE
2010-02-05,17.96,17.91,18.18,17.6,90400000.0,-0.0039000000000000003,PFE
2010-02-08,17.84,17.91,18.0,17.72,55630000.0,-0.0067,PFE
2010-02-09,17.88,17.87,18.15,17.65,70980000.0,0.0022,PFE
2010-02-10,17.74,17.92,17.98,17.63,59960000.0,-0.0078000000000000005,PFE
2010-02-11,17.87,17.75,18.03,17.62,54700000.0,0.0073,PFE
2010-02-12,17.8,17.85,17.89,17.62,50350000.0,-0.0039000000000000003,PFE
2010-02-16,17.72,17.96,18.08,17.61,63290000.0,-0.0045000000000000005,PFE
2010-02-17,17.67,17.85,17.86,17.53,58260000.0,-0.0028000000000000004,PFE
2010-02-18,17.73,17.68,17.75,17.55,57120000.0,0.0034000000000000002,PFE
2010-02-19,17.99,17.82,18.1,17.73,50660000.0,0.0147,PFE
2010-02-22,17.95,17.98,18.15,17.78,58000000.0,-0.0022,PFE
2010-02-23,17.67,17.84,17.94,17.61,47870000.0,-0.015600000000000001,PFE
