Date,Close,Open,High,Low,Volume,Change,Symbol
2010-01-04,54.52,54.66,55.04,54.17,960900.0,0.011899999999999999,PH
2010-01-05,54.26,54.35,54.82,53.94,1140000.0,-0.0048,PH
2010-01-06,54.03,54.14,54.47,53.8,1670000.0,-0.0042,PH
2010-01-07,54.67,53.75,54.9,53.75,973590.0,0.0118,PH
2010-01-08,56.22,54.47,56.23,54.12,1080000.0,0.028399999999999998,PH
2010-01-11,57.82,57.1,58.03,56.57,1680000.0,0.0285,PH
2010-01-12,57.94,57.45,58.09,57.38,1750000.0,0.0021,PH
2010-01-13,58.25,58.09,58.59,57.09,1370000.0,0.0054,PH
2010-01-14,58.79,58.03,58.94,57.56,1000000.0,0.009300000000000001,PH
2010-01-15,58.56,58.66,59.15,57.94,1710000.0,-0.0039000000000000003,PH
2010-01-19,61.42,61.74,62.85,60.58,3740000.0,0.048799999999999996,PH
2010-01-20,60.61,61.13,61.18,59.4,2340000.0,-0.0132,PH
2010-01-21,59.52,60.4,61.43,58.76,2009999.9999999998,-0.018000000000000002,PH
2010-01-22,57.62,59.44,59.44,57.59,1460000.0,-0.0319,PH
2010-01-25,57.37,58.52,59.04,56.37,2040000.0,-0.0043,PH
2010-01-26,56.6,56.9,57.3,56.07,2340000.0,-0.0134,PH
2010-01-27,57.4,56.49,57.74,56.15,3340000.0,0.0141,PH
2010-01-28,56.32,57.71,57.8,55.68,1440000.0,-0.018799999999999997,PH
2010-01-29,55.91,56.83,57.86,55.67,2130000.0,-0.0073,PH
2010-02-01,57.14,56.2,57.4,56.06,1620000.0,0.022000000000000002,PH
2010-02-02,58.14,57.55,58.21,57.2,1920000.0,0.0175,PH
2010-02-03,57.3,57.8,58.62,57.13,1800000.0,-0.0144,PH
2010-02-04,54.93,56.52,56.74,54.93,1970000.0,-0.0414,PH
2010-02-05,54.97,54.96,55.32,53.5,2100000.0,0.0007000000000000001,PH
2010-02-08,54.54,54.95,55.17,53.95,1730000.0,-0.0078000000000000005,PH
2010-02-09,55.75,55.33,56.4,54.88,1650000.0,0.0222,PH
2010-02-10,55.55,55.7,55.98,54.86,1030000.0,-0.0036,PH
2010-02-11,56.76,55.59,56.79,55.15,1370000.0,0.0218,PH
2010-02-12,56.08,55.91,57.65,55.21,2550000.0,-0.012,PH
2010-02-16,57.25,57.24,57.3,56.41,1560000.0,0.0209,PH
2010-02-17,58.19,57.75,58.33,57.26,1500000.0,0.016399999999999998,PH
2010-02-18,58.76,58.04,58.87,57.97,1520000.0,0.0098,PH
2010-02-19,59.0,58.59,59.29,58.2,1110000.0,0.0040999999999999995,PH
2010-02-22,58.92,59.18,59.24,58.63,1250000.0,-0.0014000000000000002,PH
2010-02-23,58.31,58.72,59.06,57.76,1450000.0,-0.0104,PH
2010-02-24,58.87,58.58,58.91,58.13,2080000.0,0.0096,PH
2010-02-25,58.9,57.55,59.06,57.46,1550000.0,0.0005,PH
2010-02-26,60.31,59.31,60.45,59.17,2200000.0,0.0239,PH
2010-03-01,61.71,60.17,62.58,60.15,3110000.0,0.0232,PH
2010-03-02,62.07,62.02,62.41,61.87,2009999.9999999998,0.0058,PH
2010-03-03,62.41,63.2,63.66,62.3,2750000.0,0.0055000000000000005,PH
2010-03-04,62.07,62.44,62.76,61.52,1900000.0,-0.0054,PH
2010-03-05,62.93,62.86,63.23,62.51,1130000.0,0.0139,PH
2010-03-08,63.02,62.91,63.31,62.54,1400000.0,0.0014000000000000002,PH
2010-03-09,63.33,62.89,63.6,62.68,1470000.0,0.0049,PH
2010-03-10,63.82,63.46,63.96,63.18,1150000.0,0.0077,PH
2010-03-11,63.69,63.84,63.85,63.03,939840.0,-0.002,PH
2010-03-12,63.61,63.99,64.2,63.31,860350.0,-0.0013,PH
2010-03-15,63.84,63.65,63.89,63.27,762340.0,0.0036,PH
