Date,Close,Open,High,Low,Volume,Change,Symbol
2010-01-04,51.77,50.43,51.9,50.19,3000000.0,0.0404,PRU
2010-01-05,52.79,51.84,52.89,51.61,3240000.0,0.0197,PRU
2010-01-06,53.41,53.01,53.49,52.11,2850000.0,0.011699999999999999,PRU
2010-01-07,54.27,53.4,54.47,52.78,3070000.0,0.0161,PRU
2010-01-08,53.56,53.91,54.18,52.9,2410000.0,-0.0131,PRU
2010-01-11,53.49,54.15,54.38,52.99,2450000.0,-0.0013,PRU
2010-01-12,53.05,54.65,54.98,52.61,4280000.0,-0.008199999999999999,PRU
2010-01-13,53.8,53.19,53.89,52.3,3150000.0,0.0141,PRU
2010-01-14,54.08,53.53,54.29,52.98,2390000.0,0.0052,PRU
2010-01-15,53.46,53.78,53.88,52.99,3700000.0,-0.0115,PRU
2010-01-19,54.18,53.22,54.44,52.88,3340000.0,0.013500000000000002,PRU
2010-01-20,53.62,53.98,53.98,53.04,2740000.0,-0.0103,PRU
2010-01-21,51.59,53.09,53.48,51.55,5920000.0,-0.0379,PRU
2010-01-22,50.05,51.58,51.86,49.78,4870000.0,-0.029900000000000003,PRU
2010-01-25,50.71,51.07,51.44,50.21,2780000.0,0.0132,PRU
2010-01-26,49.47,50.26,51.35,49.26,2800000.0,-0.0245,PRU
2010-01-27,51.63,49.6,51.67,49.19,4750000.0,0.0437,PRU
2010-01-28,50.59,51.8,52.1,49.9,3260000.0,-0.020099999999999996,PRU
2010-01-29,49.99,51.04,51.46,49.58,3450000.0,-0.011899999999999999,PRU
2010-02-01,51.22,50.47,51.58,50.33,2690000.0,0.0246,PRU
2010-02-02,51.94,51.38,51.99,50.85,2520000.0,0.0141,PRU
2010-02-03,50.36,51.53,51.76,50.16,3100000.0,-0.0304,PRU
2010-02-04,48.21,50.02,50.12,48.16,4760000.0,-0.042699999999999995,PRU
2010-02-05,48.53,48.35,49.17,46.33,4760000.0,0.0066,PRU
2010-02-08,47.02,48.55,48.88,47.01,3010000.0,-0.0311,PRU
2010-02-09,48.36,47.81,49.28,47.26,4970000.0,0.0285,PRU
2010-02-10,48.88,48.45,49.28,47.97,3040000.0,0.0108,PRU
2010-02-11,48.59,47.97,48.98,47.78,5750000.0,-0.0059,PRU
2010-02-12,48.14,48.34,48.48,47.12,4270000.0,-0.009300000000000001,PRU
2010-02-16,49.93,48.49,49.95,48.15,3370000.0,0.037200000000000004,PRU
2010-02-17,50.57,51.01,51.31,50.22,4230000.0,0.0128,PRU
2010-02-18,51.08,50.18,51.24,50.18,2730000.0,0.0101,PRU
2010-02-19,51.5,50.63,51.74,50.12,3500000.0,0.008199999999999999,PRU
2010-02-22,51.7,51.63,51.92,50.75,3300000.0,0.0039000000000000003,PRU
2010-02-23,50.51,51.38,51.99,50.02,3090000.0,-0.023,PRU
2010-02-24,51.9,50.79,51.95,50.54,3760000.0,0.0275,PRU
2010-02-25,52.24,51.08,52.29,50.56,4620000.0,0.0066,PRU
2010-02-26,52.41,52.35,52.53,51.49,3370000.0,0.0033,PRU
2010-03-01,53.46,52.74,53.55,52.74,3210000.0,0.02,PRU
2010-03-02,53.21,53.68,53.85,52.9,3170000.0,-0.004699999999999999,PRU
2010-03-03,52.83,53.33,53.42,52.73,2530000.0,-0.0070999999999999995,PRU
2010-03-04,53.77,52.83,53.79,52.71,3400000.0,0.0178,PRU
2010-03-05,54.58,53.98,54.75,53.79,3010000.0,0.0151,PRU
2010-03-08,55.32,54.96,55.68,54.56,3580000.0,0.013600000000000001,PRU
2010-03-09,55.42,54.88,56.0,54.65,2960000.0,0.0018,PRU
2010-03-10,55.81,55.5,56.6,55.14,4520000.0,0.006999999999999999,PRU
2010-03-11,55.82,55.27,56.1,54.71,3150000.0,0.0002,PRU
2010-03-12,55.91,56.25,56.56,55.61,2590000.0,0.0016,PRU
2010-03-15,55.88,55.48,56.61,55.39,3080000.0,-0.0005,PRU
2010-03-16,57.09,56.27,57.13,55.76,3060000.0,0.0217,PRU
2010-03-17,57.59,57.4,58.24,57.31,3610000.0,0.0088,PRU
2010-03-18,57.79,57.38,57.98,56.9,3710000.0,0.0034999999999999996,PRU
2010-03-19,57.96,57.93,58.52,57.46,5380000.0,0.0029,PRU
2010-03-22,58.08,57.35,58.14,56.9,3400000.0,0.0021,PRU
2010-03-23,58.35,58.23,58.43,57.18,2920000.0,0.0046,PRU
2010-03-24,58.39,57.49,59.0,57.47,2600000.0,0.0007000000000000001,PRU
2010-03-25,58.5,58.99,60.22,58.39,3810000.0,0.0019,PRU
2010-03-26,59.21,58.83,60.2,58.55,4070000.0000000005,0.0121,PRU
2010-03-29,59.91,59.59,60.0,59.12,2410000.0,0.0118,PRU
2010-03-30,59.67,59.93,60.4,59.4,2840000.0,-0.004,PRU
2010-03-31,60.5,59.38,60.52,59.25,3260000.0,0.0139,PRU
2010-04-01,61.29,60.98,61.7,60.72,2570000.0,0.0131,PRU
2010-04-05,63.0,61.65,63.16,61.45,3850000.0,0.0279,PRU
2010-04-06,63.81,62.74,64.23,62.74,3870000.0,0.0129,PRU
2010-04-07,62.84,63.76,64.0,62.45,4860000.0,-0.0152,PRU
2010-04-08,63.48,62.6,63.72,61.95,3160000.0,0.0102,PRU
2010-04-09,63.52,63.73,64.0,62.86,2200000.0,0.0006,PRU
2010-04-12,63.09,63.91,64.21,62.98,3080000.0,-0.0068000000000000005,PRU
2010-04-13,63.38,62.78,63.55,62.27,2800000.0,0.0046,PRU
2010-04-14,65.11,63.66,65.18,63.3,3000000.0,0.0273,PRU
2010-04-15,64.46,64.84,65.05,63.89,2320000.0,-0.01,PRU
2010-04-16,62.84,64.18,64.74,61.77,4410000.0,-0.025099999999999997,PRU
2010-04-19,63.67,62.33,63.76,61.97,2750000.0,0.0132,PRU
2010-04-20,65.28,64.39,65.46,64.14,3030000.0,0.0253,PRU
2010-04-21,64.85,65.32,65.74,63.86,2190000.0,-0.0066,PRU
2010-04-22,64.58,64.15,64.77,63.34,2530000.0,-0.0042,PRU
2010-04-23,65.82,64.86,65.93,64.31,2590000.0,0.0192,PRU
2010-04-26,65.49,65.78,66.8,65.32,2590000.0,-0.005,PRU
2010-04-27,61.66,65.05,65.16,61.5,3850000.0,-0.058499999999999996,PRU
2010-04-28,62.77,62.64,63.87,62.09,4420000.0,0.018000000000000002,PRU
2010-04-29,65.23,63.53,65.7,63.29,3040000.0,0.0392,PRU
2010-04-30,63.56,64.73,65.13,63.42,3560000.0,-0.0256,PRU
2010-05-03,64.36,64.16,64.45,63.18,2640000.0,0.0126,PRU
2010-05-04,61.66,63.66,63.66,61.03,4650000.0,-0.042,PRU
2010-05-05,61.35,60.55,62.36,59.46,3630000.0,-0.005,PRU
2010-05-06,60.03,60.63,63.59,55.75,8550000.0,-0.0215,PRU
2010-05-07,58.15,60.01,60.87,57.0,8730000.0,-0.0313,PRU
2010-05-10,62.62,60.27,62.81,60.11,5840000.0,0.07690000000000001,PRU
2010-05-11,63.16,61.94,64.38,61.45,4590000.0,0.0086,PRU
2010-05-12,63.98,63.72,64.13,63.17,2990000.0,0.013000000000000001,PRU
2010-05-13,61.85,63.66,63.83,61.8,3560000.0,-0.0333,PRU
2010-05-14,60.46,61.18,61.29,59.16,4690000.0,-0.0225,PRU
2010-05-17,60.86,60.33,61.51,59.02,3640000.0,0.0066,PRU
2010-05-18,59.73,61.73,61.98,59.23,4580000.0,-0.018600000000000002,PRU
2010-05-19,58.44,58.32,60.07,56.7,4960000.0,-0.0216,PRU
2010-05-20,54.6,56.85,56.93,54.58,7150000.0,-0.06570000000000001,PRU
2010-05-21,56.39,52.63,56.75,52.57,7630000.0,0.032799999999999996,PRU
2010-05-24,54.92,56.5,56.64,54.83,4260000.0,-0.026099999999999998,PRU
2010-05-25,55.68,52.46,55.79,52.42,4890000.0,0.0138,PRU
2010-05-26,55.7,56.13,57.52,55.37,4390000.0,0.0004,PRU
2010-05-27,59.14,57.42,59.25,56.99,4740000.0,0.061799999999999994,PRU
2010-05-28,57.71,59.14,59.15,57.27,3420000.0,-0.0242,PRU
2010-06-01,56.72,56.76,58.28,56.58,3330000.0,-0.0172,PRU
2010-06-02,58.95,57.07,59.06,56.7,3220000.0,0.0393,PRU
