Date,Close,Open,High,Low,Volume,Change,Symbol
2018-01-22,39.09,38.9,39.27,38.85,907640.0,0.0026,PWR
2018-01-23,38.87,39.03,39.18,38.59,1370000.0,-0.005600000000000001,PWR
2018-01-24,38.97,39.19,39.31,38.68,1790000.0,0.0026,PWR
2018-01-25,38.89,39.24,39.24,38.36,1450000.0,-0.0021,PWR
2018-01-26,39.14,39.0,39.14,38.74,1340000.0,0.0064,PWR
2018-01-29,38.87,39.11,39.59,38.77,890520.0,-0.0069,PWR
2018-01-30,38.4,38.58,38.69,38.05,1310000.0,-0.0121,PWR
2018-01-31,38.49,38.95,39.09,38.29,1180000.0,0.0023,PWR
2018-02-01,38.26,38.4,38.58,38.12,1410000.0,-0.006,PWR
2018-02-02,36.09,38.0,38.0,36.07,2780000.0,-0.0567,PWR
2018-02-05,34.4,35.77,36.25,34.24,2300000.0,-0.046799999999999994,PWR
2018-02-06,35.18,33.71,35.36,33.1,2049999.9999999998,0.0227,PWR
2018-02-07,34.45,35.0,35.6,34.42,2810000.0,-0.0208,PWR
2018-02-08,33.51,34.48,34.49,33.5,2000000.0,-0.0273,PWR
2018-02-09,33.53,34.04,34.23,32.7,2080000.0,0.0006,PWR
2018-02-12,33.98,33.73,34.26,33.48,1540000.0,0.0134,PWR
2018-02-13,33.72,33.75,34.01,33.49,1020000.0,-0.0077,PWR
2018-02-14,34.43,33.44,34.46,33.3,1350000.0,0.021099999999999997,PWR
2018-02-15,34.83,34.77,34.83,34.12,933310.0,0.0116,PWR
2018-02-16,35.07,34.73,35.45,34.72,1120000.0,0.0069,PWR
2018-02-20,34.95,34.91,35.33,34.76,1450000.0,-0.0034000000000000002,PWR
2018-02-21,34.84,34.92,35.73,34.81,2170000.0,-0.0031,PWR
2018-02-22,35.9,36.25,37.22,35.82,3050000.0,0.0304,PWR
2018-02-23,35.67,36.14,36.14,34.78,2009999.9999999998,-0.0064,PWR
2018-02-26,35.66,35.65,35.95,35.31,1650000.0,-0.0003,PWR
2018-02-27,35.04,35.65,36.1,35.02,1700000.0,-0.0174,PWR
2018-02-28,34.44,35.18,35.29,34.44,2340000.0,-0.0171,PWR
2018-03-01,33.86,34.32,34.62,33.72,2160000.0,-0.0168,PWR
2018-03-02,34.24,33.52,34.3,33.34,1890000.0,0.011200000000000002,PWR
2018-03-05,34.22,34.01,34.55,33.95,1420000.0,-0.0006,PWR
2018-03-06,34.68,34.33,35.01,34.21,1690000.0,0.0134,PWR
2018-03-07,35.17,34.34,35.39,34.34,1900000.0,0.0141,PWR
2018-03-08,35.17,35.23,35.4,34.9,1750000.0,0.0,PWR
2018-03-09,35.99,35.46,36.07,35.35,1020000.0,0.0233,PWR
2018-03-12,35.96,35.99,36.2,35.69,898290.0,-0.0008,PWR
2018-03-13,35.46,36.12,36.38,35.27,1360000.0,-0.0139,PWR
2018-03-14,35.07,35.62,35.67,35.01,1440000.0,-0.011000000000000001,PWR
2018-03-15,35.0,35.25,36.16,34.81,3590000.0,-0.002,PWR
2018-03-16,35.36,34.96,35.59,34.89,2130000.0,0.0103,PWR
2018-03-19,34.94,35.25,35.44,34.63,1570000.0,-0.011899999999999999,PWR
2018-03-20,35.1,35.05,35.19,34.94,1210000.0,0.0046,PWR
2018-03-21,35.82,35.19,36.27,35.19,1390000.0,0.020499999999999997,PWR
2018-03-22,34.39,35.4,35.84,34.32,1550000.0,-0.039900000000000005,PWR
2018-03-23,33.21,34.5,34.61,33.13,1490000.0,-0.034300000000000004,PWR
2018-03-26,34.25,33.78,34.34,33.22,1870000.0,0.0313,PWR
2018-03-27,34.0,34.43,34.52,33.82,1980000.0,-0.0073,PWR
2018-03-28,33.87,34.09,34.18,33.71,1860000.0,-0.0038,PWR
2018-03-29,34.35,34.14,34.61,34.07,1130000.0,0.014199999999999999,PWR
2018-04-02,33.53,34.24,34.35,33.01,1280000.0,-0.0239,PWR
2018-04-03,34.17,33.63,34.19,33.4,1070000.0,0.0191,PWR
2018-04-04,34.51,33.55,34.57,33.55,1140000.0,0.01,PWR
2018-04-05,34.6,34.7,34.95,34.44,875610.0,0.0026,PWR
2018-04-06,33.72,34.27,34.51,33.12,1290000.0,-0.0254,PWR
