Date,Close,Open,High,Low,Volume,Change,Symbol
2010-01-04,85.45,86.27,86.58,85.2,444750.0,-0.0027,RE
2010-01-05,84.21,85.12,85.42,83.84,327160.0,-0.014499999999999999,RE
2010-01-06,84.18,84.41,84.59,83.95,266380.0,-0.0004,RE
2010-01-07,84.35,84.33,84.67,84.17,354570.0,0.002,RE
2010-01-08,84.2,84.33,84.44,83.82,276890.0,-0.0018,RE
2010-01-11,84.76,84.66,84.87,84.16,393930.0,0.0067,RE
2010-01-12,84.86,84.56,85.52,84.41,280560.0,0.0012,RE
2010-01-13,85.84,84.85,85.99,84.79,192160.0,0.0115,RE
2010-01-14,86.03,85.39,86.05,85.32,204600.0,0.0022,RE
2010-01-15,84.81,85.76,85.91,84.75,207940.0,-0.014199999999999999,RE
2010-01-19,86.29,84.8,86.31,84.8,254120.0,0.0175,RE
2010-01-20,86.6,85.59,86.81,85.59,343980.0,0.0036,RE
2010-01-21,85.75,86.49,86.88,85.49,352810.0,-0.0098,RE
2010-01-22,84.48,85.78,85.78,84.21,289720.0,-0.0148,RE
2010-01-25,84.57,85.02,85.31,84.1,195750.0,0.0011,RE
2010-01-26,84.51,84.23,85.85,84.2,321330.0,-0.0007000000000000001,RE
2010-01-27,85.89,84.27,85.89,84.27,278890.0,0.0163,RE
2010-01-28,84.91,85.94,85.94,84.62,209630.0,-0.011399999999999999,RE
2010-01-29,85.74,85.28,86.91,84.95,347920.0,0.0098,RE
2010-02-01,85.57,86.15,86.17,85.17,180690.0,-0.002,RE
2010-02-02,86.02,85.46,86.15,85.37,202560.0,0.0053,RE
2010-02-03,85.26,85.76,85.78,85.02,287220.0,-0.0088,RE
2010-02-04,83.54,85.0,85.47,83.54,484480.0,-0.0202,RE
2010-02-05,83.28,83.58,83.83,82.18,412910.0,-0.0031,RE
2010-02-08,82.8,83.4,83.45,82.45,306250.0,-0.0058,RE
2010-02-09,83.74,83.42,83.91,82.82,175540.0,0.011399999999999999,RE
2010-02-10,84.37,83.33,84.99,82.88,376730.0,0.0075,RE
2010-02-11,80.01,84.46,84.46,79.55,1760000.0,-0.051699999999999996,RE
2010-02-12,80.97,79.39,81.19,79.0,892480.0,0.012,RE
2010-02-16,82.36,81.36,82.45,80.85,667280.0,0.0172,RE
2010-02-17,82.5,82.46,82.7,82.16,642710.0,0.0017000000000000001,RE
2010-02-18,83.46,82.63,83.61,82.43,504470.0,0.0116,RE
2010-02-19,83.86,83.4,84.11,83.3,338120.0,0.0048,RE
2010-02-22,84.43,83.81,84.53,83.6,306180.0,0.0068000000000000005,RE
2010-02-23,84.2,84.04,84.63,83.72,421720.0,-0.0027,RE
2010-02-24,85.22,84.39,85.3,83.96,382840.0,0.0121,RE
2010-02-25,85.81,84.66,86.01,84.46,430690.0,0.0069,RE
2010-02-26,85.42,86.11,86.24,85.22,332900.0,-0.0045000000000000005,RE
2010-03-01,85.48,85.69,85.7,84.7,412620.0,0.0007000000000000001,RE
2010-03-02,84.45,85.5,85.53,84.01,948090.0,-0.012,RE
2010-03-03,83.01,84.7,84.7,82.9,938800.0,-0.0171,RE
2010-03-04,82.7,82.99,83.13,82.47,635620.0,-0.0037,RE
2010-03-05,81.76,83.02,83.08,81.6,1050000.0,-0.011399999999999999,RE
2010-03-08,83.26,81.5,83.39,81.08,886380.0,0.0183,RE
2010-03-09,82.54,83.28,83.38,82.03,555620.0,-0.0086,RE
2010-03-10,82.64,82.27,82.84,81.87,536140.0,0.0012,RE
2010-03-11,83.12,82.25,83.2,82.0,636010.0,0.0058,RE
2010-03-12,82.53,83.12,83.19,82.27,293490.0,-0.0070999999999999995,RE
2010-03-15,82.12,82.38,82.52,81.58,239020.0,-0.005,RE
2010-03-16,81.76,81.99,81.99,81.45,439670.0,-0.0044,RE
2010-03-17,82.38,82.1,82.72,81.64,405150.0,0.0076,RE
2010-03-18,82.27,82.6,82.6,82.07,213320.0,-0.0013,RE
2010-03-19,80.83,82.28,82.5,80.79,688810.0,-0.0175,RE
2010-03-22,80.1,80.57,80.84,79.86,611380.0,-0.009000000000000001,RE
2010-03-23,79.53,80.13,80.13,79.32,967650.0,-0.0070999999999999995,RE
2010-03-24,79.55,79.53,80.02,79.16,899760.0,0.0003,RE
2010-03-25,79.97,80.04,80.77,79.38,769160.0,0.0053,RE
2010-03-26,79.77,79.86,80.47,79.61,522350.0,-0.0025,RE
2010-03-29,80.86,80.15,81.0,79.93,598930.0,0.0137,RE
2010-03-30,80.88,81.08,81.12,79.96,779120.0,0.0002,RE
2010-03-31,80.93,80.5,81.45,79.78,752680.0,0.0006,RE
2010-04-01,80.81,81.23,81.55,80.41,433650.0,-0.0015,RE
2010-04-05,80.51,80.81,80.85,80.2,393170.0,-0.0037,RE
2010-04-06,80.56,80.37,80.72,80.23,511780.0,0.0006,RE
2010-04-07,81.86,80.31,81.95,80.3,739730.0,0.0161,RE
2010-04-08,81.51,81.57,81.59,81.01,393680.0,-0.0043,RE
2010-04-09,81.77,81.62,81.79,80.88,258820.0,0.0032,RE
2010-04-12,81.96,81.98,82.01,81.12,476010.0,0.0023,RE
2010-04-13,82.04,81.85,82.27,81.71,253250.0,0.001,RE
2010-04-14,83.4,82.21,83.41,82.21,404840.0,0.0166,RE
2010-04-15,82.67,83.06,83.46,82.5,323920.0,-0.0088,RE
2010-04-16,81.2,82.67,82.73,81.11,469720.0,-0.0178,RE
2010-04-19,81.77,80.89,81.9,80.59,406010.0,0.006999999999999999,RE
2010-04-20,82.02,82.17,82.17,81.29,272700.0,0.0031,RE
2010-04-21,82.32,81.98,82.52,81.55,275240.0,0.0037,RE
2010-04-22,82.19,81.8,82.46,81.55,229790.0,-0.0016,RE
2010-04-23,82.87,82.0,82.94,81.74,190590.0,0.0083,RE
2010-04-26,82.65,82.98,83.25,82.53,222840.0,-0.0027,RE
2010-04-27,80.15,82.28,82.6,80.02,451380.0,-0.0302,RE
2010-04-28,80.86,80.66,81.68,80.44,591280.0,0.0089,RE
