Date,Close,Open,High,Low,Volume,Change,Symbol
2010-01-04,47.73,47.61,47.96,47.01,903970.0,0.016,ROK
2010-01-05,47.35,47.65,47.82,47.14,964810.0,-0.008,ROK
2010-01-06,48.25,47.35,48.28,47.23,893110.0,0.019,ROK
2010-01-07,48.78,48.22,48.87,47.8,673730.0,0.011000000000000001,ROK
2010-01-08,49.46,48.63,49.51,48.35,664370.0,0.0139,ROK
2010-01-11,49.0,48.36,49.03,48.24,1420000.0,-0.009300000000000001,ROK
2010-01-12,48.22,48.47,48.8,48.01,1770000.0,-0.0159,ROK
2010-01-13,48.45,48.31,48.64,47.97,777350.0,0.0048,ROK
2010-01-14,48.6,48.2,48.86,48.2,627380.0,0.0031,ROK
2010-01-15,47.69,48.5,48.53,47.26,877150.0,-0.0187,ROK
2010-01-19,49.17,47.73,49.17,47.45,1150000.0,0.031,ROK
2010-01-20,48.36,48.48,48.5,47.96,1090000.0,-0.0165,ROK
2010-01-21,47.68,48.2,48.7,47.5,1410000.0,-0.0141,ROK
2010-01-22,46.02,47.42,47.57,45.92,989850.0,-0.0348,ROK
2010-01-25,46.63,46.62,46.87,46.09,687440.0,0.013300000000000001,ROK
2010-01-26,46.16,46.34,46.89,45.72,1920000.0,-0.0101,ROK
2010-01-27,50.84,50.25,51.86,49.03,8160000.0,0.1014,ROK
2010-01-28,49.94,51.09,51.36,49.73,3290000.0,-0.0177,ROK
2010-01-29,48.24,50.2,50.41,48.24,2640000.0,-0.034,ROK
2010-02-01,49.75,48.46,49.75,48.44,1360000.0,0.0313,ROK
2010-02-02,49.68,50.0,50.6,49.58,2380000.0,-0.0014000000000000002,ROK
2010-02-03,49.23,49.59,49.93,48.93,1510000.0,-0.0091,ROK
2010-02-04,47.91,48.7,48.7,47.15,1960000.0,-0.0268,ROK
2010-02-05,48.51,48.0,48.55,47.51,3070000.0,0.0125,ROK
2010-02-08,47.71,48.2,48.34,47.25,2020000.0,-0.0165,ROK
2010-02-09,49.5,48.89,50.07,48.3,1900000.0,0.0375,ROK
2010-02-10,49.71,49.27,49.99,48.84,1870000.0,0.0042,ROK
2010-02-11,50.72,49.44,50.84,49.05,1300000.0,0.0203,ROK
2010-02-12,51.43,49.74,51.48,49.36,1830000.0,0.013999999999999999,ROK
2010-02-16,52.83,51.72,53.0,51.72,1510000.0,0.027200000000000002,ROK
2010-02-17,53.09,52.96,53.58,52.86,1190000.0,0.0049,ROK
2010-02-18,53.78,53.08,53.8,53.01,726340.0,0.013000000000000001,ROK
2010-02-19,54.31,53.52,54.52,53.29,1210000.0,0.009899999999999999,ROK
2010-02-22,54.04,54.38,54.49,53.64,736980.0,-0.005,ROK
2010-02-23,53.25,53.97,54.26,52.81,926750.0,-0.0146,ROK
2010-02-24,53.78,53.36,53.8,53.0,785450.0,0.01,ROK
2010-02-25,53.52,53.1,53.63,52.11,1060000.0,-0.0048,ROK
2010-02-26,54.09,53.48,54.21,53.24,790630.0,0.010700000000000001,ROK
2010-03-01,55.13,54.45,55.22,54.41,864230.0,0.0192,ROK
2010-03-02,55.65,55.5,55.91,55.3,765690.0,0.009399999999999999,ROK
2010-03-03,55.26,55.71,56.14,55.1,993610.0,-0.006999999999999999,ROK
2010-03-04,55.0,55.46,55.62,54.85,684360.0,-0.004699999999999999,ROK
2010-03-05,55.98,55.31,56.05,55.31,2170000.0,0.0178,ROK
2010-03-08,56.14,56.13,56.88,55.95,1170000.0,0.0029,ROK
2010-03-09,56.05,56.01,56.26,55.71,804330.0,-0.0016,ROK
2010-03-10,56.16,56.03,56.49,55.84,858430.0,0.002,ROK
2010-03-11,55.84,56.03,56.05,55.41,1250000.0,-0.005699999999999999,ROK
2010-03-12,55.36,56.09,56.09,55.2,1410000.0,-0.0086,ROK
2010-03-15,54.99,55.47,55.47,54.51,1050000.0,-0.0067,ROK
2010-03-16,55.33,55.08,55.5,54.79,1230000.0,0.0062,ROK
2010-03-17,55.23,55.32,55.82,55.16,852780.0,-0.0018,ROK
2010-03-18,55.13,55.4,55.4,54.94,797260.0,-0.0018,ROK
2010-03-19,55.37,55.24,55.58,54.9,1790000.0,0.0044,ROK
2010-03-22,55.86,55.07,56.17,54.86,1200000.0,0.0088,ROK
2010-03-23,56.78,55.92,57.0,55.8,1910000.0,0.0165,ROK
2010-03-24,55.82,56.72,56.77,55.77,796500.0,-0.0169,ROK
2010-03-25,55.92,56.14,56.7,55.86,1110000.0,0.0018,ROK
2010-03-26,55.43,56.19,56.65,55.29,1280000.0,-0.0088,ROK
2010-03-29,55.55,55.72,56.1,55.52,1080000.0,0.0022,ROK
2010-03-30,56.16,55.74,56.5,55.5,1120000.0,0.011000000000000001,ROK
2010-03-31,56.36,55.83,56.75,55.63,1060000.0,0.0036,ROK
2010-04-01,56.64,56.64,57.28,56.28,876600.0,0.005,ROK
2010-04-05,57.32,56.87,57.72,56.6,696340.0,0.012,ROK
2010-04-06,58.04,57.11,58.05,56.94,1090000.0,0.0126,ROK
2010-04-07,57.61,57.86,58.06,57.3,976040.0,-0.0074,ROK
2010-04-08,58.98,57.3,59.01,57.27,1260000.0,0.023799999999999998,ROK
2010-04-09,59.14,59.0,59.35,58.86,842270.0,0.0027,ROK
2010-04-12,59.61,59.29,59.75,59.21,891680.0,0.0079,ROK
2010-04-13,59.13,59.56,59.68,58.81,1590000.0,-0.008100000000000001,ROK
2010-04-14,60.38,59.29,60.41,59.16,821470.0,0.021099999999999997,ROK
2010-04-15,60.8,59.94,60.88,59.94,824280.0,0.006999999999999999,ROK
2010-04-16,60.01,60.56,60.75,59.49,1290000.0,-0.013000000000000001,ROK
2010-04-19,59.27,59.79,59.94,58.58,998570.0,-0.0123,ROK
2010-04-20,60.69,59.83,60.73,59.83,827880.0,0.024,ROK
2010-04-21,60.42,60.63,60.83,59.85,1060000.0,-0.0044,ROK
2010-04-22,62.07,59.87,62.2,59.42,1530000.0,0.0273,ROK
2010-04-23,62.71,62.21,62.72,61.58,663240.0,0.0103,ROK
2010-04-26,62.83,62.94,63.84,62.7,662410.0,0.0019,ROK
2010-04-27,61.27,62.42,63.11,61.07,1090000.0,-0.0248,ROK
2010-04-28,61.17,63.79,63.9,61.0,2340000.0,-0.0016,ROK
2010-04-29,61.9,61.88,62.26,61.36,2020000.0,0.011899999999999999,ROK
2010-04-30,60.72,61.81,61.98,60.23,2009999.9999999998,-0.0191,ROK
2010-05-03,62.62,61.21,62.74,61.18,841190.0,0.0313,ROK
2010-05-04,59.93,61.6,61.6,59.5,1260000.0,-0.043,ROK
2010-05-05,59.55,59.45,60.7,58.54,1350000.0,-0.0063,ROK
2010-05-06,57.35,58.94,60.16,53.62,1900000.0,-0.0369,ROK
2010-05-07,56.54,57.41,58.19,55.63,1720000.0,-0.0141,ROK
2010-05-10,60.04,59.25,60.64,58.72,1760000.0,0.061900000000000004,ROK
2010-05-11,60.08,59.25,60.72,58.77,1330000.0,0.0007000000000000001,ROK
2010-05-12,62.38,60.52,62.47,60.43,1110000.0,0.0383,ROK
2010-05-13,61.15,61.84,62.34,60.9,832700.0,-0.0197,ROK
2010-05-14,59.3,60.28,61.0,58.71,1120000.0,-0.030299999999999997,ROK
2010-05-17,59.31,59.44,59.83,58.03,1530000.0,0.0002,ROK
2010-05-18,57.97,59.78,60.26,57.82,1070000.0,-0.0226,ROK
2010-05-19,56.7,57.71,58.05,55.46,1370000.0,-0.0219,ROK
2010-05-20,52.16,54.19,54.62,51.66,2690000.0,-0.0801,ROK
2010-05-21,53.45,51.15,53.72,50.8,2180000.0,0.024700000000000003,ROK
2010-05-24,52.82,52.95,54.08,52.73,1020000.0,-0.0118,ROK
2010-05-25,51.84,51.18,52.02,50.7,2630000.0,-0.018600000000000002,ROK
2010-05-26,52.45,52.26,53.67,52.17,1490000.0,0.0118,ROK
2010-05-27,54.27,53.3,54.28,53.3,973840.0,0.0347,ROK
2010-05-28,53.43,53.96,54.23,52.9,987220.0,-0.0155,ROK
2010-06-01,52.22,52.92,53.93,52.15,776520.0,-0.0226,ROK
2010-06-02,54.1,52.41,54.11,51.96,774050.0,0.036000000000000004,ROK
2010-06-03,54.75,53.82,54.88,53.82,991890.0,0.012,ROK
2010-06-04,51.46,53.2,53.75,51.05,1090000.0,-0.0601,ROK
2010-06-07,49.59,51.4,51.54,49.5,1510000.0,-0.0363,ROK
2010-06-08,50.43,49.6,50.58,48.87,1510000.0,0.0169,ROK
2010-06-09,50.28,50.6,51.95,50.18,1410000.0,-0.003,ROK
2010-06-10,52.7,51.27,52.83,51.27,1300000.0,0.0481,ROK
2010-06-11,52.88,52.01,53.16,51.99,1470000.0,0.0034000000000000002,ROK
2010-06-14,51.76,53.22,53.63,51.57,1580000.0,-0.0212,ROK
2010-06-15,54.1,52.48,54.17,52.16,1080000.0,0.0452,ROK
2010-06-16,54.04,53.67,54.51,53.56,658740.0,-0.0011,ROK
2010-06-17,53.82,54.22,54.22,53.03,712160.0,-0.0040999999999999995,ROK
2010-06-18,53.83,53.98,54.08,53.54,826180.0,0.0002,ROK
2010-06-21,53.95,54.8,55.67,53.5,950910.0,0.0022,ROK
2010-06-22,52.21,53.95,54.45,52.07,834580.0,-0.0323,ROK
2010-06-23,52.01,52.21,52.56,51.25,919110.0,-0.0038,ROK
2010-06-24,50.97,51.94,52.09,50.75,792180.0,-0.02,ROK
2010-06-25,52.14,51.12,52.14,50.4,3430000.0,0.023,ROK
2010-06-28,51.58,51.85,52.35,51.28,993830.0,-0.010700000000000001,ROK
2010-06-29,49.11,50.6,50.67,48.63,1750000.0,-0.0479,ROK
2010-06-30,49.09,48.87,50.05,48.78,1610000.0,-0.0004,ROK
2010-07-01,49.08,48.99,49.38,47.79,1430000.0,-0.0002,ROK
2010-07-02,49.37,49.2,49.83,49.03,1730000.0,0.0059,ROK
2010-07-06,49.16,49.71,50.48,48.63,1100000.0,-0.0043,ROK
2010-07-07,50.7,49.44,50.8,49.14,1420000.0,0.0313,ROK
2010-07-08,51.66,51.51,51.73,50.81,688340.0,0.0189,ROK
2010-07-09,52.02,51.79,52.14,51.4,592830.0,0.006999999999999999,ROK
2010-07-12,51.39,51.65,52.13,51.12,464550.0,-0.0121,ROK
2010-07-13,52.67,52.07,52.93,51.95,535040.0,0.024900000000000002,ROK
2010-07-14,52.53,52.33,52.68,51.82,797060.0,-0.0027,ROK
2010-07-15,51.82,52.62,52.66,51.15,888370.0,-0.013500000000000002,ROK
2010-07-16,50.49,51.48,51.53,50.23,875950.0,-0.025699999999999997,ROK
2010-07-19,50.96,50.73,51.18,50.05,626550.0,0.009300000000000001,ROK
2010-07-20,51.74,50.11,51.79,49.94,1080000.0,0.015300000000000001,ROK
2010-07-21,51.45,52.16,52.46,51.05,1030000.0,-0.005600000000000001,ROK
2010-07-22,53.23,52.45,54.11,52.45,1280000.0,0.0346,ROK
2010-07-23,54.57,53.12,54.77,53.0,742550.0,0.0252,ROK
2010-07-26,55.78,54.67,55.81,54.54,702720.0,0.0222,ROK
2010-07-27,55.96,56.49,56.49,55.77,1580000.0,0.0032,ROK
2010-07-28,54.53,55.3,55.42,53.79,1650000.0,-0.0256,ROK
2010-07-29,54.61,55.06,55.43,54.24,1260000.0,0.0015,ROK
2010-07-30,54.15,53.86,54.65,53.49,728210.0,-0.0084,ROK
2010-08-02,55.65,55.25,55.79,54.59,946530.0,0.0277,ROK
2010-08-03,55.32,55.31,55.69,54.98,879280.0,-0.0059,ROK
2010-08-04,55.92,55.38,56.0,55.19,1030000.0,0.0108,ROK
2010-08-05,56.36,55.59,56.8,55.41,985460.0,0.0079,ROK
2010-08-06,56.12,55.66,56.35,55.07,672580.0,-0.0043,ROK
2010-08-09,56.73,56.25,56.74,55.54,1040000.0,0.0109,ROK
2010-08-10,56.52,56.11,56.77,55.14,1020000.0,-0.0037,ROK
2010-08-11,52.51,55.2,55.2,52.04,1820000.0,-0.0709,ROK
2010-08-12,51.36,51.09,52.59,50.68,1570000.0,-0.0219,ROK
2010-08-13,51.47,51.05,52.15,51.05,1410000.0,0.0021,ROK
2010-08-16,50.9,50.83,51.64,50.62,1230000.0,-0.0111,ROK
2010-08-17,51.84,51.75,52.45,51.58,1680000.0,0.018500000000000003,ROK
2010-08-18,52.5,51.71,52.76,51.48,1590000.0,0.0127,ROK
2010-08-19,51.06,52.07,52.25,50.88,1830000.0,-0.0274,ROK
2010-08-20,50.57,50.66,50.85,49.94,1130000.0,-0.0096,ROK
2010-08-23,49.86,50.82,51.06,49.77,1200000.0,-0.013999999999999999,ROK
2010-08-24,49.35,49.24,49.89,48.35,1690000.0,-0.0102,ROK
2010-08-25,49.88,48.7,50.05,48.68,1650000.0,0.010700000000000001,ROK
2010-08-26,50.77,50.36,51.37,50.1,2730000.0,0.0178,ROK
2010-08-27,52.35,51.26,52.47,50.1,1890000.0,0.0311,ROK
2010-08-30,51.06,52.07,52.18,51.06,1020000.0,-0.0246,ROK
2010-08-31,51.14,50.7,51.72,50.34,1410000.0,0.0016,ROK
2010-09-01,53.43,52.08,53.49,52.08,1220000.0,0.044800000000000006,ROK
2010-09-02,54.56,53.54,54.56,53.41,1090000.0,0.021099999999999997,ROK
2010-09-03,55.47,55.4,55.76,55.06,794710.0,0.0167,ROK
2010-09-07,54.79,55.14,55.48,54.67,637850.0,-0.0123,ROK
2010-09-08,56.37,54.9,56.54,54.9,1410000.0,0.0288,ROK
2010-09-09,56.19,57.25,57.26,55.77,820230.0,-0.0032,ROK
2010-09-10,57.54,56.38,57.76,56.38,1360000.0,0.024,ROK
2010-09-13,59.6,58.3,59.75,58.16,1440000.0,0.0358,ROK
2010-09-14,59.55,59.43,60.14,59.01,1900000.0,-0.0008,ROK
2010-09-15,59.35,59.33,59.52,58.85,992060.0,-0.0034000000000000002,ROK
2010-09-16,59.4,59.05,59.89,58.89,725060.0,0.0008,ROK
2010-09-17,59.95,59.54,60.19,59.27,1150000.0,0.009300000000000001,ROK
2010-09-20,61.17,60.18,61.28,59.8,700820.0,0.0204,ROK
2010-09-21,60.73,61.05,61.45,60.6,867920.0,-0.0072,ROK
2010-09-22,60.25,60.76,61.44,59.9,794800.0,-0.0079,ROK
2010-09-23,59.74,59.5,60.55,59.41,621810.0,-0.0085,ROK
2010-09-24,61.71,60.8,61.99,60.8,727920.0,0.033,ROK
2010-09-27,61.19,61.62,61.62,60.98,431470.0,-0.0084,ROK
2010-09-28,62.22,61.18,62.34,60.02,968770.0,0.0168,ROK
2010-09-29,62.44,61.73,62.71,61.73,921370.0,0.0034999999999999996,ROK
2010-09-30,61.73,62.75,63.27,61.29,937220.0,-0.011399999999999999,ROK
2010-10-01,61.87,62.06,62.64,60.97,1140000.0,0.0023,ROK
2010-10-04,60.87,61.78,61.78,60.08,841920.0,-0.016200000000000003,ROK
2010-10-05,62.55,61.53,62.87,61.13,988560.0,0.0276,ROK
2010-10-06,62.06,62.3,62.78,61.63,836410.0,-0.0078000000000000005,ROK
2010-10-07,61.93,62.47,62.47,61.48,681680.0,-0.0021,ROK
2010-10-08,62.64,61.96,62.98,61.65,922630.0,0.0115,ROK
2010-10-11,62.22,62.62,62.65,61.96,703460.0,-0.0067,ROK
2010-10-12,62.07,62.11,62.3,61.05,646680.0,-0.0024,ROK
2010-10-13,62.91,62.54,63.18,62.19,950120.0,0.013500000000000002,ROK
2010-10-14,62.03,62.96,63.19,61.7,902370.0,-0.013999999999999999,ROK
2010-10-15,61.92,62.73,62.83,61.34,802680.0,-0.0018,ROK
2010-10-18,62.36,61.97,62.52,61.86,462910.0,0.0070999999999999995,ROK
2010-10-19,61.05,61.2,62.12,60.6,940290.0,-0.021,ROK
2010-10-20,62.16,61.24,62.64,60.96,836640.0,0.0182,ROK
2010-10-21,63.08,62.25,63.25,62.25,933430.0,0.0148,ROK
2010-10-22,62.71,63.12,63.12,62.3,393870.0,-0.0059,ROK
2010-10-25,63.84,63.41,64.26,63.21,840660.0,0.018000000000000002,ROK
2010-10-26,63.32,63.53,63.79,62.85,619060.0,-0.008100000000000001,ROK
2010-10-27,62.63,62.75,62.75,61.65,777980.0,-0.0109,ROK
2010-10-28,62.25,62.89,63.51,61.97,1070000.0,-0.0060999999999999995,ROK
2010-10-29,62.37,62.06,62.76,61.93,534720.0,0.0019,ROK
2010-11-01,63.28,62.89,63.52,62.65,745050.0,0.0146,ROK
