Date,Close,Open,High,Low,Volume,Change,Symbol
2010-01-04,8.63,8.53,8.71,8.48,372880.0,0.0177,ROL
2010-01-05,8.58,8.64,8.65,8.54,311830.0,-0.0058,ROL
2010-01-06,8.59,8.57,8.69,8.57,373750.0,0.0012,ROL
2010-01-07,8.65,8.56,8.66,8.46,238130.0,0.006999999999999999,ROL
2010-01-08,8.64,8.62,8.66,8.57,146920.0,-0.0012,ROL
2010-01-11,8.63,8.67,8.67,8.57,207450.0,-0.0012,ROL
2010-01-12,8.58,8.56,8.62,8.53,231730.0,-0.0058,ROL
2010-01-13,8.68,8.6,8.69,8.53,171170.0,0.011699999999999999,ROL
2010-01-14,8.71,8.71,8.71,8.61,99560.0,0.0034999999999999996,ROL
2010-01-15,8.51,8.72,8.73,8.42,394480.0,-0.023,ROL
2010-01-19,8.6,8.45,8.6,8.44,325490.0,0.0106,ROL
2010-01-20,8.41,8.53,8.53,8.29,332600.0,-0.022099999999999998,ROL
2010-01-21,8.32,8.44,8.49,8.21,258610.0,-0.010700000000000001,ROL
2010-01-22,8.23,8.28,8.4,8.2,303670.0,-0.0108,ROL
2010-01-25,8.18,8.26,8.27,8.12,167710.0,-0.0060999999999999995,ROL
2010-01-26,8.09,8.13,8.19,8.07,205780.0,-0.011000000000000001,ROL
2010-01-27,8.77,8.17,8.84,8.17,967190.0,0.08410000000000001,ROL
2010-01-28,8.54,8.8,8.8,8.39,457470.0,-0.0262,ROL
2010-01-29,8.66,8.54,8.73,8.54,449300.0,0.0141,ROL
2010-02-01,8.64,8.65,8.71,8.58,241510.0,-0.0023,ROL
2010-02-02,8.57,8.66,8.72,8.55,287520.0,-0.008100000000000001,ROL
2010-02-03,8.6,8.56,8.64,8.46,337010.0,0.0034999999999999996,ROL
2010-02-04,8.48,8.57,8.58,8.43,368460.0,-0.013999999999999999,ROL
2010-02-05,8.55,8.48,8.56,8.4,327560.0,0.0083,ROL
2010-02-08,8.4,8.54,8.55,8.39,318760.0,-0.0175,ROL
2010-02-09,8.49,8.46,8.54,8.4,263300.0,0.010700000000000001,ROL
2010-02-10,8.45,8.47,8.49,8.39,217910.0,-0.004699999999999999,ROL
2010-02-11,8.6,8.41,8.6,8.37,234900.0,0.0178,ROL
2010-02-12,8.85,8.75,8.87,8.69,843480.0,0.0291,ROL
2010-02-16,8.91,8.93,8.93,8.81,291190.0,0.0068000000000000005,ROL
2010-02-17,9.04,8.95,9.04,8.92,260540.00000000003,0.0146,ROL
2010-02-18,9.21,9.07,9.23,9.06,270870.0,0.018799999999999997,ROL
2010-02-19,9.3,9.23,9.33,9.15,360560.0,0.0098,ROL
