Date,Close,Open,High,Low,Volume,Change,Symbol
2018-01-22,196.37,196.1,196.81,194.09,1180000.0,0.0,RTN
2018-01-23,196.23,196.58,196.75,195.53,1110000.0,-0.0007000000000000001,RTN
2018-01-24,198.09,196.6,198.56,196.09,1730000.0,0.0095,RTN
2018-01-25,202.84,198.31,204.39,198.31,3010000.0,0.024,RTN
2018-01-26,208.91,203.91,209.28,203.91,2810000.0,0.029900000000000003,RTN
2018-01-29,211.22,210.54,212.69,209.31,1790000.0,0.0111,RTN
2018-01-30,209.18,210.27,210.49,206.42,2470000.0,-0.0097,RTN
2018-01-31,208.94,210.2,211.95,208.94,1950000.0,-0.0011,RTN
2018-02-01,210.85,208.59,213.45,208.32,1890000.0,0.0091,RTN
2018-02-02,206.8,209.52,210.44,206.66,2430000.0,-0.0192,RTN
2018-02-05,198.36,204.31,208.0,191.0,3120000.0,-0.0408,RTN
2018-02-06,201.13,195.13,201.99,193.77,2790000.0,0.013999999999999999,RTN
2018-02-07,204.32,201.15,208.55,201.15,2260000.0,0.0159,RTN
2018-02-08,198.74,207.06,207.33,198.56,3110000.0,-0.0273,RTN
2018-02-09,204.52,201.18,206.74,199.01,3400000.0,0.0291,RTN
2018-02-12,207.52,206.0,209.98,204.12,2130000.0,0.0147,RTN
2018-02-13,209.53,206.57,210.29,205.76,1390000.0,0.0097,RTN
2018-02-14,212.58,208.59,212.91,208.21,1870000.0,0.0146,RTN
2018-02-15,218.18,214.07,218.19,213.56,2190000.0,0.0263,RTN
2018-02-16,217.73,217.68,218.78,215.9,1510000.0,-0.0021,RTN
2018-02-20,216.54,216.74,218.7,215.45,1560000.0,-0.0055000000000000005,RTN
2018-02-21,215.8,216.54,219.78,215.76,1070000.0,-0.0034000000000000002,RTN
2018-02-22,215.36,216.67,216.76,214.85,923960.0,-0.002,RTN
2018-02-23,218.24,216.77,218.26,215.33,934250.0,0.0134,RTN
2018-02-26,219.86,219.0,220.9,218.4,1140000.0,0.0074,RTN
2018-02-27,219.19,220.0,222.82,219.19,1260000.0,-0.003,RTN
2018-02-28,217.51,219.85,221.29,217.45,1530000.0,-0.0077,RTN
2018-03-01,211.36,217.93,218.36,209.85,2000000.0,-0.028300000000000002,RTN
2018-03-02,214.78,209.77,215.53,209.17,1660000.0,0.016200000000000003,RTN
2018-03-05,215.0,214.0,215.38,211.91,1560000.0,0.001,RTN
2018-03-06,213.24,215.65,215.89,212.87,1550000.0,-0.008199999999999999,RTN
2018-03-07,214.36,210.47,214.62,209.8,1600000.0,0.0053,RTN
2018-03-08,214.09,215.28,215.36,212.08,1320000.0,-0.0013,RTN
2018-03-09,214.81,213.84,215.15,210.5,1960000.0,0.0034000000000000002,RTN
2018-03-12,210.04,215.66,215.87,209.62,2110000.0,-0.0222,RTN
2018-03-13,210.62,210.53,213.09,209.54,2140000.0,0.0028000000000000004,RTN
2018-03-14,208.31,211.67,212.08,205.43,2300000.0,-0.011000000000000001,RTN
2018-03-15,208.58,209.0,209.34,206.42,1730000.0,0.0013,RTN
2018-03-16,210.08,208.73,210.44,208.19,3120000.0,0.0072,RTN
2018-03-19,210.75,208.81,211.73,208.06,1360000.0,0.0032,RTN
2018-03-20,213.05,210.9,213.5,210.33,1400000.0,0.0109,RTN
2018-03-21,213.48,213.06,215.64,211.33,1310000.0,0.002,RTN
2018-03-22,209.11,212.22,213.88,208.41,1480000.0,-0.020499999999999997,RTN
2018-03-23,214.57,209.59,219.15,209.48,2940000.0,0.026099999999999998,RTN
2018-03-26,218.73,217.59,219.19,216.79,2400000.0,0.0194,RTN
2018-03-27,215.11,219.88,220.0,213.8,1600000.0,-0.0166,RTN
2018-03-28,211.06,215.11,215.7,209.03,2060000.0,-0.018799999999999997,RTN
2018-03-29,215.82,212.06,215.82,211.57,2150000.0,0.0226,RTN
2018-04-02,211.97,215.1,215.38,209.36,1960000.0,-0.0178,RTN
2018-04-03,214.05,212.72,214.33,210.5,1450000.0,0.0098,RTN
2018-04-04,217.0,210.6,217.23,209.51,1710000.0,0.0138,RTN
2018-04-05,219.39,218.35,219.75,216.73,2080000.0,0.011000000000000001,RTN
2018-04-06,215.91,217.23,219.35,214.06,1750000.0,-0.0159,RTN
2018-04-09,217.22,217.7,219.34,216.4,1680000.0,0.0060999999999999995,RTN
2018-04-10,218.11,219.66,219.86,215.78,2130000.0,0.0040999999999999995,RTN
2018-04-11,218.39,218.36,221.38,217.42,1800000.0,0.0013,RTN
2018-04-12,220.94,219.0,222.16,218.7,1840000.0,0.011699999999999999,RTN
2018-04-13,222.01,222.64,222.74,220.15,1330000.0,0.0048,RTN
2018-04-16,225.09,223.67,225.86,222.76,1530000.0,0.0139,RTN
2018-04-17,227.11,226.86,227.49,225.19,1930000.0,0.009000000000000001,RTN
2018-04-18,227.06,228.52,228.52,225.86,1360000.0,-0.0002,RTN
2018-04-19,228.06,227.09,228.41,225.93,867080.0,0.0044,RTN
2018-04-20,227.35,228.47,228.85,226.29,1260000.0,-0.0031,RTN
2018-04-23,228.13,227.67,228.81,226.65,1420000.0,0.0034000000000000002,RTN
